,ABC3-1 Total,ABC3-2 Total,ABC3-3 Total,ABC25-1 Total,ABC25-2 Total,ABC25-3 Total,ABC76-1 Total,ABC76-2 Total,ABC76-3 Total,ABC221-1 Total,ABC221-2 Total,ABC221-3 Total,ABC199-1 Total,ABC199-2 Total,ABC199-3 Total,ABC208-1 Total,ABC208-2 Total,ABC208-3 Total,TSPY637-1 Total,TSPY637-2 Total,TSPY637-3 Total,TSPY767-1 Total,TSPY767-2 Total,TSPY767-3 Total
G8B36_00005,9596,11368,10114,9091,6157,10432,12180,7535,8105,9874,10055,7772,8956,6474,5773,3976,6691,5931,6378,7934,6051,5802,8866,3317
G8B36_00010,9415,11215,9872,9529,6314,11193,11045,7796,7702,9662,9689,7548,8555,6202,5283,3761,6281,5163,5790,7109,5107,5321,6818,2886
G8B36_00015,205,219,173,170,126,274,262,192,144,217,192,155,198,180,164,125,159,141,155,183,127,181,110,80
G8B36_00020,16645,17425,14909,19004,11947,23506,22098,14856,15088,18146,16815,14069,18658,16498,13473,9443,16469,13687,11852,16886,11255,13885,17232,6577
G8B36_00025,942,1077,919,1142,656,1153,1220,794,975,966,967,686,951,804,756,485,851,683,684,886,596,790,1021,362
G8B36_00030,9866,10150,8950,10940,6946,13719,11948,7835,8493,11208,9924,8167,9767,8397,7518,4836,8766,7027,6957,9570,6562,8431,9533,3732
G8B36_00035,783,1028,1011,1319,838,1586,1369,871,879,1017,885,648,1027,720,685,473,613,654,696,798,591,806,818,357
G8B36_00040,1190,1237,1043,1606,921,1773,1754,1077,1302,1332,1318,958,1231,899,850,628,995,857,910,1275,823,1016,1352,428
G8B36_00045,5573,6427,5466,7877,4995,9733,7606,5171,5586,6931,6104,5196,5999,4470,4024,2860,4754,4151,3957,5375,3763,4898,6328,2272
G8B36_00050,9700,9918,8500,12295,6996,13882,14527,9250,9991,8923,8897,7145,8123,6913,6041,4387,8130,6040,6036,7861,5618,6855,9706,3195
G8B36_00055,13086,13431,11554,12979,8327,15392,20795,13008,15100,10943,11247,8710,12872,9708,9214,6766,12091,9371,9677,12420,8884,9576,13638,5188
G8B36_00060,56198,61202,57854,62153,41009,75507,83646,57547,58945,52648,50269,39090,57704,43805,37981,28407,48088,42524,40420,48415,34743,42037,55517,20998
G8B36_00065,4309,5317,4485,4600,3544,6054,5803,4178,4059,5972,5406,4291,8004,6088,5212,3685,6344,5288,5867,7005,4693,5542,5949,2434
G8B36_00240,65,94,97,34,21,32,32,26,27,26,26,14,22,21,12,10,12,13,30,27,17,22,19,7
G8B36_00245,9523,12813,13475,21026,23248,30309,14548,12972,9989,18652,14458,12136,107615,80860,63530,45917,73195,70399,80528,87404,57646,75814,86910,33703
G8B36_00250,7915,10189,10067,9350,7187,13424,10913,8369,7311,9730,9101,6621,8239,6652,5245,3716,5082,5217,4379,5647,3880,5749,7628,2495
G8B36_00255,1326,1154,893,1274,576,1339,1819,1048,1207,1044,1166,877,1426,1387,1108,764,1529,962,1047,1534,880,1037,1375,495
G8B36_00260,8183,8888,7795,8236,5620,10006,12145,8068,8573,7863,8038,6104,11406,9345,8500,5416,9958,8304,7582,9903,6332,8074,11832,3534
G8B36_00265,192,224,302,283,213,301,334,206,242,198,206,134,284,191,190,111,213,175,157,212,153,154,265,70
G8B36_00270,589,726,605,533,391,551,835,633,565,1436,1313,1241,655,454,392,313,409,452,472,587,398,338,348,156
G8B36_00275,1249,1635,1426,1074,1029,1390,1985,1415,1453,3494,3364,2655,1818,1222,958,764,1056,1111,1358,1352,996,903,935,351
G8B36_00280,1262,1659,1488,1154,1041,1227,1998,1371,1582,3493,2983,2255,1659,1108,956,632,938,1155,1186,1184,956,829,959,344
G8B36_00285,757,1097,1062,709,760,921,1233,918,853,2366,1831,1435,1302,771,702,478,568,722,786,794,581,546,616,254
G8B36_00290,322,457,460,372,315,441,611,422,438,1003,813,685,591,400,248,221,324,340,362,387,303,237,381,92
G8B36_00295,1039,1285,1266,852,960,1211,1486,1163,1082,3068,2475,2122,1602,997,748,582,813,944,1049,1018,813,653,820,339
G8B36_00300,337,430,403,378,308,362,519,357,399,427,343,337,434,188,155,138,177,244,276,210,252,168,184,85
G8B36_00305,1487,2111,2016,1274,1405,1555,2653,1907,1976,2885,2578,2324,1751,1066,858,614,916,975,1093,1019,807,724,1132,263
G8B36_00310,374,498,517,332,362,381,619,447,531,866,751,646,435,280,223,173,216,286,304,266,239,227,301,94
G8B36_00315,1011,1415,1337,979,969,996,1797,1189,1375,2100,2088,1742,1199,728,649,476,671,774,783,769,605,620,829,228
G8B36_00320,6076,6520,5974,6494,4298,6692,9687,6177,7187,8616,8790,6948,6388,4889,4413,2779,5142,4131,4195,5454,3530,3977,5914,1819
G8B36_00325,3072,3411,2931,3069,2102,3452,4725,3021,3390,4410,4363,3395,3105,2495,2224,1531,2497,2059,2295,2801,1891,1995,2842,1004
G8B36_00330,4176,5005,4730,4079,3702,5647,5858,4370,4157,7181,6657,5064,5131,3554,3039,2132,3341,3309,3145,3951,2669,3134,3974,1486
G8B36_00335,1000,1194,1072,1285,888,1133,1813,1049,1218,1051,1119,964,827,489,393,315,558,416,550,627,457,386,667,185
G8B36_00340,12516,14140,11707,13752,10700,16305,17419,11072,13366,12969,11997,8841,16829,10589,11537,7666,13029,11121,12308,14521,11679,9920,15170,6718
G8B36_00345,1368,1759,1530,1492,1061,1705,2042,1475,1571,1473,1419,1160,2160,1642,1222,966,1578,1393,1411,1609,1194,1425,1746,647
G8B36_00350,3974,4923,4750,4265,2979,4317,6089,3623,4402,4149,4240,3052,5099,3494,3588,2273,3753,3470,3270,3736,2849,3149,6333,1764
G8B36_00355,14492,17243,15086,15014,9906,16477,20342,13385,14600,16393,15894,12807,18289,13544,11755,8489,14193,12485,12419,14805,10944,13124,16602,6106
G8B36_00360,4305,5242,4573,3119,2747,4270,3238,2338,2607,5333,5193,3692,6931,8955,8280,3101,5448,4718,5248,15055,5251,4344,5521,2518
G8B36_00365,1640,2105,1939,1385,985,1569,1409,973,1205,1762,1800,1202,2108,2498,2288,1114,2305,1493,1890,3387,1620,1237,2032,778
G8B36_00370,917,1192,1023,872,776,1143,1137,830,764,975,1049,730,1410,1069,910,740,1008,950,993,1051,810,1006,859,413
G8B36_00375,12665,13155,9919,16540,12929,24402,14385,12229,10500,20520,17573,14582,19446,17249,13347,9915,18921,12684,16670,22868,15871,16460,15648,8406
G8B36_00380,22280,25801,22636,29692,30736,49618,25440,23278,17655,38328,29786,24058,40199,31614,23945,16774,30063,23350,29827,36664,25259,28472,37366,13637
G8B36_00385,19605,20871,17233,30545,22738,39254,25654,20144,18430,32421,25948,19272,32481,27212,20333,14399,25225,18462,27645,31268,21748,24791,26110,11624
G8B36_00390,4944,5479,5507,9215,7506,10907,6606,4969,5237,8217,6504,5589,8968,6925,5709,3558,6834,4975,6717,8251,5641,6556,11973,3010
G8B36_00395,27936,32735,30054,44591,42722,60722,34700,29596,25573,48448,39367,31193,50915,40152,32563,19855,37081,28854,38699,48241,32962,38082,49817,17995
G8B36_00400,19714,19791,16454,30503,22550,34776,25132,16661,19027,30220,23948,21688,28180,23977,21276,11341,26901,18300,22008,32234,20838,23124,33535,12708
G8B36_00405,16015,18747,16757,22788,22562,34027,18169,14863,15763,27568,22413,16479,28619,19598,19568,10600,21601,15761,21842,29443,19952,20426,38331,11012
G8B36_00410,23642,27403,24688,37896,34739,49879,28796,23661,22372,40799,32732,26251,41391,32123,27755,16114,32278,24477,32227,39096,27653,31000,41886,14629
