,Mn1,Mn2,Mn3,nor1 (GSM4653916),nor2 (GSM4653917),nor3 (GSM4653918)
SSUSC84_RS00850,1999,1749,1863,1978,1697,1375
SSUSC84_RS05775,117,94,116,88,34,48
SSUSC84_RS01265,288,287,320,242,203,185
SSUSC84_RS00605,0,0,0,0,0,0
SSUSC84_RS09830,2424,2360,2453,2069,1449,954
SSUSC84_RS10200,917,898,947,748,500,446
SSUSC84_RS00170,0,0,0,0,0,0
SSUSC84_RS05590,2395,2223,2458,1885,1739,1471
SSUSC84_RS07025,3244,3042,3107,2896,2478,2125
SSUSC84_RS10610,24,40,25,19,18,8
SSUSC84_RS08575,6756,7389,6690,5872,6304,4006
SSUSC84_RS08485,9839,9133,7592,10186,8566,5596
SSUSC84_RS08415,590,672,635,540,552,443
SSUSC84_RS01400,6450,6593,7910,6170,5195,5405
SSUSC84_RS02355,1833,1642,1837,1680,1406,1362
SSUSC84_RS09155,1526,1923,1853,1351,1543,1200
SSUSC84_RS06460,4516,3842,4301,3833,2927,2809
SSUSC84_RS03530,9,3,10,2,3,3
SSUSC84_RS10620,126,128,126,97,111,87
SSUSC84_RS08460,69667,69171,66895,59817,47117,39120
SSUSC84_RS09945,7,3,5,1,7,1
SSUSC84_RS08745,0,0,0,0,0,0
SSUSC84_RS10010,8405,9297,10384,6067,7083,5873
SSUSC84_RS03095,343,397,348,468,387,286
SSUSC84_RS03775,147,129,138,161,138,78
SSUSC84_RS08075,156,121,137,146,145,112
SSUSC84_RS02430,1613,1986,1464,1642,2034,1042
SSUSC84_RS07425,742,954,1006,932,970,907
SSUSC84_RS00810,2,0,1,0,0,1
SSUSC84_RS05190,0,0,0,0,0,0
SSUSC84_RS01335,968,942,1048,819,803,636
SSUSC84_RS03115,2435,2258,2353,2336,1937,1799
SSUSC84_RS04795,248,207,180,109,74,52
SSUSC84_RS09730,20,20,14,16,11,6
SSUSC84_RS04710,8,5,10,7,4,4
SSUSC84_RS03035,2687,3173,4863,1307,1319,1908
SSUSC84_RS09765,12976,11909,13340,22970,18787,17295
SSUSC84_RS07295,3042,2974,3307,3808,3800,3005
SSUSC84_RS03275,302,323,369,232,205,170
SSUSC84_RS05360,78,75,68,43,49,46
SSUSC84_RS03600,1050,1062,1057,874,599,474
SSUSC84_RS10625,23,18,21,19,26,27
SSUSC84_RS09500,638,697,623,542,656,411
SSUSC84_RS03015,6062,5826,6526,4458,3889,3629
SSUSC84_RS02075,12691,12513,14324,11106,10871,8920
SSUSC84_RS03270,16,17,29,17,14,18
SSUSC84_RS07005,508,583,571,435,397,339
SSUSC84_RS06220,34,57,43,48,38,28
SSUSC84_RS02255,24,29,26,25,20,11
SSUSC84_RS04540,32,27,55,50,39,25
SSUSC84_RS05850,10311,9287,11141,9732,8594,8032
SSUSC84_RS02710,958,1044,1012,1171,1232,935
SSUSC84_RS06810,862,843,895,715,379,320
SSUSC84_RS08515,2658,2845,3270,2533,2665,2251
SSUSC84_RS08185,1843,2010,2154,1473,1151,998
SSUSC84_RS08505,548,674,499,875,970,595
SSUSC84_RS04765,2147,1797,1711,2606,2035,1521
SSUSC84_RS00340,0,0,1,0,0,0
SSUSC84_RS08595,456,518,494,535,573,446
SSUSC84_RS08825,901,1298,1083,951,1521,936
SSUSC84_RS03345,5434,5039,4824,4610,4425,3058
SSUSC84_RS09590,271,298,266,233,212,162
SSUSC84_RS09715,142,154,166,143,137,107
SSUSC84_RS03855,1508,1513,1698,1297,1311,1211
SSUSC84_RS04510,0,0,1,1,0,0
SSUSC84_RS05970,831,728,803,707,569,448
SSUSC84_RS04845,804,784,741,841,873,581
SSUSC84_RS05285,0,0,1,0,0,0
SSUSC84_RS09940,201,208,267,201,165,193
SSUSC84_RS04380,261,291,275,209,177,188
SSUSC84_RS04025,200,244,249,199,186,193
SSUSC84_RS02305,2625,2659,2859,1893,1233,1005
SSUSC84_RS00770,1103,1208,1194,888,810,696
SSUSC84_RS06715,63,85,84,50,54,46
SSUSC84_RS03960,3712,3617,3778,2645,2390,2109
SSUSC84_RS07375,211,230,235,223,209,148
SSUSC84_RS08355,465,376,351,496,397,274
SSUSC84_RS04245,626,595,730,653,582,530
SSUSC84_RS02545,8,12,9,15,11,12
SSUSC84_RS08540,442,428,549,331,332,328
SSUSC84_RS08585,1416,1555,1632,1684,1619,1387
SSUSC84_RS02050,972,999,1068,956,873,660
SSUSC84_RS01125,273,270,298,284,257,208
