geneID,NSC2,NSC3,SC2,Nmts1,mts1,mts3
SSUSC84_RS07100,878,992,1035,814,881,1067
SSUSC84_RS01790,6383,6702,7116,7041,5988,7056
SSUSC84_RS10340,6,5,7,9,9,9
SSUSC84_RS06225,2615,2857,2666,4048,2922,3899
SSUSC84_RS09475,484,686,420,271,462,401
SSUSC84_RS09050,93,95,138,90,97,105
SSUSC84_RS02235,6,14,2,15,12,13
SSUSC84_RS06675,625,529,832,593,531,732
SSUSC84_RS09815,1258,1808,460,398,2338,781
SSUSC84_RS09255,677,789,796,1210,1165,1672
SSUSC84_RS01335,393,366,414,750,562,757
sRNA00030,24,8,48,24,20,39
SSUSC84_RS09110,1085,1234,1306,898,1071,1217
SSUSC84_RS07670,3816,3690,4289,4513,3262,4433
SSUSC84_RS04490,245,224,255,329,225,352
SSUSC84_RS10390,10,4,2,3,12,6
SSUSC84_RS01050,8,7,6,3,3,10
SSUSC84_RS03780,229,197,390,251,301,383
SSUSC84_RS05965,2009,1966,3204,2129,1673,2642
SSUSC84_RS09410,1177,1564,1428,1549,2086,2042
SSUSC84_RS04680,12,13,10,10,5,3
SSUSC84_RS04530,169,167,174,171,129,96
SSUSC84_RS00255,246,252,365,196,190,253
SSUSC84_RS08430,69,69,102,43,80,97
SSUSC84_RS07225,56,78,61,26,82,59
SSUSC84_RS04655,12,17,11,10,15,13
SSUSC84_RS00915,209,237,291,178,146,268
SSUSC84_RS06145,339,225,193,258,175,164
SSUSC84_RS09290,11865,13041,8316,8751,9859,7520
SSUSC84_RS03210,1128,849,1072,1367,705,921
SSUSC84_RS10360,2,5,6,6,3,9
SSUSC84_RS00260,41,33,63,35,63,50
SSUSC84_RS09100,118,138,97,93,97,104
SSUSC84_RS10630,4612,6321,7261,5553,5752,8743
SSUSC84_RS05885,10,14,11,12,20,24
SSUSC84_RS06155,854,680,457,990,542,749
SSUSC84_RS02480,512,732,649,540,614,763
SSUSC84_RS10380,10162,8581,9824,14877,6920,10459
SSUSC84_RS04180,568,720,765,609,593,794
SSUSC84_RS05830,63,61,64,43,78,97
SSUSC84_RS05585,1388,1574,1841,2338,1623,2468
SSUSC84_RS02985,8672,8169,8422,12497,8578,12002
SSUSC84_RS02740,1358,1161,1870,1495,1264,1287
SSUSC84_RS01465,954,746,1628,1265,783,981
SSUSC84_RS01185,9,19,11,13,10,13
SSUSC84_RS01795,964,947,1113,750,703,742
SSUSC84_RS05285,0,0,2,0,0,0
SSUSC84_RS09820,27,71,24,22,66,32
SSUSC84_RS02375,12293,11583,14978,10533,10029,10213
SSUSC84_RS01700,0,0,0,0,0,0
SSUSC84_RS08685,1049,1235,1164,925,819,1071
SSUSC84_RS04355,35,30,50,34,21,10
