X,UA159_1count,UA159_2_count,UA159_3_count,X1995_1_count,X1995_2_count,X1995_3_count
SMU_01,2262,2727,2444,2201,2021,1810
SMU_02,3792,5177,5018,4814,4852,4565
SMU_05,88,69,84,90,67,66
SMU_06,9880,11372,10593,10196,8975,8761
SMU_07,766,959,871,715,577,504
SMU_08,3135,3784,3722,3259,2916,2679
SMU_09,847,823,873,759,568,670
SMU_10,358,340,322,310,310,301
SMU_100,277,413,309,289,256,211
SMU_1000,1,0,0,1,0,1
SMU_1001,19,27,16,23,15,19
SMU_1002,9463,11844,11696,10757,9388,8816
SMU_1003,5698,6619,6911,6855,7411,6550
SMU_1004,14673.5,16192.71,15952.48,16498.37,15617.57,12755.41
SMU_1005,236403.5,259250.29,259468.52,230298.63,237093.43,198810.59
SMU_1006,1081,1161,1273,1148,946,817
SMU_1007,1458,1936,1814,1764,1449,1361
SMU_1008,1296,1596,1509,1282,1229,1264
SMU_1009,2400,3309,3115,2756,2149,2333
SMU_101,747,770,709,539,533,401
SMU_1010,266,303,314,312,242,254
SMU_1011,301,296,314,311,282,266
SMU_1012c,119,117,123,133,143,95
SMU_1013c,253,298,362,400,428,457
SMU_1014,864,926,939,897,766,753
SMU_1016,687,667,666,646,622,558
SMU_1017,2307,3174,2924,2847,2818,2510
SMU_1018,1,2,1,2,7,6
SMU_1019,447,588,647,554,482,486
SMU_102,1660,1962,1762,1433,1276,1058
SMU_1020,1825,2401,2496,2182,2256,1957
SMU_1021,3749,5154,5195,4628,4541,4054
SMU_1022,871,1262,1339,1211,1188,996
SMU_1023,3604,4497,4760,4451,4606,4134
SMU_1024c,0,0,0,0,0,0
SMU_1025,74,99,122,92,77,82
SMU_1026,84,102,71,77,81,75
SMU_1027,31,43,34,29,32,41
SMU_1028,761,900,788,740,684,644
SMU_1029,0,0,1,0,0,0
SMU_103,703,897,745,694,510,493
SMU_1030,0,0,0,0,0,0
SMU_1031,0,0,0,0,0,0
SMU_1032,775,830,961,921,787,803
SMU_1034c,981,1022,1088,1134,1097,952
SMU_1035,197,201,224,216,206,160
SMU_1036,39,43,45,54,68,53
SMU_1037c,2401,2515,2575,2576,2143,2317
SMU_1038c,2914,2775,3369,3111,2545,2517
SMU_1039c,2185,2451,2369,2190,1934,2194
SMU_104,4827,5962,5454,4516,4238,3647
SMU_1040c,4458,4804,5230,4595,4294,4514
SMU_1041,2550,3004,3009,2680,2441,2199
SMU_1042,1410,2162,1955,1952,1800,1896
SMU_1043c,19638,22113,22590,22683,25058,20499
SMU_1044c,2263,2833,2999,2670,2489,2388
SMU_1045c,1933,2665,3010,2450,2107,1959
SMU_1046c,4296,5111,5461,4514,3631,3483
SMU_1047c,15188,14842,12898,14217,16656,15795
SMU_1048,1263,1540,1424,1319,1101,1242
SMU_105,8589.82,10795.67,11094.25,10519.69,10484.07,9521.7
SMU_1050,10797,12387,13560,12291,11627,10332
SMU_1051,5045,6399,6281,5611,4902,4742
SMU_1052,807,1161,1073,908,788,802
SMU_1053,1127,1429,1564,1342,1263,1337
SMU_1054,1825,2212,2260,2123,2141,1883
SMU_1055,1007,1166,1342,979,821,864
SMU_1056,116,175,231,178,161,186
SMU_1057,399,610,549,521,551,602
SMU_1058,4273,4017,4181,3673,3348,3274
SMU_1059,1539,2368,1815,1445,1375,1298
SMU_1060,14381,16702,18766,15683,15049,12958
SMU_1061,1067,1585,1437,1214,1034,1190
SMU_1062,21498,26779,28716,19866,18645,16142
SMU_1063,15068,20089,22019,13739,12377,11005
SMU_1064c,516,671,598,527,569,584
SMU_1065c,1837,1939,1903,1674,1681,1534
SMU_1066,34412,40047,41389,41007,53076,43799
SMU_1067c,1502,2001,2366,1956,2005,1929
SMU_1068c,2502,2837,3371,2896,2671,2541
SMU_1069c,246,337,366,300,259,289
SMU_106c,4791.74,5929.57,7287.33,5941.6,5437.67,4467.64
SMU_107,0,2,0,0,0,0
SMU_1070c,742,1108,993,759,825,773
SMU_1071c,1241,1465,1560,1614,1568,1733
SMU_1072c,125,178,170,134,165,164
SMU_1073,9650,11815,13331,12710,14892,15256
SMU_1074,2437,2664,2810,2130,1905,1846
SMU_1075,2629,2891,2904,2589,2379,2095
SMU_1076,6038,6082,5546,6448,7302,6306
SMU_1077,124042,154055,152200,159455,166319,139806
SMU_1078c,7750,8738,9020,8769,7834,6936
SMU_1079c,7703,8814,9268,8586,7310,6383
SMU_108,42,56,53,34,19,20
SMU_1080c,4881,4446,4527,4058,3387,3125
SMU_1081c,7356,8844,8173,7640,6303,5881
SMU_1082,15103,13595,15367,14058,12308,9838
SMU_1083c,8166,7944,7989,7414,6417,5854
SMU_1084,6749,7621,7699,6977,6368,5363
SMU_1085,7883,8405,9186,7810,7390,5944
SMU_1086,4674,6072,5750,5215,4689,4359
SMU_1087,532,733,711,635,621,602
SMU_1088,20525,26166,24273,23834,23677,20683
SMU_1089,11558,14530,12663,11982,10525,9943
SMU_109,467,447,495,445,411,389
SMU_1090,32226,38676,37730,36944,38496,31635
SMU_1091,6423,7218,7567,5914,5902,5449
SMU_1093,34,49,67,46,39,34
SMU_1094,0,11,9,13,7,14
SMU_1095,4795,6195,6575,5708,5506,5546
SMU_1096,3097,4136,4386,3734,3725,3610
SMU_1097c,844,1009,945,822,811,901
SMU_1098c,3802,4682,5197,4423,4560,4360
SMU_11,3,3,4,0,2,0
SMU_110,366,516,415,384,348,451
SMU_1100c,4445,5477,5823,6025,6994,6629
SMU_1102,2505,3538,3552,3575,3715,3637
SMU_1104c,712,861,945,919,908,769
SMU_1105c,1059,1127,1304,1267,1155,1113
SMU_1106c,838,964,1006,957,886,763
SMU_1107c,665,953,1035,798,646,679
SMU_1108c,1051,1313,1345,1231,1118,1138
SMU_1109c,6600,7624,7990,8523,9806,7987
SMU_1111c,1281,2023,1750,1659,1421,1508
SMU_1112c,1567,2080,2052,1750,1650,1431
SMU_1113,5248,6498,6090,6125,5903,5027
SMU_1114,21329,25003,26681,25678,27099,22532
SMU_1115,77322,93610,97940,98656,115587,102982
SMU_1116c,13983,18916,15641,16872,11702,15767
SMU_1117,20878,27773,27137,27574,20557,25123
SMU_1118c,8083,11403,11030,11482,13409,11635
SMU_1119c,6445,8688,8846,9047,10327,8419
SMU_1120,19015,21228,20520,20476,19994,15942
SMU_1121c,23720,31080,31156,29927,28473,23334
SMU_1122,3004,3279,2961,2906,2615,2401
SMU_1123,3693,5169,4969,4628,4477,4018
SMU_1124,4613,5099,5361,4668,4736,3872
SMU_1125c,1536,2080,2076,1942,1767,1731
SMU_1126,917,1171,1001,905,734,874
SMU_1127,3630,7036,6406,5965,7225,6949
SMU_1128,2926,3688,3312,3014,2658,2459
SMU_1129,1108,1309,1239,1044,988,967
SMU_112c,850,1065,977,906,843,924
SMU_113,124,161,140,131,145,101
SMU_1131c,203,321,430,281,212,213
SMU_1132,32750,43225,42954,41442,39750,37174
SMU_1133,1919,2226,2317,1735,1535,1565
SMU_1134c,2615,3445,3416,2942,2636,2405
SMU_1135,3748,3992,4238,3606,3055,2575
SMU_1136,6062,6990,7807,7082,6745,5404
SMU_1137,8010,9086,9337,8507,8301,7178
SMU_1138,5478,6956,7273,6932,6685,5718
SMU_1139c,4214,4752,4533,3934,3597,3185
SMU_114,453,447,446,497,529,392
SMU_1140c,3181,3971,4144,3834,3295,3145
SMU_1141c,343,413,513,434,393,321
SMU_1142c,3399,4935,4404,4606,5141,5411
SMU_1143c,5295,5909,5484,5386,5161,4776
SMU_1144,3872,4665,5106,4570,4990,4044
SMU_1145c,760,1034,960,887,851,790
SMU_1146c,287,368,358,359,298,314
SMU_1147c,446,473,548,535,440,378
SMU_1148,8,7,13,16,6,8
SMU_1149,9,15,10,16,12,10
SMU_115,44,46,83,68,61,68
SMU_1150,10,30,19,26,19,27
SMU_1151c,7060,7649,8215,8491,9242,8395
SMU_1152c,192,241,297,276,323,332
SMU_1153c,1580,1834,1885,1846,1571,1589
SMU_1154c,456,421,473,464,486,337
SMU_1155,6,4,13,6,3,4
SMU_1156c,389,331,444,396,361,368
SMU_1157c,1074,1186,1271,1195,959,1065
SMU_1158c,2265,1659,2139,1909,1500,1425
SMU_1159c,302,201,276,221,182,193
SMU_116,183,292,266,312,280,245
SMU_1160c,631,597,538,496,398,461
SMU_1161c,197,158,276,206,162,186
SMU_1163c,4017,4681,4875,5172,5810,4961
SMU_1164c,3089,3521,3614,3959,4496,3648
SMU_1165c,352,560,492,577,577,546
SMU_1166c,853,999,948,1018,896,852
SMU_1167c,198,225,246,260,245,215
SMU_1168,376,536,486,556,593,572
SMU_1169c,1823,2245,2109,2090,1685,1621
SMU_1170,1067,1157,1276,1121,887,954
SMU_1171c,1348,1749,1782,1552,1546,1318
SMU_1172c,4469,5479,5420,5340,5184,4940
SMU_1173,7209,8514,8950,8786,8896,7560
SMU_1174,14526,16189,16427,16627,16604,14037
SMU_1175,179,250,232,269,342,234
SMU_1176,5163,5253,5826,6169,5946,5175
SMU_1177c,5033,6007,6028,5539,5310,4550
SMU_1178c,2941,4047,3882,3668,3501,3118
SMU_1179c,6077,7489,7552,7558,7047,5647
SMU_117c,881,929,896,1037,1001,963
SMU_1180,2030,2208,2027,1995,1767,1738
SMU_1182,2105,2836,2563,2350,2319,1951
SMU_1183,1006,1168,1031,976,874,736
SMU_1184c,2980,3697,2908,2882,2441,1917
SMU_1185,2577,2843,2190,2486,2557,1497
SMU_1187,34809,40238,34151,31711,32543,19998
SMU_1188,1891,3159,2653,2650,2619,3187
SMU_1189c,425,616,604,494,501,496
SMU_118c,3607,4262,3880,4286,4993,4721
SMU_119,3023,3435,3382,3326,4098,3669
SMU_1190,63050,76480,82211,73397,74530,63254
SMU_1191,37914,43708,48279,41983,46880,40070
SMU_1192,7627,10727,10907,10214,9488,9150
SMU_1193,1042,1071,1029,1016,938,745
SMU_1194,1008,1172,1158,1183,964,983
SMU_1195,1036,1347,1204,1412,1100,1009
SMU_1196c,216934,239890,231956,241399,315128,287070
SMU_1197,1597,2061,1905,1926,1950,1823
SMU_12,2397,2691,3239,2771,2516,2401
SMU_120,645,1074,970,881,1112,1155
SMU_1200,101880,130222,135174,124835,148542,136305
SMU_1201c,327,503,489,423,415,456
SMU_1203,17008,17755,20572,21292,27740,21921
SMU_1204,18822,20996,22509,19865,20466,17466
SMU_1205c,375,693,510,450,392,490
SMU_1206c,1194,1838,1639,1314,1058,1178
