,WT_THY_A,WT_THY_B,WT_THY_C,DhsdM_THY_A,DhsdM_THY_B,DhsdM_THY_C
AS_GENE_+_M5005_Spy0015_AS,12,10,3,28,10,13
AS_GENE_+_M5005_Spy0016_AS,0,1,1,2,0,3
AS_GENE_+_M5005_Spy0028_AS,7,9,6,6,11,10
AS_GENE_+_M5005_Spy0072_AS,14,14,7,25,4,11
AS_GENE_+_M5005_Spy0080_AS,1,1,0,0,0,1
AS_GENE_+_M5005_Spy0081_AS,0,4,0,2,2,1
AS_GENE_+_M5005_Spy0096_AS,2,4,2,1,2,3
AS_GENE_+_M5005_Spy0097_AS,6,9,4,6,8,3
AS_GENE_+_M5005_Spy0098_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0103_AS,0,2,1,0,0,0
AS_GENE_+_M5005_Spy0104_AS,0,0,1,0,3,1
AS_GENE_+_M5005_Spy0105_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy0106_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0112_AS,1,4,1,2,7,7
AS_GENE_+_M5005_Spy0113_AS,0,1,0,0,0,1
AS_GENE_+_M5005_Spy0115_AS,0,0,1,0,1,1
AS_GENE_+_M5005_Spy0117_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0118_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0122_AS,0,0,0,0,0,2
AS_GENE_+_M5005_Spy0134_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0135_AS,1,2,2,2,0,0
AS_GENE_+_M5005_Spy0143_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0144_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0145_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0165_AS,2,4,0,2,1,1
AS_GENE_+_M5005_Spy0166_AS,1,1,1,1,0,1
AS_GENE_+_M5005_Spy0167_AS,1,0,0,1,1,3
AS_GENE_+_M5005_Spy0168_AS,0,0,0,1,0,1
AS_GENE_+_M5005_Spy0169_AS,0,1,1,0,2,2
AS_GENE_+_M5005_Spy0171_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0172_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0173_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0180_AS,1,3,2,5,2,6
AS_GENE_+_M5005_Spy0186_AS,8,11,14,11,15,18
AS_GENE_+_M5005_Spy0192_AS,0,0,0,0,1,1
AS_GENE_+_M5005_Spy0193_AS,0,0,1,1,0,0
AS_GENE_+_M5005_Spy0194_AS,1,1,1,0,1,0
AS_GENE_+_M5005_Spy0219_AS,1,3,0,1,3,0
AS_GENE_+_M5005_Spy0234_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0235_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0236_AS,0,1,1,0,1,2
AS_GENE_+_M5005_Spy0247_AS,4,3,4,3,3,2
AS_GENE_+_M5005_Spy0248_AS,13,28,4,9,17,20
AS_GENE_+_M5005_Spy0254_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0255_AS,22,21,4,20,8,7
AS_GENE_+_M5005_Spy0274_AS,6,9,0,12,3,4
AS_GENE_+_M5005_Spy0276_AS,0,1,0,0,1,0
AS_GENE_+_M5005_Spy0277_AS,0,2,2,0,1,3
AS_GENE_+_M5005_Spy0278_AS,1,5,4,1,2,1
AS_GENE_+_M5005_Spy0294_AS,0,0,1,0,0,1
AS_GENE_+_M5005_Spy0295_AS,2,1,1,0,0,4
AS_GENE_+_M5005_Spy0296_AS,0,1,1,1,1,1
AS_GENE_+_M5005_Spy0297_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0298_AS,0,1,0,0,1,2
AS_GENE_+_M5005_Spy0321_AS,2,6,1,1,5,2
AS_GENE_+_M5005_Spy0322_AS,12,16,5,6,11,10
