,WT_Cu1,WT_Cu2,WT_Cu3,WT_Cu4
CHF17_RS00005,17306,13849,14299,11333
CHF17_RS00010,16064,14776,15354,15039
CHF17_RS00015,3605,2925,2864,2470
CHF17_RS00020,944,736,740,637
CHF17_RS00025,560,393,458,367
CHF17_RS00030,20813,18962,21859,16332
CHF17_RS00035,773,744,702,701
CHF17_RS00040,5549,5429,6028,5158
CHF17_RS00045,64,80,66,102
CHF17_RS00050,1020,1076,1399,910
CHF17_RS00055,1797,1954,2374,1770
CHF17_RS00060,812,838,1067,783
CHF17_RS00065,6040,6653,8113,6620
CHF17_RS00070,2858,3186,3828,3386
CHF17_RS00075,11253,10442,11347,11080
CHF17_RS00080,54868,52337,59816,54643
CHF17_RS00085,3465,2934,5553,1827
CHF17_RS00090,4,5,13,7
CHF17_RS00095,751,654,1638,1049
CHF17_RS00100,4,6,17,10
CHF17_RS00105,150,127,179,59
CHF17_RS00110,276,234,317,137
CHF17_RS00115,334,278,380,188
CHF17_RS00120,396,335,423,245
CHF17_RS00125,177,133,184,144
CHF17_RS00130,117,83,108,91
CHF17_RS00135,101,61,86,84
CHF17_RS00140,75,48,61,57
CHF17_RS00145,74,41,57,47
CHF17_RS00150,3119,2750,5270,1729
CHF17_RS00155,4,5,13,7
CHF17_RS00160,751,654,1638,1049
CHF17_RS00165,4,6,17,10
CHF17_RS00170,150,127,179,59
CHF17_RS00175,276,234,317,137
CHF17_RS00180,334,278,380,188
CHF17_RS00185,396,335,423,245
CHF17_RS00190,177,133,184,144
CHF17_RS00195,117,83,108,91
CHF17_RS00200,101,61,86,84
CHF17_RS00205,75,48,61,57
CHF17_RS00210,67,40,53,50
CHF17_RS00215,59,36,45,45
CHF17_RS00220,51,25,47,37
CHF17_RS00225,89,43,78,64
CHF17_RS00230,85,40,71,62
CHF17_RS00235,104,54,88,94
CHF17_RS00240,85,52,83,98
CHF17_RS00245,86,60,100,102
CHF17_RS00250,90,60,105,85
CHF17_RS00255,210723,230987,275743,201904
CHF17_RS00260,66831,57684,56026,51463
CHF17_RS00265,12361,11368,11141,9475
CHF17_RS00270,5413,5271,5496,4733
CHF17_RS00275,446,461,461,440
CHF17_RS00280,19222,18445,20749,13824
CHF17_RS00285,6351,6109,6960,4855
CHF17_RS00290,22297,11484,8614,3835
CHF17_RS00295,118828,59139,38626,24779
CHF17_RS00300,33263,15927,9437,8538
CHF17_RS00305,23531,11109,6395,4897
CHF17_RS00310,9670,4928,2640,2084
CHF17_RS00315,18826,9963,5579,4380
CHF17_RS00320,63869,35435,19821,10647
CHF17_RS00325,781,708,483,390
CHF17_RS00330,15548,16749,20116,15577
CHF17_RS00335,16,15,13,9
CHF17_RS00340,45,31,35,47
CHF17_RS00345,23,19,27,22
CHF17_RS00350,36,37,27,45
CHF17_RS00355,15,10,13,16
CHF17_RS00360,35,44,34,38
CHF17_RS00365,47,36,58,55
CHF17_RS00370,47,34,43,54
CHF17_RS00375,63,77,82,84
CHF17_RS00380,1393,1412,1617,1362
CHF17_RS00385,1782,913,763,1015
CHF17_RS00390,458,256,192,317
