,copY_Ctrl1,copY_Ctrl2,copY_Ctrl3,copY_Ctrl4
CHF17_RS00005,25879,32942,24591,11506
CHF17_RS00010,38304,41836,32422,18318
CHF17_RS00015,5120,4938,4851,2458
CHF17_RS00020,1148,1069,1117,637
CHF17_RS00025,596,618,686,320
CHF17_RS00030,36483,27272,33664,12292
CHF17_RS00035,1681,1140,1706,620
CHF17_RS00040,14580,8911,16130,4593
CHF17_RS00045,279,133,343,105
CHF17_RS00050,1287,1094,1215,468
CHF17_RS00055,2510,2002,2364,857
CHF17_RS00060,1422,1116,1412,444
CHF17_RS00065,12331,9930,11388,4469
CHF17_RS00070,6973,5542,8156,2395
CHF17_RS00075,11327,11983,14298,7216
CHF17_RS00080,66946,64924,72709,36611
CHF17_RS00085,5268,2066,5956,8047
CHF17_RS00090,6,2,4,79
CHF17_RS00095,1490,343,739,9314
CHF17_RS00100,7,2,3,157
CHF17_RS00105,95,38,85,15
CHF17_RS00110,211,92,195,40
CHF17_RS00115,321,167,290,70
CHF17_RS00120,499,289,422,117
CHF17_RS00125,321,224,263,90
CHF17_RS00130,173,115,116,53
CHF17_RS00135,101,102,77,40
CHF17_RS00140,74,73,56,25
CHF17_RS00145,92,75,66,23
CHF17_RS00150,4878,1918,5486,7967
CHF17_RS00155,6,2,4,79
CHF17_RS00160,1490,343,739,9314
CHF17_RS00165,7,2,3,157
CHF17_RS00170,95,38,85,15
CHF17_RS00175,211,92,195,40
CHF17_RS00180,321,167,290,70
CHF17_RS00185,499,289,422,117
CHF17_RS00190,321,224,263,90
CHF17_RS00195,173,115,116,53
CHF17_RS00200,101,102,77,40
CHF17_RS00205,74,73,56,25
CHF17_RS00210,68,64,52,21
CHF17_RS00215,64,49,40,16
CHF17_RS00220,60,50,39,14
CHF17_RS00225,93,78,62,22
CHF17_RS00230,95,78,60,23
CHF17_RS00235,116,97,75,35
CHF17_RS00240,118,112,79,36
CHF17_RS00245,123,139,98,38
CHF17_RS00250,135,149,110,32
CHF17_RS00255,252775,202471,203768,127333
CHF17_RS00260,49050,58429,41678,42397
CHF17_RS00265,12270,13179,10130,7754
CHF17_RS00270,7549,7048,7221,3576
CHF17_RS00275,759,680,719,371
CHF17_RS00280,13465,17859,11911,8194
CHF17_RS00285,4507,6371,4467,2815
CHF17_RS00290,1867,5678,1351,8043
CHF17_RS00295,9012,30434,7473,55660
CHF17_RS00300,3770,9735,3770,17193
CHF17_RS00305,2415,5792,2753,10392
CHF17_RS00310,1463,3010,1395,5798
CHF17_RS00315,3808,6871,3817,11458
CHF17_RS00320,12529,19814,9809,26788
CHF17_RS00325,358,401,398,452
CHF17_RS00330,12778,14118,11605,8399
CHF17_RS00335,14,29,22,9
CHF17_RS00340,54,62,58,18
CHF17_RS00345,25,24,34,9
CHF17_RS00350,35,36,45,12
CHF17_RS00355,11,10,9,10
CHF17_RS00360,28,36,26,18
CHF17_RS00365,58,65,76,26
CHF17_RS00370,36,43,67,19
CHF17_RS00375,81,103,133,32
CHF17_RS00380,1681,1877,1599,1109
CHF17_RS00385,492,1574,324,1410
CHF17_RS00390,161,336,130,501
CHF17_RS00395,643,889,532,1836
CHF17_RS00400,4273,4941,4825,3451
CHF17_RS00405,4387,4789,5210,2835
CHF17_RS00410,15788,18325,12280,12178
CHF17_RS00415,5851,6263,6958,2963
CHF17_RS00420,15121,15972,13928,7410
CHF17_RS00425,4826,7596,4404,3795
CHF17_RS00430,6805,9681,6025,4277
CHF17_RS00435,37221,42972,33204,23191
CHF17_RS00440,86521,83199,103861,54819
CHF17_RS00445,747,484,547,297
CHF17_RS00450,9561,11977,8461,5560
CHF17_RS00455,11001,12942,10012,5626
CHF17_RS00460,20123,18390,28519,8304
CHF17_RS00465,90302,73363,123523,40668
CHF17_RS00470,67588,58614,96310,34612
CHF17_RS00475,29664,25935,45791,15726
CHF17_RS00480,61809,57132,101045,42580
CHF17_RS00485,17183,14574,31484,13092
CHF17_RS00490,21498,18484,39867,16139
CHF17_RS00495,47024,42661,76562,35664
CHF17_RS00500,33154,30556,49899,25749
CHF17_RS00505,11008,8948,17899,8415
CHF17_RS00510,19498,17171,31096,14942
CHF17_RS00515,25548,21639,40505,20511
CHF17_RS00520,27514,24469,45663,22805
CHF17_RS00525,41132,38464,62643,32447
CHF17_RS00530,20984,19893,28625,13729
CHF17_RS00535,38751,37356,63050,22878
CHF17_RS00540,56042,57019,90753,34554
CHF17_RS00545,30013,33999,51681,17112
CHF17_RS00550,53635,54930,77365,28120
CHF17_RS00555,24764,26895,36604,13701
CHF17_RS00560,77817,84395,109775,39659
CHF17_RS00565,293140,297135,394022,130709
CHF17_RS00570,34139,23593,37000,9233
CHF17_RS00575,36915,26916,47646,8220
CHF17_RS00580,42583,30445,55339,9880
CHF17_RS00585,129314,87816,157528,37407
CHF17_RS00590,145686,100940,161273,44878
CHF17_RS00595,363720,243398,371021,112573
CHF17_RS00600,164075,107704,176060,41779
CHF17_RS00605,5268,2066,5956,8047
CHF17_RS00610,6,2,4,79
CHF17_RS00615,1487,342,737,9237
CHF17_RS00620,7,2,3,157
CHF17_RS00625,73,28,62,11
CHF17_RS00630,189,83,154,34
CHF17_RS00635,333,179,266,66
CHF17_RS00640,297,176,221,65
CHF17_RS00645,274,183,191,61
CHF17_RS00650,174,115,108,38
CHF17_RS00655,184,130,125,51
CHF17_RS00660,226,167,169,69
CHF17_RS00665,242,163,177,73
CHF17_RS00670,340,213,258,98
CHF17_RS00675,511,339,406,155
CHF17_RS00680,574,395,459,187
CHF17_RS00685,130,166,146,65
CHF17_RS00690,175,234,216,104
CHF17_RS00695,242,301,279,152
CHF17_RS00700,337,319,454,115
CHF17_RS00705,554,696,627,311
CHF17_RS00710,1043,967,1187,503
CHF17_RS00715,7688,8396,6908,5506
CHF17_RS00720,3681,3064,4010,2348
CHF17_RS00725,14539,12453,14440,8711
CHF17_RS00730,6560,6642,8770,2643
CHF17_RS00735,1741,1807,1646,895
CHF17_RS00740,14200,14379,12726,7640
CHF17_RS00745,2473,3348,2300,2053
CHF17_RS00750,460,360,431,278
CHF17_RS00755,626,614,743,380
CHF17_RS00760,4415,4494,4424,2920
CHF17_RS00765,1076,1012,1120,661
CHF17_RS00770,458,409,535,182
CHF17_RS00775,1304,1389,1451,646
CHF17_RS00780,628,572,711,313
CHF17_RS00785,11697,13091,10165,8401
CHF17_RS00790,287,178,235,133
CHF17_RS00795,80,77,97,39
CHF17_RS00800,210,285,352,177
CHF17_RS00805,328,325,546,196
CHF17_RS00810,65,68,113,31
CHF17_RS00815,74,75,165,40
CHF17_RS00820,44,41,98,24
CHF17_RS00825,59,61,115,31
CHF17_RS00830,202,229,361,141
CHF17_RS00835,273,303,407,167
CHF17_RS00840,73,83,99,50
CHF17_RS00845,160,155,255,103
CHF17_RS00850,140,136,208,100
CHF17_RS00855,128,133,171,86
CHF17_RS00860,192,153,233,85
CHF17_RS00865,298,289,384,142
CHF17_RS00870,150,141,182,77
CHF17_RS00875,1133,1069,1158,507
CHF17_RS00880,161,151,204,62
CHF17_RS00885,4719,7206,4536,3019
