,copY_Cu1,copY_Cu2,copY_Cu3,copY_Cu4
CHF17_RS00005,20451,18472,25559,15429
CHF17_RS00010,29326,26825,39755,23057
CHF17_RS00015,4693,4129,5079,3620
CHF17_RS00020,1301,969,1263,941
CHF17_RS00025,880,505,628,489
CHF17_RS00030,23101,25027,28917,13142
CHF17_RS00035,943,1415,1705,683
CHF17_RS00040,6045,13835,16644,5691
CHF17_RS00045,155,273,393,119
CHF17_RS00050,936,1364,1292,615
CHF17_RS00055,1915,2579,2582,1215
CHF17_RS00060,1063,1460,1587,706
CHF17_RS00065,10850,14939,16183,7069
CHF17_RS00070,5409,9598,11552,3626
CHF17_RS00075,9143,11025,13719,9004
CHF17_RS00080,34633,63197,76518,41211
CHF17_RS00085,2243,4959,3465,1125
CHF17_RS00090,4,10,8,2
CHF17_RS00095,1535,888,555,313
CHF17_RS00100,8,9,5,1
CHF17_RS00105,16,75,47,12
CHF17_RS00110,45,177,135,35
CHF17_RS00115,89,264,244,68
CHF17_RS00120,168,409,415,119
CHF17_RS00125,133,256,302,92
CHF17_RS00130,73,133,149,47
CHF17_RS00135,59,79,100,34
CHF17_RS00140,45,55,70,27
CHF17_RS00145,47,60,80,29
CHF17_RS00150,2108,4637,3227,1002
CHF17_RS00155,4,10,8,2
CHF17_RS00160,1535,888,555,313
CHF17_RS00165,8,9,5,1
CHF17_RS00170,16,75,47,12
CHF17_RS00175,45,177,135,35
CHF17_RS00180,89,264,244,68
CHF17_RS00185,168,409,415,119
CHF17_RS00190,133,256,302,92
CHF17_RS00195,73,133,149,47
CHF17_RS00200,59,79,100,34
CHF17_RS00205,45,55,70,27
CHF17_RS00210,41,51,63,26
CHF17_RS00215,33,46,56,21
CHF17_RS00220,30,43,59,16
CHF17_RS00225,49,67,90,25
CHF17_RS00230,48,56,77,20
CHF17_RS00235,55,66,87,31
CHF17_RS00240,49,66,84,34
CHF17_RS00245,53,86,103,44
CHF17_RS00250,64,99,121,41
CHF17_RS00255,259686,340150,326618,171526
CHF17_RS00260,79764,46653,49201,46698
CHF17_RS00265,13197,9292,11018,9471
CHF17_RS00270,6747,5374,6898,4815
CHF17_RS00275,715,558,732,523
CHF17_RS00280,18025,10957,10269,8923
CHF17_RS00285,6298,3943,3883,3155
CHF17_RS00290,4137,1963,2908,7110
CHF17_RS00295,11154,11071,18689,47307
CHF17_RS00300,3680,4626,7198,18243
CHF17_RS00305,2290,2844,4008,9749
CHF17_RS00310,1142,1622,2586,5210
CHF17_RS00315,2519,4599,6651,11320
CHF17_RS00320,8072,12181,15833,23756
CHF17_RS00325,211,794,697,380
CHF17_RS00330,16321,17091,18221,11236
CHF17_RS00335,12,18,27,17
CHF17_RS00340,54,71,72,53
CHF17_RS00345,21,43,40,25
CHF17_RS00350,30,51,49,23
CHF17_RS00355,12,19,17,11
CHF17_RS00360,30,36,41,26
CHF17_RS00365,42,67,74,46
CHF17_RS00370,24,43,42,16
CHF17_RS00375,60,109,126,62
CHF17_RS00380,1783,1820,1914,1131
CHF17_RS00385,324,555,788,1265
CHF17_RS00390,94,203,280,481
CHF17_RS00395,314,763,959,1701
CHF17_RS00400,3363,3983,5462,4338
CHF17_RS00405,3950,4303,6911,4406
CHF17_RS00410,11998,12450,14446,10894
CHF17_RS00415,4845,3629,4524,3469
CHF17_RS00420,9573,10618,12588,7673
CHF17_RS00425,4488,4211,4539,3798
CHF17_RS00430,7508,5859,6780,5848
CHF17_RS00435,36133,32810,38268,26502
CHF17_RS00440,53509,72726,114279,44533
CHF17_RS00445,371,539,523,205
CHF17_RS00450,12956,7742,9229,7928
CHF17_RS00455,10407,8277,10161,7304
CHF17_RS00460,6087,22879,21841,7404
CHF17_RS00465,36447,109660,133295,46642
CHF17_RS00470,23592,88593,107482,37599
CHF17_RS00475,10294,38975,49304,19716
CHF17_RS00480,23482,84501,106778,53149
CHF17_RS00485,7614,23953,29739,17513
CHF17_RS00490,9634,28804,35637,20745
CHF17_RS00495,23419,62659,78724,49530
CHF17_RS00500,14957,40353,45905,33908
CHF17_RS00505,4203,11122,12265,9213
CHF17_RS00510,9788,22420,30410,21869
CHF17_RS00515,12477,29520,37990,28924
CHF17_RS00520,13631,36005,44279,31955
CHF17_RS00525,17317,48294,60541,39779
CHF17_RS00530,9208,24861,32664,19577
CHF17_RS00535,17227,47625,60065,30466
CHF17_RS00540,23095,70596,86870,43104
CHF17_RS00545,9094,35419,38722,19357
CHF17_RS00550,16567,56017,60462,29339
CHF17_RS00555,7376,28142,27836,12958
CHF17_RS00560,25970,87915,94218,44548
CHF17_RS00565,140671,334869,425480,169655
CHF17_RS00570,10319,28338,32912,10241
CHF17_RS00575,12684,31462,38441,10782
CHF17_RS00580,15650,32417,37265,11650
