,covR_Ctrl1,covR_Ctrl2,covR_Ctrl3,covR_Ctrl4
CHF17_RS00005,11742,18739,9188,9306
CHF17_RS00010,14378,18936,9819,13433
CHF17_RS00015,2918,3030,2367,2863
CHF17_RS00020,852,745,678,779
CHF17_RS00025,554,450,398,438
CHF17_RS00030,27410,16338,19232,19273
CHF17_RS00035,624,845,544,903
CHF17_RS00040,6096,7825,6484,8462
CHF17_RS00045,92,118,63,177
CHF17_RS00050,2164,1215,1529,1332
CHF17_RS00055,3598,2289,2445,2544
CHF17_RS00060,1635,1164,1105,1184
CHF17_RS00065,11248,8547,8573,9766
CHF17_RS00070,5793,5513,4922,6433
CHF17_RS00075,17355,16306,15982,19630
CHF17_RS00080,65892,73654,79643,79783
CHF17_RS00085,4658,2553,4306,4046
CHF17_RS00090,9,7,8,16
CHF17_RS00095,2034,500,1362,1124
CHF17_RS00100,12,5,6,7
CHF17_RS00105,382,87,244,254
CHF17_RS00110,720,172,463,564
CHF17_RS00115,908,231,613,776
CHF17_RS00120,1012,293,708,962
CHF17_RS00125,517,171,405,546
CHF17_RS00130,233,111,185,296
CHF17_RS00135,167,115,153,262
CHF17_RS00140,127,86,110,185
CHF17_RS00145,146,84,115,172
CHF17_RS00150,4413,2502,4190,3934
CHF17_RS00155,9,7,8,16
CHF17_RS00160,2034,500,1362,1124
CHF17_RS00165,12,5,6,7
CHF17_RS00170,382,87,244,254
CHF17_RS00175,720,172,463,564
CHF17_RS00180,908,231,613,776
CHF17_RS00185,1012,293,708,962
CHF17_RS00190,517,171,405,546
CHF17_RS00195,233,111,185,296
CHF17_RS00200,167,115,153,262
CHF17_RS00205,127,86,110,185
CHF17_RS00210,112,69,93,156
CHF17_RS00215,105,57,82,136
CHF17_RS00220,109,56,90,125
CHF17_RS00225,178,97,147,204
CHF17_RS00230,182,92,141,191
CHF17_RS00235,215,111,165,242
CHF17_RS00240,176,108,149,225
CHF17_RS00245,149,120,142,211
CHF17_RS00250,153,145,142,207
CHF17_RS00255,331008,153133,209229,248724
CHF17_RS00260,45873,33052,34133,44407
CHF17_RS00265,9505,6769,7032,7716
CHF17_RS00270,5318,3947,3686,4405
CHF17_RS00275,581,409,341,533
CHF17_RS00280,19687,12188,13666,12039
CHF17_RS00285,6845,4555,4526,4389
CHF17_RS00290,1171,852,832,1100
CHF17_RS00295,3045,3839,4087,5024
CHF17_RS00300,1137,1400,1371,1952
CHF17_RS00305,858,903,902,1385
CHF17_RS00310,405,521,434,755
CHF17_RS00315,1164,1471,1322,2069
CHF17_RS00320,5775,5237,5357,6098
CHF17_RS00325,448,698,520,707
CHF17_RS00330,8827,9132,11094,11145
CHF17_RS00335,15,24,17,21
CHF17_RS00340,41,53,46,66
CHF17_RS00345,25,37,32,28
CHF17_RS00350,28,27,39,32
CHF17_RS00355,8,14,16,18
CHF17_RS00360,49,42,41,40
CHF17_RS00365,52,71,47,61
CHF17_RS00370,51,66,49,66
CHF17_RS00375,104,100,95,116
CHF17_RS00380,2399,1892,1694,2020
CHF17_RS00385,351,399,296,594
CHF17_RS00390,107,120,124,219
CHF17_RS00395,367,338,421,850
CHF17_RS00400,2340,2611,2411,2997
CHF17_RS00405,1676,2163,1560,2208
CHF17_RS00410,11363,9578,9408,9299
CHF17_RS00415,8034,5985,5858,8091
CHF17_RS00420,16116,11769,14620,14799
CHF17_RS00425,5651,5773,4324,5183
CHF17_RS00430,6415,6849,4761,5801
CHF17_RS00435,32793,33331,25314,33091
CHF17_RS00440,48197,21894,38033,34658
CHF17_RS00445,554,339,392,328
CHF17_RS00450,7985,6171,6269,6101
CHF17_RS00455,8380,7567,6736,7274
CHF17_RS00460,15947,12755,16446,22886
CHF17_RS00465,42506,45509,48059,89337
CHF17_RS00470,31322,37582,42283,77848
CHF17_RS00475,12747,14675,16554,36614
CHF17_RS00480,28073,29769,35329,98179
CHF17_RS00485,8682,7351,10452,32413
CHF17_RS00490,13775,11179,15295,47012
CHF17_RS00495,25439,21711,27500,87226
CHF17_RS00500,19995,15019,20063,58632
CHF17_RS00505,6874,5078,6727,22479
CHF17_RS00510,10099,7348,8938,32648
CHF17_RS00515,14228,10195,12886,46019
CHF17_RS00520,13887,11006,16133,49344
CHF17_RS00525,18530,16060,19793,61203
CHF17_RS00530,9222,8545,9245,25730
CHF17_RS00535,12163,15108,15430,44015
CHF17_RS00540,20083,25512,25852,64537
CHF17_RS00545,13539,15012,17991,32302
CHF17_RS00550,27158,31143,34858,65214
CHF17_RS00555,12271,14746,17774,28769
CHF17_RS00560,29132,40177,41710,70885
CHF17_RS00565,101292,140094,114161,218500
CHF17_RS00570,11897,11443,12031,18108
CHF17_RS00575,25236,21359,25485,24330
CHF17_RS00580,29531,25057,31906,28861
CHF17_RS00585,56791,56014,72319,76868
CHF17_RS00590,64000,64392,89842,83376
CHF17_RS00595,122309,130016,169398,194074
CHF17_RS00600,63139,54084,76391,76909
CHF17_RS00605,4658,2553,4306,4046
CHF17_RS00610,9,7,8,16
CHF17_RS00615,2030,498,1359,1121
CHF17_RS00620,12,5,6,7
CHF17_RS00625,271,49,154,137
CHF17_RS00630,458,105,278,265
CHF17_RS00635,644,207,401,443
CHF17_RS00640,384,204,267,359
CHF17_RS00645,370,240,273,402
CHF17_RS00650,261,163,197,294
CHF17_RS00655,283,154,226,340
CHF17_RS00660,341,157,270,405
CHF17_RS00665,319,140,252,398
CHF17_RS00670,390,177,325,522
CHF17_RS00675,609,297,553,862
CHF17_RS00680,684,348,647,1043
CHF17_RS00685,147,130,124,92
CHF17_RS00690,195,160,151,130
CHF17_RS00695,174,172,143,176
CHF17_RS00700,297,302,223,263
CHF17_RS00705,519,454,450,494
CHF17_RS00710,704,621,539,705
CHF17_RS00715,6572,4868,4702,7004
CHF17_RS00720,1637,1393,1354,2018
CHF17_RS00725,17123,11763,14251,12216
CHF17_RS00730,8136,4822,5217,5747
CHF17_RS00735,1511,852,1077,1038
CHF17_RS00740,17582,9296,12349,10457
CHF17_RS00745,6382,3539,3691,3870
CHF17_RS00750,4473,1444,2092,2165
CHF17_RS00755,1550,857,740,1333
CHF17_RS00760,11343,6420,5926,9264
CHF17_RS00765,4976,3233,2757,3463
CHF17_RS00770,4268,3150,2639,2881
CHF17_RS00775,21959,16755,14628,13645
CHF17_RS00780,9025,7230,5787,6441
CHF17_RS00785,21280,18349,12561,18923
CHF17_RS00790,3924,3146,2594,3755
CHF17_RS00795,1629,991,1026,1114
CHF17_RS00800,6233,5754,4158,5750
CHF17_RS00805,11360,7722,6852,6488
CHF17_RS00810,1191,758,689,736
CHF17_RS00815,2508,1693,1691,1463
CHF17_RS00820,1534,916,1035,878
CHF17_RS00825,1372,977,876,963
CHF17_RS00830,5661,4576,4627,4550
CHF17_RS00835,6677,5195,5246,4705
CHF17_RS00840,1477,1003,1009,1092
CHF17_RS00845,3270,2284,2492,2577
CHF17_RS00850,2445,1950,2104,2084
CHF17_RS00855,2192,2096,1972,1835
CHF17_RS00860,2796,2007,2178,2117
CHF17_RS00865,5344,3159,2910,3120
CHF17_RS00870,1955,1245,968,1394
CHF17_RS00875,30095,12198,13693,13559
CHF17_RS00880,1286,688,684,742
CHF17_RS00885,11397,8339,7288,7410
CHF17_RS00890,6620,4779,4623,4944
CHF17_RS00895,838,829,578,605
CHF17_RS00900,374,712,335,433
CHF17_RS00905,1737,3245,1612,1960
CHF17_RS00910,121,227,123,128
CHF17_RS00915,81,127,71,82
CHF17_RS00920,1665,2741,1764,2547
CHF17_RS00925,676,1186,822,1222
CHF17_RS00930,1909,3340,2050,3193
CHF17_RS00935,307,695,337,674
CHF17_RS00940,198,448,249,492
CHF17_RS00945,435,914,458,849
CHF17_RS00950,505,954,641,918
CHF17_RS00955,893,1365,849,1262
CHF17_RS00960,224,380,226,429
CHF17_RS00965,2456,2465,1741,4904
CHF17_RS00970,1186,1403,835,1981
CHF17_RS00975,3273,3615,2600,5574
CHF17_RS00980,1798,2312,1661,3250
CHF17_RS00985,287,467,263,506
CHF17_RS00990,242,357,192,350
CHF17_RS00995,400,494,381,451
CHF17_RS01000,502,753,437,561
CHF17_RS01005,2571,4434,2545,2989
CHF17_RS01010,23932,19771,20357,25882
CHF17_RS01015,734,510,466,844
CHF17_RS01020,2475,2830,2536,2067
CHF17_RS01025,4059,5190,3956,3582
CHF17_RS01030,3273,3829,3064,3251
CHF17_RS01035,54262,50842,57508,49890
CHF17_RS01040,33911,30239,42775,32847
CHF17_RS01045,213695,75625,267849,213485
CHF17_RS01050,21402,6985,31318,28302
CHF17_RS01055,948,839,942,1336
CHF17_RS01060,2116,1700,1927,2505
CHF17_RS01065,1173,1344,1372,1858
CHF17_RS01070,561,631,719,917
CHF17_RS01075,834,890,859,1229
CHF17_RS01080,2064,1987,1505,2042
CHF17_RS01085,180057,114903,105229,133245
CHF17_RS01090,25008,15011,14864,19620
CHF17_RS01095,21016,16152,23141,27083
CHF17_RS01100,14301,7460,9581,14300
CHF17_RS01105,1132,670,731,1096
CHF17_RS01110,3250,2817,2275,2912
CHF17_RS01115,12384,11276,9370,10136
CHF17_RS01120,6715,5758,4575,5964
CHF17_RS01125,9606,8185,6839,6477
CHF17_RS01130,698,874,1028,1222
CHF17_RS01135,33708,19731,23451,26456
CHF17_RS01140,893,796,755,1004
CHF17_RS01145,211,206,218,236
CHF17_RS01150,261,276,272,287
CHF17_RS01155,52,63,49,67
CHF17_RS01160,95,109,100,116
CHF17_RS01165,135,120,114,164
CHF17_RS01170,4,2,2,5
CHF17_RS01175,74,5235,80,88
CHF17_RS01180,67,2065,59,75
CHF17_RS01185,1902,2453,1249,1537
CHF17_RS01190,4037,4316,3113,3763
CHF17_RS01195,139,162,155,139
CHF17_RS01200,169,176,159,166
CHF17_RS01205,271667,169900,175975,192695
CHF17_RS01210,29409,23266,20434,27096
CHF17_RS01215,12245,6383,6683,8802
CHF17_RS01220,13243,8991,8582,10921
CHF17_RS01225,87182,66237,68817,62712
CHF17_RS01230,12591,13727,9176,12079
CHF17_RS01235,2616,1188,2198,2136
CHF17_RS01240,148116,101992,91659,100989
CHF17_RS01245,24658,16775,17449,16865
CHF17_RS01250,38707,28315,28711,29140
CHF17_RS01255,5498,4620,4299,5053
CHF17_RS01260,10991,6865,7406,12260
CHF17_RS01265,10741,5836,6945,10967
CHF17_RS01270,27557,17451,19641,29573
CHF17_RS01275,3349,3674,2821,2702
CHF17_RS01280,3928,5386,4551,4761
CHF17_RS01285,2856,4479,3845,4767
CHF17_RS01290,880,1431,1344,1656
CHF17_RS01295,6286,6898,6219,7583
CHF17_RS01300,19170,14604,13539,11728
CHF17_RS01305,6922,6077,4687,4904
CHF17_RS01310,113335,128782,113092,109366
CHF17_RS01315,14248,24180,20528,27440
CHF17_RS01320,14131,22862,22482,28893
CHF17_RS01325,20047,26147,29008,31131
CHF17_RS01330,30123,35284,36662,40147
CHF17_RS01335,4658,2553,4306,4046
CHF17_RS01340,9,7,8,16
CHF17_RS01345,2034,500,1362,1124
CHF17_RS01350,9,5,4,4
CHF17_RS01355,13,7,9,10
CHF17_RS01360,6280,6381,5941,6913
CHF17_RS01365,5737,6723,5474,6789
CHF17_RS01370,10222,9873,10149,10349
CHF17_RS01375,12368,11719,11587,14759
CHF17_RS01380,781,525,669,616
CHF17_RS01385,25618,17926,17581,18272
CHF17_RS01390,16706,18404,18917,22101
CHF17_RS01395,38904,45697,47662,88924
CHF17_RS01400,47837,61280,65665,104071
CHF17_RS01405,1986,1530,1200,993
CHF17_RS01410,1489,1551,950,1039
CHF17_RS01415,332,471,223,307
CHF17_RS01420,118,112,83,94
CHF17_RS01425,91,61,64,69
CHF17_RS01430,78,60,56,64
CHF17_RS01435,7804,6209,5799,6701
CHF17_RS01440,33508,24914,24679,27408
CHF17_RS01445,599,546,379,512
CHF17_RS01450,468,423,302,375
CHF17_RS01455,1107,1066,624,1177
CHF17_RS01460,5065,4518,3284,4821
CHF17_RS01465,5359,5984,5825,6223
CHF17_RS01470,7667,7857,8665,8185
CHF17_RS01475,430,344,367,492
CHF17_RS01480,657,378,503,428
CHF17_RS01485,2559,1730,1911,1646
CHF17_RS01490,8803,6842,6784,7426
CHF17_RS01495,2804,1700,2021,2565
CHF17_RS01500,154,128,124,143
CHF17_RS01505,1008,820,936,818
CHF17_RS01510,2160,2663,2607,2492
CHF17_RS01515,1096,1151,1006,1049
CHF17_RS01520,36,64,37,72
CHF17_RS01525,66,75,66,92
CHF17_RS01530,2,1,2,1
CHF17_RS01535,1036,812,754,865
CHF17_RS01540,110,127,129,183
CHF17_RS01545,64,86,94,128
CHF17_RS01550,57,62,88,145
CHF17_RS01555,78,84,69,127
CHF17_RS01560,334,620,336,338
CHF17_RS01565,1023,835,688,742
CHF17_RS01570,243,360,236,340
CHF17_RS01575,43,46,57,58
CHF17_RS01580,201,200,251,286
CHF17_RS01585,260,286,259,309
CHF17_RS01590,446,380,446,455
CHF17_RS01595,13430,18125,9023,8485
CHF17_RS01600,61396,31884,39106,43583
CHF17_RS01605,14561,13666,17583,23332
CHF17_RS01610,2820,3741,4539,7215
CHF17_RS01615,2458,3045,3695,6645
CHF17_RS01620,857,1068,1415,2392
CHF17_RS01625,5337,6658,7140,13567
CHF17_RS01630,3299,3432,3698,5552
CHF17_RS01635,2987,3316,3104,3062
CHF17_RS01640,3058,3286,3175,2603
CHF17_RS01645,42634,24467,31288,27497
CHF17_RS01650,150,176,134,146
CHF17_RS01655,196,234,201,191
CHF17_RS01660,109222,61404,84361,75815
CHF17_RS01665,118194,69011,87086,81993
CHF17_RS01670,7405,8362,6492,8900
CHF17_RS01675,1860,2146,1761,1978
CHF17_RS01680,32,54,36,40
CHF17_RS01685,200,213,180,169
CHF17_RS01690,69,68,70,58
CHF17_RS01695,31,49,34,44
CHF17_RS01700,30,32,20,25
CHF17_RS01705,1401,1416,1027,1394
CHF17_RS01710,14324,18726,14050,13245
CHF17_RS01715,7427,11369,6502,9030
CHF17_RS01720,7920,9060,7299,6132
CHF17_RS01725,8,11,6,10
CHF17_RS01730,12,15,7,11
CHF17_RS01735,217,148,124,171
CHF17_RS01740,925,710,576,777
CHF17_RS01745,670,575,499,780
CHF17_RS01750,20897,21023,15775,18894
CHF17_RS01755,30470,34913,25131,25832
CHF17_RS01760,13788,17300,12636,12605
CHF17_RS01765,22728,29163,19490,19670
CHF17_RS01770,4658,2553,4306,4046
CHF17_RS01775,9,7,8,16
CHF17_RS01780,2034,500,1362,1124
CHF17_RS01785,12,5,6,7
CHF17_RS01790,271,49,154,137
CHF17_RS01795,458,105,278,265
CHF17_RS01800,644,207,401,443
CHF17_RS01805,384,204,267,359
CHF17_RS01810,370,240,273,402
CHF17_RS01815,261,163,197,294
CHF17_RS01820,283,154,226,340
CHF17_RS01825,341,157,270,405
CHF17_RS01830,319,140,252,398
CHF17_RS01835,390,177,325,522
CHF17_RS01840,609,297,553,862
CHF17_RS01845,684,348,647,1043
CHF17_RS01850,656,1022,586,642
CHF17_RS01855,1763,3015,2174,2143
CHF17_RS01860,678,1400,1062,1139
CHF17_RS01865,669,1097,878,920
CHF17_RS01870,968,1531,1217,1300
CHF17_RS01875,931,971,645,524
CHF17_RS01880,792,707,398,313
CHF17_RS01885,2172,2454,1282,1350
CHF17_RS01890,1670,1240,1061,1561
CHF17_RS01895,897,516,573,699
CHF17_RS01900,59,56,53,63
CHF17_RS01905,395,275,237,316
CHF17_RS01910,774,573,478,619
CHF17_RS01915,528,310,403,457
CHF17_RS01920,1252,3456,1045,1143
CHF17_RS01925,555,1661,437,372
CHF17_RS01930,13408,11979,8300,14266
CHF17_RS01935,6057,5070,5756,4226
CHF17_RS01940,718,373,414,554
CHF17_RS01945,12791,13516,13900,17718
CHF17_RS01950,6367,7268,7127,9799
CHF17_RS01955,28887,30895,34875,38726
CHF17_RS01960,3239,3494,4095,4513
CHF17_RS01965,1231,1111,1353,1486
CHF17_RS01970,189,217,222,390
CHF17_RS01975,349,335,408,605
CHF17_RS01980,259,216,291,386
CHF17_RS01985,1033,1182,1154,1241
CHF17_RS01990,865,1207,1164,1517
CHF17_RS01995,55066,62100,56101,59572
CHF17_RS02000,1405,1864,1564,2255
CHF17_RS02005,8670,9815,9313,10345
CHF17_RS02010,18308,19316,17112,24438
CHF17_RS02015,1619,1527,1519,2283
CHF17_RS02020,5063,4378,4960,4318
CHF17_RS02025,11377,9905,11050,8912
CHF17_RS02030,8743,7063,7568,8006
CHF17_RS02035,2831,2780,2710,2804
CHF17_RS02040,17275,17937,18627,19126
CHF17_RS02045,8730,7507,6696,10202
CHF17_RS02050,23805,17764,17219,18364
CHF17_RS02055,17183,11990,15036,18720
CHF17_RS02060,28930,21328,25607,28757
CHF17_RS02065,35280,28378,29425,35511
CHF17_RS02070,1594,1254,1296,1677
CHF17_RS02075,13265,8614,9076,8566
CHF17_RS02080,11125,10952,11247,9235
CHF17_RS02085,10248,9337,9623,8798
CHF17_RS02090,7295,8756,7487,7115
CHF17_RS02095,23488,23139,26084,28361
CHF17_RS02100,8207,6194,6887,8526
CHF17_RS02105,714,482,504,596
CHF17_RS02110,84,69,66,107
CHF17_RS02115,16783,8006,10944,13237
CHF17_RS02120,36526,24260,38583,28299
CHF17_RS02125,21707,18154,27485,23257
CHF17_RS02130,61263,41250,47781,50269
CHF17_RS02135,10758,8166,7901,9690
CHF17_RS02140,37952,27406,23742,24740
CHF17_RS02145,868,823,641,1017
CHF17_RS02150,1030,915,1006,1087
CHF17_RS02155,766,701,731,854
CHF17_RS02160,4642,3548,3447,4236
CHF17_RS02165,4518,3200,3199,3587
CHF17_RS02170,4536,3452,3389,3999
CHF17_RS02175,24250,15778,15116,16469
CHF17_RS02180,13672,10785,9260,10575
CHF17_RS02185,5623,7178,5738,7198
CHF17_RS02190,2144,3013,2744,3472
CHF17_RS02195,1902,2847,2925,4632
CHF17_RS02200,7150,6944,7644,7399
CHF17_RS02205,38159,39102,35116,35040
CHF17_RS02210,730,894,589,982
CHF17_RS02215,2940,3584,2481,2777
CHF17_RS02220,1398,1736,1378,1185
CHF17_RS02225,19974,17146,14656,14810
CHF17_RS02230,8604,7697,6755,7133
