,covR_Zn1,covR_Zn2,covR_Zn3,covR_Zn4
CHF17_RS00005,12429,25420,17605,9254
CHF17_RS00010,16606,27582,20184,15566
CHF17_RS00015,3407,4306,3807,2688
CHF17_RS00020,1044,1042,983,765
CHF17_RS00025,550,519,561,338
CHF17_RS00030,18676,17145,18145,13961
CHF17_RS00035,913,1060,1182,758
CHF17_RS00040,9025,8530,9233,7430
CHF17_RS00045,139,159,166,168
CHF17_RS00050,1090,867,948,781
CHF17_RS00055,2184,1803,1938,1517
CHF17_RS00060,1185,996,1106,800
CHF17_RS00065,9071,8344,9170,7191
CHF17_RS00070,6266,6131,6458,5289
CHF17_RS00075,16360,18495,15611,14664
CHF17_RS00080,69910,72450,67548,66664
CHF17_RS00085,4182,3096,2297,1255
CHF17_RS00090,8,11,5,5
CHF17_RS00095,1621,1116,548,389
CHF17_RS00100,11,13,6,4
CHF17_RS00105,67,55,52,38
CHF17_RS00110,139,126,113,100
CHF17_RS00115,198,217,188,155
CHF17_RS00120,274,369,312,229
CHF17_RS00125,182,292,222,169
CHF17_RS00130,108,215,139,111
CHF17_RS00135,115,214,106,116
CHF17_RS00140,87,158,78,80
CHF17_RS00145,112,171,87,80
CHF17_RS00150,3972,3102,2137,1151
CHF17_RS00155,8,11,5,5
CHF17_RS00160,1621,1116,548,389
CHF17_RS00165,11,13,6,4
CHF17_RS00170,67,55,52,38
CHF17_RS00175,139,126,113,100
CHF17_RS00180,198,217,188,155
CHF17_RS00185,274,369,312,229
CHF17_RS00190,182,292,222,169
CHF17_RS00195,108,215,139,111
CHF17_RS00200,115,214,106,116
CHF17_RS00205,87,158,78,80
CHF17_RS00210,74,130,65,68
CHF17_RS00215,56,106,52,52
CHF17_RS00220,60,109,57,46
CHF17_RS00225,106,184,107,79
CHF17_RS00230,111,173,109,77
CHF17_RS00235,127,190,123,101
CHF17_RS00240,107,178,125,93
CHF17_RS00245,107,175,146,82
CHF17_RS00250,120,189,162,74
CHF17_RS00255,140995,111941,139421,127195
CHF17_RS00260,31453,33652,33021,31916
CHF17_RS00265,7247,6949,7055,6125
CHF17_RS00270,4665,4498,4538,3521
CHF17_RS00275,445,457,528,387
CHF17_RS00280,10002,10984,10010,6528
CHF17_RS00285,3670,4291,3767,2491
CHF17_RS00290,519,799,549,686
CHF17_RS00295,1664,3222,1343,4356
CHF17_RS00300,717,1473,532,1531
CHF17_RS00305,422,847,363,1011
CHF17_RS00310,236,563,181,671
CHF17_RS00315,893,1674,795,1760
CHF17_RS00320,3149,5335,2797,5410
CHF17_RS00325,366,555,492,427
CHF17_RS00330,9808,10335,9721,10234
CHF17_RS00335,32,32,34,28
CHF17_RS00340,95,53,64,65
CHF17_RS00345,31,36,42,33
CHF17_RS00350,45,37,40,36
CHF17_RS00355,18,14,16,12
CHF17_RS00360,41,48,43,42
CHF17_RS00365,83,73,59,63
CHF17_RS00370,72,61,67,54
CHF17_RS00375,114,117,133,122
CHF17_RS00380,1733,2615,2056,1605
CHF17_RS00385,142,279,194,354
CHF17_RS00390,62,99,62,136
CHF17_RS00395,200,294,205,419
CHF17_RS00400,2438,2739,2302,1869
CHF17_RS00405,2364,2700,2260,1913
CHF17_RS00410,6948,7744,6795,7167
CHF17_RS00415,6069,9251,6354,4208
CHF17_RS00420,11833,16376,12552,9881
CHF17_RS00425,3481,7004,4653,3485
CHF17_RS00430,4726,8957,6123,4271
CHF17_RS00435,27855,43166,33757,27851
CHF17_RS00440,20216,17282,22542,19582
CHF17_RS00445,303,253,316,242
CHF17_RS00450,8217,7359,7997,6053
CHF17_RS00455,9335,9126,9828,7458
CHF17_RS00460,10091,11846,9905,14134
CHF17_RS00465,38406,46814,43580,62081
CHF17_RS00470,29663,36105,35031,52168
CHF17_RS00475,12864,15086,14888,22648
CHF17_RS00480,25739,30216,31435,54478
CHF17_RS00485,8119,7869,9563,15113
CHF17_RS00490,9834,9669,12155,18465
CHF17_RS00495,19680,20639,24056,39738
CHF17_RS00500,12794,13333,15608,24800
CHF17_RS00505,4097,4017,4954,8155
CHF17_RS00510,7780,7358,8969,15307
CHF17_RS00515,9493,8989,11197,20070
CHF17_RS00520,10655,10022,12849,20183
CHF17_RS00525,16078,16526,18138,33507
CHF17_RS00530,8263,8505,8919,15439
CHF17_RS00535,15400,16534,17321,26523
CHF17_RS00540,23004,26260,25347,41998
CHF17_RS00545,13811,14360,14449,21072
CHF17_RS00550,21698,22871,23831,31288
CHF17_RS00555,10240,11424,11175,15367
CHF17_RS00560,31010,34245,35450,47930
CHF17_RS00565,128392,144695,141720,184143
CHF17_RS00570,10104,11129,11681,11758
CHF17_RS00575,23156,17386,18690,12958
CHF17_RS00580,23830,18782,21199,13858
CHF17_RS00585,62390,52995,58402,50969
CHF17_RS00590,68021,57385,63772,56866
CHF17_RS00595,155014,135800,144803,148053
CHF17_RS00600,67839,58344,62412,55229
CHF17_RS00605,4182,3096,2297,1255
CHF17_RS00610,8,11,5,5
CHF17_RS00615,1612,1111,546,386
CHF17_RS00620,11,13,6,4
CHF17_RS00625,46,32,27,17
CHF17_RS00630,117,93,80,51
CHF17_RS00635,221,207,175,115
CHF17_RS00640,216,251,197,129
CHF17_RS00645,244,335,235,164
CHF17_RS00650,174,261,166,126
CHF17_RS00655,160,253,168,137
CHF17_RS00660,179,253,173,160
CHF17_RS00665,161,229,157,155
CHF17_RS00670,208,291,218,205
CHF17_RS00675,320,450,353,326
CHF17_RS00680,369,540,428,393
CHF17_RS00685,153,218,156,95
CHF17_RS00690,182,251,221,112
CHF17_RS00695,194,260,227,139
CHF17_RS00700,311,349,385,177
CHF17_RS00705,516,533,513,360
CHF17_RS00710,803,936,820,681
CHF17_RS00715,6078,6823,6582,7018
CHF17_RS00720,2026,1789,1769,1597
CHF17_RS00725,11824,12031,11713,8918
CHF17_RS00730,5221,4578,4815,2913
CHF17_RS00735,1193,1096,1082,761
CHF17_RS00740,10767,9779,9946,6846
CHF17_RS00745,3058,3175,2568,2528
CHF17_RS00750,1431,1332,1186,1149
CHF17_RS00755,1265,1225,1087,1068
CHF17_RS00760,8668,8715,7812,7160
CHF17_RS00765,3678,3618,3141,2819
CHF17_RS00770,3504,3188,3509,2187
CHF17_RS00775,16127,14334,14219,10175
CHF17_RS00780,6897,6353,6163,4416
CHF17_RS00785,17317,17636,16647,17086
CHF17_RS00790,3136,3316,3468,3039
CHF17_RS00795,1082,1025,999,664
CHF17_RS00800,5664,5815,5682,4673
CHF17_RS00805,6739,5695,6270,3574
CHF17_RS00810,816,666,751,363
CHF17_RS00815,1715,1380,1612,857
CHF17_RS00820,967,807,960,496
CHF17_RS00825,1086,922,1034,558
CHF17_RS00830,4388,3918,3895,2513
CHF17_RS00835,5173,4627,4783,3484
CHF17_RS00840,937,911,818,647
CHF17_RS00845,2128,1849,1941,1446
CHF17_RS00850,2122,1744,1966,1342
CHF17_RS00855,2084,1797,1997,1400
CHF17_RS00860,2152,1828,1888,1493
CHF17_RS00865,3065,2704,2666,1895
CHF17_RS00870,1617,1475,1273,1101
CHF17_RS00875,10203,9354,9079,6543
CHF17_RS00880,943,856,872,516
CHF17_RS00885,5037,7836,7651,4228
CHF17_RS00890,2575,5097,4624,2506
CHF17_RS00895,621,739,774,480
CHF17_RS00900,645,708,686,618
CHF17_RS00905,2693,3030,3031,2499
CHF17_RS00910,148,190,203,132
CHF17_RS00915,122,123,115,103
CHF17_RS00920,2687,2970,2769,2678
CHF17_RS00925,871,920,886,756
CHF17_RS00930,2640,3118,2803,2898
CHF17_RS00935,484,673,553,762
CHF17_RS00940,334,452,351,469
CHF17_RS00945,627,764,653,734
CHF17_RS00950,772,930,799,833
CHF17_RS00955,1018,1215,1084,1041
CHF17_RS00960,246,326,248,277
CHF17_RS00965,2544,2336,2353,2620
CHF17_RS00970,1236,1277,1151,1208
CHF17_RS00975,3480,3472,3160,3297
CHF17_RS00980,2281,2418,2303,2783
CHF17_RS00985,411,466,424,463
CHF17_RS00990,333,361,336,294
CHF17_RS00995,436,467,468,333
CHF17_RS01000,555,650,689,495
CHF17_RS01005,3140,3870,3693,3305
CHF17_RS01010,14328,25704,20078,13268
CHF17_RS01015,398,833,625,382
CHF17_RS01020,2207,2366,2060,1680
CHF17_RS01025,4122,4916,4215,3068
CHF17_RS01030,3487,4361,3672,2912
CHF17_RS01035,8721,26211,14663,11040
CHF17_RS01040,5972,15312,8663,7182
CHF17_RS01045,34923,59174,35183,35345
CHF17_RS01050,5188,6220,4530,4118
CHF17_RS01055,1134,1044,1202,974
CHF17_RS01060,2138,1682,2157,1894
CHF17_RS01065,1934,1485,1880,1649
CHF17_RS01070,768,482,695,386
CHF17_RS01075,1393,1070,1252,1232
CHF17_RS01080,1854,2079,1968,1862
CHF17_RS01085,91794,96635,92146,83161
CHF17_RS01090,19028,14841,17759,15894
CHF17_RS01095,18261,17318,16775,17252
CHF17_RS01100,8947,9382,9244,9618
CHF17_RS01105,727,824,856,608
CHF17_RS01110,2709,3561,3062,2468
CHF17_RS01115,8167,12012,9770,7202
CHF17_RS01120,4009,4439,3252,3390
CHF17_RS01125,6271,6989,6484,4070
CHF17_RS01130,1023,1022,1073,1181
CHF17_RS01135,17923,21231,18992,16146
CHF17_RS01140,675,967,879,635
CHF17_RS01145,233,231,234,193
CHF17_RS01150,319,283,362,299
CHF17_RS01155,59,63,83,69
CHF17_RS01160,111,96,134,122
CHF17_RS01165,137,134,166,95
CHF17_RS01170,3,6,5,5
CHF17_RS01175,111,1517,901,80
CHF17_RS01180,79,526,289,59
CHF17_RS01185,1536,2092,1742,1249
CHF17_RS01190,3536,4892,4283,3093
CHF17_RS01195,191,225,197,156
CHF17_RS01200,191,211,171,162
CHF17_RS01205,118327,133760,124707,116933
CHF17_RS01210,13268,18957,18233,13089
CHF17_RS01215,4471,3737,3570,2267
CHF17_RS01220,7272,7799,7268,5437
CHF17_RS01225,56388,62448,57914,43381
CHF17_RS01230,7550,12141,10010,8054
CHF17_RS01235,1220,1446,1443,679
CHF17_RS01240,98936,93418,90598,79527
CHF17_RS01245,16358,16133,16985,12394
CHF17_RS01250,30098,30022,31328,25160
CHF17_RS01255,3935,5787,4406,3413
CHF17_RS01260,7472,10468,8087,8127
CHF17_RS01265,6301,8087,6882,6805
CHF17_RS01270,18657,24653,21985,21074
CHF17_RS01275,2413,2531,2353,1690
CHF17_RS01280,4158,4364,4058,3665
CHF17_RS01285,4333,4236,4086,4137
CHF17_RS01290,1541,1509,1537,1640
CHF17_RS01295,7657,7041,7198,6943
CHF17_RS01300,15300,14301,15144,10250
CHF17_RS01305,4752,7519,6291,3969
CHF17_RS01310,89896,143462,105762,88122
CHF17_RS01315,17693,31365,22136,22090
CHF17_RS01320,20245,29919,23047,23815
CHF17_RS01325,23759,29758,24760,21907
CHF17_RS01330,30808,39659,32003,30215
CHF17_RS01335,4182,3096,2297,1255
CHF17_RS01340,8,11,5,5
CHF17_RS01345,1621,1116,548,389
CHF17_RS01350,11,13,6,4
CHF17_RS01355,6,8,4,4
CHF17_RS01360,6042,7513,6089,4880
CHF17_RS01365,7453,8621,7398,6346
CHF17_RS01370,9889,10565,9967,7768
CHF17_RS01375,11569,13538,12147,12298
CHF17_RS01380,576,809,642,408
CHF17_RS01385,21121,20587,20936,16363
CHF17_RS01390,20057,24345,21269,18981
CHF17_RS01395,46131,49552,49834,71740
CHF17_RS01400,65413,61850,62849,85443
CHF17_RS01405,911,915,661,545
CHF17_RS01410,972,1045,741,585
CHF17_RS01415,408,392,410,279
CHF17_RS01420,142,129,158,111
CHF17_RS01425,80,73,67,68
CHF17_RS01430,88,71,88,56
CHF17_RS01435,6988,5249,6552,5383
CHF17_RS01440,24661,21576,24947,20524
CHF17_RS01445,390,454,494,273
CHF17_RS01450,349,405,396,255
CHF17_RS01455,1316,1550,1473,1302
CHF17_RS01460,5093,5725,5419,5210
CHF17_RS01465,6679,7063,7031,6250
CHF17_RS01470,8448,8653,8310,7716
CHF17_RS01475,542,563,578,527
CHF17_RS01480,420,338,361,182
CHF17_RS01485,1866,1618,1706,1098
CHF17_RS01490,6143,6359,6346,5019
CHF17_RS01495,2012,1875,1979,1790
CHF17_RS01500,130,137,157,129
CHF17_RS01505,694,682,684,512
CHF17_RS01510,2753,2796,2700,2256
CHF17_RS01515,1176,1222,1173,1036
CHF17_RS01520,49,66,82,55
CHF17_RS01525,83,80,91,78
CHF17_RS01530,1,2,2,1
CHF17_RS01535,1014,731,884,790
CHF17_RS01540,132,145,165,167
CHF17_RS01545,89,79,93,138
CHF17_RS01550,86,78,112,125
CHF17_RS01555,104,76,105,97
CHF17_RS01560,299,366,276,222
CHF17_RS01565,719,758,660,554
CHF17_RS01570,318,350,413,350
CHF17_RS01575,62,54,66,34
CHF17_RS01580,273,226,272,275
CHF17_RS01585,279,236,317,279
CHF17_RS01590,446,348,408,303
CHF17_RS01595,10433,12523,12315,8271
CHF17_RS01600,33215,33367,31042,27223
CHF17_RS01605,14589,14353,14229,16306
CHF17_RS01610,4244,4287,4402,5163
CHF17_RS01615,3538,3448,3704,4793
CHF17_RS01620,1206,1245,1390,1722
CHF17_RS01625,8444,7860,8694,10145
CHF17_RS01630,4016,4178,4403,4464
CHF17_RS01635,3041,3703,3065,2236
CHF17_RS01640,2966,3245,3019,1650
CHF17_RS01645,24366,23212,22577,16657
CHF17_RS01650,244,303,205,221
CHF17_RS01655,270,378,280,254
CHF17_RS01660,70269,55266,64174,50594
CHF17_RS01665,71397,59701,68427,56350
CHF17_RS01670,6969,11084,9685,7194
CHF17_RS01675,1652,2853,1959,1471
CHF17_RS01680,75,45,88,54
CHF17_RS01685,294,215,297,228
CHF17_RS01690,106,77,111,86
CHF17_RS01695,60,57,71,49
CHF17_RS01700,40,26,41,26
CHF17_RS01705,1495,1785,1537,1271
CHF17_RS01710,17400,18012,18108,13104
CHF17_RS01715,16996,15176,16266,12879
CHF17_RS01720,10614,8297,9616,6088
CHF17_RS01725,18,20,17,15
CHF17_RS01730,22,22,21,24
CHF17_RS01735,283,212,248,220
CHF17_RS01740,965,827,957,934
CHF17_RS01745,751,843,812,681
CHF17_RS01750,16423,19107,16853,14894
CHF17_RS01755,29726,33890,31589,24131
CHF17_RS01760,14245,16774,15082,11714
CHF17_RS01765,20020,22409,20751,15681
CHF17_RS01770,4182,3096,2297,1255
CHF17_RS01775,8,11,5,5
CHF17_RS01780,1621,1116,548,389
CHF17_RS01785,11,13,6,4
CHF17_RS01790,46,32,27,17
CHF17_RS01795,117,93,80,51
CHF17_RS01800,221,207,175,115
CHF17_RS01805,216,251,197,129
CHF17_RS01810,244,335,235,164
CHF17_RS01815,174,261,166,126
CHF17_RS01820,160,253,168,137
CHF17_RS01825,179,253,173,160
CHF17_RS01830,161,229,157,155
CHF17_RS01835,208,291,218,205
CHF17_RS01840,320,450,353,326
CHF17_RS01845,369,540,428,393
CHF17_RS01850,568,1325,923,482
CHF17_RS01855,2314,3859,2896,2061
CHF17_RS01860,1154,1598,1233,1133
CHF17_RS01865,1195,1377,1185,1023
CHF17_RS01870,1429,1585,1427,1298
CHF17_RS01875,943,698,789,367
CHF17_RS01880,650,465,527,221
CHF17_RS01885,2031,1827,1941,1371
CHF17_RS01890,1522,1511,1616,1252
CHF17_RS01895,641,670,736,548
CHF17_RS01900,99,71,91,81
CHF17_RS01905,396,330,386,321
CHF17_RS01910,745,583,633,483
CHF17_RS01915,435,345,414,303
CHF17_RS01920,997,3062,2100,928
CHF17_RS01925,349,1247,900,225
CHF17_RS01930,10132,16413,12545,11764
CHF17_RS01935,5525,4718,4918,3352
CHF17_RS01940,492,374,426,387
CHF17_RS01945,10792,12207,11380,11643
CHF17_RS01950,7591,8261,7712,7737
CHF17_RS01955,25265,26375,24990,23886
CHF17_RS01960,3018,3057,2909,2355
CHF17_RS01965,825,928,909,665
CHF17_RS01970,196,195,203,191
CHF17_RS01975,337,387,384,365
CHF17_RS01980,213,231,243,207
CHF17_RS01985,1452,1264,1350,1265
CHF17_RS01990,1626,1359,1489,1536
CHF17_RS01995,47776,58677,47133,48036
CHF17_RS02000,1923,2282,1872,1786
CHF17_RS02005,10738,13018,10648,8737
CHF17_RS02010,22024,28643,23150,24086
CHF17_RS02015,1612,1892,1673,1624
CHF17_RS02020,4908,3802,4110,3100
CHF17_RS02025,10739,8704,9235,6097
CHF17_RS02030,6705,7787,7264,5144
CHF17_RS02035,2794,3077,2973,2084
CHF17_RS02040,19650,19349,19737,16587
CHF17_RS02045,9296,9920,9405,9677
CHF17_RS02050,17118,22294,19451,13373
CHF17_RS02055,23609,13672,13021,8693
CHF17_RS02060,40888,23460,24244,15677
CHF17_RS02065,46147,28236,29717,19756
CHF17_RS02070,1759,1445,1430,949
CHF17_RS02075,8376,7904,8254,6131
CHF17_RS02080,9879,10684,9620,6646
CHF17_RS02085,8568,9370,8285,5986
CHF17_RS02090,9366,9427,9222,7556
CHF17_RS02095,24383,28193,25798,23301
CHF17_RS02100,6930,9223,7838,6703
CHF17_RS02105,586,639,671,484
CHF17_RS02110,104,98,106,98
CHF17_RS02115,8713,7265,7380,6458
CHF17_RS02120,14379,18540,28249,11641
CHF17_RS02125,13909,16142,17863,11132
CHF17_RS02130,36754,37432,37358,30043
CHF17_RS02135,7453,7360,8248,7375
CHF17_RS02140,21427,20050,21293,15562
CHF17_RS02145,600,784,751,630
CHF17_RS02150,1093,1021,1083,829
CHF17_RS02155,882,812,811,653
CHF17_RS02160,3590,4137,3938,3381
CHF17_RS02165,2917,3449,3290,2628
CHF17_RS02170,3388,3939,3905,3079
CHF17_RS02175,17434,18865,17562,14083
CHF17_RS02180,11896,13590,12263,10239
CHF17_RS02185,6509,7599,7759,6363
CHF17_RS02190,2478,2704,2692,2475
CHF17_RS02195,3041,3110,3238,3482
CHF17_RS02200,7812,7581,7337,5534
CHF17_RS02205,37090,39073,38809,30387
CHF17_RS02210,1081,1002,1049,966
CHF17_RS02215,3536,3145,3475,2903
CHF17_RS02220,1770,1405,1618,1161
CHF17_RS02225,14644,14207,13882,11795
CHF17_RS02230,6340,6819,6440,5648
CHF17_RS02235,1544,1811,1747,1492
CHF17_RS02240,2213,1866,1973,1876
CHF17_RS02245,3921,3250,3752,2904
CHF17_RS02250,52,46,37,30
CHF17_RS02255,47,42,53,40
CHF17_RS02260,361,441,414,379
CHF17_RS02265,686,694,677,625
CHF17_RS02270,425,382,373,346
CHF17_RS02275,625,675,622,531
CHF17_RS02280,31058,17405,19853,13540
CHF17_RS02285,2268,1514,1891,1379
CHF17_RS02290,151,135,158,124
CHF17_RS02295,30,17,26,18
CHF17_RS02300,22,21,25,15
CHF17_RS02305,2238,4124,3661,1854
CHF17_RS02310,4184,3098,2298,1256
CHF17_RS02315,8,11,5,5
CHF17_RS02320,1624,1114,549,398
CHF17_RS02325,11,13,6,4
CHF17_RS02330,6,8,4,4
CHF17_RS02335,9582,8542,9608,7517
CHF17_RS02340,2637,3232,2930,2269
CHF17_RS02345,69533,62550,61618,61099
CHF17_RS02350,35289,35952,31488,30234
CHF17_RS02355,123460,148426,125839,119302
CHF17_RS02360,23343,24866,23115,21733
