,covR_Cu1,covR_Cu2,covR_Cu3,covR_Cu4
CHF17_RS00005,11679,7690,8575,6708
CHF17_RS00010,15773,11991,11142,11101
CHF17_RS00015,3196,2653,2715,2073
CHF17_RS00020,867,805,750,630
CHF17_RS00025,484,424,417,296
CHF17_RS00030,23463,19076,15804,12840
CHF17_RS00035,781,857,884,606
CHF17_RS00040,6369,6573,6842,5322
CHF17_RS00045,120,131,141,118
CHF17_RS00050,1632,1446,1189,1031
CHF17_RS00055,2986,2603,2463,1957
CHF17_RS00060,1624,1210,1249,995
CHF17_RS00065,11706,10271,10409,8085
CHF17_RS00070,6076,5372,6390,5109
CHF17_RS00075,15878,14451,14454,14251
CHF17_RS00080,62796,76567,61052,57879
CHF17_RS00085,2632,9247,3961,2042
CHF17_RS00090,4,43,15,13
CHF17_RS00095,1137,5904,1993,1151
CHF17_RS00100,7,100,21,8
CHF17_RS00105,74,147,64,92
CHF17_RS00110,168,319,132,234
CHF17_RS00115,287,457,200,362
CHF17_RS00120,492,675,321,515
CHF17_RS00125,367,406,210,355
CHF17_RS00130,184,217,144,187
CHF17_RS00135,138,121,83,160
CHF17_RS00140,103,86,66,107
CHF17_RS00145,122,99,76,111
CHF17_RS00150,2454,9012,3765,1917
CHF17_RS00155,4,43,15,13
CHF17_RS00160,1137,5904,1993,1151
CHF17_RS00165,7,100,21,8
CHF17_RS00170,74,147,64,92
CHF17_RS00175,168,319,132,234
CHF17_RS00180,287,457,200,362
CHF17_RS00185,492,675,321,515
CHF17_RS00190,367,406,210,355
CHF17_RS00195,184,217,144,187
CHF17_RS00200,138,121,83,160
CHF17_RS00205,103,86,66,107
CHF17_RS00210,90,77,58,94
CHF17_RS00215,79,73,58,73
CHF17_RS00220,82,73,58,78
CHF17_RS00225,138,121,96,137
CHF17_RS00230,139,110,93,137
CHF17_RS00235,149,130,99,156
CHF17_RS00240,121,112,85,136
CHF17_RS00245,99,97,81,116
CHF17_RS00250,96,88,83,105
CHF17_RS00255,364881,280697,237627,217670
CHF17_RS00260,47013,31337,30918,30320
CHF17_RS00265,9188,7407,6938,5749
CHF17_RS00270,5090,3981,3849,3344
CHF17_RS00275,567,495,503,384
CHF17_RS00280,15091,10289,9739,7255
CHF17_RS00285,5616,3134,3293,2787
CHF17_RS00290,1879,1441,1182,553
CHF17_RS00295,6012,7087,4382,2581
CHF17_RS00300,1992,2726,1992,1082
CHF17_RS00305,1303,1683,1185,709
CHF17_RS00310,767,940,581,463
CHF17_RS00315,2015,2434,1679,1157
CHF17_RS00320,7553,7627,4926,3634
CHF17_RS00325,573,731,561,648
CHF17_RS00330,11765,10905,8562,9047
CHF17_RS00335,14,13,25,17
CHF17_RS00340,47,55,48,47
CHF17_RS00345,26,21,33,23
CHF17_RS00350,45,23,41,32
CHF17_RS00355,16,13,16,14
CHF17_RS00360,41,29,27,35
CHF17_RS00365,64,38,37,55
CHF17_RS00370,54,28,34,36
CHF17_RS00375,130,72,79,81
CHF17_RS00380,2325,1451,1410,1490
CHF17_RS00385,451,416,304,379
CHF17_RS00390,146,119,134,155
CHF17_RS00395,448,503,436,503
CHF17_RS00400,2420,2586,2517,1822
CHF17_RS00405,2126,2157,2205,1608
CHF17_RS00410,9709,8087,6145,5309
CHF17_RS00415,6580,3991,5185,4233
CHF17_RS00420,14502,11894,11043,9560
CHF17_RS00425,4266,3999,3553,3744
CHF17_RS00430,5377,4938,4786,4489
CHF17_RS00435,32747,23128,24970,24608
CHF17_RS00440,31543,23237,28186,19171
CHF17_RS00445,393,356,358,185
CHF17_RS00450,8003,5656,5662,4311
CHF17_RS00455,7779,5406,5625,4703
CHF17_RS00460,12638,13104,9387,13914
CHF17_RS00465,48305,55989,44883,58410
CHF17_RS00470,35308,42879,35347,48245
CHF17_RS00475,14397,19198,15683,23629
CHF17_RS00480,28559,44700,35411,61130
CHF17_RS00485,9027,9678,11213,19855
CHF17_RS00490,11879,11845,14288,24853
CHF17_RS00495,24291,29063,28546,52503
CHF17_RS00500,15722,20517,18471,35599
CHF17_RS00505,4979,6033,6350,12063
CHF17_RS00510,9059,11149,11038,22293
CHF17_RS00515,10790,14806,14127,28643
CHF17_RS00520,11972,12746,16354,28690
CHF17_RS00525,17046,23183,21363,41120
CHF17_RS00530,8615,14580,9630,17305
CHF17_RS00535,15878,19290,19081,29055
CHF17_RS00540,22243,29156,26506,41426
CHF17_RS00545,11813,19967,13938,21111
CHF17_RS00550,20052,30796,23145,31694
CHF17_RS00555,9197,12736,10685,14599
CHF17_RS00560,26484,44447,33042,42179
CHF17_RS00565,119992,134139,120025,144551
CHF17_RS00570,10655,12182,11337,10023
CHF17_RS00575,19774,17244,13637,12198
CHF17_RS00580,22478,20273,16820,13372
CHF17_RS00585,60786,57047,52620,45212
CHF17_RS00590,67242,61445,55371,48697
CHF17_RS00595,150908,174314,126360,124346
CHF17_RS00600,67831,81505,55997,49117
CHF17_RS00605,2632,9246,3961,2043
CHF17_RS00610,4,43,15,13
CHF17_RS00615,1133,5867,1985,1146
CHF17_RS00620,7,100,21,8
CHF17_RS00625,47,84,39,44
CHF17_RS00630,129,182,95,114
CHF17_RS00635,258,295,178,213
CHF17_RS00640,252,244,177,204
CHF17_RS00645,275,228,185,240
CHF17_RS00650,194,156,129,186
CHF17_RS00655,195,172,137,200
CHF17_RS00660,238,206,152,233
CHF17_RS00665,228,208,147,228
CHF17_RS00670,293,289,203,306
CHF17_RS00675,413,443,298,488
CHF17_RS00680,448,505,337,577
CHF17_RS00685,145,55,82,78
CHF17_RS00690,171,89,123,90
CHF17_RS00695,163,115,139,110
CHF17_RS00700,233,126,207,127
CHF17_RS00705,404,266,338,253
CHF17_RS00710,683,524,574,543
CHF17_RS00715,5817,5715,3866,5670
CHF17_RS00720,2858,1410,1916,1597
CHF17_RS00725,15823,9914,11036,8313
CHF17_RS00730,6241,3118,4169,3221
CHF17_RS00735,1387,983,1017,797
CHF17_RS00740,14367,9412,9326,7439
CHF17_RS00745,5171,2967,2452,2748
CHF17_RS00750,3318,1524,1724,1764
CHF17_RS00755,1711,797,999,1168
CHF17_RS00760,12305,6479,6736,7725
CHF17_RS00765,5202,2318,2612,2781
CHF17_RS00770,4108,1900,2836,1979
CHF17_RS00775,17962,7768,11144,9168
CHF17_RS00780,7799,2934,4921,4088
CHF17_RS00785,19724,14761,11704,13077
CHF17_RS00790,4152,1896,2989,2931
CHF17_RS00795,1505,512,983,765
CHF17_RS00800,5946,3124,4128,4370
CHF17_RS00805,7718,3578,5232,3823
CHF17_RS00810,931,425,658,438
CHF17_RS00815,1708,943,1193,895
CHF17_RS00820,1076,625,786,554
CHF17_RS00825,1106,560,843,599
CHF17_RS00830,4282,2070,3107,2563
CHF17_RS00835,5276,2543,3663,3123
CHF17_RS00840,1062,637,737,707
CHF17_RS00845,2164,1350,1705,1650
CHF17_RS00850,1965,1119,1633,1369
CHF17_RS00855,1785,798,1540,1267
CHF17_RS00860,2086,1021,1509,1326
CHF17_RS00865,3919,1763,1985,2028
CHF17_RS00870,1938,890,1061,1083
CHF17_RS00875,21412,7061,10147,8739
CHF17_RS00880,1370,441,689,608
CHF17_RS00885,8530,4849,5026,5234
CHF17_RS00890,4630,2508,3163,3326
CHF17_RS00895,600,368,481,322
CHF17_RS00900,396,318,308,279
CHF17_RS00905,1462,1479,1232,1171
CHF17_RS00910,100,93,87,73
CHF17_RS00915,73,44,61,57
CHF17_RS00920,1717,2055,1487,1479
CHF17_RS00925,515,679,536,568
CHF17_RS00930,1675,2452,1505,1795
CHF17_RS00935,308,530,344,372
CHF17_RS00940,180,389,206,276
CHF17_RS00945,347,646,378,461
CHF17_RS00950,403,635,417,456
CHF17_RS00955,632,931,573,622
CHF17_RS00960,158,212,147,187
CHF17_RS00965,1829,1846,1588,2587
CHF17_RS00970,810,830,735,1019
CHF17_RS00975,2512,2240,1944,2970
CHF17_RS00980,1653,1685,1332,1802
CHF17_RS00985,264,309,259,323
CHF17_RS00990,227,192,189,198
CHF17_RS00995,292,320,262,227
CHF17_RS01000,422,415,390,304
CHF17_RS01005,2350,2279,1779,1552
CHF17_RS01010,16960,20503,17215,16042
CHF17_RS01015,602,483,694,466
CHF17_RS01020,2223,1910,1649,1532
CHF17_RS01025,4125,3267,3197,2803
CHF17_RS01030,3487,3018,2992,2493
CHF17_RS01035,36970,43011,39421,43035
CHF17_RS01040,22211,32929,28002,28475
CHF17_RS01045,161658,183058,173585,185878
CHF17_RS01050,14682,18687,19129,20512
CHF17_RS01055,1016,930,1149,885
CHF17_RS01060,1776,1567,1524,1484
CHF17_RS01065,1162,1281,1332,1185
CHF17_RS01070,441,424,439,330
CHF17_RS01075,897,820,723,826
CHF17_RS01080,2618,1620,1673,1522
CHF17_RS01085,144783,101625,89399,83419
CHF17_RS01090,22261,17537,14385,13766
CHF17_RS01095,23207,21440,17693,17318
CHF17_RS01100,13847,9646,9110,10223
CHF17_RS01105,1062,682,889,685
CHF17_RS01110,2665,1758,1703,1953
CHF17_RS01115,10648,7360,7623,6896
CHF17_RS01120,6583,3160,3838,3288
CHF17_RS01125,7964,5019,5413,4626
CHF17_RS01130,721,934,760,814
CHF17_RS01135,28778,22366,18547,16970
CHF17_RS01140,927,772,924,627
CHF17_RS01145,198,165,170,161
CHF17_RS01150,291,230,268,225
CHF17_RS01155,58,47,48,51
CHF17_RS01160,105,90,96,85
CHF17_RS01165,128,101,100,100
CHF17_RS01170,3,4,3,4
CHF17_RS01175,95,71,88,75
CHF17_RS01180,60,57,43,46
CHF17_RS01185,1808,1134,1306,1054
CHF17_RS01190,4100,2681,3080,2504
CHF17_RS01195,170,130,172,129
CHF17_RS01200,168,112,153,142
CHF17_RS01205,201424,155264,118055,113419
CHF17_RS01210,23809,20368,21825,14684
CHF17_RS01215,4126,4448,3160,3030
CHF17_RS01220,8302,8178,6919,5767
CHF17_RS01225,68829,55927,49060,40203
CHF17_RS01230,9916,5636,7375,7691
CHF17_RS01235,1759,1324,1662,1071
CHF17_RS01240,144654,82393,72338,69883
CHF17_RS01245,19699,13664,13353,10821
CHF17_RS01250,35635,24099,24341,20319
CHF17_RS01255,4945,3242,4072,3837
CHF17_RS01260,11096,7879,7568,9799
CHF17_RS01265,9506,7949,7073,8709
CHF17_RS01270,27333,21516,19637,23857
CHF17_RS01275,2692,2385,2297,1745
CHF17_RS01280,3751,3902,3905,3253
CHF17_RS01285,2999,3557,3654,3385
CHF17_RS01290,983,1251,1317,1272
CHF17_RS01295,6484,6076,6180,5488
CHF17_RS01300,18002,13141,11133,7820
CHF17_RS01305,6803,4546,4463,3742
CHF17_RS01310,96799,74638,79988,71510
CHF17_RS01315,12670,13746,17030,17595
CHF17_RS01320,12961,15266,18475,18983
CHF17_RS01325,15250,16833,20406,18669
CHF17_RS01330,23849,23149,26699,24716
CHF17_RS01335,2632,9247,3961,2042
CHF17_RS01340,4,43,15,13
CHF17_RS01345,1137,5904,1993,1151
CHF17_RS01350,7,98,21,8
CHF17_RS01355,6,9,5,5
CHF17_RS01360,4797,4507,5398,5060
CHF17_RS01365,5482,5115,6703,6187
CHF17_RS01370,7818,7585,8911,7596
CHF17_RS01375,10153,9785,9939,10590
CHF17_RS01380,714,484,501,445
CHF17_RS01385,24213,16486,15759,13374
CHF17_RS01390,17835,17036,15873,16811
CHF17_RS01395,41969,51976,42895,57415
CHF17_RS01400,50744,68949,50729,66604
CHF17_RS01405,1306,847,1051,750
CHF17_RS01410,1406,928,1186,896
CHF17_RS01415,429,298,448,244
CHF17_RS01420,144,90,88,82
CHF17_RS01425,75,39,51,48
CHF17_RS01430,78,59,58,48
CHF17_RS01435,8235,6018,5670,4533
CHF17_RS01440,31748,21290,22306,18599
CHF17_RS01445,467,362,476,279
CHF17_RS01450,407,228,294,270
CHF17_RS01455,1198,830,865,975
CHF17_RS01460,4940,3550,3582,3859
CHF17_RS01465,6836,5406,5160,4667
CHF17_RS01470,9220,7166,6414,5931
CHF17_RS01475,640,493,470,426
CHF17_RS01480,370,338,322,274
CHF17_RS01485,2704,1452,1709,1186
CHF17_RS01490,9697,6104,6420,5075
CHF17_RS01495,2968,1973,2119,2100
CHF17_RS01500,123,107,121,92
CHF17_RS01505,802,662,595,520
CHF17_RS01510,2187,1925,2018,1736
CHF17_RS01515,1050,995,867,799
CHF17_RS01520,40,45,54,50
CHF17_RS01525,63,63,65,53
CHF17_RS01530,1,1,1,0
CHF17_RS01535,942,659,639,557
CHF17_RS01540,120,137,124,126
CHF17_RS01545,65,82,67,97
CHF17_RS01550,57,92,90,93
CHF17_RS01555,79,65,78,111
CHF17_RS01560,297,224,290,253
CHF17_RS01565,877,570,618,572
CHF17_RS01570,276,278,297,282
CHF17_RS01575,42,35,41,42
CHF17_RS01580,205,225,215,193
CHF17_RS01585,258,251,261,186
CHF17_RS01590,397,354,369,269
CHF17_RS01595,13847,10076,9100,7366
CHF17_RS01600,56224,33236,31260,32975
CHF17_RS01605,14808,15730,13163,15610
CHF17_RS01610,3366,4356,4058,5116
CHF17_RS01615,2454,3938,3232,4730
CHF17_RS01620,811,1302,1146,1517
CHF17_RS01625,5039,7602,6703,8962
CHF17_RS01630,3067,3704,3107,3736
CHF17_RS01635,3245,3041,2713,2287
CHF17_RS01640,3121,2325,2376,1749
CHF17_RS01645,34275,21070,23902,18086
CHF17_RS01650,180,164,182,159
CHF17_RS01655,231,216,210,196
CHF17_RS01660,98870,56381,59105,45263
CHF17_RS01665,99602,62351,62831,49058
CHF17_RS01670,8112,8155,9173,6227
CHF17_RS01675,1808,1463,1558,1404
CHF17_RS01680,48,37,36,33
CHF17_RS01685,169,150,131,136
CHF17_RS01690,63,63,43,44
CHF17_RS01695,30,23,36,16
CHF17_RS01700,21,13,27,13
CHF17_RS01705,1382,1170,1222,1003
CHF17_RS01710,11860,11985,11871,8690
CHF17_RS01715,8326,8720,9854,8092
CHF17_RS01720,6153,6255,6290,3991
CHF17_RS01725,5,11,20,10
CHF17_RS01730,15,13,13,10
CHF17_RS01735,236,151,148,143
CHF17_RS01740,890,718,627,678
CHF17_RS01745,732,511,629,632
CHF17_RS01750,18586,13785,13275,12529
CHF17_RS01755,30187,24638,24293,19819
CHF17_RS01760,13633,10970,11871,9295
CHF17_RS01765,20179,17235,17233,13451
CHF17_RS01770,2632,9247,3961,2042
CHF17_RS01775,4,43,15,13
CHF17_RS01780,1137,5904,1993,1151
CHF17_RS01785,7,100,21,8
CHF17_RS01790,47,84,39,44
CHF17_RS01795,129,182,95,114
CHF17_RS01800,258,295,178,213
CHF17_RS01805,252,244,177,204
CHF17_RS01810,275,228,185,240
CHF17_RS01815,194,156,129,186
CHF17_RS01820,195,172,137,200
CHF17_RS01825,238,206,152,233
CHF17_RS01830,228,208,147,228
CHF17_RS01835,293,289,203,306
CHF17_RS01840,413,443,298,488
CHF17_RS01845,448,505,337,577
CHF17_RS01850,586,335,473,479
CHF17_RS01855,1852,1785,1720,1680
CHF17_RS01860,870,826,818,819
CHF17_RS01865,877,771,717,701
CHF17_RS01870,1080,907,920,895
CHF17_RS01875,817,460,489,331
CHF17_RS01880,551,342,424,208
CHF17_RS01885,1940,1465,1373,908
CHF17_RS01890,1632,1133,1330,1167
CHF17_RS01895,760,535,630,497
CHF17_RS01900,90,67,93,68
CHF17_RS01905,500,313,406,304
CHF17_RS01910,787,590,618,469
CHF17_RS01915,491,403,409,349
CHF17_RS01920,1344,798,1032,924
CHF17_RS01925,491,258,394,265
CHF17_RS01930,13999,10706,8571,11410
CHF17_RS01935,4758,4251,4069,3168
CHF17_RS01940,830,500,486,466
CHF17_RS01945,12733,13829,13243,13067
CHF17_RS01950,7211,8922,8612,7963
CHF17_RS01955,24246,29212,29167,25419
CHF17_RS01960,3056,2709,3546,2662
CHF17_RS01965,769,1213,1181,892
CHF17_RS01970,150,208,229,252
CHF17_RS01975,359,402,429,385
CHF17_RS01980,253,248,231,204
CHF17_RS01985,976,1042,1043,904
CHF17_RS01990,948,1092,1161,1143
CHF17_RS01995,47828,43773,42420,37420
CHF17_RS02000,1164,1937,1849,1629
CHF17_RS02005,7373,7314,9079,7484
CHF17_RS02010,18162,17803,20050,18984
CHF17_RS02015,1887,1479,1877,1604
CHF17_RS02020,5129,4118,3696,3099
CHF17_RS02025,11196,8649,7842,5905
CHF17_RS02030,8115,5926,6485,5247
CHF17_RS02035,2985,2216,2589,1986
CHF17_RS02040,16965,16975,16763,13691
CHF17_RS02045,9879,8337,7876,7845
CHF17_RS02050,22364,15271,15170,11987
CHF17_RS02055,20604,16474,14214,8773
CHF17_RS02060,35280,26649,21888,13928
CHF17_RS02065,40771,31226,25014,17086
CHF17_RS02070,1652,1198,1347,890
CHF17_RS02075,10362,8243,7470,5499
CHF17_RS02080,10028,8795,8815,6431
CHF17_RS02085,8894,7866,7499,5912
CHF17_RS02090,7058,5389,5682,4610
CHF17_RS02095,29956,25360,22313,21444
CHF17_RS02100,9802,8171,7129,7095
CHF17_RS02105,684,587,665,515
CHF17_RS02110,123,97,105,89
CHF17_RS02115,12722,11144,8565,8749
CHF17_RS02120,18951,27561,16687,17000
CHF17_RS02125,14887,19687,18146,14537
CHF17_RS02130,55379,47027,45129,36288
CHF17_RS02135,9767,6914,5613,6443
CHF17_RS02140,26184,18574,17340,14486
CHF17_RS02145,744,691,705,571
CHF17_RS02150,1085,858,990,820
CHF17_RS02155,699,711,770,706
CHF17_RS02160,4160,2824,3505,3298
CHF17_RS02165,3658,2681,2700,2529
CHF17_RS02170,3837,3065,3135,2999
CHF17_RS02175,19078,14531,11871,11436
CHF17_RS02180,12257,9714,8250,7815
CHF17_RS02185,5058,5024,5587,4723
CHF17_RS02190,1798,2033,2117,2362
CHF17_RS02195,1958,2727,2784,3305
CHF17_RS02200,6723,6612,6250,5375
CHF17_RS02205,37661,33278,30936,24902
CHF17_RS02210,1044,797,851,750
CHF17_RS02215,2925,3040,2698,2307
CHF17_RS02220,1127,1408,1162,851
CHF17_RS02225,16261,14055,11968,9775
CHF17_RS02230,7450,5872,5446,4741
CHF17_RS02235,1696,1209,1597,1153
CHF17_RS02240,1489,1314,1463,1216
CHF17_RS02245,2168,2017,2526,2046
CHF17_RS02250,21,10,21,21
CHF17_RS02255,32,15,36,20
CHF17_RS02260,380,254,270,300
CHF17_RS02265,509,542,545,555
CHF17_RS02270,326,314,330,264
CHF17_RS02275,596,524,477,421
CHF17_RS02280,36972,21308,18053,12009
CHF17_RS02285,2476,1806,1790,1247
CHF17_RS02290,152,109,118,119
CHF17_RS02295,30,14,15,16
CHF17_RS02300,19,16,16,10
CHF17_RS02305,3606,2699,2549,2773
CHF17_RS02310,2633,9247,3964,2043
CHF17_RS02315,4,43,15,13
CHF17_RS02320,1143,5959,1991,1157
CHF17_RS02325,7,98,21,8
CHF17_RS02330,7,9,5,6
CHF17_RS02335,11374,6784,7306,6247
CHF17_RS02340,3754,2277,2728,2613
CHF17_RS02345,70658,84618,68236,64027
CHF17_RS02350,36815,36365,37332,35359
CHF17_RS02355,154684,156742,147854,143544
CHF17_RS02360,24925,28496,26932,26439
CHF17_RS02365,22517,31173,38623,50167
CHF17_RS02370,22119,35589,42273,57349
CHF17_RS02375,16299,26482,29306,39782
CHF17_RS02380,31642,48052,54965,67014
CHF17_RS02385,15941,23390,27703,34924
CHF17_RS02390,6220,9958,12238,15665
CHF17_RS02395,31809,43688,49745,66601
CHF17_RS02400,36415,53662,51555,57235
CHF17_RS02405,33090,40997,37357,42704
CHF17_RS02410,3675,3070,3512,3129
CHF17_RS02415,24265,17706,16971,14426
CHF17_RS02420,2992,1904,2449,2518
CHF17_RS02425,6150,4687,4393,4401
CHF17_RS02430,77670,75425,59622,53048
CHF17_RS02435,58866,62795,44854,41039
CHF17_RS02440,63543,73283,50072,47807
CHF17_RS02445,2133,2350,2037,1606
CHF17_RS02450,10761,6780,7064,6228
CHF17_RS02455,4137,2945,2840,3647
CHF17_RS02460,12411,7735,9249,11844
CHF17_RS02465,19105,15009,13942,12556
CHF17_RS02470,2527,2830,2211,1906
CHF17_RS02475,8046,6399,6326,5013
CHF17_RS02480,23102,18497,18528,15062
CHF17_RS02485,2935,1837,2282,1705
CHF17_RS02490,3213,1935,2288,1525
CHF17_RS02495,87763,49456,56753,51644
CHF17_RS02500,10507,8987,10954,7896
CHF17_RS02505,2454,2627,2294,2169
CHF17_RS02510,3076,2954,3489,2813
CHF17_RS02515,12189,9756,10399,7876
CHF17_RS02520,10455,9400,8609,7283
CHF17_RS02525,708,496,643,345
CHF17_RS02530,2865,2303,2216,2616
CHF17_RS02535,10050,9983,8687,11692
CHF17_RS02540,1493,1980,1847,2477
CHF17_RS02545,1358,2045,1726,2687
CHF17_RS02550,19458,23501,19185,27815
CHF17_RS02555,4696,3735,4112,4055
CHF17_RS02560,11886,7091,6738,4576
CHF17_RS02565,1482,1025,960,672
CHF17_RS02570,16437,15263,13336,10992
CHF17_RS02575,856,693,778,460
CHF17_RS02580,2596,1691,1525,932
CHF17_RS02585,5836,4390,4136,3780
CHF17_RS02590,17817,19874,18668,15902
CHF17_RS02595,4273,3600,4179,3275
CHF17_RS02600,12810,10937,9879,9771
CHF17_RS02605,239,257,290,167
CHF17_RS02610,3314,2346,2119,2043
CHF17_RS02615,5664,3744,4167,3807
CHF17_RS02620,4328,2564,3218,3525
CHF17_RS02625,11931,9201,7984,5644
CHF17_RS02630,925,633,605,525
CHF17_RS02635,2662,2095,1884,2006
CHF17_RS02640,4999,3994,4209,4076
CHF17_RS02645,2082,1473,1848,1245
CHF17_RS02650,200,152,134,69
CHF17_RS02655,106374,73306,69686,62754
CHF17_RS02660,850,731,767,766
CHF17_RS02665,827,831,915,714
CHF17_RS02670,14369,12128,11713,7415
CHF17_RS02675,11979,12334,10447,10305
CHF17_RS02680,9005,8718,8689,8281
CHF17_RS02685,2760,2093,1865,1794
CHF17_RS02690,19350,13899,14594,10539
CHF17_RS02695,28216,19598,19606,15729
CHF17_RS02700,2632,9247,3961,2042
CHF17_RS02705,4,43,15,13
CHF17_RS02710,1133,5867,1985,1146
CHF17_RS02715,7,100,21,8
CHF17_RS02720,74,147,64,92
CHF17_RS02725,168,319,132,234
CHF17_RS02730,287,457,200,362
CHF17_RS02735,492,675,321,515
CHF17_RS02740,350,391,202,335
CHF17_RS02745,219,258,173,200
CHF17_RS02750,104,97,69,100
CHF17_RS02755,8960,6821,6008,4723
CHF17_RS02760,3528,2231,2617,1955
