,sczA_Ctrl1,sczA_Ctrl2,sczA_Ctrl3,sczA_Ctrl4
CHF17_RS00005,29777,14958,13354,10773
CHF17_RS00010,29903,24810,20884,13769
CHF17_RS00015,4270,3531,3304,2575
CHF17_RS00020,1231,852,857,563
CHF17_RS00025,665,473,701,468
CHF17_RS00030,20615,18013,15519,16307
CHF17_RS00035,908,972,786,727
CHF17_RS00040,6581,9021,5419,4388
CHF17_RS00045,135,214,105,72
CHF17_RS00050,1187,1015,788,590
CHF17_RS00055,2264,2014,1759,1692
CHF17_RS00060,1250,1085,951,623
CHF17_RS00065,10757,11053,9293,5600
CHF17_RS00070,6237,6514,4869,2720
CHF17_RS00075,16166,10348,10384,7646
CHF17_RS00080,61670,52720,52723,47433
CHF17_RS00085,1845,1301,1012,237012
CHF17_RS00090,2,1,2,5785
CHF17_RS00095,378,197,299,252811
CHF17_RS00100,2,0,2,7152
CHF17_RS00105,22,19,7,108
CHF17_RS00110,55,53,21,158
CHF17_RS00115,116,111,48,174
CHF17_RS00120,222,225,109,191
CHF17_RS00125,194,177,90,88
CHF17_RS00130,120,92,50,48
CHF17_RS00135,129,42,27,30
CHF17_RS00140,99,27,21,20
CHF17_RS00145,113,29,22,19
CHF17_RS00150,1805,1198,929,236897
CHF17_RS00155,2,1,2,5785
CHF17_RS00160,378,197,299,252811
CHF17_RS00165,2,0,2,7152
CHF17_RS00170,22,19,7,108
CHF17_RS00175,55,53,21,158
CHF17_RS00180,116,111,48,174
CHF17_RS00185,222,225,109,191
CHF17_RS00190,194,177,90,88
CHF17_RS00195,120,92,50,48
CHF17_RS00200,129,42,27,30
CHF17_RS00205,99,27,21,20
CHF17_RS00210,85,24,20,18
CHF17_RS00215,69,21,15,16
CHF17_RS00220,90,20,13,13
CHF17_RS00225,159,32,23,22
CHF17_RS00230,157,29,24,20
CHF17_RS00235,147,39,28,28
CHF17_RS00240,118,44,25,36
CHF17_RS00245,118,52,30,44
CHF17_RS00250,141,53,35,49
CHF17_RS00255,128399,160741,125116,135410
CHF17_RS00260,42461,37671,37604,38158
CHF17_RS00265,14144,14119,13915,11088
CHF17_RS00270,9156,8178,8021,6661
CHF17_RS00275,788,789,725,479
CHF17_RS00280,20137,11734,12940,15955
CHF17_RS00285,7470,4269,4836,5554
CHF17_RS00290,1557,1798,2164,5099
CHF17_RS00295,5103,7381,10527,34748
CHF17_RS00300,2276,2689,3918,13563
CHF17_RS00305,1348,1308,1883,10930
CHF17_RS00310,751,854,1235,4243
CHF17_RS00315,2123,2387,2952,8964
CHF17_RS00320,6375,7119,7804,25229
CHF17_RS00325,343,287,196,599
CHF17_RS00330,21639,16642,19157,12251
CHF17_RS00335,19,14,10,8
CHF17_RS00340,80,52,56,21
CHF17_RS00345,30,21,32,21
CHF17_RS00350,51,30,48,28
CHF17_RS00355,16,18,12,9
CHF17_RS00360,44,36,39,25
CHF17_RS00365,74,59,82,56
CHF17_RS00370,40,29,31,35
CHF17_RS00375,125,114,91,44
CHF17_RS00380,1996,1396,1133,1324
CHF17_RS00385,476,286,284,1057
CHF17_RS00390,99,113,95,407
CHF17_RS00395,282,358,346,1468
CHF17_RS00400,4286,3007,3381,3836
CHF17_RS00405,4321,3555,3773,2492
CHF17_RS00410,9287,9316,8447,15844
CHF17_RS00415,5483,2581,2958,3120
CHF17_RS00420,11158,7576,7415,7332
CHF17_RS00425,7681,3792,3276,4622
CHF17_RS00430,12433,6502,6755,5928
CHF17_RS00435,49931,33549,31748,25711
CHF17_RS00440,42097,75864,72778,35484
CHF17_RS00445,293,504,423,448
CHF17_RS00450,10994,8302,9628,7012
CHF17_RS00455,10678,8152,7758,8872
CHF17_RS00460,7247,10252,4648,10530
CHF17_RS00465,38126,71628,41482,36119
CHF17_RS00470,28241,54554,35640,32271
CHF17_RS00475,13027,23457,17655,14684
CHF17_RS00480,26683,49174,36831,39836
CHF17_RS00485,8621,11183,9592,13963
CHF17_RS00490,10802,13785,12398,17664
CHF17_RS00495,24180,33611,28002,35410
CHF17_RS00500,15220,20558,17851,28756
CHF17_RS00505,4593,4571,4116,12516
CHF17_RS00510,10534,12424,10843,14259
CHF17_RS00515,12641,15565,13483,20127
CHF17_RS00520,14848,17986,15553,25392
