,sczA_Zn1,sczA_Zn2,sczA_Zn3,sczA_Zn4
CHF17_RS00005,15415,32159,17045,15007
CHF17_RS00010,27765,40328,28946,27202
CHF17_RS00015,4839,6450,5651,4855
CHF17_RS00020,1508,1714,1737,1388
CHF17_RS00025,801,1019,821,710
CHF17_RS00030,18481,19423,18232,16794
CHF17_RS00035,847,1201,882,811
CHF17_RS00040,8532,8875,9353,7970
CHF17_RS00045,227,229,214,214
CHF17_RS00050,1056,861,1076,1069
CHF17_RS00055,2205,1890,2288,2108
CHF17_RS00060,1327,1130,1373,1244
CHF17_RS00065,13216,11936,13295,12341
CHF17_RS00070,9328,9367,10304,9747
CHF17_RS00075,14078,18653,17220,15418
CHF17_RS00080,66918,88467,86415,71513
CHF17_RS00085,2037,1339,3360,1491
CHF17_RS00090,7,9,21,1
CHF17_RS00095,717,301,1370,200
CHF17_RS00100,6,4,20,1
CHF17_RS00105,18,11,15,27
CHF17_RS00110,53,31,43,75
CHF17_RS00115,108,70,76,125
CHF17_RS00120,204,141,127,194
CHF17_RS00125,187,125,100,145
CHF17_RS00130,117,91,62,82
CHF17_RS00135,143,84,76,88
CHF17_RS00140,109,64,65,67
CHF17_RS00145,104,72,70,75
CHF17_RS00150,2019,1341,3317,1415
CHF17_RS00155,7,9,21,1
CHF17_RS00160,717,301,1370,200
CHF17_RS00165,6,4,20,1
CHF17_RS00170,18,11,15,27
CHF17_RS00175,53,31,43,75
CHF17_RS00180,108,70,76,125
CHF17_RS00185,204,141,127,194
CHF17_RS00190,187,125,100,145
CHF17_RS00195,117,91,62,82
CHF17_RS00200,143,84,76,88
CHF17_RS00205,109,64,65,67
CHF17_RS00210,94,57,59,66
CHF17_RS00215,65,54,39,51
CHF17_RS00220,68,56,33,49
CHF17_RS00225,112,107,61,77
CHF17_RS00230,113,110,66,84
CHF17_RS00235,125,119,79,97
CHF17_RS00240,112,117,76,97
CHF17_RS00245,123,132,89,106
CHF17_RS00250,144,160,102,118
CHF17_RS00255,131324,105283,118482,133026
CHF17_RS00260,36828,33953,35564,39519
CHF17_RS00265,20590,15880,20148,17951
CHF17_RS00270,14677,12220,13723,12591
CHF17_RS00275,1363,1290,1344,1167
CHF17_RS00280,12440,14491,12116,11126
CHF17_RS00285,4750,5688,4728,4226
CHF17_RS00290,454,895,516,511
CHF17_RS00295,1090,1172,1877,2749
CHF17_RS00300,508,541,1024,1495
CHF17_RS00305,326,429,591,869
CHF17_RS00310,269,274,414,573
CHF17_RS00315,1113,1094,1750,2004
CHF17_RS00320,4016,4044,5712,5858
CHF17_RS00325,319,828,604,505
CHF17_RS00330,13663,15986,16352,14032
CHF17_RS00335,69,53,95,98
CHF17_RS00340,105,98,152,149
CHF17_RS00345,65,64,105,83
CHF17_RS00350,75,56,122,99
CHF17_RS00355,16,20,41,34
CHF17_RS00360,40,57,65,66
CHF17_RS00365,100,80,149,138
CHF17_RS00370,64,89,126,98
CHF17_RS00375,210,234,271,223
CHF17_RS00380,2520,3361,2945,2976
CHF17_RS00385,89,193,324,479
CHF17_RS00390,38,54,131,205
CHF17_RS00395,191,206,344,532
CHF17_RS00400,2942,3478,3250,2749
CHF17_RS00405,3998,4689,4347,3648
CHF17_RS00410,8594,8640,9066,8697
CHF17_RS00415,1857,3777,1889,2100
CHF17_RS00420,6486,9421,7129,6773
