,sczA_Cu1,sczA_Cu2,sczA_Cu3,sczA_Cu4
CHF17_RS00005,20173,15548,11367,14792
CHF17_RS00010,29564,23916,18259,24565
CHF17_RS00015,5452,3962,3190,3550
CHF17_RS00020,1542,1086,840,1025
CHF17_RS00025,924,610,441,450
CHF17_RS00030,28193,23122,19017,17686
CHF17_RS00035,987,1042,896,769
CHF17_RS00040,5679,9999,8353,6905
CHF17_RS00045,154,228,227,183
CHF17_RS00050,2025,2071,1183,1214
CHF17_RS00055,3944,3992,2479,2370
CHF17_RS00060,2040,2242,1256,1171
CHF17_RS00065,16534,19406,12533,10701
CHF17_RS00070,7675,10725,7227,5671
CHF17_RS00075,14066,13814,10559,13496
CHF17_RS00080,38380,58951,53806,60025
CHF17_RS00085,3039,4478,2297,1439
CHF17_RS00090,3,20,10,5
CHF17_RS00095,940,1786,867,878
CHF17_RS00100,5,25,9,6
CHF17_RS00105,42,34,27,19
CHF17_RS00110,107,89,85,63
CHF17_RS00115,169,166,158,117
CHF17_RS00120,277,289,276,181
CHF17_RS00125,200,222,211,139
CHF17_RS00130,122,117,130,76
CHF17_RS00135,114,101,94,71
CHF17_RS00140,89,80,68,49
CHF17_RS00145,95,94,70,48
CHF17_RS00150,2764,4358,2221,1324
CHF17_RS00155,3,20,10,5
CHF17_RS00160,940,1786,867,878
CHF17_RS00165,5,25,9,6
CHF17_RS00170,42,34,27,19
CHF17_RS00175,107,89,85,63
CHF17_RS00180,169,166,158,117
CHF17_RS00185,277,289,276,181
CHF17_RS00190,200,222,211,139
CHF17_RS00195,122,117,130,76
CHF17_RS00200,114,101,94,71
CHF17_RS00205,89,80,68,49
CHF17_RS00210,83,76,60,45
CHF17_RS00215,74,61,52,32
CHF17_RS00220,70,62,44,27
CHF17_RS00225,111,105,70,49
CHF17_RS00230,88,101,66,48
CHF17_RS00235,100,111,81,60
CHF17_RS00240,87,103,79,57
CHF17_RS00245,104,119,82,61
CHF17_RS00250,121,135,81,58
CHF17_RS00255,358815,421353,283879,227456
CHF17_RS00260,87028,53007,44705,51251
CHF17_RS00265,21316,15871,12656,15826
CHF17_RS00270,12563,10047,6938,8389
CHF17_RS00275,1234,877,777,783
CHF17_RS00280,31476,16454,12789,14912
CHF17_RS00285,11457,6399,4505,5561
CHF17_RS00290,5142,1811,1918,2570
CHF17_RS00295,10523,4842,8228,14647
CHF17_RS00300,3428,1675,2762,5292
CHF17_RS00305,2289,948,1417,2730
CHF17_RS00310,1107,524,791,1802
CHF17_RS00315,2689,1837,2181,4040
CHF17_RS00320,9434,6502,7216,10534
CHF17_RS00325,357,1528,878,543
CHF17_RS00330,26589,26814,20635,23841
CHF17_RS00335,13,23,6,24
CHF17_RS00340,66,57,58,68
CHF17_RS00345,44,23,31,42
CHF17_RS00350,51,41,35,52
CHF17_RS00355,26,19,20,23
CHF17_RS00360,63,43,45,43
CHF17_RS00365,68,59,57,67
CHF17_RS00370,32,37,29,56
CHF17_RS00375,100,117,93,114
CHF17_RS00380,2657,2116,1679,1740
CHF17_RS00385,387,304,219,674
CHF17_RS00390,119,65,94,238
CHF17_RS00395,372,270,407,891
CHF17_RS00400,3659,3065,2927,3747
CHF17_RS00405,3989,3753,3339,3629
CHF17_RS00410,12735,9942,10064,10332
CHF17_RS00415,4178,2577,1710,2281
CHF17_RS00420,9067,7825,6654,7694
CHF17_RS00425,7472,6187,4358,6065
CHF17_RS00430,11556,10032,6764,8445
CHF17_RS00435,54240,47607,33146,40611
CHF17_RS00440,37878,63533,79365,38306
CHF17_RS00445,557,436,697,296
CHF17_RS00450,16397,9110,7838,9969
CHF17_RS00455,13677,9156,7341,9485
CHF17_RS00460,7454,12082,9722,10012
CHF17_RS00465,34666,63054,57772,62958
CHF17_RS00470,21619,42725,41179,50876
CHF17_RS00475,9907,16611,16509,24362
CHF17_RS00480,24370,30290,33390,66022
CHF17_RS00485,8705,5963,7154,20816
CHF17_RS00490,11230,7563,8624,24653
CHF17_RS00495,25033,19975,21485,57905
CHF17_RS00500,16434,12986,14583,37147
CHF17_RS00505,5077,3088,3618,10334
CHF17_RS00510,10524,7190,8010,23420
CHF17_RS00515,12716,8210,10199,31674
CHF17_RS00520,14554,9216,11644,33700
CHF17_RS00525,17792,14629,17472,44051
CHF17_RS00530,8864,9764,9717,20969
CHF17_RS00535,16309,19833,17876,32501
CHF17_RS00540,21714,30987,29455,46483
CHF17_RS00545,9577,14755,14588,19198
CHF17_RS00550,16095,24385,24787,30300
CHF17_RS00555,7857,11567,11008,13889
CHF17_RS00560,23607,39864,40340,45239
CHF17_RS00565,133229,210841,180701,173651
CHF17_RS00570,10110,16218,15654,10673
CHF17_RS00575,14291,19870,15458,12018
CHF17_RS00580,16606,21624,17724,13553
CHF17_RS00585,42292,65328,65017,54888
CHF17_RS00590,38166,69669,73061,62620
CHF17_RS00595,86268,187809,203499,182681
CHF17_RS00600,42604,77907,77815,65804
CHF17_RS00605,3039,4478,2297,1439
CHF17_RS00610,3,20,10,5
CHF17_RS00615,936,1777,859,873
CHF17_RS00620,5,25,9,6
CHF17_RS00625,34,20,16,12
CHF17_RS00630,103,82,62,43
CHF17_RS00635,216,198,141,107
CHF17_RS00640,221,226,163,117
CHF17_RS00645,230,245,183,135
CHF17_RS00650,140,155,121,82
CHF17_RS00655,140,143,126,78
CHF17_RS00660,155,153,139,93
CHF17_RS00665,152,144,138,96
CHF17_RS00670,199,198,198,147
CHF17_RS00675,317,311,320,229
CHF17_RS00680,353,350,383,278
CHF17_RS00685,233,184,86,115
CHF17_RS00690,304,220,109,154
CHF17_RS00695,342,248,177,204
CHF17_RS00700,399,302,159,194
CHF17_RS00705,709,523,358,467
CHF17_RS00710,1636,1336,886,1178
CHF17_RS00715,15502,10435,8127,12484
CHF17_RS00720,5048,3976,3708,4508
CHF17_RS00725,15818,11094,10778,11654
CHF17_RS00730,9348,4680,3707,4667
CHF17_RS00735,2413,1542,1451,1910
CHF17_RS00740,18243,11075,10625,14595
CHF17_RS00745,4533,2664,2189,3202
CHF17_RS00750,487,291,338,364
CHF17_RS00755,1186,984,731,822
CHF17_RS00760,7270,5387,4159,5019
CHF17_RS00765,1438,1058,855,1010
CHF17_RS00770,472,362,314,269
CHF17_RS00775,901,1248,981,964
CHF17_RS00780,442,569,462,451
CHF17_RS00785,17063,10410,7538,10925
CHF17_RS00790,274,204,187,159
CHF17_RS00795,56,97,76,59
CHF17_RS00800,230,280,245,251
CHF17_RS00805,171,290,233,245
CHF17_RS00810,43,53,59,45
CHF17_RS00815,59,91,61,52
CHF17_RS00820,28,52,46,32
CHF17_RS00825,35,60,52,35
CHF17_RS00830,139,166,146,212
CHF17_RS00835,158,170,182,241
CHF17_RS00840,52,63,47,72
CHF17_RS00845,100,134,117,142
CHF17_RS00850,76,113,114,139
CHF17_RS00855,71,105,109,140
CHF17_RS00860,101,137,119,127
CHF17_RS00865,229,243,204,207
CHF17_RS00870,138,160,130,130
CHF17_RS00875,1415,1124,769,768
CHF17_RS00880,207,149,95,99
CHF17_RS00885,9411,5583,3973,5029
CHF17_RS00890,4615,2688,1918,2618
CHF17_RS00895,326,235,147,158
CHF17_RS00900,154,139,128,158
CHF17_RS00905,556,555,465,645
CHF17_RS00910,35,36,31,41
CHF17_RS00915,30,35,8,34
CHF17_RS00920,597,624,524,1027
