,WT_A,WT_B,WT_C,DcsrR_A,DcsrR_B,DcsrR_C
AS_GENE_+_M5005_Spy0015_AS,12,10,3,4,2,6
AS_GENE_+_M5005_Spy0016_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0028_AS,7,9,6,1,1,3
AS_GENE_+_M5005_Spy0072_AS,14,14,7,3,9,3
AS_GENE_+_M5005_Spy0080_AS,1,1,0,0,0,0
AS_GENE_+_M5005_Spy0081_AS,0,4,0,3,1,0
AS_GENE_+_M5005_Spy0096_AS,2,4,2,0,3,0
AS_GENE_+_M5005_Spy0097_AS,6,9,4,0,4,4
AS_GENE_+_M5005_Spy0098_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0103_AS,0,2,1,0,0,0
AS_GENE_+_M5005_Spy0104_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0105_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0106_AS,0,0,0,1,0,0
AS_GENE_+_M5005_Spy0112_AS,1,4,1,3,2,1
AS_GENE_+_M5005_Spy0113_AS,0,1,0,1,0,0
AS_GENE_+_M5005_Spy0115_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0117_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0118_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0122_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0134_AS,0,0,0,1,0,0
AS_GENE_+_M5005_Spy0135_AS,1,2,2,0,0,3
AS_GENE_+_M5005_Spy0143_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0144_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0145_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0165_AS,2,4,0,2,0,1
AS_GENE_+_M5005_Spy0166_AS,1,1,1,1,0,1
AS_GENE_+_M5005_Spy0167_AS,1,0,0,2,1,0
AS_GENE_+_M5005_Spy0168_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0169_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0171_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0172_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0173_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0180_AS,1,3,2,1,3,1
AS_GENE_+_M5005_Spy0186_AS,8,11,14,3,5,2
AS_GENE_+_M5005_Spy0192_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0193_AS,0,0,1,0,0,0
AS_GENE_+_M5005_Spy0194_AS,1,1,1,1,0,0
AS_GENE_+_M5005_Spy0219_AS,1,3,0,1,0,0
AS_GENE_+_M5005_Spy0234_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0235_AS,0,0,0,1,0,0
AS_GENE_+_M5005_Spy0236_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0247_AS,4,3,4,2,0,1
AS_GENE_+_M5005_Spy0248_AS,13,28,4,3,4,5
AS_GENE_+_M5005_Spy0254_AS,0,0,0,0,0,2
AS_GENE_+_M5005_Spy0255_AS,22,21,4,5,4,2
AS_GENE_+_M5005_Spy0274_AS,6,9,0,3,7,4
AS_GENE_+_M5005_Spy0276_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0277_AS,0,2,2,0,1,1
AS_GENE_+_M5005_Spy0278_AS,1,5,4,0,2,2
AS_GENE_+_M5005_Spy0294_AS,0,0,1,0,2,0
AS_GENE_+_M5005_Spy0295_AS,2,1,1,0,0,1
AS_GENE_+_M5005_Spy0296_AS,0,1,1,0,0,0
AS_GENE_+_M5005_Spy0297_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0298_AS,0,1,0,0,0,0
AS_GENE_+_M5005_Spy0321_AS,2,6,1,1,4,1
AS_GENE_+_M5005_Spy0322_AS,12,16,5,1,4,6
AS_GENE_+_M5005_Spy0323_AS,3,4,1,0,1,0
AS_GENE_+_M5005_Spy0324_AS,3,4,2,0,1,1
AS_GENE_+_M5005_Spy0325_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0337_AS,5,11,2,1,6,0
AS_GENE_+_M5005_Spy0339_AS,0,6,3,1,5,3
AS_GENE_+_M5005_Spy0351_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0354_AS,0,1,1,0,2,1
AS_GENE_+_M5005_Spy0356_AS,20,28,9,2,16,11
AS_GENE_+_M5005_Spy0357_AS,2,2,1,0,0,1
AS_GENE_+_M5005_Spy0367_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0371_AS,6,10,7,0,3,2
AS_GENE_+_M5005_Spy0373_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0392_AS,1,0,0,0,1,0
AS_GENE_+_M5005_Spy0395_AS,1,2,2,1,1,3
AS_GENE_+_M5005_Spy0396_AS,0,0,0,0,0,1
AS_GENE_+_M5005_Spy0397_AS,6,6,5,3,3,6
AS_GENE_+_M5005_Spy0401_AS,0,1,0,0,0,2
AS_GENE_+_M5005_Spy0404_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0406_AS,0,0,0,0,1,0
AS_GENE_+_M5005_Spy0417_AS,16,13,6,4,8,6
AS_GENE_+_M5005_Spy0418_AS,15,38,18,3,5,10
AS_GENE_+_M5005_Spy0419_AS,8,9,3,2,1,5
AS_GENE_+_M5005_Spy0420_AS,6,12,9,2,6,3
AS_GENE_+_M5005_Spy0421_AS,1,2,1,0,0,0
AS_GENE_+_M5005_Spy0422_AS,2,2,3,2,5,1
AS_GENE_+_M5005_Spy0423_AS,3,6,4,2,2,3
AS_GENE_+_M5005_Spy0440_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0451_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0452_AS,0,2,0,0,0,0
AS_GENE_+_M5005_Spy0453_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0454_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0455_AS,0,3,0,0,0,1
AS_GENE_+_M5005_Spy0467_AS,32,32,27,17,18,24
AS_GENE_+_M5005_Spy0468_AS,4,6,6,4,3,7
AS_GENE_+_M5005_Spy0473_AS,2,5,1,1,1,1
AS_GENE_+_M5005_Spy0477_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0478_AS,1,1,0,0,0,0
AS_GENE_+_M5005_Spy0481_AS,0,0,0,0,0,0
AS_GENE_+_M5005_Spy0488_AS,3,15,4,3,2,3
AS_GENE_+_M5005_Spy0492_AS,0,0,0,1,1,2
