,WT-W Total Reads,WT-X Total Reads,WT-Y Total Reads,dLiaF-W Total Reads,dLiaF-X Total Reads,dLiaF-Y Total Reads,dLiaR-W Total Reads,dLiaR-Y Total Reads,dLiaR-Z Total Reads
SpyM3_0001,10557,12628,13000,11848,14444,16185,8874,14121,12028
SpyM3_0002,11343,13981,13335,12952,14830,17440,9910,16521,12779
SpyM3_0003,271,334,365,265,296,341,245,376,315
SpyM3_0004,20132,28103,25571,20654,24105,27821,22195,37637,32296
SpyM3_0005,1060,1591,1421,1098,1223,1514,1073,1886,1473
SpyM3_0006,9496,13522,12654,10058,12026,13964,10320,14770,14008
SpyM3_0007,1368,1666,1664,1547,1607,1802,1189,1799,1396
SpyM3_0008,1463,2052,1836,1499,1707,2202,1361,2187,1459
SpyM3_0009,8603,11074,10985,9554,10990,12342,7943,11963,9663
SpyM3_0010,9180,13020,11787,29796,32189,39240,7056,11094,9244
SpyM3_0011,11958,16220,16493,45255,47670,51113,9151,15188,12226
SpyM3_0012,69185,95226,85654,259582,292220,319978,49896,90241,70947
SpyM3_0013,8198,10131,10060,7031,7941,8842,9004,15423,12883
SpyM3_0014,39658,48012,48446,28979,39543,36963,32216,61874,48275
SpyM3_0015,10634,13349,11776,15102,16731,19104,9906,18442,14412
SpyM3_0016,1042,1376,1280,1652,1764,2302,732,1112,960
SpyM3_0017,11400,16133,15106,15625,16979,19520,8533,14935,13876
SpyM3_0018,527,705,557,733,812,904,356,647,399
SpyM3_0019,969,1324,1426,335,576,641,1564,2423,2704
SpyM3_0020,2362,3560,3267,791,1462,1577,4175,7247,6974
SpyM3_0021,2566,3678,3680,1032,1489,1751,4257,6801,7373
SpyM3_0022,1609,2272,2525,619,1015,901,2537,4089,4522
SpyM3_0023,521,630,780,201,324,382,949,1413,2007
SpyM3_0024,1590,1949,2134,650,987,1027,2498,4733,5357
SpyM3_0025,285,348,452,115,186,226,479,769,874
SpyM3_0026,3281,4150,4561,791,1186,1335,5293,8222,9537
SpyM3_0027,1252,1809,1751,296,510,560,2169,3412,3728
SpyM3_0028,1985,2860,3121,596,893,922,3417,5854,6806
SpyM3_0029,7394,10944,11090,4379,5131,5675,10734,16111,15913
SpyM3_0030,9503,13456,13412,6089,7981,8831,12779,21289,20226
SpyM3_0031,1068,1569,1407,507,717,905,969,1668,1557
SpyM3_0032,13401,18026,18392,12141,13265,14661,11954,20752,17976
SpyM3_0033,1730,2117,2148,1523,1716,1822,1810,3093,2746
SpyM3_0034,3880,5361,5457,3428,3690,4276,3859,6683,6062
SpyM3_0035,13210,17231,17774,12139,13518,16202,14283,25028,20744
SpyM3_0036,4259,6090,5422,9394,15710,15920,6652,9643,11536
SpyM3_0037,2410,4127,3219,5295,5984,5394,3716,5026,5555
SpyM3_0038,2127,2707,2526,1611,2080,1859,1445,2566,2150
SpyM3_0060,218009,332889,318862,216116,282945,271127,237360,403300,260027
SpyM3_0061,26669,38351,35814,24223,30642,33096,27677,47991,38828
SpyM3_0062,38401,44188,44541,32552,35540,40766,39497,53330,43092
SpyM3_0066,245768,284250,308691,220620,256533,278795,245473,433032,346221
SpyM3_0068,337,516,407,267,227,183,287,546,628
SpyM3_0069,2367,3206,3186,1833,2199,2224,2049,3727,2990
SpyM3_0070,6674,8330,9418,5191,5768,6370,6600,10470,9510
SpyM3_0071,4397,5326,6074,3784,4033,4042,3924,7659,6645
SpyM3_0072,5195,7982,8078,3677,5177,6250,6726,9541,7691
SpyM3_0073,17910,24728,23065,13834,18809,20319,20215,35133,29003
SpyM3_0074,17462,21283,20857,23282,26259,27153,11792,21070,17388
SpyM3_0075,61061,81110,79274,59909,79022,77957,54718,96581,76561
SpyM3_0076,99952,131320,124700,92287,118701,116817,86545,147426,115303
SpyM3_0077,1885,2361,2633,685,593,608,1525,2271,1658
SpyM3_0078,59,75,86,42,35,52,78,90,116
SpyM3_0079,68,83,102,28,61,56,98,126,167
SpyM3_0080,13,17,22,5,10,15,20,42,26
SpyM3_0081,19,16,18,12,4,18,22,30,30
SpyM3_0082,28,26,27,17,9,16,27,44,33
SpyM3_0083,17,23,28,9,14,14,25,47,33
SpyM3_0084,28,49,47,23,22,27,23,53,48
SpyM3_0085,8557,10596,11789,6859,7839,8595,8287,14382,11444
SpyM3_0086,19432,28576,28244,25384,27261,29688,21187,34983,32045
SpyM3_0087,115,137,138,147,146,169,92,173,128
SpyM3_0088,3217,4431,3861,3297,4207,4193,2926,4609,3847
SpyM3_0089,4943,7021,6077,4910,5995,5067,4401,6948,6347
