Locus_tag,Cont_1,Cont_2,HPUra_1,HPUra_2,Kan_1
SPD_0001,235788,189695,378366,199091,233131
SPD_0002,311107,306083,414118,172688,316485
SPD_0003,86884,70611,139583,56362,100695
SPD_0004,873478,847540,730754,306910,520160
SPD_0005,156714,148169,189067,82928,166407
SPD_0006,378200,399392,502014,278971,362592
SPD_0007,443298,632828,699582,453811,547153
SPD_0008,301643,372888,419533,218882,335229
SPD_0009,42290,44982,46940,29841,34192
SPD_0010,701182,634188,748622,386080,584335
SPD_0011,446795,523172,572895,295307,359154
SPD_0012,265503,420282,272481,178583,209554
SPD_0013,2351201,2565922,2039332,1105375,1404112
SPD_0014,12830,24331,1593232,1591756,2377762
SPD_0015,17186,19613,34794,43129,60368
SPD_0016,711774,1618588,249857,7730469,108896
SPD_0017,2015,1787,570,2679,542
SPD_0018,5186169,7824235,1493354,35917206,779405
SPD_0019,2602,2741,1092,2790,345
SPD_0020,4375,4575,3011,1870,1635
SPD_0023,16143,25028,1152558,388963,2955151
SPD_0024,638282,644948,2815891,1285734,3672989
SPD_0025,9148,19551,19693,9755,21100
SPD_0026,28894,32338,31928,18333,13084
SPD_0027,114650,110106,176585,144486,50477
SPD_0028,84616,66113,131033,103713,30671
SPD_0029,70462,69967,249310,205510,36012
SPD_0030,118002,177341,191890,114840,206089
SPD_0031,365781,867180,543910,298578,442585
SPD_0032,13028,23872,24489,13556,15031
SPD_0033,726168,906763,579485,285735,553637
SPD_0035,5601,8141,335629,199517,12081
SPD_0036,4073,5130,395044,192628,13043
SPD_0037,19297,13544,2606255,1211169,76715
SPD_0038,856180,1235092,944450,650900,462144
SPD_0039,108933,211090,109924,67159,85909
SPD_0040,1415027,3244548,1509292,647049,537667
SPD_0041,187294,231542,206809,133893,184417
SPD_0042,66106,94691,85894,50891,80483
SPD_0043,81584,115684,90914,66078,81213
SPD_0044,12670,23069,14946,11697,16218
SPD_0046,6441,14995,12398,14087,16516
SPD_0047,7437,15997,12019,14689,15367
SPD_0049,23092,70874,2834546,2278330,2645931
SPD_0050,11038,46489,1558315,1318780,1461133
SPD_0051,3647,17082,15723,10214,4555
SPD_0052,44275,62291,101047,77024,13775
SPD_0053,28903,55944,84855,68342,9345
SPD_0054,11064,27992,35626,24778,3638
SPD_0055,13474,15961,25526,16787,3180
SPD_0056,9132,18160,24062,17707,3353
SPD_0057,46412,62011,75640,53054,10011
SPD_0058,20496,32409,77970,51147,9786
SPD_0059,4294,4221,9696,4841,1066
SPD_0060,51576,50104,113344,61905,16575
SPD_0061,53649,46889,102559,46852,32656
SPD_0062,250905,254405,378015,226956,99520
SPD_0063,183153,147562,206643,78775,150002
SPD_0064,4336425,6135733,6320296,2481259,3807345
SPD_0065,38740,43228,23616,11001,10044
SPD_0066,4882,9050,2967,2350,1768
SPD_0067,9405,23209,10481,5398,4142
SPD_0068,10575,13861,7545,3637,3214
SPD_0069,6662,11944,3836,2602,2929
SPD_0070,16320,17353,10890,2929,4000
SPD_0071,12598,25552,21399,15511,4947
SPD_0072,4662,15021,8197,4615,2961
SPD_0073,67242,158412,164373,73259,75239
SPD_0074,83379,123598,135485,75640,125920
SPD_0075,9781,16421,12969,6563,8292
SPD_0076,1871140,3057381,1874762,1118576,880680
SPD_0077,1018218,1360994,1217838,694159,506173
SPD_0078,184553,164301,191938,115604,99663
SPD_0079,40607,44302,35456,15522,17916
SPD_0080,76704,101415,129491,64356,19293
SPD_0081,314922,300572,183476,130158,96915
SPD_0082,355647,333698,218502,133106,103953
SPD_0083,3684857,3089586,1703588,869908,1316791
SPD_0084,36577,37918,51200,20576,13909
SPD_0085,582,1121,342,0,0
SPD_0086,188190,178780,269540,105152,102115
SPD_0087,80789,77115,96589,37513,32224
SPD_0088,9713,15097,9222,4113,1587
SPD_0089,4863,7260,2979,2688,1113
SPD_0090,9318,19957,17131,6583,1938
SPD_0091,2632267,2456474,1106857,515428,1428216
SPD_0092,257625,212483,143241,81453,90867
SPD_0093,577951,586068,563669,189119,288072
SPD_0094,709300,467627,612817,186989,260694
SPD_0095,210749,142132,179036,68028,85837
SPD_0096,78536,54964,65555,20078,38357
SPD_0097,307285,435800,515925,199170,107239
SPD_0098,879239,789016,1377302,594577,961520
SPD_0099,922528,1053792,849277,480256,416444
SPD_0101,266169,235133,191745,85991,117463
SPD_0102,105301,81186,71564,35809,41384
SPD_0103,958042,715379,826445,269228,684122
SPD_0104,7288027,7971009,4766536,1931868,4062348
SPD_0105,3308,4898,6483,2238,2727
SPD_0106,74471,123857,45255,26653,198776
SPD_0107,547678,437634,346379,201913,587614
SPD_0108,98539,97698,73100,51690,97757
SPD_0109,4264,11894,8442,4463,2762
SPD_0110,6526,23835,24532,9060,4285
SPD_0111,11861,36045,30077,11532,5294
SPD_0112,42296,40251,53563,18644,40610
SPD_0114,16191,25949,21730,9559,1294
SPD_0115,93917,152555,152896,80839,21684
SPD_0116,48123,90335,69720,65526,12153
SPD_0117,7148,14357,9646,10059,15857
SPD_0118,3321,6118,4693,2416,7539
SPD_0119,12717,30354,13070,7443,20024
SPD_0120,11891,30427,10648,8201,16417
SPD_0121,10449,20235,14657,12668,15713
SPD_0122,10216,13909,13937,7131,12929
SPD_0123,11658,14280,16119,10197,14122
SPD_0124,19263,19928,13363,5343,7984
SPD_0125,8962,12752,6061,4152,3111
SPD_0126,686989,1061031,291864,130698,1050674
SPD_0127,492656,472531,499607,336544,400366
SPD_0128,265550,247376,406777,213834,200622
SPD_0129,374691,364880,513692,297324,187597
SPD_0130,2944470,2868048,2683323,1348961,1418102
SPD_0131,445060,454900,508128,257294,325499
SPD_0132,2193,6641,2623861,1272612,151949
SPD_0133,4234,14599,7985649,3429265,493004
SPD_0134,107208,148053,102187,64222,56103
SPD_0135,97241,134433,94188,69926,37590
SPD_0136,125344,222889,109892,80383,48330
SPD_0138,12896,27469,29280,18119,10510
SPD_0139,5088,16859,12147,12920,4408
SPD_0140,17343,42409,58305,39883,12529
SPD_0141,0,4276,3167,1103,976
SPD_0142,2714,5940,4363,1927,1902
SPD_0143,2223,4450,3044,1425,350
SPD_0144,43975,55058,61696,51758,34646
SPD_0145,12853,14698,22626,18206,7193
SPD_0146,86615,101961,132605,96467,43713
SPD_0147,75988,89331,109495,67863,36016
SPD_0148,92809,123953,138425,85144,36026
SPD_0149,4654,6601,6033,2720,918
SPD_0150,1162171,1041847,756495,267066,706207
SPD_0151,331444,355341,309244,146083,186371
SPD_0152,79110,91616,150723,81593,54331
SPD_0153,57182,72684,121739,74058,50206
SPD_0154,14636,35701,31661,16584,16214
SPD_0155,90987,217823,67109,30803,35767
SPD_0156,73454,102045,61880,33874,34706
SPD_0157,221372,171112,243780,137265,109977
SPD_0158,171324,128322,182965,94221,94344
SPD_0159,2013246,4095578,1487026,946408,1002616
SPD_0160,175946,183880,208508,70110,347069
SPD_0161,67614,120771,61199,40822,21873
SPD_0162,55687,43528,66413,20582,35985
SPD_0163,127570,97364,150142,51474,90143
SPD_0164,1016,2498,1960,1662,1820
SPD_0165,491523,559180,563604,297940,251438
SPD_0166,4906,3284,3430,3694,33373
SPD_0167,18585,24176,15453,7888,114613
SPD_0168,14304,23739,18130,11789,79474
SPD_0169,23248,37681,32571,14175,110873
SPD_0170,63100,78909,74027,44455,33556
SPD_0171,113465,104260,131560,71949,59814
SPD_0172,158333,192831,160769,89449,75048
SPD_0173,127097,111908,117872,59964,70346
SPD_0174,479926,454654,410711,164084,207410
SPD_0175,1086987,674428,1016500,345666,512796
SPD_0176,310158,379986,255016,172921,221491
SPD_0177,297151,298472,257645,151899,205151
