GeneID,CovS-LP1,CovS+LP1,CovS-SP1,CovS+SP1,CovS-LP2,CovS+LP2,CovS-SP2,CovS+SP2
FE90_0001,795,1956,494,881,1666,1784,663,559
FE90_0002,1184,3156,614,1441,2369,2562,805,812
FE90_0003,115,147,37,44,147,136,48,32
FE90_0004,1765,2855,706,959,2379,2907,934,766
FE90_0005,212,487,112,153,363,408,169,110
FE90_0006,2034,3266,792,1498,3586,3299,1113,802
FE90_0007,818,653,170,444,1139,690,310,181
FE90_0008,718,797,183,641,1264,802,329,180
FE90_0009,445,457,114,384,809,499,187,114
FE90_0010,1526,2178,504,1014,2634,2125,706,473
FE90_0011,1729,2681,559,1000,2711,2488,847,667
FE90_0012,1863,2946,581,1025,2650,2517,869,733
FE90_0013,9683,13363,2643,6060,14619,11541,3834,3580
FE90_0014,1093,1196,420,474,1429,1058,515,384
FE90_rRNA0001,0,0,0,0,0,0,0,0
FE90_tRNA0002,0,0,0,0,0,0,0,0
FE90_rRNA0003,0,0,0,0,0,0,0,0
FE90_rRNA0004,0,0,0,0,0,0,0,0
FE90_tRNA0005,0,0,0,0,0,0,0,0
FE90_tRNA0006,0,0,0,0,0,0,0,0
FE90_tRNA0007,0,0,0,0,0,0,0,0
FE90_tRNA0008,0,0,0,0,0,0,0,0
FE90_tRNA0009,14,48,14,5,23,63,11,10
FE90_tRNA0010,27,72,41,12,45,97,40,19
FE90_tRNA0011,51,105,83,50,132,127,91,37
FE90_tRNA0012,48,88,78,37,115,104,77,33
FE90_tRNA0013,49,99,59,22,103,124,59,20
FE90_tRNA0014,35,78,52,12,62,97,54,9
FE90_tRNA0015,16,65,33,12,55,107,32,7
FE90_tRNA0016,9,38,17,8,22,67,17,5
FE90_tRNA0017,0,0,0,0,0,0,0,0
FE90_tRNA0018,32,43,37,3,23,37,37,12
FE90_tRNA0019,61,123,77,5,40,130,58,26
FE90_tRNA0020,79,164,77,16,130,218,55,30
FE90_tRNA0021,82,148,54,25,181,203,44,18
FE90_0015,2122,2980,116,637,4197,2689,203,265
FE90_0016,1199,1591,502,1241,2098,1564,698,744
FE90_0017,162,248,125,114,256,247,175,91
FE90_0018,1533,2355,897,2010,2191,2056,1218,1567
FE90_0019,367,573,211,519,581,487,264,398
FE90_0020,192,95,110,38,191,73,146,19
FE90_0021,536,565,431,227,639,443,567,150
FE90_0022,298,315,212,220,458,264,313,111
FE90_0023,220,198,162,153,360,159,202,107
FE90_0024,169,134,104,96,218,102,165,43
FE90_0025,322,288,257,161,488,235,320,74
FE90_0026,220,112,177,68,248,128,291,62
FE90_0027,657,273,359,277,892,271,550,168
FE90_0028,176,84,116,77,210,96,173,69
FE90_0029,244,168,175,155,406,125,250,97
FE90_0030,764,1160,551,582,1120,1083,681,449
FE90_0031,932,1402,484,660,1500,1173,765,513
FE90_0032,182,129,132,104,237,164,125,68
FE90_0033,1508,2192,926,1352,2516,1931,1096,969
FE90_0034,1042,1571,594,1145,1348,1417,866,1080
FE90_0035,757,1136,564,1055,1111,1079,691,987
FE90_0036,2861,4328,1998,3869,4284,4268,2774,3466
FE90_0037,3328,1840,9328,3720,4790,2693,12219,3022
FE90_0038,1572,2106,3308,3148,2290,2605,4410,3635
FE90_0039,638,554,223,399,718,428,306,305
FE90_0040,1132,1681,154,229,1654,1604,176,175
FE90_0041,4239,5419,580,819,5905,4630,777,665
FE90_0042,8283,10053,925,2206,12245,8573,1377,1138
FE90_0043,8702,9681,945,1940,10785,8313,1389,1153
FE90_0044,6762,7559,775,1521,8302,6450,1194,962
FE90_0045,14953,16174,1810,3773,20795,14517,2628,2032
FE90_0046,7689,8495,885,1805,10282,7432,1298,1045
FE90_0047,9054,9874,1108,2391,12951,8418,1605,1242
FE90_0048,12489,13149,1430,3117,16446,11556,2105,1810
FE90_0049,10453,11572,1009,2899,14945,10918,1574,1573
FE90_0050,4788,5498,447,1179,6975,4815,640,588
FE90_0051,8011,8572,895,2480,13463,7859,1377,1083
FE90_0052,9228,10947,1233,2700,14081,9385,1889,1364
FE90_0053,10269,12000,2155,3986,17010,11102,2870,1897
FE90_0054,8284,8888,1674,2247,12189,8078,2357,1301
FE90_0055,2144,2333,191,492,3347,2133,249,250
FE90_0056,7625,7768,622,2056,12446,7365,860,961
FE90_0057,6956,7518,489,1651,11053,6801,677,711
FE90_0058,9360,8872,957,2201,13123,8082,1386,1170
FE90_0059,10128,9216,1195,2620,14934,8242,1611,1369
FE90_0060,2200,2102,159,420,2909,1894,226,236
FE90_0061,10057,10394,583,2597,16642,9784,901,997
FE90_0062,25181,23703,1901,6173,39305,22593,2558,2547
FE90_0063,4445,5330,625,1344,6606,4740,799,709
FE90_0064,6419,7378,715,1338,8477,6355,969,830
FE90_0065,3576,4632,462,725,5182,3839,638,425
FE90_0066,8974,10188,1322,2015,13267,9470,1736,1303
FE90_0067,4790,4945,468,865,7342,4442,586,478
FE90_0068,18629,19653,1475,3157,27716,18540,2036,1658
FE90_0069,6253,6252,393,857,9436,5538,520,427
FE90_rRNA0022,0,0,0,0,0,0,0,0
FE90_tRNA0023,0,0,0,0,0,0,0,0
FE90_rRNA0024,0,0,0,0,0,0,0,0
FE90_rRNA0025,0,0,0,0,0,0,0,0
FE90_tRNA0026,28,31,8,0,7,43,6,6
FE90_tRNA0027,63,80,20,0,17,100,14,13
FE90_tRNA0028,38,51,14,0,12,65,8,8
FE90_tRNA0029,5,16,2,0,10,20,3,2
FE90_tRNA0030,5,17,2,0,11,19,3,2
FE90_tRNA0031,0,0,0,0,0,0,0,0
FE90_tRNA0032,18,29,4,7,51,38,6,0
FE90_tRNA0033,20,24,3,8,53,31,6,2
FE90_tRNA0034,17,31,9,12,53,41,6,10
FE90_tRNA0035,35,111,17,24,149,132,9,13
FE90_tRNA0036,37,122,17,21,179,157,5,9
FE90_tRNA0037,24,53,8,9,91,74,3,5
FE90_0070,86,83,61,62,110,88,65,54
FE90_0071,365,258,225,192,429,213,265,179
FE90_0072,405,318,238,217,487,298,307,223
FE90_0073,999,956,597,438,1029,883,675,472
FE90_0074,2170,2010,1169,1204,2928,2019,1594,1131
FE90_0075,1932,1751,1056,1000,2471,1562,1352,891
FE90_0076,112,149,75,67,170,137,82,40
FE90_0077,858,1884,604,1057,1443,2002,777,512
FE90_0078,3243,4050,3120,3985,5296,3863,4220,3032
FE90_0079,12359,14763,2919,7906,18249,13472,4078,4225
FE90_0080,18702,17872,3234,11104,26526,16556,4215,4895
FE90_0081,1186,821,722,825,1597,719,883,823
FE90_0082,122,90,126,35,191,48,143,38
FE90_0083,165,125,133,59,229,100,201,44
FE90_0084,56,36,32,13,63,39,76,9
FE90_0085,69,40,68,26,96,35,118,17
FE90_0086,50,34,54,29,102,26,85,8
FE90_0087,40,20,53,18,63,30,67,4
FE90_0088,66,35,46,24,70,38,66,6
FE90_0089,1170,1313,484,405,1469,1213,574,356
FE90_0090,2452,2890,977,1544,3376,2612,1375,1170
FE90_0091,135,138,78,70,201,119,99,49
FE90_0092,1025,1282,710,1158,1409,1087,956,755
FE90_0093,1462,1248,689,1265,1910,1141,918,896
FE90_0094,15,13,6,4,14,8,6,2
FE90_0095,397,683,134,163,667,622,172,81
FE90_0096,1552,2355,358,803,2448,2264,443,468
FE90_0097,461,440,195,195,616,416,280,178
FE90_0098,587,523,243,266,745,517,374,221
FE90_0099,696,609,617,523,1089,662,803,383
FE90_0101,47,52,73,54,71,52,95,35
FE90_0102,200,164,185,93,323,179,208,45
FE90_0104,55835,1205,3982,263,75114,1285,5113,264
FE90_0105,4,0,6,0,6,0,4,0
FE90_0106,7,4,5,2,5,5,5,4
FE90_0107,708,847,373,735,1201,816,561,445
FE90_0110,224,229,112,235,350,242,158,106
FE90_0111,246,289,93,189,423,258,117,81
FE90_0112,248,284,82,135,325,269,121,80
FE90_0113,292,411,66,140,524,393,102,71
FE90_0114,3255,3885,966,1421,4828,3652,1298,963
FE90_0115,396,810,152,270,721,657,261,187
FE90_0116,210,619,112,339,362,501,140,206
FE90_0117,160,473,71,218,353,423,73,110
FE90_0118,272,465,69,136,491,336,97,76
FE90_0119,1490,1477,752,687,1827,1434,987,561
FE90_0120,3031,2086,850,785,4258,2029,1021,636
FE90_0121,1519,919,368,382,2304,860,526,283
FE90_0122,922,1738,471,916,1410,1634,664,559
FE90_0123,1886,4833,830,2335,3644,4077,1251,1241
FE90_0124,1921,4003,1639,2861,2601,3880,2403,1978
FE90_0125,789,1483,285,446,1214,1333,340,293
FE90_0126,55,121,11,26,91,94,24,11
FE90_0127,42257,60428,16387,23166,61404,53418,22176,16986
FE90_0128,3258,5901,1707,3794,5861,5374,2384,2504
FE90_0129,67,176,64,148,167,131,70,68
FE90_0130,1421,2807,788,1496,2661,2532,975,1022
FE90_0131,1886,3565,1041,2301,2925,3187,1448,1491
FE90_0132,865,1503,501,1066,1440,1505,663,661
FE90_0133,93,162,39,48,151,141,59,46
FE90_0134,1185,1941,481,719,1824,1598,610,492
FE90_0135,227,341,68,77,389,344,109,57
FE90_0136,8778,10450,3206,4302,11800,10222,4284,3709
FE90_0137,586,819,435,735,962,694,569,513
FE90_0138,213,100,199,121,263,90,252,82
FE90_0139,98,50,157,139,148,42,215,119
FE90_0140,111,37,158,187,138,42,237,133
FE90_0141,71,27,108,99,128,45,167,95
FE90_0142,303,98,329,266,272,115,405,230
FE90_0143,124,40,83,51,105,34,131,47
FE90_0144,120,131,121,105,159,92,142,70
FE90_0145,117,130,79,81,154,124,122,92
FE90_0146,220,145,172,180,290,148,220,103
FE90_0147,129,114,96,124,231,96,150,76
FE90_0148,255,317,171,243,320,300,253,277
FE90_0149,610,1774,570,1587,1021,1799,800,1318
FE90_0150,1585,3817,1091,2244,2409,3717,1312,2085
FE90_0151,1173,2518,596,1704,1781,2346,740,1423
FE90_0152,1157,2568,612,1820,1855,2477,819,1250
FE90_0153,614,780,416,606,723,739,614,458
FE90_0154,3574,6160,6442,6501,6448,6084,8210,7958
FE90_0155,1143,1825,639,949,1751,1790,868,667
FE90_0156,2391,3697,802,1202,3361,3675,1069,1128
FE90_0157,3232,5492,959,1914,5026,5505,1331,1262
FE90_0158,2308,2889,1475,2160,2720,2867,1803,1778
FE90_0159,2554,3691,1746,3147,3935,3753,2348,2117
FE90_0160,1429,2203,1026,1823,2383,2266,1273,1250
FE90_0161,101,150,123,96,193,124,182,79
FE90_0162,40,56,52,34,71,38,67,30
FE90_0163,577,730,540,387,798,663,685,386
FE90_0164,0,0,0,0,0,0,0,0
FE90_0165,0,0,0,0,0,0,0,0
FE90_0166,0,0,0,0,0,0,0,0
FE90_0167,23,32,27,30,24,20,29,19
FE90_0168,46,100,75,92,66,68,107,87
FE90_0169,244,363,227,353,412,299,360,257
FE90_0170,54,76,54,70,64,77,60,55
FE90_0171,16,43,15,45,34,33,42,25
FE90_0172,23,45,44,61,60,66,102,55
FE90_0173,0,0,0,2,1,0,0,0
FE90_0174,0,0,0,0,0,0,0,0
FE90_0175,0,0,0,0,0,0,0,0
FE90_0176,0,0,0,0,0,0,0,0
FE90_0177,86,137,138,201,170,160,212,171
FE90_0178,281,455,344,677,507,414,650,438
FE90_0179,67,106,94,144,131,83,161,104
FE90_0180,186,237,252,268,259,232,379,265
FE90_0181,99,150,129,154,144,130,192,143
FE90_0182,58,50,53,45,78,35,72,49
FE90_0183,29,41,29,31,57,32,50,34
FE90_0184,67,97,63,79,95,72,90,74
FE90_0185,20,19,27,36,32,23,33,26
FE90_0186,33,71,32,57,59,59,72,51
FE90_0187,0,0,0,0,0,0,0,0
FE90_0188,0,0,0,0,0,0,0,0
FE90_0189,0,0,0,0,0,0,0,0
FE90_0190,0,0,0,0,0,0,0,0
FE90_0191,381,467,379,496,671,400,528,417
FE90_0192,305,179,406,300,516,156,447,209
FE90_0193,3548,2803,9928,5755,4779,2370,12306,7279
FE90_0194,3119,2285,8731,4516,4462,1827,10737,5643
FE90_0195,94,64,52,35,121,35,80,35
FE90_0196,29,15,21,22,47,14,30,13
FE90_0197,24,23,21,29,37,14,25,6
FE90_0198,2,0,0,4,2,0,3,0
FE90_0199,0,0,0,0,0,0,0,0
FE90_0200,0,0,0,0,0,0,0,0
FE90_0201,0,0,0,0,0,0,0,0
FE90_0202,0,0,0,0,0,0,0,0
FE90_0203,0,0,0,0,0,0,0,0
FE90_0204,0,0,0,0,0,0,0,0
FE90_0205,0,0,0,0,0,0,0,0
FE90_0206,0,0,0,0,0,0,0,0
FE90_0207,0,0,0,0,0,0,0,0
