,PA1,PA2,PA3,SG1,SG2,SG3,TA1,TA2,TA3,TP1,TP2,TP3,WT1,WT2,WT3
Inter1276691.2,177,160,113,137,119,177,129,193,187,120,154,150,215,210,226
Inter444164.3,91,99,133,131,92,69,99,109,113,78,116,108,75,93,126
ABJ53624.1,274,306,437,378,307,323,333,273,397,314,384,445,345,307,553
Inter1555919.0,15,3,7,2,7,1,12,4,1,9,5,3,6,4,17
Inter388633.0,2560,2778,4169,2161,1739,855,2208,1774,1241,2983,1274,2170,1271,2094,2305
ABJ53958.1,8,14,15,9,10,6,11,13,5,6,17,11,10,6,45
Inter443449.1,224,332,286,350,282,131,189,229,178,206,191,223,162,283,244
ABJ55497.1,795,982,738,1515,898,814,854,946,1052,810,1114,885,1183,1199,1299
Inter1818322.2,3,3,1,2,0,2,1,3,0,1,1,0,1,2,25
ABJ54132.1,15,12,20,13,20,11,11,18,9,24,13,16,10,15,15
Inter173760.1,195,354,219,318,283,255,245,353,286,228,163,237,333,458,338
Inter415930.7,865,720,814,621,753,491,941,685,721,559,627,691,710,815,812
ABJ54368.1,34,20,12,16,21,24,14,18,25,23,7,11,35,11,48
ABJ55455.1,11790,7168,16080,8412,10882,8818,15111,5744,8266,9134,7933,12312,8439,7658,11294
Inter203136.0,3913,4236,3651,2308,2953,3386,4037,3671,5177,3381,4271,4052,3763,3375,5359
Inter35663.0,4,5,7,4,2,2,2,3,0,2,3,1,3,1,21
ABJ54301.1,10081,9576,17778,10294,14650,14876,18647,14913,21785,14630,18570,18951,16866,16120,17604
ABJ54554.1,49,39,54,20,17,16,32,23,24,22,37,25,25,27,111
ABJ53873.1,392,514,280,405,385,332,325,484,482,398,418,372,576,596,798
ABJ53788.1,1072,975,1018,1338,1277,1181,1329,987,1250,1093,1615,1373,1336,1447,1545
Inter1751733.1,3,7,5,4,1,1,4,4,3,3,3,6,1,3,15
ABJ53832.1,140,192,152,100,94,82,49,127,81,162,110,124,78,83,687
Inter755167.9,6,7,4,7,2,3,6,4,3,8,3,3,6,7,10
Inter1692036.0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
Inter1358788.0,908,1154,1012,1271,959,1016,935,1030,1283,942,1099,1091,971,1038,1510
Inter972810.0,5,5,7,8,6,5,9,7,6,4,6,9,6,7,7
Inter1289339.2,10,7,5,8,1,6,3,8,9,13,12,8,4,9,14
Inter312656.7,463,898,512,928,571,351,390,625,616,526,595,517,601,645,831
Inter1155059.0,13,12,9,2,4,7,16,13,4,10,4,8,15,16,6
Inter1751733.0,119,90,116,68,45,42,66,63,40,46,42,54,22,49,75
ABJ54687.1,14,15,17,21,4,11,13,14,9,19,29,16,18,9,75
ABJ53715.1,236,185,177,154,156,186,182,247,211,236,205,224,209,176,354
Inter1002301.3,5,5,2,6,1,4,1,4,0,3,3,3,4,3,7
ABJ54667.1,3475,2956,4297,2410,2762,2414,3864,3002,3869,2668,3574,3461,3226,3298,4489
Inter104786.1,12,9,9,14,13,3,11,10,6,17,13,7,13,5,39
Inter820178.0,5,11,7,6,8,13,5,15,18,6,4,16,15,19,14
Inter1202839.6,7,12,13,16,8,3,2,11,14,17,5,11,8,12,38
Inter1632724.2,25,18,18,6,27,17,13,14,9,14,13,12,24,20,47
ABJ54729.1,9571,12198,12010,11749,7931,8727,11090,11347,11425,7240,9988,9380,11042,13091,11512
Inter359807.10,91,81,94,55,69,97,106,83,102,66,77,101,115,88,131
ABJ54246.1,7055,5366,6463,6548,6434,6900,7013,6673,9014,5857,8198,8023,7692,7391,9248
ABJ54699.1,2940,3459,2996,3729,2745,2293,2774,2675,2772,2250,2469,2398,3042,3582,4131
Inter1571397.0,48,45,52,70,50,50,45,50,58,32,45,39,33,32,70
Inter137708.1,2,9,5,5,6,2,4,5,4,3,4,4,7,4,14
ABJ53765.1,260,303,268,371,285,246,303,381,382,238,278,282,349,364,432
Inter768471.4,301,254,277,188,211,218,297,222,232,238,238,318,196,223,275
ABJ55077.1,4997,4643,2407,3448,2780,2810,3520,3954,4027,3405,1865,3158,4692,3570,4381
ABJ54892.1,4185,4411,4802,3578,3495,2906,4762,3853,4355,3591,4302,4271,3871,4262,5277
Inter113089.4,8,6,4,6,3,4,4,8,1,4,2,2,5,3,26
ABJ55403.1,1910,2069,1693,2554,2138,2293,1785,2028,2437,1949,2513,2375,2237,2305,2739
Inter1797294.0,1,1,1,0,0,2,1,2,1,0,0,0,1,0,1
Inter631210.7,4,7,5,14,9,11,5,8,2,9,11,6,10,9,14
rna59,1420,1253,1499,1235,1049,781,1281,810,1014,762,829,1075,880,1130,1555
Inter554771.0,56,57,59,52,46,42,39,43,41,42,50,42,50,57,66
ABJ54422.1,1149,1267,565,2384,1370,1465,922,1418,1813,1834,1113,1398,2259,1848,1829
Inter518221.0,225,286,166,241,199,134,248,208,236,205,201,209,295,266,255
Inter2025967.0,24,22,26,13,30,26,15,20,60,29,28,38,48,16,42
Inter440916.1,3644,4290,3573,5769,4452,5037,4127,5216,6841,4711,6470,5477,7084,5512,5946
Inter1662045.3,5,18,10,15,5,8,9,10,9,12,12,13,2,15,21
Inter1487549.2,7,8,8,0,2,3,2,4,3,7,6,2,5,5,33
Inter1069738.0,391,394,333,284,294,306,318,305,326,252,353,301,328,260,392
Inter1074526.0,2,2,4,3,0,1,4,1,1,2,3,0,1,5,7
Inter471412.7,33,21,12,27,30,28,13,26,65,16,21,41,36,29,46
ABJ55098.1,4784,4917,6549,3823,4730,3934,5484,4062,6079,5301,5593,6385,3520,4249,5729
ABJ54696.1,68,68,82,75,58,56,71,99,88,74,72,95,74,99,179
ABJ54817.1,78,83,57,29,33,38,39,59,41,64,36,53,48,52,290
Inter457388.2,264,188,252,67,93,71,167,70,67,84,60,89,55,100,140
ABJ55073.1,23594,21674,27798,30410,23318,27154,25909,24666,36514,23639,34385,31118,30188,28366,34762
Inter1632724.1,6,6,6,2,1,2,6,7,3,1,4,0,1,1,10
Inter394187.2,56,52,56,32,35,30,61,28,56,59,50,64,28,29,50
Inter466243.0,59,43,33,41,34,13,30,37,33,26,29,24,38,46,49
ABJ53616.1,765,613,697,435,437,385,593,706,518,468,482,439,694,758,815
Inter681953.1,9,6,8,4,8,3,9,10,4,5,8,10,7,3,8
Inter1994815.0,92,77,132,129,157,144,90,96,178,70,139,182,95,83,143
Inter779281.1,1,1,1,2,1,0,5,0,0,1,1,1,2,3,0
ABJ54819.1,1276,1273,1079,1582,1042,1459,1162,1646,1739,1144,2147,1440,1894,1801,2072
Inter631210.2,60,34,49,41,51,39,57,40,31,42,20,53,50,55,66
ABJ54522.1,87,119,89,112,109,51,75,97,77,95,105,86,90,107,192
Inter1598143.0,7,4,6,3,6,5,4,5,7,7,7,6,8,6,11
Inter1907070.3,71,123,65,115,28,29,46,68,24,43,8,38,33,77,51
Inter413745.1,4,1,2,0,3,0,0,1,1,1,0,0,1,3,2
Inter1588049.0,204,210,249,225,183,206,259,185,241,191,239,227,233,221,303
ABJ53844.1,147,153,143,251,168,186,135,178,161,150,257,225,183,220,307
ABJ55428.1,108,110,146,127,107,99,96,143,142,94,178,145,104,116,290
Inter381015.2,9,19,30,29,28,32,29,20,37,27,39,28,24,18,25
Inter1455480.2,42,32,55,27,41,27,60,25,26,32,38,33,19,41,59
Inter626916.1,198,184,96,101,130,158,121,154,213,159,109,135,159,125,212
Inter467360.1,17,18,12,32,19,16,11,18,29,17,28,18,20,20,38
Inter1244697.0,82,51,66,28,12,11,62,42,29,29,14,28,43,53,61
ABJ55203.1,3298,5909,4823,8325,4611,6545,4945,6747,8710,3959,7144,5404,6905,7918,6087
Inter1447242.0,74,80,77,87,68,78,62,56,74,53,90,84,52,62,95
Inter113089.6,0,2,0,0,0,0,5,0,2,1,3,2,1,0,4
Inter763405.0,546,493,423,346,629,616,661,763,941,483,629,619,689,731,723
ABJ54418.1,635,424,845,272,416,351,678,272,338,324,348,537,296,337,583
ABJ54273.1,248,238,267,166,154,176,190,204,156,170,207,203,181,181,666
Inter1500965.0,19,21,22,22,14,8,12,12,13,17,14,6,9,7,27
ABJ54646.1,650,985,1060,1256,1147,860,807,923,1115,809,1193,950,904,1149,1108
Inter1707887.2,8,8,9,19,9,9,11,6,7,11,9,15,8,17,8
Inter147920.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,4
rna17,326,283,356,238,374,259,445,215,262,204,202,342,251,306,334
ABJ55396.1,499,536,488,482,463,428,512,540,534,425,447,443,490,586,698
ABJ54377.1,5008,4757,5669,4668,4501,5327,5409,4493,5857,4254,5402,5482,5491,5501,6977
Inter14133.1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
Inter902462.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
ABJ54434.1,708,611,779,722,870,692,920,655,669,689,847,712,935,856,1165
ABJ53962.1,349,305,285,283,267,229,272,355,327,234,230,285,263,281,535
Inter1651909.2,10,42,10,31,25,6,10,32,60,16,24,12,20,36,25
Inter235482.0,29,21,20,9,18,16,31,21,14,17,10,10,6,16,31
Inter932651.6,63,39,42,34,42,17,41,72,47,45,18,30,38,28,47
ABJ54758.1,5573,5770,7811,7544,6786,5971,6003,5429,7196,5392,7001,6998,5606,6014,8231
Inter1177847.0,5,3,10,5,5,13,8,2,15,4,13,12,11,12,18
Inter923669.0,15,9,19,6,14,11,23,11,24,13,20,14,12,13,37
Inter683436.2,47,50,38,41,40,17,40,37,15,30,22,32,44,58,44
Inter766498.1,8,8,7,2,3,1,11,8,7,4,5,9,7,4,5
Inter1641580.11,10,7,14,6,7,7,13,5,7,12,4,12,7,11,10
rna2,17,11,12,10,7,3,15,11,9,6,3,8,6,6,9
ABJ55232.1,1681,1370,1043,1545,1299,1362,1123,1965,2588,1523,1615,1362,2122,1981,2078
Inter949173.1,4,4,3,2,0,1,0,5,1,3,4,1,6,4,11
Inter1795973.4,183,148,160,76,87,38,167,110,42,61,57,73,81,90,143
Inter208044.0,12007,12551,11484,7639,8044,6573,10092,8986,8845,8663,9543,8539,7647,9002,12755
ABJ54249.1,7719,4891,3392,4635,4675,4443,5126,5925,5856,5847,2122,4947,7878,4919,6221
Inter1727510.4,2,1,0,0,0,2,1,4,1,0,2,0,3,2,0
ABJ55091.1,557,817,754,1152,874,675,591,982,1405,826,999,772,948,1163,1084
