gene,X1_1_ATCACG_L006_R1.fastq.gz,X1_2_CGATGT_L006_R1.fastq.gz,X1_4_TTAGGC_L006_R1.fastq.gz,X2_2_ACAGTG_L006_R1.fastq.gz,X2_4_GCCAAT_L006_R1.fastq.gz,X3_2_CAGATC_L006_R1.fastq.gz,X3_3_ACTTGA_L006_R1.fastq.gz,X3_5_GATCAG_L006_R1.fastq.gz,X4_1_TAGCTT_L006_R1.fastq.gz,X4_2_GGCTAC_L006_R1.fastq.gz,X4_4_CTTGTA_L006_R1.fastq.gz
Inter.NC_008533.0.626773.626873,10,7,7,8,1,5,5,6,7,3,5
Inter.NC_008533.1.126289.126389,0,0,1,0,0,1,0,1,0,0,0
Inter.NC_008533.1.477674.477774,0,1,0,1,1,0,4,0,1,0,0
SPD_1453,2,2,2,1,1,1,4,3,3,1,1
SPD_1055,48,45,60,41,32,31,33,36,45,30,31
Inter.NC_008533.0.1271827.1271927,0,0,2,0,0,0,2,1,0,0,2
Inter.NC_008533.1.478374.478474,2,4,6,2,3,4,4,2,3,3,2
Inter.NC_008533.0.559539.559639,3,5,3,7,2,5,3,4,4,4,0
Inter.NC_008533.1.646393.646493,0,0,0,0,0,0,1,0,0,0,1
Inter.NC_008533.0.396656.396756,0,0,1,1,1,1,0,0,1,1,2
Inter.NC_008533.1.702165.702265,0,0,1,0,1,0,0,0,0,0,0
Inter.NC_008533.1.744495.744595,2,3,2,3,4,2,1,1,5,2,1
Inter.NC_008533.1.1662445.1662545,2,0,0,1,0,1,0,1,0,1,1
Inter.NC_008533.1.466343.466443,2,1,0,1,1,1,0,1,0,1,0
Inter.NC_008533.1.857283.857383,0,0,0,0,0,0,1,0,0,0,0
Inter.NC_008533.1.819502.819602,1,0,1,1,0,0,0,1,0,1,0
Inter.NC_008533.1.808979.809079,1,0,1,0,1,2,2,0,0,1,1
Inter.NC_008533.0.1645395.1645495,0,0,1,0,2,0,1,1,1,1,0
Inter.NC_008533.1.1949620.1949720,1,3,1,3,5,1,3,3,2,8,6
ABJ54301.1,3198,2959,3416,3147,2554,2867,3444,2860,3004,2829,2830
Inter.NC_008533.1.763183.763283,4,6,11,15,6,14,6,9,8,13,1
Inter.NC_008533.0.1788357.1788457,2,1,2,1,0,0,1,0,0,1,0
Inter.NC_008533.1.1944846.1944946,0,0,0,0,0,0,2,0,0,0,0
Inter.NC_008533.0.1733690.1733790,0,0,0,0,0,0,1,0,1,1,0
Inter.NC_008533.1.1071469.1071569,0,1,1,0,0,1,2,3,1,0,0
Inter.NC_008533.1.562871.562971,36,43,49,20,34,27,24,43,44,41,33
ABJ53788.1,401,481,696,417,541,324,613,466,393,259,407
Inter.NC_008533.0.1311479.1311579,2,0,1,0,0,1,2,1,3,1,1
Inter.NC_008533.0.2017811.2017911,3,3,2,5,1,5,3,3,2,3,3
Inter.NC_008533.1.289064.289164,0,0,1,0,1,0,0,0,0,0,1
Inter.NC_008533.0.1792808.1792908,1,3,3,2,0,1,0,0,1,3,1
Inter.NC_008533.1.1507538.1507638,24,36,48,40,39,30,31,27,40,28,37
Inter.NC_008533.1.24852.24952,0,0,1,0,1,1,0,0,1,0,1
Inter.NC_008533.0.2025511.2025611,0,1,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.179684.179784,1,0,1,0,0,1,0,1,0,0,2
Inter.NC_008533.0.415972.416072,81,96,106,112,78,97,109,80,83,64,87
Inter.NC_008533.1.153736.153836,0,0,0,0,0,0,0,1,0,0,0
Inter.NC_008533.1.80325.80425,0,0,1,0,1,0,0,0,0,0,0
Inter.NC_008533.0.103339.103439,0,1,1,2,0,3,0,3,2,0,1
Inter.NC_008533.1.181784.181884,1,0,2,0,1,0,1,0,0,0,1
Inter.NC_008533.1.357245.357345,1,0,1,1,0,1,0,0,2,0,1
Inter.NC_008533.0.1181254.1181354,2,4,5,3,1,1,3,3,1,1,4
Inter.NC_008533.1.599408.599508,0,1,3,1,0,0,0,0,0,0,2
Inter.NC_008533.1.1789780.1789880,2,2,1,6,1,0,4,0,6,3,4
Inter.NC_008533.1.1341646.1341746,1,0,1,2,6,1,1,2,1,0,1
Inter.NC_008533.1.432022.432122,4,3,3,11,5,5,5,3,3,2,3
Inter.NC_008533.0.1488961.1489061,0,0,2,0,2,0,2,2,2,1,1
rna59,736,896,802,681,452,703,644,455,606,502,497
Inter.NC_008533.1.763383.763483,1,2,1,1,4,2,5,5,2,0,3
Inter.NC_008533.0.2010715.2010815,1,2,0,0,0,1,1,0,1,0,1
Inter.NC_008533.1.1761380.1761480,20,15,17,33,16,25,25,23,20,11,12
Inter.NC_008533.0.1085020.1085120,1,2,2,0,2,1,0,0,2,0,3
Inter.NC_008533.1.493667.493767,0,0,1,0,1,0,0,0,0,0,0
Inter.NC_008533.1.449451.449551,0,0,2,0,0,0,0,1,0,0,0
Inter.NC_008533.1.962773.962873,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.83925.84025,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.0.1618123.1618223,0,0,2,0,0,0,1,0,0,0,0
Inter.NC_008533.1.116689.116789,0,1,0,0,0,0,0,0,0,0,1
Inter.NC_008533.0.1958970.1959070,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.1.400579.400679,2,0,1,2,1,0,0,0,0,0,0
ABJ54817.1,5,5,12,6,5,6,9,4,6,9,4
Inter.NC_008533.1.1094217.1094317,25,18,20,15,13,7,18,20,17,13,12
Inter.NC_008533.1.111786.111886,3,1,2,0,4,0,1,5,2,1,1
Inter.NC_008533.1.275647.275747,0,0,1,0,0,0,0,0,0,0,0
Inter.NC_008533.1.386266.386366,11,17,18,13,17,15,13,16,18,10,18
Inter.NC_008533.1.269879.269979,4,5,2,4,1,1,5,3,3,2,0
Inter.NC_008533.1.545055.545155,0,0,1,1,0,0,0,0,0,0,0
Inter.NC_008533.0.1582196.1582296,0,1,1,0,0,0,3,1,0,3,1
Inter.NC_008533.1.1884679.1884779,0,0,0,0,0,1,0,0,1,0,0
ABJ54819.1,394,332,597,251,278,195,297,253,286,196,247
Inter.NC_008533.1.1540075.1540175,3,4,2,3,1,3,1,3,3,4,6
Inter.NC_008533.1.430522.430622,0,1,0,0,1,2,0,0,0,0,0
Inter.NC_008533.0.459748.459848,104,92,88,56,19,9,12,13,13,11,14
ABJ54522.1,25,19,40,28,29,17,26,22,19,17,27
Inter.NC_008533.1.658774.658874,12,21,18,31,40,30,45,24,29,27,21
Inter.NC_008533.1.1858777.1858877,0,0,0,0,0,0,0,1,0,0,0
Inter.NC_008533.1.784056.784156,1,0,2,0,2,1,3,1,0,0,0
Inter.NC_008533.1.510660.510760,0,1,1,0,0,0,0,0,0,0,1
Inter.NC_008533.0.770622.770722,0,0,1,0,0,0,0,0,0,1,0
ABJ53844.1,29,20,36,31,25,20,50,21,24,28,34
ABJ55428.1,41,39,44,39,46,43,62,40,53,48,39
Inter.NC_008533.0.1383476.1383576,5,2,5,4,9,8,7,7,6,5,4
Inter.NC_008533.0.1863793.1863893,5,2,3,5,5,3,7,5,2,8,0
Inter.NC_008533.0.1680549.1680649,0,4,4,7,2,2,6,3,12,5,5
Inter.NC_008533.0.1720336.1720436,2,1,0,1,2,2,3,0,0,0,1
Inter.NC_008533.1.1386200.1386300,6,3,9,4,2,4,2,9,7,4,6
Inter.NC_008533.1.399679.399779,1,0,3,0,0,3,1,0,0,0,0
Inter.NC_008533.1.1858268.1858368,0,2,1,1,0,1,0,1,1,0,0
Inter.NC_008533.1.523921.524021,0,1,0,0,0,0,1,1,0,0,0
Inter.NC_008533.1.1252941.1253041,40,48,63,57,66,56,77,67,53,32,50
Inter.NC_008533.0.1139431.1139531,3,1,3,3,2,1,3,6,0,2,1
Inter.NC_008533.1.879783.879883,0,0,0,1,0,0,0,0,0,0,0
Inter.NC_008533.1.1667345.1667445,0,2,1,1,2,1,3,1,2,1,1
Inter.NC_008533.0.1452942.1453042,3,1,4,1,0,1,2,1,2,0,3
Inter.NC_008533.0.1196479.1196579,0,0,2,0,2,0,0,1,0,1,0
ABJ55396.1,170,186,161,147,117,151,128,126,127,103,99
Inter.NC_008533.1.640893.640993,1,2,4,7,6,7,6,1,2,5,3
Inter.NC_008533.0.1700508.1700608,1,0,0,1,0,2,0,1,0,0,1
Inter.NC_008533.0.1424914.1425014,1,1,1,3,5,1,6,2,7,2,1
Inter.NC_008533.0.1724236.1724336,0,0,0,0,1,0,1,1,3,1,1
Inter.NC_008533.1.812151.812251,0,0,2,0,2,2,1,1,2,1,1
Inter.NC_008533.0.1667485.1667585,1,2,0,1,1,2,0,1,0,0,0
Inter.NC_008533.1.209984.210084,2,5,5,5,2,3,5,3,4,4,5
Inter.NC_008533.1.970473.970573,1,0,1,0,0,0,0,0,0,0,1
Inter.NC_008533.1.618424.618524,8,12,14,15,20,13,13,9,14,5,12
Inter.NC_008533.1.797482.797582,0,2,3,2,0,1,1,1,0,0,0
Inter.NC_008533.0.1833122.1833222,0,0,0,0,0,0,0,0,0,1,0
Inter.NC_008533.0.1219226.1219326,0,0,0,0,0,0,0,0,0,1,1
Inter.NC_008533.1.38163.38263,1,0,1,4,1,3,1,0,1,0,0
ABJ54758.1,2397,2238,2319,1861,1427,1504,1880,1559,1593,1608,1460
Inter.NC_008533.1.806779.806879,2,2,2,0,0,1,0,1,1,1,3
Inter.NC_008533.1.976373.976473,0,0,1,0,0,0,1,1,0,0,0
Inter.NC_008533.1.728643.728743,6,5,11,7,3,10,9,5,2,2,1
Inter.NC_008533.0.1544053.1544153,3,3,4,10,9,2,4,3,3,5,4
Inter.NC_008533.0.1278753.1278853,1,2,1,2,0,2,1,1,2,0,2
Inter.NC_008533.0.663009.663109,10,9,11,1,7,5,9,6,5,7,5
Inter.NC_008533.1.1151426.1151526,30,32,44,18,29,11,33,21,23,15,28
Inter.NC_008533.0.1452142.1452242,0,0,2,0,0,0,0,1,0,0,0
Inter.NC_008533.0.411931.412031,0,4,2,3,0,2,3,2,0,0,0
Inter.NC_008533.0.1654912.1655012,1,0,0,0,1,1,1,1,0,0,0
Inter.NC_008533.1.254746.254846,3,5,7,4,1,3,4,1,3,1,5
