,"M1GAS2221_1 Mid-exponential, 35°C","M1GAS2221_21 Mid-exponential, 35°C","M1GAS2221_31 Mid-exponential, 35°C","M1GAS2221DfabT_11 Mid-exponential, 35°C","M1GAS2221DfabT_21 Mid-exponential, 35°C","M1GAS2221DfabT_31 Mid-exponential, 35°C","M1GAS2221_11 Mid-exponential, 40°C","M1GAS2221_2 Mid-exponential, 40°C","M1GAS2221_3 Mid-exponential, 40°C","M1GAS2221DfabT_1 Mid-exponential, 40°C","M1GAS2221DfabT_2 Mid-exponential, 40°C","M1GAS2221DfabT_3 Mid-exponential, 40°C","M1GAS2221_1 Early stationary, 35°C","M1GAS2221_2 Early stationary, 35°C","M1GAS2221_3 Early stationary, 35°C","M1GAS2221DfabT_1 Early stationary, 35°C","M1GAS2221DfabT_2 Early stationary, 35°C","M1GAS2221DfabT_3 Early stationary, 35°C","M1GAS2221_1 Early stationary, 40°C","M1GAS2221_2 Early stationary, 40°C","M1GAS2221_3 Early stationary, 40°C","M1GAS2221DfabT_1 Early stationary, 40°C","M1GAS2221DfabT_2 Early stationary, 40°C","M1GAS2221DfabT_3 Early stationary, 40°C"
M5005_Spy0001,394,312,283,483,435,548,360,625,392,455,398,490,164,152,114,112,139,111,173,167,414,66,142,127
M5005_Spy0002,13393,17987,14969,141227,139776,164647,14437,27444,13640,84889,123435,145298,5586,6546,7195,108717,158401,134969,5266,5712,12421,111635,174828,188828
M5005_Spy0003,6352,9405,7683,75444,73383,77195,7613,13022,6812,40070,57444,67413,3432,3634,4151,71137,102826,72637,2923,3450,6957,64658,96896,100441
M5005_Spy0004,33347,44583,34115,331500,332039,373570,34744,66338,33838,211190,306252,336146,14867,16149,17493,300159,393200,341514,12632,14067,29287,251393,404848,413944
M5005_Spy0005,7662,10083,8570,76407,88389,96599,8097,16501,8158,47663,71746,87494,3677,4267,4533,68719,101415,75770,3236,3586,7595,59467,94346,111714
M5005_Spy0006,8119,8014,10045,12697,10501,12048,8534,13881,7925,9090,8774,10806,7192,6792,5121,4040,5290,3850,6548,7218,14924,3106,3520,3270
M5005_Spy0007,4191,4110,5273,17571,15769,17068,7885,14479,7241,14014,14684,16449,8468,8293,5447,8430,10200,7199,6659,7812,14610,6046,10537,10148
M5005_Spy0008,3430,3153,4555,13664,14068,13134,6477,12365,6336,11195,12130,14026,8402,9062,6479,10588,11877,8925,6669,8374,14444,10496,13795,15939
M5005_Spy0009,4671,4266,5651,16403,19543,16247,8890,17780,8776,15063,15354,19863,11927,12261,8766,16035,17490,13859,9744,12441,20629,16585,23434,28058
M5005_Spy0010,6811,6154,7615,22446,26795,22746,11790,27051,13148,20364,21064,26864,21292,22101,13996,27303,29114,21024,16295,22875,34213,22268,33926,39683
