GeneID,WT_mapped_reads.11975585.,stk_mapped_reads.16477864.
SSU05_0605,3339,5223
SSU05_0733,50,56
SSU05_0505,1930,4785
SSU05_0923,16,-
SSU05_1564,350,760
SSU05_0027,4776,1645
SSU05_0907,536,3899
SSU05_1177,10734,19003
SSU05_0439,32506,30064
SSU05_1426,-,3
SSU05_0088,8270,6749
SSU05_2153,2759,915
SSU05_1654,3822,5539
SSU05_0873,14979,15219
SSU05_1705,3062,4820
SSU05_1544,5490,3495
SSU05_1033,623,4764
SSU05_0474,6879,8961
SSU05_0631,3357,6416
SSU05_0563,1362,1599
SSU05_2093,2019,3659
SSU05_0376,1697,5499
SSU05_1884,9198,12453
SSU05_2121,114,145
SSU05_0414,21792,25176
SSU05_0337,856,455
SSU05_0687,2799,13386
SSU05_1262,6651,14027
SSU05_1847,757,771
SSU05_0962,2212,2990
SSU05_1468,5862,6244
SSU05_0428,30496,10
SSU05_2051,66953,69323
SSU05_0363,229,513
SSU05_1955,2369,7347
SSU05_1225,60,41
SSU05_2135,1797,1558
SSU05_1385,2647,1218
SSU05_1600,953,1647
SSU05_1458,303,361
SSU05_1059,2195,2881
SSU05_0011,52,120
SSU05_1677,196,206
SSU05_0997,2168,3509
SSU05_0538,3404,1077
SSU05_0095,96997,120464
SSU05_1076,65378,100928
SSU05_1168,1183,3951
SSU05_2125,1536,2014
SSU05_0626,68783,102677
SSU05_0787,428,625
SSU05_1757,7777,4672
SSU05_1020,202,490
SSU05_2117,84,89
SSU05_0342,1516,4035
SSU05_0798,1267,839
SSU05_1512,4508,8002
SSU05_1725,276,851
SSU05_0062,5070,8655
SSU05_0520,1725,3025
SSU05_0264,344,231
SSU05_1453,4567,11571
SSU05_0429,2041,1516
SSU05_1012,2590,8338
SSU05_0495,230,141
SSU05_0691,10700,5439
SSU05_1937,753,6658
SSU05_1788,51,111
SSU05_1681,2559,4355
SSU05_2063,76,40
SSU05_1275,5108,9325
SSU05_1939,384,736
SSU05_0131,14,6
SSU05_0955,409,601
SSU05_1360,4271,9941
SSU05_1622,830,2230
SSU05_1781,1295,1022
SSU05_0166,4451,5441
SSU05_2170,4245,19159
SSU05_1789,193,339
SSU05_1067,1297,2141
SSU05_1859,1817,2901
SSU05_0291,3914,4814
SSU05_2167,505,835
SSU05_1821,3142,3327
SSU05_1353,2285,4075
SSU05_1607,3446,9197
SSU05_1472,11121,15474
SSU05_1323,1963,2340
SSU05_0197,8167,19526
SSU05_1367,514,693
SSU05_1871,19541,23395
SSU05_0895,71,306
SSU05_1347,3073,6971
SSU05_1476,6281,11561
SSU05_1989,4033,6014
SSU05_1349,664,1968
SSU05_1100,1841,3036
SSU05_1142,7562,14282
SSU05_0087,35191,25384
SSU05_2164,479,1085
SSU05_0952,50,63
SSU05_0700,1745,4809
SSU05_0814,1179,3527
SSU05_0254,1716,2716
SSU05_1276,917,2825
SSU05_1525,9,8
SSU05_1844,1246,1592
SSU05_2145,315,325
SSU05_1361,8267,13553
SSU05_1920,97,43
SSU05_0195,1670,1334
SSU05_0531,9649,8351
SSU05_2144,818,1669
SSU05_1910,1506,5518
SSU05_0253,2677,2973
SSU05_0072,41454,39848
SSU05_0128,17,9
SSU05_1399,4288,5667
