Synonym,Raw.Counts..brpT.Replicate.1,Raw.Counts..brpT.Replicate.2,Raw.Counts..brpT.Replicate.3,Raw.Counts..brpT.Replicate.4,Raw.Counts..brpT.Replicate.5,Raw.Counts.WT_SK36.Replicate.1,Raw.Counts.WT_SK36.Replicate.2,Raw.Counts.WT_SK36.Replicate.3,Raw.Counts.WT_SK36.Replicate.4,Raw.Counts.WT_SK36.Replicate.5
SSA_0001,39066,25670,49578,35505,38660,17873,17896,20504,16318,21970
SSA_0002,42815,33928,66695,46645,53406,33841,34555,41847,33729,39590
SSA_2390,12633,7595,17708,13040,15807,9298,10002,11989,9589,9534
SSA_0004,129335,77251,131567,106407,137349,28318,34432,34192,28210,30736
SSA_0005,13970,10592,16514,12667,13278,3262,3114,3336,2691,4622
SSA_0006,3640,2070,4679,3543,3840,1226,1222,1240,1021,1733
SSA_0008,22985,15702,30682,22376,25243,14113,13689,14940,12103,14960
SSA_0009,17171,11010,20691,14852,18629,6126,7913,8289,6762,7048
SSA_0010,16521,12268,22286,15637,19026,8020,9107,10109,8604,9221
SSA_0011,4196,2794,5659,4164,4760,2394,2338,2705,2247,2722
SSA_0012,39781,28263,56080,40506,46020,25117,27398,31988,25418,30649
SSA_0013,30763,21541,42551,30790,34736,20457,21866,24375,19250,22367
SSA_0014,44560,23033,54203,41654,44789,16011,16388,18429,14457,18859
SSA_0015,191981,144787,249163,182441,212725,111980,117611,130466,103527,124346
SSA_2412,453,582,396,331,390,65,67,58,41,43
SSA_2413,4304,4313,3950,2900,4161,160,108,97,83,78
SSA_0016,2384,1420,3114,2055,2739,845,1213,1156,1094,994
SSA_2400,1183,1479,726,510,940,769,2226,2825,2677,954
SSA_2414,30,44,33,27,25,58,53,69,37,38
SSA_2404,4069,4843,3367,1726,7470,4695,7765,11066,9351,4642
SSA_2408,134,277,150,107,256,229,248,365,209,157
SSA_2415,307,380,277,159,229,324,366,362,202,205
SSA_2416,335,473,342,286,430,144,106,121,66,103
SSA_2417,1615,1468,1594,1320,1567,353,328,298,178,255
SSA_2418,3499,2688,3683,3219,3861,461,273,262,174,228
SSA_2419,4547,4962,5300,3757,4402,1335,831,707,515,646
SSA_2420,1612,1605,1736,1307,1472,403,232,193,144,213
SSA_2421,4181,4785,3927,2980,4081,1388,826,820,641,620
SSA_2422,5547,7479,6837,4951,5889,1424,999,753,676,953
SSA_2423,1294,1370,1381,1117,1394,255,123,112,83,100
SSA_2424,2428,2812,2554,1962,2519,915,723,758,484,537
SSA_2425,2454,2842,2538,2075,2479,784,612,622,392,428
SSA_2426,10341,14871,10037,8088,10092,7279,5227,9873,4913,3666
SSA_2427,2083,2310,2423,1976,2271,650,376,348,242,343
SSA_2428,2972,2986,3848,2824,3219,1015,700,730,586,648
SSA_2429,721,740,959,838,712,229,123,99,66,109
SSA_2430,1870,1661,1911,1523,2051,566,404,363,264,305
SSA_2431,4164,4374,4241,3500,3955,1391,970,1129,657,714
SSA_0017,3045,1954,3676,2992,3029,564,526,568,402,663
SSA_0018,1829,1248,2792,2085,2365,662,623,541,550,758
