Description,WT1,WT2,WT3,WT4,Mutant1,Mutant2,Mutant3,Mutant4
recD,23910,43187,30630,14624,372,432,308,415
SSA_0670,28504,49635,31198,19396,22795,20449,13607,21272
argG,3939,6552,4338,2281,3297,2689,2247,3090
SSA_1568,6826,11252,7873,4764,16446,13927,11605,12617
SSA_0621,12607,24885,17056,9492,34756,27282,21751,27391
clpL,6712,18651,13401,5015,32789,25152,17505,36406
rpsT,179382,395770,245081,141677,163737,154470,118113,171284
argH,5679,8949,5788,2866,4730,3342,3078,4120
SSA_1569,8851,16025,10445,6769,22274,18842,17397,16525
SSA_0622,3467,6650,4233,2697,8524,6742,5532,6562
SSA_1480,1541,3130,2036,1063,3498,2997,2287,3272
SSA_0819,972,1999,1208,683,2402,1949,1684,1885
SSA_1567,5118,7676,5060,3316,10968,9089,8825,8235
SSA_1857,12849,22017,12389,8281,12403,10204,8434,11008
SSA_0614,644,1462,987,571,1848,1771,1293,1628
SSA_0818,774,1519,935,592,1890,1459,1266,1486
SSA_2439,1124,1429,957,409,618,514,347,585
SSA_1224,6983,14717,6092,5570,4560,4912,4080,4642
SSA_2094,20635,42382,26583,14542,21541,19101,14226,18544
SSA_1098,12529,20990,11113,9045,9647,8351,8244,8885
rpsH,81826,130233,98342,55094,142718,127495,107301,145791
SSA_2428,1279,1749,1005,473,803,544,442,695
SSA_2148,15079,25911,15744,10417,34820,27665,23408,23680
SSA_2438,931,1101,802,307,423,409,218,463
SSA_2423,558,888,586,239,406,331,245,324
sagP,849309,1964573,1146756,687920,914137,757944,642276,920014
SSA_0952,5763,9248,6922,3650,5104,4605,4237,5123
rplR,90452,145435,101264,57618,146119,131947,109036,147884
SSA_0620,4929,9376,6842,3049,13866,8751,7632,9936
SSA_1481,2566,4862,3322,1603,5012,4253,3523,5312
codY,15597,26495,15051,9650,14773,10500,10967,12359
SSA_0459,22337,39812,23141,15757,21973,18902,16816,19758
SSA_2382,20072,38333,23518,16350,16711,17958,15051,16316
SSA_1285,1000,1587,1071,658,722,783,491,911
rplF,104094,185234,142103,73015,202848,171748,146618,197656
SSA_1825,4222,7598,4954,3124,11056,6387,5843,8568
efp,32509,56561,39296,22588,36630,29834,25855,33340
SSA_1112,8908,17483,10373,7169,19598,16416,13812,15800
SSA_0618,3284,7318,5998,3153,10394,10252,7386,7975
rplE,93575,139509,107152,58505,152535,134799,110825,161454
arcC,93118,212572,145412,66881,100752,80960,62326,103839
SSA_0627,18289,29427,20389,10997,18432,15626,13153,18570
SSA_0969,4535,8179,5784,3399,3674,4422,3024,3626
nrdH,25717,40544,21151,15537,21217,17281,13990,22903
SSA_2427,1203,1843,1179,468,930,658,516,753
SSA_2437,449,718,573,196,354,282,209,298
SSA_2436,402,661,602,187,299,275,191,265
SSA_2143,5066,9888,6193,3253,5750,4230,3743,5165
rpmD,60501,107840,66805,42547,100844,87838,76531,103590
hemH,5848,10698,6185,4284,5638,4617,4608,5776
rpsN,44209,81281,64299,35839,88807,91955,72314,94571
