Synonym,Expression.TH4527,Expression.TH5031
SPD_0093,56,966
SPD_0094,125,1807
SPD_0095,169,1499
SPD_1505,0,2
SPD_1845,0,0
SPD_1890,1,2
SPD_1815,1,3
SPD_0089,1,2
SPD_1806,10,22
SPD_0090,0,1
SPD_0141,0,0
SPD_0142,0,1
SPD_0294,0,0
SPD_0501,0,0
SPD_1164,0,0
SPD_1441,0,0
SPD_1498,0,0
SPD_1988,0,0
SPD_2066,0,1
SPD_1703,17,33
SPD_0097,33,63
SPD_1892,2,4
SPD_0088,2,3
SPD_1491,1,3
SPD_1682,1,3
SPD_1894,18,35
SPD_1691,15,28
SPD_1503,1,2
SPD_1982,5,9
SPD_0426,0,1
SPD_1879,1,1
SPD_1992,1,1
SPD_1880,12,20
SPD_1683,5,7
SPD_1344,6,9
SPD_0509,1,2
SPD_1828,1161,1844
SPD_2038,4,7
SPD_2061,23,36
SPD_1827,205,321
SPD_1960,3,5
SPD_1707,8,12
SPD_0190,63,97
SPD_1690,14,22
SPD_0756,21,32
SPD_2035,82,124
SPD_0313,4,5
SPD_0427,0,0
SPD_1074,0,0
SPD_1500,0,0
SPD_1613,0,0
SPD_1699,1,1
SPD_1852,2,4
SPD_1970,2,3
SPD_1990,0,1
SPD_1886,45,66
SPD_1861,1281,1933
SPD_1596,29,43
SPD_1593,149,222
SPD_1858,1168,1748
SPD_1677,6,9
SPD_1777,204,305
SPD_1859,1064,1585
SPD_1692,15,22
SPD_0035,227,335
SPD_1855,693,1021
SPD_1731,17,26
SPD_1888,17,25
SPD_0036,159,230
SPD_1857,1112,1633
SPD_0188,76,112
SPD_0017,7,12
SPD_1598,12,17
SPD_2034,79,114
SPD_1812,15,21
SPD_0108,12,18
SPD_1735,24,36
SPD_1686,18,26
SPD_0019,1,3
SPD_0606,2,2
SPD_0922,2,2
SPD_1750,2,3
SPD_1887,28,41
SPD_1112,7,10
SPD_0191,69,100
SPD_1106,3,4
SPD_1994,3,5
SPD_1860,1649,2351
SPD_0703,89,129
SPD_1597,38,54
SPD_0070,1,2
SPD_1169,1,2
SPD_1846,1,2
SPD_2043,159,224
SPD_0462,24,33
SPD_0353,14,20
SPD_0032,66,91
SPD_1739,1931,2693
SPD_1675,5,8
SPD_1738,847,1180
SPD_1698,14,20
SPD_1862,2273,3165
SPD_1733,18,26
SPD_2062,13,17
SPD_1600,17,23
SPD_1853,78,108
SPD_1979,21,30
SPD_0121,2,3
SPD_0224,2,3
SPD_1673,4,6
SPD_1803,4,6
SPD_1969,2,3
SPD_1476,46,64
SPD_1594,148,205
SPD_0029,102,140
