Synonym,Raw.Counts.Untreated_SK36.strain.Replicate.1,Raw.Counts.Untreated_SK36.strain.Replicate.2,Raw.Counts.Untreated_SK36.strain.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T10.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T20.Replicate.3,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.1,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.2,Raw.Counts.Heat_treated_SK36.strain_T30.Replicate.3
SSA_0001,4580,3292,3274,5002,5209,5927,3378,3506,5453,2435,2436,2178
SSA_0002,4663,3488,3598,5826,5863,6368,3850,4051,6130,2726,2832,2583
SSA_2390,715,593,617,967,1073,1158,740,738,1129,472,474,486
SSA_0004,2591,1400,1225,2315,3428,2776,1958,1946,3227,1374,1442,1205
SSA_0005,4276,3187,2884,2498,2390,2661,1789,1935,2493,1039,931,988
SSA_0006,540,393,386,485,516,560,342,360,501,268,226,234
SSA_0008,3762,3181,3174,3613,3333,4252,2705,2711,3662,1707,1470,1647
SSA_0009,687,569,547,624,615,667,553,565,691,392,329,331
SSA_0010,1062,885,918,978,938,1042,780,848,1205,518,505,497
SSA_0011,271,203,204,230,234,265,191,217,293,136,125,137
SSA_0012,3463,2659,2784,3271,3221,3681,2682,2875,4054,1815,1812,1826
SSA_0013,3215,2477,2256,2637,2839,3211,2302,2476,3520,1771,1702,1568
SSA_0014,3787,2318,2070,2625,3640,3081,2229,2372,3566,1695,1980,1678
SSA_0015,20420,14917,14164,15426,16166,17224,13268,14392,19135,9751,10215,9516
SSA_2412,93,58,43,32,48,49,11,18,29,15,8,8
SSA_2413,545,307,194,109,136,159,97,102,160,58,39,44
SSA_0016,59,27,34,50,60,45,32,28,56,26,23,27
SSA_2400,876,2775,5222,1050,389,1206,865,448,3044,528,278,280
SSA_2414,15,3,6,7,14,9,3,0,4,1,11,0
SSA_2404,1555,6525,12712,2309,741,4482,3693,2097,9663,1608,507,1701
SSA_2408,40,48,59,35,32,47,353,307,33,35,16,239
