"","Gene","Pathway"
"1","pau:PA14_00010","Two-component system"
"2","pau:PA14_00020","DNA replication"
"3","pau:PA14_00020","Mismatch repair"
"4","pau:PA14_00020","Homologous recombination"
"5","pau:PA14_00030","Homologous recombination"
"6","pau:PA14_00060","Glycerolipid metabolism"
"7","pau:PA14_00060","Glycerophospholipid metabolism"
"8","pau:PA14_00060","Metabolic pathways"
"9","pau:PA14_00060","Biosynthesis of secondary metabolites"
"10","pau:PA14_00070","Lipopolysaccharide biosynthesis"
"11","pau:PA14_00070","Metabolic pathways"
"12","pau:PA14_00070","Biosynthesis of nucleotide sugars"
"13","pau:PA14_00090","Aminoacyl-tRNA biosynthesis"
"14","pau:PA14_00100","Aminoacyl-tRNA biosynthesis"
"15","pau:PA14_00110","Base excision repair"
"16","pau:PA14_00120","Lipopolysaccharide biosynthesis"
"17","pau:PA14_00120","Metabolic pathways"
"18","pau:PA14_00190","One carbon pool by folate"
"19","pau:PA14_00190","Aminoacyl-tRNA biosynthesis"
"20","pau:PA14_00190","Metabolic pathways"
"21","pau:PA14_00280","Porphyrin and chlorophyll metabolism"
"22","pau:PA14_00280","Metabolic pathways"
"23","pau:PA14_00280","Biosynthesis of secondary metabolites"
"24","pau:PA14_00280","Biosynthesis of cofactors"
"25","pau:PA14_00290","Phenylalanine, tyrosine and tryptophan biosynthesis"
"26","pau:PA14_00290","Metabolic pathways"
"27","pau:PA14_00290","Biosynthesis of secondary metabolites"
"28","pau:PA14_00290","Biosynthesis of amino acids"
"29","pau:PA14_00360","ABC transporters"
"30","pau:PA14_00430","Two-component system"
"31","pau:PA14_00440","Glycine, serine and threonine metabolism"
"32","pau:PA14_00440","Phenylalanine, tyrosine and tryptophan biosynthesis"
"33","pau:PA14_00440","Metabolic pathways"
"34","pau:PA14_00440","Biosynthesis of secondary metabolites"
"35","pau:PA14_00440","Biosynthesis of amino acids"
"36","pau:PA14_00450","Glycine, serine and threonine metabolism"
"37","pau:PA14_00450","Phenylalanine, tyrosine and tryptophan biosynthesis"
"38","pau:PA14_00450","Metabolic pathways"
"39","pau:PA14_00450","Biosynthesis of secondary metabolites"
"40","pau:PA14_00450","Biosynthesis of amino acids"
"41","pau:PA14_00640","Alanine, aspartate and glutamate metabolism"
"42","pau:PA14_00640","Metabolic pathways"
"43","pau:PA14_00640","Biosynthesis of secondary metabolites"
"44","pau:PA14_00640","Biosynthesis of amino acids"
"45","pau:PA14_00770","Glyoxylate and dicarboxylate metabolism"
"46","pau:PA14_00770","Metabolic pathways"
"47","pau:PA14_00770","Biosynthesis of secondary metabolites"
"48","pau:PA14_00875","Biofilm formation - Pseudomonas aeruginosa"
"49","pau:PA14_00875","Bacterial secretion system"
"50","pau:PA14_00890","Biofilm formation - Pseudomonas aeruginosa"
"51","pau:PA14_00890","Bacterial secretion system"
"52","pau:PA14_00900","Biofilm formation - Pseudomonas aeruginosa"
"53","pau:PA14_00910","Biofilm formation - Pseudomonas aeruginosa"
"54","pau:PA14_00910","Bacterial secretion system"
"55","pau:PA14_00925","Bacterial secretion system"
"56","pau:PA14_00940","Biofilm formation - Pseudomonas aeruginosa"
"57","pau:PA14_00960","Bacterial secretion system"
"58","pau:PA14_00970","Biofilm formation - Pseudomonas aeruginosa"
"59","pau:PA14_00970","Bacterial secretion system"
"60","pau:PA14_00980","Biofilm formation - Pseudomonas aeruginosa"
"61","pau:PA14_00980","Bacterial secretion system"
"62","pau:PA14_00990","Biofilm formation - Pseudomonas aeruginosa"
"63","pau:PA14_01010","Biofilm formation - Pseudomonas aeruginosa"
"64","pau:PA14_01020","Biofilm formation - Pseudomonas aeruginosa"
"65","pau:PA14_01030","Biofilm formation - Pseudomonas aeruginosa"
"66","pau:PA14_01030","Bacterial secretion system"
"67","pau:PA14_01080","Biofilm formation - Pseudomonas aeruginosa"
"68","pau:PA14_01100","Biofilm formation - Pseudomonas aeruginosa"
"69","pau:PA14_01100","Bacterial secretion system"
"70","pau:PA14_01110","Bacterial secretion system"
"71","pau:PA14_01160","Bacterial secretion system"
"72","pau:PA14_01190","Fatty acid biosynthesis"
"73","pau:PA14_01190","Biotin metabolism"
"74","pau:PA14_01190","Metabolic pathways"
"75","pau:PA14_01190","Fatty acid metabolism"
"76","pau:PA14_01190","Biosynthesis of cofactors"
"77","pau:PA14_01240","Nitrogen metabolism"
"78","pau:PA14_01240","Metabolic pathways"
"79","pau:PA14_01290","Oxidative phosphorylation"
"80","pau:PA14_01290","Metabolic pathways"
"81","pau:PA14_01300","Oxidative phosphorylation"
"82","pau:PA14_01300","Metabolic pathways"
"83","pau:PA14_01310","Oxidative phosphorylation"
"84","pau:PA14_01310","Metabolic pathways"
"85","pau:PA14_01320","Oxidative phosphorylation"
"86","pau:PA14_01320","Metabolic pathways"
"87","pau:PA14_01360","Oxidative phosphorylation"
"88","pau:PA14_01360","Porphyrin and chlorophyll metabolism"
"89","pau:PA14_01360","Metabolic pathways"
"90","pau:PA14_01360","Biosynthesis of secondary metabolites"
"91","pau:PA14_01360","Biosynthesis of cofactors"
"92","pau:PA14_01360","Two-component system"
"93","pau:PA14_01380","Oxidative phosphorylation"
"94","pau:PA14_01380","Porphyrin and chlorophyll metabolism"
"95","pau:PA14_01380","Metabolic pathways"
"96","pau:PA14_01380","Biosynthesis of secondary metabolites"
"97","pau:PA14_01380","Biosynthesis of cofactors"
"98","pau:PA14_01460","Two-component system"
"99","pau:PA14_01600","Valine, leucine and isoleucine degradation"
"100","pau:PA14_01600","beta-Alanine metabolism"
"101","pau:PA14_01600","Inositol phosphate metabolism"
"102","pau:PA14_01600","Propanoate metabolism"
"103","pau:PA14_01600","Metabolic pathways"
"104","pau:PA14_01600","Carbon metabolism"
"105","pau:PA14_01620","Valine, leucine and isoleucine degradation"
"106","pau:PA14_01620","beta-Alanine metabolism"
"107","pau:PA14_01620","Propanoate metabolism"
"108","pau:PA14_01620","Metabolic pathways"
"109","pau:PA14_01660","Purine metabolism"
"110","pau:PA14_01660","Metabolic pathways"
"111","pau:PA14_01670","ABC transporters"
"112","pau:PA14_01680","ABC transporters"
"113","pau:PA14_01690","ABC transporters"
"114","pau:PA14_01730","Oxidative phosphorylation"
"115","pau:PA14_01730","RNA degradation"
"116","pau:PA14_01760","Purine metabolism"
"117","pau:PA14_01760","Nicotinate and nicotinamide metabolism"
"118","pau:PA14_01760","Metabolic pathways"
"119","pau:PA14_01800","ABC transporters"
"120","pau:PA14_01830","Purine metabolism"
"121","pau:PA14_01830","Metabolic pathways"
"122","pau:PA14_01860","Two-component system"
"123","pau:PA14_01900","Benzoate degradation"
"124","pau:PA14_01900","Metabolic pathways"
"125","pau:PA14_01900","Microbial metabolism in diverse environments"
"126","pau:PA14_01900","Degradation of aromatic compounds"
"127","pau:PA14_01910","Benzoate degradation"
"128","pau:PA14_01910","Metabolic pathways"
"129","pau:PA14_01910","Microbial metabolism in diverse environments"
