"","Gene","Pathway"
"1","cal:CAALFM_C100060WA","MAPK signaling pathway - yeast"
"2","cal:CAALFM_C100060WA","Cell cycle - yeast"
"3","cal:CAALFM_C100070WA","Terpenoid backbone biosynthesis"
"4","cal:CAALFM_C100070WA","Metabolic pathways"
"5","cal:CAALFM_C100070WA","Biosynthesis of secondary metabolites"
"6","cal:CAALFM_C100100CA","Glycerophospholipid metabolism"
"7","cal:CAALFM_C100100CA","Metabolic pathways"
"8","cal:CAALFM_C100120CA","Phenylalanine, tyrosine and tryptophan biosynthesis"
"9","cal:CAALFM_C100120CA","Metabolic pathways"
"10","cal:CAALFM_C100120CA","Biosynthesis of secondary metabolites"
"11","cal:CAALFM_C100120CA","Biosynthesis of amino acids"
"12","cal:CAALFM_C100170WA","Valine, leucine and isoleucine biosynthesis"
"13","cal:CAALFM_C100170WA","Pyruvate metabolism"
"14","cal:CAALFM_C100170WA","Metabolic pathways"
"15","cal:CAALFM_C100170WA","Biosynthesis of secondary metabolites"
"16","cal:CAALFM_C100170WA","2-Oxocarboxylic acid metabolism"
"17","cal:CAALFM_C100170WA","Biosynthesis of amino acids"
"18","cal:CAALFM_C100180WA","Ribosome"
"19","cal:CAALFM_C100230CA","Cell cycle - yeast"
"20","cal:CAALFM_C100320WA","Endocytosis"
"21","cal:CAALFM_C100330CA","RNA degradation"
"22","cal:CAALFM_C100340WA","Purine metabolism"
"23","cal:CAALFM_C100340WA","Metabolic pathways"
"24","cal:CAALFM_C100340WA","Biosynthesis of secondary metabolites"
"25","cal:CAALFM_C100340WA","Biosynthesis of cofactors"
"26","cal:CAALFM_C100340WA","Ribosome biogenesis in eukaryotes"
"27","cal:CAALFM_C100410CA","Glycolysis / Gluconeogenesis"
"28","cal:CAALFM_C100410CA","Ascorbate and aldarate metabolism"
"29","cal:CAALFM_C100410CA","Fatty acid degradation"
"30","cal:CAALFM_C100410CA","Valine, leucine and isoleucine degradation"
"31","cal:CAALFM_C100410CA","Lysine degradation"
"32","cal:CAALFM_C100410CA","Arginine and proline metabolism"
"33","cal:CAALFM_C100410CA","Histidine metabolism"
"34","cal:CAALFM_C100410CA","Tryptophan metabolism"
"35","cal:CAALFM_C100410CA","beta-Alanine metabolism"
"36","cal:CAALFM_C100410CA","Glycerolipid metabolism"
"37","cal:CAALFM_C100410CA","Pyruvate metabolism"
"38","cal:CAALFM_C100410CA","Pantothenate and CoA biosynthesis"
"39","cal:CAALFM_C100410CA","Metabolic pathways"
"40","cal:CAALFM_C100410CA","Biosynthesis of secondary metabolites"
"41","cal:CAALFM_C100410CA","Biosynthesis of cofactors"
"42","cal:CAALFM_C100430WA","Autophagy - other"
"43","cal:CAALFM_C100430WA","Autophagy - yeast"
"44","cal:CAALFM_C100500CA","Pyruvate metabolism"
"45","cal:CAALFM_C100500CA","Metabolic pathways"
"46","cal:CAALFM_C100510WA","Pantothenate and CoA biosynthesis"
"47","cal:CAALFM_C100510WA","Metabolic pathways"
"48","cal:CAALFM_C100510WA","Biosynthesis of secondary metabolites"
"49","cal:CAALFM_C100510WA","Biosynthesis of cofactors"
"50","cal:CAALFM_C100550WA","Taurine and hypotaurine metabolism"
"51","cal:CAALFM_C100550WA","Cyanoamino acid metabolism"
"52","cal:CAALFM_C100550WA","Glutathione metabolism"
"53","cal:CAALFM_C100550WA","Metabolic pathways"
"54","cal:CAALFM_C100600WA","Cell cycle - yeast"
"55","cal:CAALFM_C100600WA","Meiosis - yeast"
"56","cal:CAALFM_C100600WA","Ubiquitin mediated proteolysis"
"57","cal:CAALFM_C100610WA","Glycerophospholipid metabolism"
"58","cal:CAALFM_C100610WA","Metabolic pathways"
"59","cal:CAALFM_C100610WA","Biosynthesis of secondary metabolites"
"60","cal:CAALFM_C100630WA","Pyruvate metabolism"
"61","cal:CAALFM_C100630WA","Metabolic pathways"
"62","cal:CAALFM_C100650CA","Endocytosis"
"63","cal:CAALFM_C100660CA","SNARE interactions in vesicular transport"
"64","cal:CAALFM_C100700WA","Oxidative phosphorylation"
"65","cal:CAALFM_C100700WA","Metabolic pathways"
"66","cal:CAALFM_C100710CA","Phagosome"
"67","cal:CAALFM_C100740CA","Arginine and proline metabolism"
"68","cal:CAALFM_C100740CA","Glutathione metabolism"
