"","Gene","Pathway"
"1","spy:SPy_0002","Two-component system"
"2","spy:SPy_0003","DNA replication"
"3","spy:SPy_0003","Mismatch repair"
"4","spy:SPy_0003","Homologous recombination"
"5","spy:SPy_0008","Nucleotide excision repair"
"6","spy:SPy_0012","beta-Lactam resistance"
"7","spy:SPy_0012","Two-component system"
"8","spy:SPy_r01","Ribosome"
"9","spy:SPy_t01","Aminoacyl-tRNA biosynthesis"
"10","spy:SPy_r02","Ribosome"
"11","spy:SPy_t02","Aminoacyl-tRNA biosynthesis"
"12","spy:SPy_t03","Aminoacyl-tRNA biosynthesis"
"13","spy:SPy_t04","Aminoacyl-tRNA biosynthesis"
"14","spy:SPy_t05","Aminoacyl-tRNA biosynthesis"
"15","spy:SPy_t06","Aminoacyl-tRNA biosynthesis"
"16","spy:SPy_t07","Aminoacyl-tRNA biosynthesis"
"17","spy:SPy_t08","Aminoacyl-tRNA biosynthesis"
"18","spy:SPy_t09","Aminoacyl-tRNA biosynthesis"
"19","spy:SPy_t10","Aminoacyl-tRNA biosynthesis"
"20","spy:SPy_r03","Ribosome"
"21","spy:SPy_t11","Aminoacyl-tRNA biosynthesis"
"22","spy:SPy_r04","Ribosome"
"23","spy:SPy_t12","Aminoacyl-tRNA biosynthesis"
"24","spy:SPy_t13","Aminoacyl-tRNA biosynthesis"
"25","spy:SPy_t14","Aminoacyl-tRNA biosynthesis"
"26","spy:SPy_t15","Aminoacyl-tRNA biosynthesis"
"27","spy:SPy_t16","Aminoacyl-tRNA biosynthesis"
"28","spy:SPy_t17","Aminoacyl-tRNA biosynthesis"
"29","spy:SPy_t18","Aminoacyl-tRNA biosynthesis"
"30","spy:SPy_t19","Aminoacyl-tRNA biosynthesis"
"31","spy:SPy_t20","Aminoacyl-tRNA biosynthesis"
"32","spy:SPy_t21","Aminoacyl-tRNA biosynthesis"
"33","spy:SPy_0020","Pentose phosphate pathway"
"34","spy:SPy_0020","Purine metabolism"
"35","spy:SPy_0020","Metabolic pathways"
"36","spy:SPy_0020","Biosynthesis of secondary metabolites"
"37","spy:SPy_0020","Microbial metabolism in diverse environments"
"38","spy:SPy_0020","Carbon metabolism"
"39","spy:SPy_0020","Biosynthesis of amino acids"
"40","spy:SPy_0021","Homologous recombination"
"41","spy:SPy_0022","Glycerolipid metabolism"
"42","spy:SPy_0022","Metabolic pathways"
"43","spy:SPy_0022","Biosynthesis of secondary metabolites"
"44","spy:SPy_0023","Metabolic pathways"
"45","spy:SPy_0023","Biosynthesis of secondary metabolites"
"46","spy:SPy_0024","Purine metabolism"
"47","spy:SPy_0024","Metabolic pathways"
"48","spy:SPy_0024","Biosynthesis of secondary metabolites"
"49","spy:SPy_0025","Purine metabolism"
"50","spy:SPy_0025","Metabolic pathways"
"51","spy:SPy_0025","Biosynthesis of secondary metabolites"
"52","spy:SPy_0026","Purine metabolism"
"53","spy:SPy_0026","Alanine, aspartate and glutamate metabolism"
"54","spy:SPy_0026","Metabolic pathways"
"55","spy:SPy_0026","Biosynthesis of secondary metabolites"
"56","spy:SPy_0027","Purine metabolism"
"57","spy:SPy_0027","Metabolic pathways"
"58","spy:SPy_0027","Biosynthesis of secondary metabolites"
"59","spy:SPy_0028","Purine metabolism"
"60","spy:SPy_0028","One carbon pool by folate"
"61","spy:SPy_0028","Metabolic pathways"
"62","spy:SPy_0028","Biosynthesis of secondary metabolites"
"63","spy:SPy_0032","Purine metabolism"
"64","spy:SPy_0032","Metabolic pathways"
"65","spy:SPy_0032","Biosynthesis of secondary metabolites"
"66","spy:SPy_0033","Purine metabolism"
"67","spy:SPy_0033","Metabolic pathways"
"68","spy:SPy_0033","Biosynthesis of secondary metabolites"
"69","spy:SPy_0034","Purine metabolism"
"70","spy:SPy_0034","Metabolic pathways"
"71","spy:SPy_0034","Biosynthesis of secondary metabolites"
"72","spy:SPy_0036","Purine metabolism"
"73","spy:SPy_0036","Alanine, aspartate and glutamate metabolism"
"74","spy:SPy_0036","Metabolic pathways"
"75","spy:SPy_0036","Biosynthesis of secondary metabolites"
"76","spy:SPy_0036","Biosynthesis of cofactors"
"77","spy:SPy_0037","Quorum sensing"
"78","spy:SPy_0038","Homologous recombination"
"79","spy:SPy_0039","Two-component system"
"80","spy:SPy_0044","Glycolysis / Gluconeogenesis"
"81","spy:SPy_0044","Fatty acid degradation"
"82","spy:SPy_0044","Tyrosine metabolism"
"83","spy:SPy_0044","Pyruvate metabolism"
"84","spy:SPy_0044","Chloroalkane and chloroalkene degradation"
"85","spy:SPy_0044","Naphthalene degradation"
"86","spy:SPy_0044","Metabolic pathways"
"87","spy:SPy_0044","Biosynthesis of secondary metabolites"
"88","spy:SPy_0044","Microbial metabolism in diverse environments"
"89","spy:SPy_0044","Degradation of aromatic compounds"
"90","spy:SPy_0047","Ribosome"
"91","spy:SPy_0049","Ribosome"
"92","spy:SPy_0050","Ribosome"
"93","spy:SPy_0051","Ribosome"
"94","spy:SPy_0052","Ribosome"
"95","spy:SPy_0053","Ribosome"
"96","spy:SPy_0055","Ribosome"
"97","spy:SPy_0056","Ribosome"
"98","spy:SPy_0057","Ribosome"
"99","spy:SPy_0059","Ribosome"
"100","spy:SPy_0060","Ribosome"
"101","spy:SPy_0061","Ribosome"
"102","spy:SPy_0062","Ribosome"
"103","spy:SPy_0063","Ribosome"
"104","spy:SPy_0064","Ribosome"
"105","spy:SPy_0065","Ribosome"
"106","spy:SPy_0066","Ribosome"
"107","spy:SPy_0067","Ribosome"
"108","spy:SPy_0069","Ribosome"
"109","spy:SPy_0071","Ribosome"
"110","spy:SPy_0072","Ribosome"
"111","spy:SPy_0073","Quorum sensing"
"112","spy:SPy_0073","Protein export"
"113","spy:SPy_0073","Bacterial secretion system"
"114","spy:SPy_0074","Purine metabolism"
"115","spy:SPy_0074","Thiamine metabolism"
"116","spy:SPy_0074","Metabolic pathways"
"117","spy:SPy_0074","Biosynthesis of secondary metabolites"
"118","spy:SPy_0074","Biosynthesis of cofactors"
"119","spy:SPy_0076","Ribosome"
"120","spy:SPy_0077","Ribosome"
"121","spy:SPy_0078","Ribosome"
"122","spy:SPy_0080","RNA polymerase"
"123","spy:SPy_r05","Ribosome"
"124","spy:SPy_t22","Aminoacyl-tRNA biosynthesis"
"125","spy:SPy_r06","Ribosome"
"126","spy:SPy_t23","Aminoacyl-tRNA biosynthesis"
"127","spy:SPy_t24","Aminoacyl-tRNA biosynthesis"
