"","Gene","Pathway"
"1","sgo:SGO_0001","Two-component system"
"2","sgo:SGO_0002","DNA replication"
"3","sgo:SGO_0002","Mismatch repair"
"4","sgo:SGO_0002","Homologous recombination"
"5","sgo:SGO_0007","Aminoacyl-tRNA biosynthesis"
"6","sgo:SGO_0008","Purine metabolism"
"7","sgo:SGO_0008","Metabolic pathways"
"8","sgo:SGO_0008","Biosynthesis of secondary metabolites"
"9","sgo:SGO_0009","Homologous recombination"
"10","sgo:SGO_0014","Glycerophospholipid metabolism"
"11","sgo:SGO_0014","Metabolic pathways"
"12","sgo:SGO_0015","ABC transporters"
"13","sgo:SGO_0016","ABC transporters"
"14","sgo:SGO_0017","ABC transporters"
"15","sgo:SGO_0019","Glycine, serine and threonine metabolism"
"16","sgo:SGO_0019","Cysteine and methionine metabolism"
"17","sgo:SGO_0019","Metabolic pathways"
"18","sgo:SGO_0019","Biosynthesis of secondary metabolites"
"19","sgo:SGO_0019","Carbon metabolism"
"20","sgo:SGO_0019","Biosynthesis of amino acids"
"21","sgo:SGO_0020","Glycine, serine and threonine metabolism"
"22","sgo:SGO_0020","Cysteine and methionine metabolism"
"23","sgo:SGO_0020","Metabolic pathways"
"24","sgo:SGO_0020","Biosynthesis of secondary metabolites"
"25","sgo:SGO_0020","Carbon metabolism"
"26","sgo:SGO_0020","Biosynthesis of amino acids"
"27","sgo:SGO_0022","Sulfur relay system"
"28","sgo:SGO_0027","Ribosome"
"29","sgo:SGO_0028","DNA replication"
"30","sgo:SGO_0030","Lysine biosynthesis"
"31","sgo:SGO_0030","Metabolic pathways"
"32","sgo:SGO_0030","Biosynthesis of secondary metabolites"
"33","sgo:SGO_0030","Biosynthesis of amino acids"
"34","sgo:SGO_0031","Homologous recombination"
"35","sgo:SGO_0032","Glycerolipid metabolism"
"36","sgo:SGO_0032","Metabolic pathways"
"37","sgo:SGO_0032","Biosynthesis of secondary metabolites"
"38","sgo:SGO_0033","Metabolic pathways"
"39","sgo:SGO_0033","Biosynthesis of secondary metabolites"
"40","sgo:SGO_0034","Purine metabolism"
"41","sgo:SGO_0034","Metabolic pathways"
"42","sgo:SGO_0034","Biosynthesis of secondary metabolites"
"43","sgo:SGO_0035","Purine metabolism"
"44","sgo:SGO_0035","Metabolic pathways"
"45","sgo:SGO_0035","Biosynthesis of secondary metabolites"
"46","sgo:SGO_0036","Purine metabolism"
"47","sgo:SGO_0036","Alanine, aspartate and glutamate metabolism"
"48","sgo:SGO_0036","Metabolic pathways"
"49","sgo:SGO_0036","Biosynthesis of secondary metabolites"
"50","sgo:SGO_0037","Purine metabolism"
"51","sgo:SGO_0037","Metabolic pathways"
"52","sgo:SGO_0037","Biosynthesis of secondary metabolites"
"53","sgo:SGO_0038","Purine metabolism"
"54","sgo:SGO_0038","One carbon pool by folate"
"55","sgo:SGO_0038","Metabolic pathways"
"56","sgo:SGO_0038","Biosynthesis of secondary metabolites"
"57","sgo:SGO_0040","Purine metabolism"
"58","sgo:SGO_0040","One carbon pool by folate"
"59","sgo:SGO_0040","Metabolic pathways"
"60","sgo:SGO_0040","Biosynthesis of secondary metabolites"
"61","sgo:SGO_0043","Galactose metabolism"
"62","sgo:SGO_0045","Fructose and mannose metabolism"
"63","sgo:SGO_0045","Amino sugar and nucleotide sugar metabolism"
"64","sgo:SGO_0045","Metabolic pathways"
"65","sgo:SGO_0045","Phosphotransferase system (PTS)"
"66","sgo:SGO_0046","Fructose and mannose metabolism"
"67","sgo:SGO_0046","Amino sugar and nucleotide sugar metabolism"
"68","sgo:SGO_0046","Metabolic pathways"
"69","sgo:SGO_0046","Phosphotransferase system (PTS)"
"70","sgo:SGO_0047","Fructose and mannose metabolism"
"71","sgo:SGO_0047","Amino sugar and nucleotide sugar metabolism"
"72","sgo:SGO_0047","Metabolic pathways"
"73","sgo:SGO_0047","Phosphotransferase system (PTS)"
"74","sgo:SGO_0048","Galactose metabolism"
"75","sgo:SGO_0048","Metabolic pathways"
"76","sgo:SGO_0049","Glycolysis / Gluconeogenesis"
"77","sgo:SGO_0049","Galactose metabolism"
"78","sgo:SGO_0049","Metabolic pathways"
"79","sgo:SGO_0049","Biosynthesis of secondary metabolites"
"80","sgo:SGO_0049","Microbial metabolism in diverse environments"
"81","sgo:SGO_0054","D-Amino acid metabolism"
"82","sgo:SGO_0054","Metabolic pathways"
"83","sgo:SGO_0054","Cationic antimicrobial peptide (CAMP) resistance"
"84","sgo:SGO_0054","Two-component system"
"85","sgo:SGO_0055","Cationic antimicrobial peptide (CAMP) resistance"
"86","sgo:SGO_0055","Two-component system"
"87","sgo:SGO_0056","D-Amino acid metabolism"
"88","sgo:SGO_0056","Metabolic pathways"
"89","sgo:SGO_0056","Cationic antimicrobial peptide (CAMP) resistance"
"90","sgo:SGO_0056","Two-component system"
"91","sgo:SGO_0057","Cationic antimicrobial peptide (CAMP) resistance"
"92","sgo:SGO_0057","Two-component system"
"93","sgo:SGO_0096","Purine metabolism"
"94","sgo:SGO_0096","Pyrimidine metabolism"
"95","sgo:SGO_0096","Nicotinate and nicotinamide metabolism"
"96","sgo:SGO_0096","Metabolic pathways"
"97","sgo:SGO_0096","Biosynthesis of secondary metabolites"
"98","sgo:SGO_0099","Starch and sucrose metabolism"
"99","sgo:SGO_0099","Metabolic pathways"
"100","sgo:SGO_0099","Biosynthesis of secondary metabolites"
"101","sgo:SGO_0102","ABC transporters"
"102","sgo:SGO_0103","ABC transporters"
"103","sgo:SGO_0104","ABC transporters"
"104","sgo:SGO_0105","Starch and sucrose metabolism"
"105","sgo:SGO_0105","Metabolic pathways"
"106","sgo:SGO_0105","Biosynthesis of secondary metabolites"
"107","sgo:SGO_0106","Starch and sucrose metabolism"
"108","sgo:SGO_0106","Metabolic pathways"
"109","sgo:SGO_0106","Biosynthesis of secondary metabolites"
"110","sgo:SGO_0108","Homologous recombination"
"111","sgo:SGO_0110","Two-component system"
"112","sgo:SGO_0113","Glycolysis / Gluconeogenesis"
"113","sgo:SGO_0113","Tyrosine metabolism"
"114","sgo:SGO_0113","Pyruvate metabolism"
"115","sgo:SGO_0113","Chloroalkane and chloroalkene degradation"
"116","sgo:SGO_0113","Naphthalene degradation"
"117","sgo:SGO_0113","Butanoate metabolism"
"118","sgo:SGO_0113","Metabolic pathways"
"119","sgo:SGO_0113","Biosynthesis of secondary metabolites"
"120","sgo:SGO_0113","Microbial metabolism in diverse environments"
"121","sgo:SGO_0113","Degradation of aromatic compounds"
"122","sgo:SGO_0118","Amino sugar and nucleotide sugar metabolism"
"123","sgo:SGO_0118","Metabolic pathways"
"124","sgo:SGO_0124","Amino sugar and nucleotide sugar metabolism"
"125","sgo:SGO_0124","Metabolic pathways"
"126","sgo:SGO_0128","Oxidative phosphorylation"
"127","sgo:SGO_0128","Metabolic pathways"
"128","sgo:SGO_0129","Oxidative phosphorylation"
"129","sgo:SGO_0129","Metabolic pathways"
"130","sgo:SGO_0130","Oxidative phosphorylation"
"131","sgo:SGO_0130","Metabolic pathways"
"132","sgo:SGO_0131","Oxidative phosphorylation"
"133","sgo:SGO_0131","Metabolic pathways"
"134","sgo:SGO_0132","Oxidative phosphorylation"
"135","sgo:SGO_0132","Metabolic pathways"
"136","sgo:SGO_0133","Oxidative phosphorylation"
"137","sgo:SGO_0133","Metabolic pathways"
"138","sgo:SGO_0135","Oxidative phosphorylation"
"139","sgo:SGO_0135","Metabolic pathways"
"140","sgo:SGO_0136","Oxidative phosphorylation"
"141","sgo:SGO_0136","Metabolic pathways"
"142","sgo:SGO_0137","Oxidative phosphorylation"
"143","sgo:SGO_0137","Metabolic pathways"
"144","sgo:SGO_0139","Glycine, serine and threonine metabolism"
"145","sgo:SGO_0139","Vitamin B6 metabolism"
"146","sgo:SGO_0139","Metabolic pathways"
"147","sgo:SGO_0139","Biosynthesis of secondary metabolites"
"148","sgo:SGO_0139","Microbial metabolism in diverse environments"
"149","sgo:SGO_0139","Biosynthesis of amino acids"
"150","sgo:SGO_0145","DNA replication"
"151","sgo:SGO_0145","Base excision repair"
"152","sgo:SGO_0145","Nucleotide excision repair"
"153","sgo:SGO_0145","Homologous recombination"
"154","sgo:SGO_0150","Other glycan degradation"
"155","sgo:SGO_0154","Glycolysis / Gluconeogenesis"
"156","sgo:SGO_0154","Pentose phosphate pathway"
"157","sgo:SGO_0154","Starch and sucrose metabolism"
"158","sgo:SGO_0154","Amino sugar and nucleotide sugar metabolism"
"159","sgo:SGO_0154","Metabolic pathways"
