"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"P0C814","cytolysis [GO:0019835]",NA,NA
"2",NA,NA,NA,"P0C7L6","3'-5' exonuclease activity [GO:0008408]; endonuclease activity [GO:0004519]; DNA recombination [GO:0006310]; DNA replication [GO:0006260]",NA,NA
"3",NA,NA,NA,"P0C7J5","extracellular region [GO:0005576]; heme transmembrane transporter activity [GO:0015232]; metal ion binding [GO:0046872]",NA,NA
"4",NA,NA,NA,"P0C7U6","cytoplasm [GO:0005737]; L-lactate dehydrogenase activity [GO:0004459]; glycolytic process [GO:0006096]",NA,NA
"5",NA,NA,NA,"P0C827","cytolysis [GO:0019835]",NA,NA
"6",NA,NA,NA,"P0C861",NA,NA,NA
"7",NA,NA,NA,"V6B0S5",NA,NA,NA
"8","USA300HOU_0001","dnaA","(GenBank) replication initiation protein DnaA","A8YYS4","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]",NA,"Two-component system"
"9","USA300HOU_0002","dnaN","(GenBank) DNA-directed DNA polymerase beta subunit",NA,NA,NA,"DNA replication, Mismatch repair, Homologous recombination"
"10","USA300HOU_0004","recF","(GenBank) recombination protein RecF","A8YYS7","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; single-stranded DNA binding [GO:0003697]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]",NA,"Homologous recombination"
"11","USA300HOU_0008","hutH","(GenBank) histidine ammonia-lyase","A8YYT1","cytoplasm [GO:0005737]; histidine ammonia-lyase activity [GO:0004397]; histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]",NA,"Histidine metabolism, Metabolic pathways"
"12","USA300HOU_0009","serS","(GenBank) serine--tRNA ligase","A8YYT2","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]",NA,"Aminoacyl-tRNA biosynthesis"
"13","USA300HOU_0012","metX","(GenBank) possible homoserine O-acetyltransferase",NA,NA,NA,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"14","USA300HOU_0015","rplI","(GenBank) ribosomal protein L9","A8YYT8","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA,"Ribosome"
"15","USA300HOU_0016","dnaB1","(GenBank) replicative DNA helicase DnaB",NA,NA,NA,"DNA replication"
"16","USA300HOU_0017","purA","(GenBank) adenylosuccinate synthase",NA,NA,NA,"Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Nucleotide metabolism, Biosynthesis of cofactors"
"17","USA300HOU_0018","yycF","(GenBank) response regulator VicR","A8YYU1","cytoplasm [GO:0005737]; DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]",NA,"Two-component system"
"18","USA300HOU_0019","","(GenBank) sensor histidine kinase VicK","A8YYU2","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphorelay sensor kinase activity [GO:0000155]",NA,"Two-component system"
"19","USA300HOU_0024",NA,NA,"A8YYU7","cytoplasm [GO:0005737]; rRNA (pseudouridine-N3-)-methyltransferase activity [GO:0070038]",NA,NA
"20","USA300HOU_0029","ugpQ1","(GenBank) glycerophosphodiester phosphodiesterase",NA,NA,NA,"Glycerophospholipid metabolism"
"21","USA300HOU_0031","mecA","(GenBank) penicillin binding protein 2 prime",NA,NA,NA,"Peptidoglycan biosynthesis, Metabolic pathways, beta-Lactam resistance"
"22","USA300HOU_0032","mecR1","(GenBank) methicillin resistance regulatory protein MecR1",NA,NA,NA,"beta-Lactam resistance"
"23","USA300HOU_0044","","(GenBank) possible transcriptional regulator",NA,NA,NA,"Homologous recombination"
"24","USA300HOU_0045","","(GenBank) possible beta-lactamase",NA,NA,NA,"Pyruvate metabolism, Metabolic pathways"
"25","USA300HOU_0057","","(GenBank) diamine N-acetyltransferase",NA,NA,NA,"Arginine and proline metabolism, Metabolic pathways"
"26","USA300HOU_0059","adhC","(GenBank) alcohol dehydrogenase",NA,NA,NA,"Glycolysis / Gluconeogenesis, Fatty acid degradation, Tyrosine metabolism, Pyruvate metabolism, Chloroalkane and chloroalkene degradation, Naphthalene degradation, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"27","USA300HOU_0066","arcC1","(GenBank) carbamate kinase",NA,NA,NA,"Arginine biosynthesis, Purine metabolism, Nitrogen metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"28","USA300HOU_0067","arcB1","(GenBank) ornithine carbamoyltransferase",NA,NA,NA,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"29","USA300HOU_0070","arcA1","(GenBank) arginine deiminase",NA,NA,NA,"Arginine biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
"30","USA300HOU_0078","","(GenBank) nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, binding protein",NA,NA,NA,"Quorum sensing"
"31","USA300HOU_0079","","(GenBank) nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"Quorum sensing"
"32","USA300HOU_0080","","(GenBank) nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"Quorum sensing"
"33","USA300HOU_0081","","(GenBank) nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, ABC protein",NA,NA,NA,"Quorum sensing"
"34","USA300HOU_0082","","(GenBank) nickel (Ni2+)/peptide ABC superfamily ATP binding cassette transporter, ABC protein",NA,NA,NA,"Quorum sensing"
"35","USA300HOU_0084",NA,NA,"A8YZ02","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; P-type monovalent copper transporter activity [GO:0140581]",NA,NA
"36","USA300HOU_0093","","(GenBank) hypothetical protein",NA,NA,NA,"Pyruvate metabolism, Metabolic pathways"
"37","USA300HOU_0108","plc","(GenBank) phosphatidylinositol diacylglycerol-lyase",NA,NA,NA,"Inositol phosphate metabolism, Metabolic pathways"
"38","USA300HOU_0122","spa","(GenBank) immunoglobulin G binding protein A",NA,NA,NA,"Staphylococcus aureus infection"
"39","USA300HOU_0127","","(GenBank) possible pyridoxal-phosphate dependent enzyme","A8YZ41","transferase activity [GO:0016740]; cysteine biosynthetic process from serine [GO:0006535]",NA,"Biosynthesis of various other secondary metabolites, Biosynthesis of various antibiotics, Metabolic pathways, Biosynthesis of secondary metabolites"
"40","USA300HOU_0128","ocd","(GenBank) possible ornithine cyclodeaminase",NA,NA,NA,"Biosynthesis of various other secondary metabolites, Biosynthesis of various antibiotics, Metabolic pathways, Biosynthesis of secondary metabolites"
"41","USA300HOU_0129","","(GenBank) IucA/IucC family siderophore biosynthesis protein",NA,NA,NA,"Biosynthesis of various other secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites"
"42","USA300HOU_0131","","(GenBank) IucA/IucC family siderophore biosynthesis protein",NA,NA,NA,"Biosynthesis of various other secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites"
"43","USA300HOU_0132","","(GenBank) IucA/IucC family siderophore biosynthesis protein",NA,NA,NA,"Biosynthesis of various other secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites"
"44","USA300HOU_0134","lysA1","(GenBank) diaminopimelate decarboxylase",NA,NA,NA,"Biosynthesis of various other secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites"
"45","USA300HOU_0135","","(GenBank) hypothetical protein",NA,NA,NA,"Biosynthesis of various other secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites"
"46","USA300HOU_0138","","(GenBank) short chain dehydrogenase",NA,NA,NA,"Butanoate metabolism, Biosynthesis of secondary metabolites"
"47","USA300HOU_0140","galE","(GenBank) UDP-glucose 4-epimerase",NA,NA,NA,"Galactose metabolism, Amino sugar and nucleotide sugar metabolism, O-Antigen nucleotide sugar biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"48","USA300HOU_0148","deoD1","(GenBank) purine-nucleoside phosphorylase",NA,NA,NA,"Purine metabolism, Nicotinate and nicotinamide metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Nucleotide metabolism"
"49","USA300HOU_0150","deoC1","(GenBank) deoxyribose-phosphate aldolase",NA,NA,NA,"Pentose phosphate pathway, Metabolic pathways"
"50","USA300HOU_0151","deoB1","(GenBank) phosphopentomutase","A8YZ65","cytoplasm [GO:0005737]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; phosphopentomutase activity [GO:0008973]; 5-phosphoribose 1-diphosphate biosynthetic process [GO:0006015]; cellular metabolic compound salvage [GO:0043094]; deoxyribonucleotide catabolic process [GO:0009264]",NA,"Pentose phosphate pathway, Purine metabolism, Metabolic pathways"
"51","USA300HOU_0152","","(GenBank) ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"ABC transporters"
"52","USA300HOU_0153","","(GenBank) ABC superfamily ATP binding cassette transporter, membrane protein",NA,NA,NA,"ABC transporters"
"53","USA300HOU_0154","","(GenBank) ABC superfamily ATP binding cassette transporter, ABC protein",NA,NA,NA,"ABC transporters"
"54","USA300HOU_0155","","(GenBank) ABC superfamily ATP binding cassette transporter, binding protein",NA,NA,NA,"ABC transporters"
"55","USA300HOU_0162","","(GenBank) alcohol dehydrogenase",NA,NA,NA,"Glycolysis / Gluconeogenesis, Fatty acid degradation, Tyrosine metabolism, Pyruvate metabolism, Chloroalkane and chloroalkene degradation, Naphthalene degradation, Butanoate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Degradation of aromatic compounds"
"56","USA300HOU_0167","cap5E","(GenBank) capsular polysaccharide biosynthesis protein Cap5E",NA,NA,NA,"Amino sugar and nucleotide sugar metabolism, O-Antigen nucleotide sugar biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"57","USA300HOU_0168","cap5F","(GenBank) capsular polysaccharide biosynthesis protein Cap5F",NA,NA,NA,"O-Antigen nucleotide sugar biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"58","USA300HOU_0177","cap5O","(GenBank) capsular polysaccharide biosynthesis protein Cap5O",NA,NA,NA,"Amino sugar and nucleotide sugar metabolism, O-Antigen nucleotide sugar biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars, Two-component system"
"59","USA300HOU_0178","cap5P","(GenBank) capsular polysaccharide biosynthesis protein Cap5P",NA,NA,NA,"Amino sugar and nucleotide sugar metabolism, O-Antigen nucleotide sugar biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars, Two-component system"
"60","USA300HOU_0179","isdG1","(GenBank) heme-degrading enzyme IsdG",NA,NA,NA,"Porphyrin metabolism, Biosynthesis of secondary metabolites"
"61","USA300HOU_0181","aldH2","(GenBank) aldehyde dehydrogenase (NAD(+))",NA,NA,NA,"Glycolysis / Gluconeogenesis, Ascorbate and aldarate metabolism, Fatty acid degradation, Valine, leucine and isoleucine degradation, Lysine degradation, Arginine and proline metabolism, Histidine metabolism, Tryptophan metabolism, beta-Alanine metabolism, Glycerolipid metabolism, Pyruvate metabolism, Chloroalkane and chloroalkene degradation, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Biosynthesis of cofactors"
"62","USA300HOU_0190","fdh","(GenBank) formate dehydrogenase",NA,NA,NA,"Glyoxylate and dicarboxylate metabolism, Methane metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
