"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"Q63MJ9",NA,NA,NA
"2",NA,NA,NA,"V6CAY2",NA,NA,NA
"3","BPSL0001","","(GenBank) conserved hypothetical protein","Q63Z36","ATP binding [GO:0005524]; glutamate-cysteine ligase activity [GO:0004357]; cellular modified amino acid biosynthetic process [GO:0042398]","COG2170","Glutathione metabolism, Metabolic pathways"
"4","BPSL0002",NA,NA,"Q63Z35","integral component of membrane [GO:0016021]; solute:proton antiporter activity [GO:0015299]","COG0025",NA
"5","BPSL0003",NA,NA,"Q63Z34","cytoplasm [GO:0005737]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-NH group of donors [GO:0016645]; tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity [GO:0004808]; tRNA wobble base modification [GO:0002097]","COG0665",NA
"6","BPSL0003",NA,NA,"Q63Z34","cytoplasm [GO:0005737]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-NH group of donors [GO:0016645]; tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase activity [GO:0004808]; tRNA wobble base modification [GO:0002097]","COG4121",NA
"7","BPSL0004",NA,NA,"P0DMK4","DNA binding [GO:0003677]; chromosome condensation [GO:0030261]","COG0776",NA
"8","BPSL0005",NA,NA,"Q63Z32",NA,"COG0523",NA
"9","BPSL0006",NA,NA,"Q63Z31",NA,"COG0741",NA
"10","BPSL0007","gspD","(GenBank) general secretory pathway protein D","Q63Z30","cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","COG1450","Bacterial secretion system"
"11","BPSL0008","gspE","(GenBank) general secretory pathway protein E","Q63Z29","plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; ATP binding [GO:0005524]; protein secretion by the type II secretion system [GO:0015628]","COG2804","Bacterial secretion system"
"12","BPSL0009","gspF","(GenBank) general secretory pathway protein F","Q63Z28","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","COG1459","Bacterial secretion system"
"13","BPSL0010","gspC","(GenBank) putative general secretory pathway protein","H7C732",NA,"ENOG5032UKC","Bacterial secretion system"
"14","BPSL0011","gspG","(GenBank) general secretory pathway protein G","H7C741","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","COG2165","Bacterial secretion system"
"15","BPSL0012","gspH","(GenBank) general secretory pathway protein H","H7C768","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","COG2165","Bacterial secretion system"
"16","BPSL0013","gspI","(GenBank) general secretory pathway protein I","H7C780","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","COG2165","Bacterial secretion system"
"17","BPSL0014","gspJ","(GenBank) general secretory pathway protein J","Q63Z23","integral component of membrane [GO:0016021]","COG4795","Bacterial secretion system"
"18","BPSL0015","gspK","(GenBank) general secretory pathway protein K","Q63Z22","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; protein secretion [GO:0009306]","COG3156","Bacterial secretion system"
"19","BPSL0016","gspL","(GenBank) general secretory pathway protein L","Q63Z21","Gram-negative-bacterium-type cell wall [GO:0009276]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","COG3297","Bacterial secretion system"
"20","BPSL0017","gspM","(GenBank) general secretory pathway protein M","H7C743","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","COG3149","Bacterial secretion system"
"21","BPSL0018",NA,NA,"H7C770","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; type II protein secretion system complex [GO:0015627]; protein secretion by the type II secretion system [GO:0015628]","ENOG502Z8UV",NA
