"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"A0A0M3KL26",NA,NA,NA
"2",NA,NA,NA,"V6B4F8",NA,NA,NA
"3","PA14_00010","dnaA","(GenBank) chromosomal replication initiator protein DnaA","Q02V80","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]",NA,"Two-component system"
"4","PA14_00020","dnaN","(GenBank) DNA polymerase III, beta chain","A0A0H2ZIW1","cytoplasm [GO:0005737]; DNA polymerase III complex [GO:0009360]; 3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]",NA,"DNA replication, Mismatch repair, Homologous recombination"
"5","PA14_00030","recF","(GenBank) DNA replication and repair protein RecF","Q02V78","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; single-stranded DNA binding [GO:0003697]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]",NA,"Homologous recombination"
"6","PA14_00050",NA,NA,"A0A0H2ZJS1","chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]; DNA-dependent DNA replication [GO:0006261]",NA,NA
"7","PA14_00060","","(GenBank) putative acyltransferase","A0A0H2ZJX4","integral component of membrane [GO:0016021]; acyltransferase activity [GO:0016746]",NA,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"8","PA14_00070","","(GenBank) putative histidinol-phosphatase","A0A0H2ZK05","cytoplasm [GO:0005737]; metal ion binding [GO:0046872]; phosphatase activity [GO:0016791]; carbohydrate metabolic process [GO:0005975]",NA,"Lipopolysaccharide biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"9","PA14_00080",NA,NA,"A0A0H2ZJK8","electron transfer activity [GO:0009055]; heme binding [GO:0020037]",NA,NA
"10","PA14_00090","glyS","(GenBank) glycyl-tRNA synthetase beta chain","Q02V73","cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426]",NA,"Aminoacyl-tRNA biosynthesis"
"11","PA14_00100","glyQ","(GenBank) glycyl-tRNA synthetase alpha chain","Q02V72","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; glycyl-tRNA aminoacylation [GO:0006426]",NA,"Aminoacyl-tRNA biosynthesis"
