"","Gene","Pathway"
"1","pae:PA0001 dnaA","Two-component system"
"2","pae:PA0002 dnaN","DNA replication"
"3","pae:PA0002 dnaN","Mismatch repair"
"4","pae:PA0002 dnaN","Homologous recombination"
"5","pae:PA0003 recF","Homologous recombination"
"6","pae:PA0005 lptA","Glycerolipid metabolism"
"7","pae:PA0005 lptA","Glycerophospholipid metabolism"
"8","pae:PA0005 lptA","Metabolic pathways"
"9","pae:PA0005 lptA","Biosynthesis of secondary metabolites"
"10","pae:PA0006 ","Lipopolysaccharide biosynthesis"
"11","pae:PA0006 ","Metabolic pathways"
"12","pae:PA0006 ","Biosynthesis of nucleotide sugars"
"13","pae:PA0008 glyS","Aminoacyl-tRNA biosynthesis"
"14","pae:PA0009 glyQ","Aminoacyl-tRNA biosynthesis"
"15","pae:PA0010 tag","Base excision repair"
"16","pae:PA0011 ","Lipopolysaccharide biosynthesis"
"17","pae:PA0011 ","Metabolic pathways"
"18","pae:PA0018 fmt","One carbon pool by folate"
"19","pae:PA0018 fmt","Aminoacyl-tRNA biosynthesis"
"20","pae:PA0018 fmt","Metabolic pathways"
"21","pae:PA0024 hemF","Porphyrin metabolism"
"22","pae:PA0024 hemF","Metabolic pathways"
"23","pae:PA0024 hemF","Biosynthesis of secondary metabolites"
"24","pae:PA0024 hemF","Biosynthesis of cofactors"
"25","pae:PA0025 aroE","Phenylalanine, tyrosine and tryptophan biosynthesis"
"26","pae:PA0025 aroE","Biosynthesis of various plant secondary metabolites"
"27","pae:PA0025 aroE","Metabolic pathways"
"28","pae:PA0025 aroE","Biosynthesis of secondary metabolites"
"29","pae:PA0025 aroE","Biosynthesis of amino acids"
"30","pae:PA0030 ","ABC transporters"
"31","pae:PA0034 ","Two-component system"
"32","pae:PA0035 trpA","Glycine, serine and threonine metabolism"
"33","pae:PA0035 trpA","Phenylalanine, tyrosine and tryptophan biosynthesis"
"34","pae:PA0035 trpA","Metabolic pathways"
"35","pae:PA0035 trpA","Biosynthesis of secondary metabolites"
"36","pae:PA0035 trpA","Biosynthesis of amino acids"
"37","pae:PA0036 trpB","Glycine, serine and threonine metabolism"
"38","pae:PA0036 trpB","Phenylalanine, tyrosine and tryptophan biosynthesis"
"39","pae:PA0036 trpB","Metabolic pathways"
"40","pae:PA0036 trpB","Biosynthesis of secondary metabolites"
"41","pae:PA0036 trpB","Biosynthesis of amino acids"
"42","pae:PA0051 phzH","Alanine, aspartate and glutamate metabolism"
"43","pae:PA0051 phzH","Metabolic pathways"
"44","pae:PA0051 phzH","Biosynthesis of secondary metabolites"
"45","pae:PA0051 phzH","Biosynthesis of amino acids"
"46","pae:PA0065 ","Glyoxylate and dicarboxylate metabolism"
"47","pae:PA0065 ","Metabolic pathways"
"48","pae:PA0065 ","Biosynthesis of secondary metabolites"
"49","pae:PA0074 ppkA","Biofilm formation - Pseudomonas aeruginosa"
"50","pae:PA0074 ppkA","Bacterial secretion system"
"51","pae:PA0075 pppA","Biofilm formation - Pseudomonas aeruginosa"
"52","pae:PA0075 pppA","Bacterial secretion system"
"53","pae:PA0076 ","Biofilm formation - Pseudomonas aeruginosa"
"54","pae:PA0077 icmF1","Biofilm formation - Pseudomonas aeruginosa"
"55","pae:PA0077 icmF1","Bacterial secretion system"
"56","pae:PA0078 ","Bacterial secretion system"
"57","pae:PA0079 ","Biofilm formation - Pseudomonas aeruginosa"
"58","pae:PA0080 ","Bacterial secretion system"
"59","pae:PA0081 fha1","Biofilm formation - Pseudomonas aeruginosa"
"60","pae:PA0081 fha1","Bacterial secretion system"
"61","pae:PA0082 ","Biofilm formation - Pseudomonas aeruginosa"
"62","pae:PA0083 ","Biofilm formation - Pseudomonas aeruginosa"
"63","pae:PA0084 ","Biofilm formation - Pseudomonas aeruginosa"
"64","pae:PA0085 hcp1","Biofilm formation - Pseudomonas aeruginosa"
"65","pae:PA0085 hcp1","Bacterial secretion system"
"66","pae:PA0089 ","Biofilm formation - Pseudomonas aeruginosa"
"67","pae:PA0090 clpV1","Biofilm formation - Pseudomonas aeruginosa"
"68","pae:PA0090 clpV1","Bacterial secretion system"
"69","pae:PA0091 vgrG1","Bacterial secretion system"
"70","pae:PA0095 ","Bacterial secretion system"
"71","pae:PA0098 ","Fatty acid biosynthesis"
"72","pae:PA0098 ","Biotin metabolism"
"73","pae:PA0098 ","Metabolic pathways"
"74","pae:PA0098 ","Fatty acid metabolism"
"75","pae:PA0098 ","Biosynthesis of cofactors"
"76","pae:PA0102 ","Nitrogen metabolism"
"77","pae:PA0102 ","Metabolic pathways"
"78","pae:PA0105 coxB","Oxidative phosphorylation"
"79","pae:PA0105 coxB","Metabolic pathways"
"80","pae:PA0106 coxA","Oxidative phosphorylation"
"81","pae:PA0106 coxA","Metabolic pathways"
"82","pae:PA0107 ","Oxidative phosphorylation"
"83","pae:PA0107 ","Metabolic pathways"
"84","pae:PA0108 coIII","Oxidative phosphorylation"
"85","pae:PA0108 coIII","Metabolic pathways"
"86","pae:PA0112 ","Oxidative phosphorylation"
"87","pae:PA0112 ","Porphyrin metabolism"
"88","pae:PA0112 ","Metabolic pathways"
"89","pae:PA0112 ","Biosynthesis of secondary metabolites"
"90","pae:PA0112 ","Biosynthesis of cofactors"
"91","pae:PA0112 ","Two-component system"
"92","pae:PA0113 ","Oxidative phosphorylation"
"93","pae:PA0113 ","Porphyrin metabolism"
"94","pae:PA0113 ","Metabolic pathways"
"95","pae:PA0113 ","Biosynthesis of secondary metabolites"
"96","pae:PA0113 ","Biosynthesis of cofactors"
"97","pae:PA0119 ","Two-component system"
"98","pae:PA0130 ","Valine, leucine and isoleucine degradation"
"99","pae:PA0130 ","beta-Alanine metabolism"
"100","pae:PA0130 ","Inositol phosphate metabolism"
"101","pae:PA0130 ","Propanoate metabolism"
"102","pae:PA0130 ","Metabolic pathways"
"103","pae:PA0130 ","Carbon metabolism"
