"","Gene","Pathway"
"1","psg:G655_00005","Two-component system"
"2","psg:G655_00010","DNA replication"
"3","psg:G655_00010","Mismatch repair"
"4","psg:G655_00010","Homologous recombination"
"5","psg:G655_00015","Homologous recombination"
"6","psg:G655_00025","Glycerolipid metabolism"
"7","psg:G655_00025","Glycerophospholipid metabolism"
"8","psg:G655_00025","Metabolic pathways"
"9","psg:G655_00025","Biosynthesis of secondary metabolites"
"10","psg:G655_00030","Lipopolysaccharide biosynthesis"
"11","psg:G655_00030","Metabolic pathways"
"12","psg:G655_00030","Biosynthesis of nucleotide sugars"
"13","psg:G655_00040","Aminoacyl-tRNA biosynthesis"
"14","psg:G655_00045","Aminoacyl-tRNA biosynthesis"
"15","psg:G655_00050","Base excision repair"
"16","psg:G655_00055","Lipopolysaccharide biosynthesis"
"17","psg:G655_00055","Metabolic pathways"
"18","psg:G655_00090","One carbon pool by folate"
"19","psg:G655_00090","Aminoacyl-tRNA biosynthesis"
"20","psg:G655_00090","Metabolic pathways"
"21","psg:G655_00120","Porphyrin metabolism"
"22","psg:G655_00120","Metabolic pathways"
"23","psg:G655_00120","Biosynthesis of secondary metabolites"
"24","psg:G655_00120","Biosynthesis of cofactors"
"25","psg:G655_00125","Phenylalanine, tyrosine and tryptophan biosynthesis"
"26","psg:G655_00125","Biosynthesis of various plant secondary metabolites"
"27","psg:G655_00125","Metabolic pathways"
"28","psg:G655_00125","Biosynthesis of secondary metabolites"
"29","psg:G655_00125","Biosynthesis of amino acids"
"30","psg:G655_00150","ABC transporters"
"31","psg:G655_00175","Two-component system"
"32","psg:G655_00180","Glycine, serine and threonine metabolism"
"33","psg:G655_00180","Phenylalanine, tyrosine and tryptophan biosynthesis"
"34","psg:G655_00180","Metabolic pathways"
"35","psg:G655_00180","Biosynthesis of secondary metabolites"
"36","psg:G655_00180","Biosynthesis of amino acids"
"37","psg:G655_00185","Glycine, serine and threonine metabolism"
"38","psg:G655_00185","Phenylalanine, tyrosine and tryptophan biosynthesis"
"39","psg:G655_00185","Metabolic pathways"
"40","psg:G655_00185","Biosynthesis of secondary metabolites"
"41","psg:G655_00185","Biosynthesis of amino acids"
"42","psg:G655_00270","Alanine, aspartate and glutamate metabolism"
"43","psg:G655_00270","Metabolic pathways"
"44","psg:G655_00270","Biosynthesis of secondary metabolites"
"45","psg:G655_00270","Biosynthesis of amino acids"
"46","psg:G655_00335","Glyoxylate and dicarboxylate metabolism"
"47","psg:G655_00335","Metabolic pathways"
"48","psg:G655_00335","Biosynthesis of secondary metabolites"
"49","psg:G655_00380","Biofilm formation - Pseudomonas aeruginosa"
"50","psg:G655_00380","Bacterial secretion system"
"51","psg:G655_00385","Biofilm formation - Pseudomonas aeruginosa"
"52","psg:G655_00385","Bacterial secretion system"
"53","psg:G655_00390","Biofilm formation - Pseudomonas aeruginosa"
"54","psg:G655_00395","Biofilm formation - Pseudomonas aeruginosa"
"55","psg:G655_00395","Bacterial secretion system"
"56","psg:G655_00400","Bacterial secretion system"
"57","psg:G655_00405","Biofilm formation - Pseudomonas aeruginosa"
"58","psg:G655_00410","Bacterial secretion system"
"59","psg:G655_00415","Biofilm formation - Pseudomonas aeruginosa"
"60","psg:G655_00415","Bacterial secretion system"
"61","psg:G655_00420","Biofilm formation - Pseudomonas aeruginosa"
"62","psg:G655_00425","Biofilm formation - Pseudomonas aeruginosa"
"63","psg:G655_00430","Biofilm formation - Pseudomonas aeruginosa"
"64","psg:G655_00435","Biofilm formation - Pseudomonas aeruginosa"
"65","psg:G655_00435","Bacterial secretion system"
"66","psg:G655_00455","Biofilm formation - Pseudomonas aeruginosa"
"67","psg:G655_00460","Biofilm formation - Pseudomonas aeruginosa"
"68","psg:G655_00460","Bacterial secretion system"
"69","psg:G655_00465","Bacterial secretion system"
"70","psg:G655_00490","Bacterial secretion system"
"71","psg:G655_00505","Fatty acid biosynthesis"
"72","psg:G655_00505","Biotin metabolism"
"73","psg:G655_00505","Metabolic pathways"
"74","psg:G655_00505","Fatty acid metabolism"
"75","psg:G655_00505","Biosynthesis of cofactors"
"76","psg:G655_00525","Nitrogen metabolism"
"77","psg:G655_00525","Metabolic pathways"
"78","psg:G655_00535","Oxidative phosphorylation"
"79","psg:G655_00535","Metabolic pathways"
"80","psg:G655_00540","Oxidative phosphorylation"
"81","psg:G655_00540","Metabolic pathways"
"82","psg:G655_00545","Oxidative phosphorylation"
"83","psg:G655_00545","Metabolic pathways"
"84","psg:G655_00550","Oxidative phosphorylation"
"85","psg:G655_00550","Metabolic pathways"
"86","psg:G655_00570","Oxidative phosphorylation"
"87","psg:G655_00570","Porphyrin metabolism"
"88","psg:G655_00570","Metabolic pathways"
"89","psg:G655_00570","Biosynthesis of secondary metabolites"
"90","psg:G655_00570","Biosynthesis of cofactors"
"91","psg:G655_00570","Two-component system"
"92","psg:G655_00575","Oxidative phosphorylation"
"93","psg:G655_00575","Porphyrin metabolism"
"94","psg:G655_00575","Metabolic pathways"
"95","psg:G655_00575","Biosynthesis of secondary metabolites"
"96","psg:G655_00575","Biosynthesis of cofactors"
"97","psg:G655_00605","Two-component system"
"98","psg:G655_00660","Valine, leucine and isoleucine degradation"
"99","psg:G655_00660","beta-Alanine metabolism"
"100","psg:G655_00660","Inositol phosphate metabolism"
"101","psg:G655_00660","Propanoate metabolism"
"102","psg:G655_00660","Metabolic pathways"
"103","psg:G655_00660","Carbon metabolism"
"104","psg:G655_00670","Valine, leucine and isoleucine degradation"
"105","psg:G655_00670","beta-Alanine metabolism"
"106","psg:G655_00670","Propanoate metabolism"
"107","psg:G655_00670","Metabolic pathways"
"108","psg:G655_00680","Purine metabolism"
"109","psg:G655_00680","Metabolic pathways"
"110","psg:G655_00685","ABC transporters"
"111","psg:G655_00690","ABC transporters"
"112","psg:G655_00695","ABC transporters"
"113","psg:G655_00710","Oxidative phosphorylation"
"114","psg:G655_00710","RNA degradation"
"115","psg:G655_00720","Purine metabolism"
"116","psg:G655_00720","Nicotinate and nicotinamide metabolism"
"117","psg:G655_00720","Metabolic pathways"
"118","psg:G655_00740","ABC transporters"
"119","psg:G655_00750","Purine metabolism"
"120","psg:G655_00750","Metabolic pathways"
"121","psg:G655_00760","Two-component system"
"122","psg:G655_00780","Benzoate degradation"
"123","psg:G655_00780","Metabolic pathways"
"124","psg:G655_00780","Microbial metabolism in diverse environments"
"125","psg:G655_00780","Degradation of aromatic compounds"
"126","psg:G655_00785","Benzoate degradation"
"127","psg:G655_00785","Metabolic pathways"
"128","psg:G655_00785","Microbial metabolism in diverse environments"
"129","psg:G655_00785","Degradation of aromatic compounds"
"130","psg:G655_00830","Taurine and hypotaurine metabolism"
"131","psg:G655_00830","Cyanoamino acid metabolism"
"132","psg:G655_00830","Glutathione metabolism"
"133","psg:G655_00830","Metabolic pathways"
"134","psg:G655_00855","Biofilm formation - Pseudomonas aeruginosa"
"135","psg:G655_00875","Two-component system"
"136","psg:G655_00875","Bacterial chemotaxis"
"137","psg:G655_00880","Bacterial chemotaxis"
"138","psg:G655_00885","Two-component system"
"139","psg:G655_00885","Bacterial chemotaxis"
"140","psg:G655_00890","Two-component system"
"141","psg:G655_00890","Bacterial chemotaxis"
"142","psg:G655_00895","Two-component system"
"143","psg:G655_00895","Bacterial chemotaxis"
"144","psg:G655_00900","Two-component system"
"145","psg:G655_00900","Bacterial chemotaxis"
"146","psg:G655_00905","Two-component system"
"147","psg:G655_00905","Bacterial chemotaxis"
"148","psg:G655_00910","Two-component system"
"149","psg:G655_00910","Bacterial chemotaxis"
"150","psg:G655_00920","Fatty acid biosynthesis"
"151","psg:G655_00920","Biotin metabolism"
"152","psg:G655_00920","Metabolic pathways"
"153","psg:G655_00920","Biosynthesis of secondary metabolites"
"154","psg:G655_00920","Fatty acid metabolism"
"155","psg:G655_00920","Biosynthesis of cofactors"
"156","psg:G655_00930","Sulfur metabolism"
"157","psg:G655_00930","ABC transporters"
"158","psg:G655_00935","Sulfur metabolism"
"159","psg:G655_00935","ABC transporters"
"160","psg:G655_00945","Sulfur metabolism"
"161","psg:G655_00945","ABC transporters"
"162","psg:G655_00950","beta-Lactam resistance"
"163","psg:G655_00950","Two-component system"
"164","psg:G655_00955","Riboflavin metabolism"
"165","psg:G655_00955","Metabolic pathways"
"166","psg:G655_00955","Two-component system"
"167","psg:G655_00980","Nicotinate and nicotinamide metabolism"
"168","psg:G655_00980","Metabolic pathways"
"169","psg:G655_00985","Nicotinate and nicotinamide metabolism"
"170","psg:G655_00985","Metabolic pathways"
"171","psg:G655_00990","Nicotinate and nicotinamide metabolism"
"172","psg:G655_00990","Metabolic pathways"
"173","psg:G655_01080","Arginine and proline metabolism"
"174","psg:G655_01080","Metabolic pathways"
"175","psg:G655_01090","Arginine and proline metabolism"
"176","psg:G655_01090","Metabolic pathways"
"177","psg:G655_01095","Quorum sensing"
"178","psg:G655_01100","Monobactam biosynthesis"
"179","psg:G655_01100","Lysine biosynthesis"
"180","psg:G655_01100","Metabolic pathways"
"181","psg:G655_01100","Biosynthesis of secondary metabolites"
"182","psg:G655_01100","Microbial metabolism in diverse environments"
"183","psg:G655_01100","Biosynthesis of amino acids"
"184","psg:G655_01105","Pentose and glucuronate interconversions"
"185","psg:G655_01105","Fructose and mannose metabolism"
"186","psg:G655_01105","Metabolic pathways"
"187","psg:G655_01105","Microbial metabolism in diverse environments"
"188","psg:G655_01115","Styrene degradation"
"189","psg:G655_01115","Butanoate metabolism"
"190","psg:G655_01115","Metabolic pathways"
"191","psg:G655_01115","Microbial metabolism in diverse environments"
"192","psg:G655_01120","Styrene degradation"
"193","psg:G655_01120","Butanoate metabolism"
"194","psg:G655_01120","Metabolic pathways"
"195","psg:G655_01120","Microbial metabolism in diverse environments"
"196","psg:G655_01125","Benzoate degradation"
"197","psg:G655_01125","Microbial metabolism in diverse environments"
"198","psg:G655_01135","Benzoate degradation"
"199","psg:G655_01135","Metabolic pathways"
"200","psg:G655_01135","Microbial metabolism in diverse environments"
"201","psg:G655_01135","Degradation of aromatic compounds"
"202","psg:G655_01140","Benzoate degradation"
"203","psg:G655_01140","Metabolic pathways"
"204","psg:G655_01140","Microbial metabolism in diverse environments"
"205","psg:G655_01140","Degradation of aromatic compounds"
"206","psg:G655_01145","Benzoate degradation"
"207","psg:G655_01145","Metabolic pathways"
"208","psg:G655_01145","Microbial metabolism in diverse environments"
"209","psg:G655_01145","Degradation of aromatic compounds"
"210","psg:G655_01200","Ubiquinone and other terpenoid-quinone biosynthesis"
"211","psg:G655_01200","Tyrosine metabolism"
"212","psg:G655_01200","Phenylalanine metabolism"
"213","psg:G655_01200","Metabolic pathways"
"214","psg:G655_01200","Biosynthesis of cofactors"
"215","psg:G655_01210","Phenylalanine, tyrosine and tryptophan biosynthesis"
"216","psg:G655_01210","Biosynthesis of various plant secondary metabolites"
"217","psg:G655_01210","Metabolic pathways"
"218","psg:G655_01210","Biosynthesis of secondary metabolites"
"219","psg:G655_01210","Biosynthesis of amino acids"
"220","psg:G655_01215","Phenylalanine, tyrosine and tryptophan biosynthesis"
"221","psg:G655_01215","Metabolic pathways"
"222","psg:G655_01215","Biosynthesis of secondary metabolites"
"223","psg:G655_01215","Biosynthesis of amino acids"
"224","psg:G655_01225","Benzoate degradation"
"225","psg:G655_01225","Metabolic pathways"
"226","psg:G655_01225","Microbial metabolism in diverse environments"
"227","psg:G655_01225","Degradation of aromatic compounds"
"228","psg:G655_01280","Cysteine and methionine metabolism"
"229","psg:G655_01280","Metabolic pathways"
"230","psg:G655_t29272","Aminoacyl-tRNA biosynthesis"
"231","psg:G655_01335","Alanine, aspartate and glutamate metabolism"
"232","psg:G655_01335","Lysine degradation"
"233","psg:G655_01335","Tyrosine metabolism"
"234","psg:G655_01335","Butanoate metabolism"
"235","psg:G655_01335","Nicotinate and nicotinamide metabolism"
"236","psg:G655_01335","Metabolic pathways"
"237","psg:G655_01335","Microbial metabolism in diverse environments"
"238","psg:G655_01340","Alanine, aspartate and glutamate metabolism"
"239","psg:G655_01340","Lysine degradation"
"240","psg:G655_01340","Butanoate metabolism"
"241","psg:G655_01340","Metabolic pathways"
"242","psg:G655_01340","Microbial metabolism in diverse environments"
"243","psg:G655_01385","Two-component system"
"244","psg:G655_01385","Quorum sensing"
"245","psg:G655_01385","Biofilm formation - Pseudomonas aeruginosa"
"246","psg:G655_01410","Sulfur metabolism"
"247","psg:G655_01410","ABC transporters"
"248","psg:G655_01415","Sulfur metabolism"
"249","psg:G655_01415","ABC transporters"
"250","psg:G655_01420","Sulfur metabolism"
"251","psg:G655_01420","ABC transporters"
"252","psg:G655_01425","Sulfur metabolism"
"253","psg:G655_01425","ABC transporters"
"254","psg:G655_01440","Biosynthesis of unsaturated fatty acids"
"255","psg:G655_01440","Metabolic pathways"
"256","psg:G655_01440","Fatty acid metabolism"
"257","psg:G655_01470","Arginine and proline metabolism"
"258","psg:G655_01470","Metabolic pathways"
"259","psg:G655_01475","Arginine and proline metabolism"
"260","psg:G655_01475","Metabolic pathways"
"261","psg:G655_01485","ABC transporters"
"262","psg:G655_01490","Arginine biosynthesis"
"263","psg:G655_01490","Alanine, aspartate and glutamate metabolism"
"264","psg:G655_01490","Glyoxylate and dicarboxylate metabolism"
"265","psg:G655_01490","Nitrogen metabolism"
"266","psg:G655_01490","Metabolic pathways"
"267","psg:G655_01490","Microbial metabolism in diverse environments"
"268","psg:G655_01490","Biosynthesis of amino acids"
"269","psg:G655_01490","Two-component system"
"270","psg:G655_01500","Arginine biosynthesis"
"271","psg:G655_01500","Alanine, aspartate and glutamate metabolism"
