"","Gene","Pathway"
"1","pgi:PG_0001","Two-component system"
"2","pgi:PG_0002","Amino sugar and nucleotide sugar metabolism"
"3","pgi:PG_0002","O-Antigen nucleotide sugar biosynthesis"
"4","pgi:PG_0002","Metabolic pathways"
"5","pgi:PG_0002","Biosynthesis of nucleotide sugars"
"6","pgi:PG_0004","Nicotinate and nicotinamide metabolism"
"7","pgi:PG_0004","Metabolic pathways"
"8","pgi:PG_t01","Aminoacyl-tRNA biosynthesis"
"9","pgi:PG_t02","Aminoacyl-tRNA biosynthesis"
"10","pgi:PG_0011","Amino sugar and nucleotide sugar metabolism"
"11","pgi:PG_0011","Metabolic pathways"
"12","pgi:PG_0011","beta-Lactam resistance"
"13","pgi:PG_0012","Porphyrin metabolism"
"14","pgi:PG_0012","Metabolic pathways"
"15","pgi:PG_0013","Methane metabolism"
"16","pgi:PG_0013","Metabolic pathways"
"17","pgi:PG_0013","Microbial metabolism in diverse environments"
"18","pgi:PG_0013","Biosynthesis of cofactors"
"19","pgi:PG_0016","Two-component system"
"20","pgi:PG_0017","Two-component system"
"21","pgi:PG_0028","Terpenoid backbone biosynthesis"
"22","pgi:PG_0028","Metabolic pathways"
"23","pgi:PG_0028","Biosynthesis of secondary metabolites"
"24","pgi:PG_t03","Aminoacyl-tRNA biosynthesis"
"25","pgi:PG_0030","Pyrimidine metabolism"
"26","pgi:PG_0030","Metabolic pathways"
"27","pgi:PG_0032","Other glycan degradation"
"28","pgi:PG_0035","DNA replication"
"29","pgi:PG_0035","Mismatch repair"
"30","pgi:PG_0035","Homologous recombination"
"31","pgi:PG_0037","Ribosome"
"32","pgi:PG_0042","Glycine, serine and threonine metabolism"
"33","pgi:PG_0042","Cyanoamino acid metabolism"
"34","pgi:PG_0042","Glyoxylate and dicarboxylate metabolism"
"35","pgi:PG_0042","One carbon pool by folate"
"36","pgi:PG_0042","Methane metabolism"
"37","pgi:PG_0042","Metabolic pathways"
"38","pgi:PG_0042","Biosynthesis of secondary metabolites"
"39","pgi:PG_0042","Microbial metabolism in diverse environments"
"40","pgi:PG_0042","Carbon metabolism"
"41","pgi:PG_0042","Biosynthesis of amino acids"
"42","pgi:PG_0042","Biosynthesis of cofactors"
"43","pgi:PG_0043","Other glycan degradation"
"44","pgi:PG_0043","Amino sugar and nucleotide sugar metabolism"
"45","pgi:PG_0043","Metabolic pathways"
"46","pgi:PG_0046","Glycerophospholipid metabolism"
"47","pgi:PG_0046","Metabolic pathways"
"48","pgi:PG_0046","Biosynthesis of secondary metabolites"
"49","pgi:PG_0054","Base excision repair"
"50","pgi:PG_0054","Mismatch repair"
"51","pgi:PG_0054","Homologous recombination"
"52","pgi:PG_0057","Nicotinate and nicotinamide metabolism"
"53","pgi:PG_0057","Metabolic pathways"
"54","pgi:PG_0057","Biosynthesis of cofactors"
"55","pgi:PG_0058","Nicotinate and nicotinamide metabolism"
"56","pgi:PG_0058","Metabolic pathways"
"57","pgi:PG_0058","Biosynthesis of cofactors"
"58","pgi:PG_0064","Two-component system"
"59","pgi:PG_0065","beta-Lactam resistance"
"60","pgi:PG_0065","Cationic antimicrobial peptide (CAMP) resistance"
"61","pgi:PG_0070","Lipopolysaccharide biosynthesis"
"62","pgi:PG_0070","Metabolic pathways"
"63","pgi:PG_0070","Cationic antimicrobial peptide (CAMP) resistance"
"64","pgi:PG_0071","Fatty acid biosynthesis"
"65","pgi:PG_0071","Lipopolysaccharide biosynthesis"
"66","pgi:PG_0071","Metabolic pathways"
"67","pgi:PG_0071","Fatty acid metabolism"
"68","pgi:PG_0072","Lipopolysaccharide biosynthesis"
"69","pgi:PG_0072","Metabolic pathways"
"70","pgi:PG_0073","Pyrimidine metabolism"
"71","pgi:PG_0073","Metabolic pathways"
"72","pgi:PG_0073","Biosynthesis of cofactors"
"73","pgi:PG_0075","Purine metabolism"
"74","pgi:PG_0075","Metabolic pathways"
"75","pgi:PG_0075","Biosynthesis of secondary metabolites"
"76","pgi:PG_0084","Glycine, serine and threonine metabolism"
"77","pgi:PG_0084","Cysteine and methionine metabolism"
"78","pgi:PG_0084","Metabolic pathways"
"79","pgi:PG_0084","Biosynthesis of secondary metabolites"
"80","pgi:PG_0084","Carbon metabolism"
