"","Gene","Pathway"
"1","hiz:R2866_0002 rps12 (GenBank) 30S ribosomal subunit protein S12","Ribosome"
"2","hiz:R2866_0003 rps7 (GenBank) 30S ribosomal subunit protein S7","Ribosome"
"3","hiz:R2866_0006 tusB (GenBank) Probable tRNA 2-thiouridine synthesizing protein B","Sulfur relay system"
"4","hiz:R2866_0007 tusC (GenBank) tRNA 2-thiouridine synthesizing protein C","Sulfur relay system"
"5","hiz:R2866_0008 tusD (GenBank) tRNA 2-thiouridine synthesizing protein D","Sulfur relay system"
"6","hiz:R2866_0012 pgdX (GenBank) Peroxiredoxin/glutaredoxin glutathione-dependent peroxidase","Glutathione metabolism"
"7","hiz:R2866_0012 pgdX (GenBank) Peroxiredoxin/glutaredoxin glutathione-dependent peroxidase","Metabolic pathways"
"8","hiz:R2866_0018 rpe (GenBank) D-ribulose-5-phosphate 3-epimerase","Pentose phosphate pathway"
"9","hiz:R2866_0018 rpe (GenBank) D-ribulose-5-phosphate 3-epimerase","Pentose and glucuronate interconversions"
"10","hiz:R2866_0018 rpe (GenBank) D-ribulose-5-phosphate 3-epimerase","Metabolic pathways"
"11","hiz:R2866_0018 rpe (GenBank) D-ribulose-5-phosphate 3-epimerase","Biosynthesis of secondary metabolites"
"12","hiz:R2866_0018 rpe (GenBank) D-ribulose-5-phosphate 3-epimerase","Microbial metabolism in diverse environments"
"13","hiz:R2866_0018 rpe (GenBank) D-ribulose-5-phosphate 3-epimerase","Carbon metabolism"
"14","hiz:R2866_0018 rpe (GenBank) D-ribulose-5-phosphate 3-epimerase","Biosynthesis of amino acids"
"15","hiz:R2866_0019 gph (GenBank) 2-phosphoglycolate phosphatase","Glyoxylate and dicarboxylate metabolism"
"16","hiz:R2866_0019 gph (GenBank) 2-phosphoglycolate phosphatase","Metabolic pathways"
"17","hiz:R2866_0019 gph (GenBank) 2-phosphoglycolate phosphatase","Biosynthesis of secondary metabolites"
"18","hiz:R2866_0020 asnA (GenBank) Asparagine synthetase A","Alanine, aspartate and glutamate metabolism"
"19","hiz:R2866_0020 asnA (GenBank) Asparagine synthetase A","Cyanoamino acid metabolism"
"20","hiz:R2866_0020 asnA (GenBank) Asparagine synthetase A","Metabolic pathways"
"21","hiz:R2866_0020 asnA (GenBank) Asparagine synthetase A","Biosynthesis of secondary metabolites"
"22","hiz:R2866_0020 asnA (GenBank) Asparagine synthetase A","Biosynthesis of amino acids"
"23","hiz:R2866_0025 cysQ (GenBank) Probable 3'-phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase (CysQ)","Sulfur metabolism"
"24","hiz:R2866_0025 cysQ (GenBank) Probable 3'-phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase (CysQ)","Metabolic pathways"
"25","hiz:R2866_0025 cysQ (GenBank) Probable 3'-phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase (CysQ)","Microbial metabolism in diverse environments"
"26","hiz:R2866_0026 zwf (GenBank) Glucose-6-phosphate dehydrogenase (G6PD)","Pentose phosphate pathway"
"27","hiz:R2866_0026 zwf (GenBank) Glucose-6-phosphate dehydrogenase (G6PD)","Glutathione metabolism"
"28","hiz:R2866_0026 zwf (GenBank) Glucose-6-phosphate dehydrogenase (G6PD)","Metabolic pathways"
"29","hiz:R2866_0026 zwf (GenBank) Glucose-6-phosphate dehydrogenase (G6PD)","Biosynthesis of secondary metabolites"
"30","hiz:R2866_0026 zwf (GenBank) Glucose-6-phosphate dehydrogenase (G6PD)","Microbial metabolism in diverse environments"
"31","hiz:R2866_0026 zwf (GenBank) Glucose-6-phosphate dehydrogenase (G6PD)","Carbon metabolism"
"32","hiz:R2866_0027 pgl (GenBank) Probable 6-phosphogluconolactonase (6PGL)","Pentose phosphate pathway"
"33","hiz:R2866_0027 pgl (GenBank) Probable 6-phosphogluconolactonase (6PGL)","Metabolic pathways"
"34","hiz:R2866_0027 pgl (GenBank) Probable 6-phosphogluconolactonase (6PGL)","Biosynthesis of secondary metabolites"
"35","hiz:R2866_0027 pgl (GenBank) Probable 6-phosphogluconolactonase (6PGL)","Microbial metabolism in diverse environments"
"36","hiz:R2866_0027 pgl (GenBank) Probable 6-phosphogluconolactonase (6PGL)","Carbon metabolism"
"37","hiz:R2866_0030 gnd (GenBank) 6-phosphogluconate dehydrogenase, decarboxylating (6PGD)","Pentose phosphate pathway"
"38","hiz:R2866_0030 gnd (GenBank) 6-phosphogluconate dehydrogenase, decarboxylating (6PGD)","Glutathione metabolism"
