"","Gene","Pathway"
"1","sao:SAOUHSC_00001","Two-component system"
"2","sao:SAOUHSC_00002","DNA replication"
"3","sao:SAOUHSC_00002","Mismatch repair"
"4","sao:SAOUHSC_00002","Homologous recombination"
"5","sao:SAOUHSC_00004","Homologous recombination"
"6","sao:SAOUHSC_00008","Histidine metabolism"
"7","sao:SAOUHSC_00008","Metabolic pathways"
"8","sao:SAOUHSC_00009","Aminoacyl-tRNA biosynthesis"
"9","sao:SAOUHSC_00013","Cysteine and methionine metabolism"
"10","sao:SAOUHSC_00013","Sulfur metabolism"
"11","sao:SAOUHSC_00013","Metabolic pathways"
"12","sao:SAOUHSC_00013","Biosynthesis of secondary metabolites"
"13","sao:SAOUHSC_00013","Biosynthesis of amino acids"
"14","sao:SAOUHSC_00017","Ribosome"
"15","sao:SAOUHSC_00018","DNA replication"
"16","sao:SAOUHSC_00019","Purine metabolism"
"17","sao:SAOUHSC_00019","Alanine, aspartate and glutamate metabolism"
"18","sao:SAOUHSC_00019","Metabolic pathways"
"19","sao:SAOUHSC_00019","Biosynthesis of cofactors"
"20","sao:SAOUHSC_T00018","Aminoacyl-tRNA biosynthesis"
"21","sao:SAOUHSC_T00011","Aminoacyl-tRNA biosynthesis"
"22","sao:SAOUHSC_00020","Two-component system"
"23","sao:SAOUHSC_00021","Two-component system"
"24","sao:SAOUHSC_00037","Sulfur metabolism"
"25","sao:SAOUHSC_00037","Microbial metabolism in diverse environments"
"26","sao:SAOUHSC_00051","Inositol phosphate metabolism"
"27","sao:SAOUHSC_00051","Metabolic pathways"
"28","sao:SAOUHSC_00069","Staphylococcus aureus infection"
"29","sao:SAOUHSC_00075","Biosynthesis of various other secondary metabolites"
"30","sao:SAOUHSC_00075","Biosynthesis of various antibiotics"
"31","sao:SAOUHSC_00075","Metabolic pathways"
"32","sao:SAOUHSC_00075","Biosynthesis of secondary metabolites"
"33","sao:SAOUHSC_00076","Biosynthesis of various other secondary metabolites"
"34","sao:SAOUHSC_00076","Biosynthesis of various antibiotics"
"35","sao:SAOUHSC_00076","Metabolic pathways"
"36","sao:SAOUHSC_00076","Biosynthesis of secondary metabolites"
"37","sao:SAOUHSC_00077","Biosynthesis of various other secondary metabolites"
"38","sao:SAOUHSC_00077","Metabolic pathways"
"39","sao:SAOUHSC_00077","Biosynthesis of secondary metabolites"
"40","sao:SAOUHSC_00079","Biosynthesis of various other secondary metabolites"
"41","sao:SAOUHSC_00079","Metabolic pathways"
"42","sao:SAOUHSC_00079","Biosynthesis of secondary metabolites"
"43","sao:SAOUHSC_00080","Biosynthesis of various other secondary metabolites"
"44","sao:SAOUHSC_00080","Metabolic pathways"
"45","sao:SAOUHSC_00080","Biosynthesis of secondary metabolites"
"46","sao:SAOUHSC_00082","Biosynthesis of various other secondary metabolites"
"47","sao:SAOUHSC_00082","Metabolic pathways"
"48","sao:SAOUHSC_00082","Biosynthesis of secondary metabolites"
"49","sao:SAOUHSC_00083","Biosynthesis of various other secondary metabolites"
"50","sao:SAOUHSC_00083","Metabolic pathways"
"51","sao:SAOUHSC_00083","Biosynthesis of secondary metabolites"
"52","sao:SAOUHSC_00086","Butanoate metabolism"
"53","sao:SAOUHSC_00086","Biosynthesis of secondary metabolites"
"54","sao:SAOUHSC_00088","Galactose metabolism"
"55","sao:SAOUHSC_00088","Amino sugar and nucleotide sugar metabolism"
"56","sao:SAOUHSC_00088","O-Antigen nucleotide sugar biosynthesis"
"57","sao:SAOUHSC_00088","Metabolic pathways"
"58","sao:SAOUHSC_00088","Biosynthesis of nucleotide sugars"
"59","sao:SAOUHSC_00097","Purine metabolism"
"60","sao:SAOUHSC_00097","Pyrimidine metabolism"
"61","sao:SAOUHSC_00097","Nicotinate and nicotinamide metabolism"
"62","sao:SAOUHSC_00097","Metabolic pathways"
"63","sao:SAOUHSC_00097","Biosynthesis of secondary metabolites"
"64","sao:SAOUHSC_00100","Pentose phosphate pathway"
"65","sao:SAOUHSC_00100","Metabolic pathways"
"66","sao:SAOUHSC_00101","Pentose phosphate pathway"
"67","sao:SAOUHSC_00101","Purine metabolism"
"68","sao:SAOUHSC_00101","Metabolic pathways"
"69","sao:SAOUHSC_00102","ABC transporters"
"70","sao:SAOUHSC_00103","ABC transporters"
"71","sao:SAOUHSC_00104","ABC transporters"
"72","sao:SAOUHSC_00105","ABC transporters"
"73","sao:SAOUHSC_00113","Glycolysis / Gluconeogenesis"
"74","sao:SAOUHSC_00113","Fatty acid degradation"
"75","sao:SAOUHSC_00113","Tyrosine metabolism"
"76","sao:SAOUHSC_00113","Pyruvate metabolism"
"77","sao:SAOUHSC_00113","Chloroalkane and chloroalkene degradation"
"78","sao:SAOUHSC_00113","Naphthalene degradation"
"79","sao:SAOUHSC_00113","Butanoate metabolism"
"80","sao:SAOUHSC_00113","Metabolic pathways"
"81","sao:SAOUHSC_00113","Biosynthesis of secondary metabolites"
"82","sao:SAOUHSC_00113","Microbial metabolism in diverse environments"
"83","sao:SAOUHSC_00113","Degradation of aromatic compounds"
"84","sao:SAOUHSC_00118","Amino sugar and nucleotide sugar metabolism"
"85","sao:SAOUHSC_00118","O-Antigen nucleotide sugar biosynthesis"
"86","sao:SAOUHSC_00118","Metabolic pathways"
"87","sao:SAOUHSC_00118","Biosynthesis of nucleotide sugars"
"88","sao:SAOUHSC_00119","O-Antigen nucleotide sugar biosynthesis"
"89","sao:SAOUHSC_00119","Metabolic pathways"
"90","sao:SAOUHSC_00119","Biosynthesis of nucleotide sugars"
"91","sao:SAOUHSC_00120","O-Antigen nucleotide sugar biosynthesis"
"92","sao:SAOUHSC_00120","Metabolic pathways"
"93","sao:SAOUHSC_00120","Biosynthesis of nucleotide sugars"
"94","sao:SAOUHSC_00128","Amino sugar and nucleotide sugar metabolism"
"95","sao:SAOUHSC_00128","O-Antigen nucleotide sugar biosynthesis"
"96","sao:SAOUHSC_00128","Metabolic pathways"
"97","sao:SAOUHSC_00128","Biosynthesis of nucleotide sugars"
"98","sao:SAOUHSC_00128","Two-component system"
"99","sao:SAOUHSC_00129","Amino sugar and nucleotide sugar metabolism"
"100","sao:SAOUHSC_00129","O-Antigen nucleotide sugar biosynthesis"
"101","sao:SAOUHSC_00129","Metabolic pathways"
"102","sao:SAOUHSC_00129","Biosynthesis of nucleotide sugars"
"103","sao:SAOUHSC_00129","Two-component system"
"104","sao:SAOUHSC_00130","Porphyrin metabolism"
"105","sao:SAOUHSC_00130","Biosynthesis of secondary metabolites"
"106","sao:SAOUHSC_00132","Glycolysis / Gluconeogenesis"
"107","sao:SAOUHSC_00132","Ascorbate and aldarate metabolism"
"108","sao:SAOUHSC_00132","Fatty acid degradation"
"109","sao:SAOUHSC_00132","Valine, leucine and isoleucine degradation"
"110","sao:SAOUHSC_00132","Lysine degradation"
"111","sao:SAOUHSC_00132","Arginine and proline metabolism"
"112","sao:SAOUHSC_00132","Histidine metabolism"
"113","sao:SAOUHSC_00132","Tryptophan metabolism"
"114","sao:SAOUHSC_00132","beta-Alanine metabolism"
"115","sao:SAOUHSC_00132","Glycerolipid metabolism"
"116","sao:SAOUHSC_00132","Pyruvate metabolism"
"117","sao:SAOUHSC_00132","Chloroalkane and chloroalkene degradation"
"118","sao:SAOUHSC_00132","Pantothenate and CoA biosynthesis"
"119","sao:SAOUHSC_00132","Metabolic pathways"
"120","sao:SAOUHSC_00132","Biosynthesis of secondary metabolites"
"121","sao:SAOUHSC_00132","Microbial metabolism in diverse environments"
"122","sao:SAOUHSC_00132","Biosynthesis of cofactors"
"123","sao:SAOUHSC_00142","Glyoxylate and dicarboxylate metabolism"
"124","sao:SAOUHSC_00142","Methane metabolism"
"125","sao:SAOUHSC_00142","Metabolic pathways"
"126","sao:SAOUHSC_00142","Microbial metabolism in diverse environments"
"127","sao:SAOUHSC_00142","Carbon metabolism"
"128","sao:SAOUHSC_00147","Arginine biosynthesis"
"129","sao:SAOUHSC_00147","Metabolic pathways"
"130","sao:SAOUHSC_00147","Biosynthesis of secondary metabolites"
"131","sao:SAOUHSC_00147","2-Oxocarboxylic acid metabolism"
"132","sao:SAOUHSC_00147","Biosynthesis of amino acids"
"133","sao:SAOUHSC_00148","Arginine biosynthesis"
"134","sao:SAOUHSC_00148","Metabolic pathways"
"135","sao:SAOUHSC_00148","Biosynthesis of secondary metabolites"
"136","sao:SAOUHSC_00148","2-Oxocarboxylic acid metabolism"
"137","sao:SAOUHSC_00148","Biosynthesis of amino acids"
"138","sao:SAOUHSC_00149","Arginine biosynthesis"
"139","sao:SAOUHSC_00149","Metabolic pathways"
"140","sao:SAOUHSC_00149","Biosynthesis of secondary metabolites"
"141","sao:SAOUHSC_00149","2-Oxocarboxylic acid metabolism"
"142","sao:SAOUHSC_00149","Biosynthesis of amino acids"
"143","sao:SAOUHSC_00150","Arginine and proline metabolism"
"144","sao:SAOUHSC_00150","Metabolic pathways"
"145","sao:SAOUHSC_00150","Biosynthesis of secondary metabolites"
"146","sao:SAOUHSC_00155","Glycolysis / Gluconeogenesis"
"147","sao:SAOUHSC_00155","Amino sugar and nucleotide sugar metabolism"
"148","sao:SAOUHSC_00155","Metabolic pathways"
"149","sao:SAOUHSC_00155","Phosphotransferase system (PTS)"
"150","sao:SAOUHSC_00157","Amino sugar and nucleotide sugar metabolism"
"151","sao:SAOUHSC_00157","Metabolic pathways"
"152","sao:SAOUHSC_00158","Starch and sucrose metabolism"
"153","sao:SAOUHSC_00158","Phosphotransferase system (PTS)"
"154","sao:SAOUHSC_00167","Quorum sensing"
"155","sao:SAOUHSC_00168","Quorum sensing"
"156","sao:SAOUHSC_00169","Quorum sensing"
"157","sao:SAOUHSC_00170","Quorum sensing"
"158","sao:SAOUHSC_00171","Taurine and hypotaurine metabolism"
"159","sao:SAOUHSC_00171","Cyanoamino acid metabolism"
"160","sao:SAOUHSC_00171","Glutathione metabolism"
"161","sao:SAOUHSC_00171","Metabolic pathways"
"162","sao:SAOUHSC_00175","ABC transporters"
"163","sao:SAOUHSC_00176","ABC transporters"
"164","sao:SAOUHSC_00177","ABC transporters"
"165","sao:SAOUHSC_00178","ABC transporters"
"166","sao:SAOUHSC_00183","Two-component system"
"167","sao:SAOUHSC_00184","Two-component system"
"168","sao:SAOUHSC_00185","Two-component system"
"169","sao:SAOUHSC_00186","Two-component system"
"170","sao:SAOUHSC_00187","Pyruvate metabolism"
"171","sao:SAOUHSC_00187","Propanoate metabolism"
"172","sao:SAOUHSC_00187","Butanoate metabolism"
"173","sao:SAOUHSC_00187","Metabolic pathways"
"174","sao:SAOUHSC_00187","Microbial metabolism in diverse environments"
"175","sao:SAOUHSC_00190","Glycerophospholipid metabolism"
"176","sao:SAOUHSC_00191","Staphylococcus aureus infection"
"177","sao:SAOUHSC_00195","Fatty acid degradation"
"178","sao:SAOUHSC_00195","Valine, leucine and isoleucine degradation"
"179","sao:SAOUHSC_00195","Geraniol degradation"
"180","sao:SAOUHSC_00195","Benzoate degradation"
"181","sao:SAOUHSC_00195","alpha-Linolenic acid metabolism"
"182","sao:SAOUHSC_00195","Metabolic pathways"
"183","sao:SAOUHSC_00195","Biosynthesis of secondary metabolites"
"184","sao:SAOUHSC_00195","Microbial metabolism in diverse environments"
"185","sao:SAOUHSC_00195","Fatty acid metabolism"
"186","sao:SAOUHSC_00196","Fatty acid degradation"
"187","sao:SAOUHSC_00196","Benzoate degradation"
"188","sao:SAOUHSC_00196","Butanoate metabolism"
"189","sao:SAOUHSC_00196","Metabolic pathways"
"190","sao:SAOUHSC_00196","Microbial metabolism in diverse environments"
"191","sao:SAOUHSC_00196","Carbon metabolism"
"192","sao:SAOUHSC_00196","Fatty acid metabolism"
"193","sao:SAOUHSC_00197","Fatty acid degradation"
"194","sao:SAOUHSC_00197","Lysine degradation"
"195","sao:SAOUHSC_00197","Benzoate degradation"
"196","sao:SAOUHSC_00197","Tryptophan metabolism"
"197","sao:SAOUHSC_00197","Metabolic pathways"
"198","sao:SAOUHSC_00197","Biosynthesis of secondary metabolites"
"199","sao:SAOUHSC_00197","Microbial metabolism in diverse environments"
"200","sao:SAOUHSC_00198","Fatty acid biosynthesis"
"201","sao:SAOUHSC_00198","Fatty acid degradation"
"202","sao:SAOUHSC_00198","Metabolic pathways"
"203","sao:SAOUHSC_00198","Fatty acid metabolism"
"204","sao:SAOUHSC_00198","Quorum sensing"
"205","sao:SAOUHSC_00201","Quorum sensing"
"206","sao:SAOUHSC_00206","Glycolysis / Gluconeogenesis"
"207","sao:SAOUHSC_00206","Cysteine and methionine metabolism"
"208","sao:SAOUHSC_00206","Pyruvate metabolism"
"209","sao:SAOUHSC_00206","Propanoate metabolism"
"210","sao:SAOUHSC_00206","Metabolic pathways"
"211","sao:SAOUHSC_00206","Biosynthesis of secondary metabolites"
"212","sao:SAOUHSC_00206","Microbial metabolism in diverse environments"
"213","sao:SAOUHSC_00209","Glycolysis / Gluconeogenesis"
"214","sao:SAOUHSC_00209","Starch and sucrose metabolism"
"215","sao:SAOUHSC_00209","Amino sugar and nucleotide sugar metabolism"
"216","sao:SAOUHSC_00209","Metabolic pathways"
"217","sao:SAOUHSC_00209","Phosphotransferase system (PTS)"
"218","sao:SAOUHSC_00214","Galactose metabolism"
"219","sao:SAOUHSC_00214","Metabolic pathways"
"220","sao:SAOUHSC_00214","Phosphotransferase system (PTS)"
"221","sao:SAOUHSC_00215","Galactose metabolism"
"222","sao:SAOUHSC_00215","Metabolic pathways"
"223","sao:SAOUHSC_00215","Phosphotransferase system (PTS)"
"224","sao:SAOUHSC_00216","Galactose metabolism"
"225","sao:SAOUHSC_00216","Metabolic pathways"
"226","sao:SAOUHSC_00216","Phosphotransferase system (PTS)"
"227","sao:SAOUHSC_00217","Pentose and glucuronate interconversions"
"228","sao:SAOUHSC_00217","Fructose and mannose metabolism"
"229","sao:SAOUHSC_00217","Metabolic pathways"
"230","sao:SAOUHSC_00219","Pentose and glucuronate interconversions"
"231","sao:SAOUHSC_00219","Fructose and mannose metabolism"
"232","sao:SAOUHSC_00219","Metabolic pathways"
"233","sao:SAOUHSC_00220","Pentose and glucuronate interconversions"
"234","sao:SAOUHSC_00220","Metabolic pathways"
"235","sao:SAOUHSC_00221","Pentose and glucuronate interconversions"
"236","sao:SAOUHSC_00221","Metabolic pathways"
"237","sao:SAOUHSC_00225","Pentose and glucuronate interconversions"
"238","sao:SAOUHSC_00225","Metabolic pathways"
"239","sao:SAOUHSC_00226","Pentose and glucuronate interconversions"
"240","sao:SAOUHSC_00226","Metabolic pathways"
"241","sao:SAOUHSC_00230","Two-component system"
"242","sao:SAOUHSC_00231","Two-component system"
"243","sao:SAOUHSC_00232","Two-component system"
"244","sao:SAOUHSC_00233","Two-component system"
"245","sao:SAOUHSC_00236","Glycolysis / Gluconeogenesis"
"246","sao:SAOUHSC_00236","Starch and sucrose metabolism"
"247","sao:SAOUHSC_00239","Pentose phosphate pathway"
"248","sao:SAOUHSC_00239","Metabolic pathways"
"249","sao:SAOUHSC_00240","ABC transporters"
"250","sao:SAOUHSC_00247","Biosynthesis of secondary metabolites"
"251","sao:SAOUHSC_00292","Pyrimidine metabolism"
"252","sao:SAOUHSC_00292","Metabolic pathways"
"253","sao:SAOUHSC_00295","Amino sugar and nucleotide sugar metabolism"
"254","sao:SAOUHSC_00295","Metabolic pathways"
"255","sao:SAOUHSC_00298","Amino sugar and nucleotide sugar metabolism"
"256","sao:SAOUHSC_00298","Metabolic pathways"
"257","sao:SAOUHSC_00300","Glycerolipid metabolism"
"258","sao:SAOUHSC_00300","Metabolic pathways"
"259","sao:SAOUHSC_00308","Lipoic acid metabolism"
"260","sao:SAOUHSC_00308","Metabolic pathways"
"261","sao:SAOUHSC_00308","Biosynthesis of cofactors"
"262","sao:SAOUHSC_00310","Ascorbate and aldarate metabolism"
"263","sao:SAOUHSC_00310","Metabolic pathways"
"264","sao:SAOUHSC_00310","Microbial metabolism in diverse environments"
"265","sao:SAOUHSC_00310","Phosphotransferase system (PTS)"
"266","sao:SAOUHSC_00311","Ascorbate and aldarate metabolism"
"267","sao:SAOUHSC_00311","Metabolic pathways"
"268","sao:SAOUHSC_00311","Microbial metabolism in diverse environments"
"269","sao:SAOUHSC_00311","Phosphotransferase system (PTS)"
"270","sao:SAOUHSC_00312","Ascorbate and aldarate metabolism"
"271","sao:SAOUHSC_00312","Metabolic pathways"
"272","sao:SAOUHSC_00312","Microbial metabolism in diverse environments"
"273","sao:SAOUHSC_00312","Phosphotransferase system (PTS)"
"274","sao:SAOUHSC_00320","Riboflavin metabolism"
"275","sao:SAOUHSC_00320","Sulfur metabolism"
"276","sao:SAOUHSC_00320","Metabolic pathways"
"277","sao:SAOUHSC_00328","Protein export"
