,readcount_cph1-efg1_0min_1,readcount_cph1-efg1_0min_3,readcount_cph1-efg1_0min_4,readcount_cph1-efg1_75min_1,readcount_cph1-efg1_75min_3,readcount_cph1-efg1_75min_4,readcount_Evo_0min_1,readcount_Evo_0min_3,readcount_Evo_0min_4,readcount_Evo_75min_1,readcount_Evo_75min_3,readcount_Evo_75min_4
CaalfMp01,7,5,15,2,3,3,4,11,3,4,9,13
CaalfMp02,1,1,1,2,0,0,1,1,1,0,2,4
CaalfMp03,3,3,5,2,0,2,2,5,1,3,4,4
CaalfMp04,2,0,1,1,0,2,0,6,4,0,1,3
CaalfMp05,11,6,12,11,0,6,4,11,8,3,5,11
CaalfMp06,7,4,4,2,3,10,3,12,0,0,9,11
CaalfMp07,0,0,0,0,0,1,1,1,0,0,0,1
CaalfMp08,4,2,4,4,1,6,1,9,3,1,7,14
CaalfMp08.1,2,0,0,5,0,0,0,2,0,0,1,0
CaalfMp08.2,3,0,2,1,1,0,0,2,2,1,1,1
CaalfMp08.3,0,0,0,0,1,0,0,2,0,0,1,0
CaalfMp08.4,0,0,0,1,0,0,0,0,0,0,0,0
CaalfMp09,2,2,4,3,0,0,3,9,1,0,6,5
CaalfMp10,2,1,1,0,0,1,0,7,0,0,0,2
CaalfMp11,8,4,10,1,1,7,2,8,2,1,3,7
CaalfMp11.1,5,3,4,1,2,3,4,16,2,2,3,5
CaalfMp12,0,0,2,0,0,0,0,0,0,0,0,1
CaalfMp13,7,5,5,1,1,4,1,8,1,1,2,5
CaalfMp14,2,5,7,2,1,4,1,7,3,0,6,3
CaalfMp15,0,1,4,1,0,2,3,3,4,1,2,4
CaalfMr16,1159,632,549,430,236,862,471,1337,286,156,518,1220
CaalfMr17,357,240,259,148,96,380,168,473,132,63,225,579
CaalfMt18,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt19,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt20,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt21,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt22,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt23,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt24,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt25,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt26,0,0,0,0,0,0,0,0,1,0,0,0
CaalfMt27,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt28,0,1,0,0,0,0,0,0,0,0,0,0
CaalfMt29,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt30,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt31,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt32,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt33,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt34,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt35,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt36,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt37,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt38,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt39,0,0,0,0,0,0,0,0,0,0,0,1
CaalfMt40,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt41,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt42,0,0,0,0,0,0,0,1,0,0,1,0
CaalfMt43,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt44,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt45,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt46,0,0,0,0,0,0,0,0,0,0,0,0
CaalfMt47,0,0,0,0,0,0,0,0,0,0,0,0
CD39,8,2,0,1,5,1,2,7,3,4,0,2
