"","Gene","Pathway"
"1","smz:SMD_0001","Two-component system"
"2","smz:SMD_0002","DNA replication"
"3","smz:SMD_0002","Mismatch repair"
"4","smz:SMD_0002","Homologous recombination"
"5","smz:SMD_0003","Homologous recombination"
"6","smz:SMD_0012","Glycerophospholipid metabolism"
"7","smz:SMD_0012","Metabolic pathways"
"8","smz:SMD_0014","Vitamin B6 metabolism"
"9","smz:SMD_0014","Metabolic pathways"
"10","smz:SMD_0014","Biosynthesis of cofactors"
"11","smz:SMD_0017","Glycolysis / Gluconeogenesis"
"12","smz:SMD_0017","Pentose phosphate pathway"
"13","smz:SMD_0017","Fructose and mannose metabolism"
"14","smz:SMD_0017","Methane metabolism"
"15","smz:SMD_0017","Metabolic pathways"
"16","smz:SMD_0017","Biosynthesis of secondary metabolites"
"17","smz:SMD_0017","Microbial metabolism in diverse environments"
"18","smz:SMD_0017","Carbon metabolism"
"19","smz:SMD_0018","Cysteine and methionine metabolism"
"20","smz:SMD_0018","Tyrosine metabolism"
"21","smz:SMD_0018","Phenylalanine metabolism"
"22","smz:SMD_0018","Phenylalanine, tyrosine and tryptophan biosynthesis"
"23","smz:SMD_0018","Novobiocin biosynthesis"
"24","smz:SMD_0018","Metabolic pathways"
"25","smz:SMD_0018","Biosynthesis of secondary metabolites"
"26","smz:SMD_0018","Biosynthesis of amino acids"
"27","smz:SMD_0022","Non-homologous end-joining"
"28","smz:SMD_0023","Non-homologous end-joining"
"29","smz:SMD_0025","Glycolysis / Gluconeogenesis"
"30","smz:SMD_0025","Fatty acid degradation"
"31","smz:SMD_0025","Tyrosine metabolism"
"32","smz:SMD_0025","Pyruvate metabolism"
"33","smz:SMD_0025","Chloroalkane and chloroalkene degradation"
"34","smz:SMD_0025","Naphthalene degradation"
"35","smz:SMD_0025","Metabolic pathways"
"36","smz:SMD_0025","Biosynthesis of secondary metabolites"
"37","smz:SMD_0025","Microbial metabolism in diverse environments"
"38","smz:SMD_0025","Degradation of aromatic compounds"
"39","smz:SMD_0026","Pentose phosphate pathway"
"40","smz:SMD_0026","Glyoxylate and dicarboxylate metabolism"
"41","smz:SMD_0026","Metabolic pathways"
"42","smz:SMD_0026","Microbial metabolism in diverse environments"
"43","smz:SMD_0026","Carbon metabolism"
"44","smz:SMD_0029","Phenylalanine metabolism"
"45","smz:SMD_0029","Phenylalanine, tyrosine and tryptophan biosynthesis"
"46","smz:SMD_0029","Folate biosynthesis"
"47","smz:SMD_0029","Metabolic pathways"
"48","smz:SMD_0029","Biosynthesis of amino acids"
"49","smz:SMD_0034","Riboflavin metabolism"
"50","smz:SMD_0034","Metabolic pathways"
"51","smz:SMD_0034","Two-component system"
"52","smz:SMD_0038","Biosynthesis of unsaturated fatty acids"
"53","smz:SMD_0038","Metabolic pathways"
"54","smz:SMD_0038","Fatty acid metabolism"
"55","smz:SMD_0041","Base excision repair"
"56","smz:SMD_0043","Pyrimidine metabolism"
"57","smz:SMD_0043","Metabolic pathways"
"58","smz:SMD_0054","Pyrimidine metabolism"
"59","smz:SMD_0054","Metabolic pathways"
"60","smz:SMD_0054","Biosynthesis of cofactors"
"61","smz:SMD_0057","Glycerolipid metabolism"
"62","smz:SMD_0057","Glycerophospholipid metabolism"
"63","smz:SMD_0057","Metabolic pathways"
"64","smz:SMD_0057","Biosynthesis of secondary metabolites"
"65","smz:SMD_0061","Propanoate metabolism"
"66","smz:SMD_0061","Metabolic pathways"
"67","smz:SMD_0061","Microbial metabolism in diverse environments"
"68","smz:SMD_0063","Alanine, aspartate and glutamate metabolism"
"69","smz:SMD_0063","Nitrogen metabolism"
"70","smz:SMD_0063","Metabolic pathways"
"71","smz:SMD_0063","Biosynthesis of secondary metabolites"
"72","smz:SMD_0063","Microbial metabolism in diverse environments"
"73","smz:SMD_0063","Biosynthesis of amino acids"
"74","smz:SMD_0064","Alanine, aspartate and glutamate metabolism"
"75","smz:SMD_0064","Nitrogen metabolism"
"76","smz:SMD_0064","Metabolic pathways"
"77","smz:SMD_0064","Biosynthesis of secondary metabolites"
"78","smz:SMD_0064","Microbial metabolism in diverse environments"
"79","smz:SMD_0064","Biosynthesis of amino acids"
"80","smz:SMD_0095","Ubiquinone and other terpenoid-quinone biosynthesis"
"81","smz:SMD_0095","Metabolic pathways"
"82","smz:SMD_0095","Biosynthesis of secondary metabolites"
"83","smz:SMD_0095","Biosynthesis of cofactors"
"84","smz:SMD_0102","Peptidoglycan biosynthesis"
"85","smz:SMD_0103","Arginine biosynthesis"
"86","smz:SMD_0103","Alanine, aspartate and glutamate metabolism"
"87","smz:SMD_0103","Glyoxylate and dicarboxylate metabolism"
