"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"P0C7Y3","cytolysis [GO:0019835]",NA,NA
"2",NA,NA,NA,"P0C820","cytolysis [GO:0019835]",NA,NA
"3",NA,NA,NA,"P0C807","cytolysis [GO:0019835]",NA,NA
"4",NA,NA,NA,"P0C7Z5","cytolysis [GO:0019835]",NA,NA
"5",NA,NA,NA,"P0C2W6","DNA binding [GO:0003677]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; magnesium ion binding [GO:0000287]; DNA topological change [GO:0006265]",NA,NA
"6",NA,NA,NA,"P0C885","cytoplasm [GO:0005737]; copper ion binding [GO:0005507]",NA,NA
"7",NA,NA,NA,"A0A0M3KKX1","dihydrofolate reductase activity [GO:0004146]; NADP binding [GO:0050661]; glycine biosynthetic process [GO:0006545]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]",NA,NA
"8",NA,NA,NA,"V6BHR3",NA,NA,NA
"9","16S_rRNA-1","16S_rRNA","(GenBank) 16S ribosomal RNA",NA,NA,NA,"Ribosome"
"10","16S_rRNA-2","16S_rRNA","(GenBank) 16S ribosomal RNA",NA,NA,NA,"Ribosome"
"11","16S_rRNA-3","16S_rRNA","(GenBank) 16S ribosomal RNA",NA,NA,NA,"Ribosome"
"12","16S_rRNA-4","16S_rRNA","(GenBank) 16S ribosomal RNA",NA,NA,NA,"Ribosome"
"13","16S_rRNA-5","16S_rRNA","(GenBank) 16S ribosomal RNA",NA,NA,NA,"Ribosome"
"14","23S_rRNA-1","23S_rRNA","(GenBank) 23S ribosomal RNA",NA,NA,NA,"Ribosome"
"15","23S_rRNA-2","23S_rRNA","(GenBank) 23S ribosomal RNA",NA,NA,NA,"Ribosome"
"16","23S_rRNA-3","23S_rRNA","(GenBank) 23S ribosomal RNA",NA,NA,NA,"Ribosome"
"17","23S_rRNA-4","23S_rRNA","(GenBank) 23S ribosomal RNA",NA,NA,NA,"Ribosome"
"18","23S_rRNA-5","23S_rRNA","(GenBank) 23S ribosomal RNA",NA,NA,NA,"Ribosome"
"19","5S_rRNA-1","5S_rRNA","(GenBank) 5S ribosomal RNA",NA,NA,NA,"Ribosome"
"20","5S_rRNA-2","5S_rRNA","(GenBank) 5S ribosomal RNA",NA,NA,NA,"Ribosome"
"21","5S_rRNA-3","5S_rRNA","(GenBank) 5S ribosomal RNA",NA,NA,NA,"Ribosome"
"22","5S_rRNA-4","5S_rRNA","(GenBank) 5S ribosomal RNA",NA,NA,NA,"Ribosome"
"23","5S_rRNA-5","5S_rRNA","(GenBank) 5S ribosomal RNA",NA,NA,NA,"Ribosome"
"24","5S_rRNA-6","5S_rRNA","(GenBank) 5S ribosomal RNA",NA,NA,NA,"Ribosome"
"25","SAB0001","dnaA","(GenBank) chromosomal replicator initiator protein","Q2YUP1","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]",NA,"Two-component system"
"26","SAB0002","dnaN","(GenBank) DNA polymerase III beta chain",NA,NA,NA,"DNA replication, Mismatch repair, Homologous recombination"
"27","SAB0004","recF","(GenBank) DNA replication and repair protein","Q2YUN8","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; single-stranded DNA binding [GO:0003697]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]",NA,"Homologous recombination"
"28","SAB0008","hutH","(GenBank) histidine ammonia lyase","Q2YUR3","cytoplasm [GO:0005737]; histidine ammonia-lyase activity [GO:0004397]; histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]",NA,"Histidine metabolism, Metabolic pathways"
"29","SAB0009","serS","(GenBank) seryl-tRNA synthetase","Q2YUR2","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]",NA,"Aminoacyl-tRNA biosynthesis"
"30","SAB0012","","(GenBank) probable homoserine-o-acetyltransferase",NA,NA,NA,"Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"31","SAB0015","rplI","(GenBank) 50S ribosomal protein L9","Q2YUQ6","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]",NA,"Ribosome"
"32","SAB0016","dnaC","(GenBank) replicative DNA helicase",NA,NA,NA,"DNA replication"
"33","SAB0017","purA","(GenBank) adenylosuccinate synthetase",NA,NA,NA,"Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Nucleotide metabolism, Biosynthesis of cofactors"
"34","SAB0018","yycF","(GenBank) two-component response regulator","Q2YUQ3","cytoplasm [GO:0005737]; DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]",NA,"Two-component system"
"35","SAB0019","yycG","(GenBank) two-component sensor histidine kinase","Q2YUQ2","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphorelay sensor kinase activity [GO:0000155]",NA,"Two-component system"
"36","SAB0024",NA,NA,"Q2YUP7","cytoplasm [GO:0005737]; rRNA (pseudouridine-N3-)-methyltransferase activity [GO:0070038]",NA,NA
"37","SAB0026","","(GenBank) probable enterotoxin protein",NA,NA,NA,"Staphylococcus aureus infection"
"38","SAB0032","","(GenBank) probable sulfide-quinone reductase",NA,NA,NA,"Sulfur metabolism, Microbial metabolism in diverse environments"
"39","SAB0038","plc","(GenBank) 1-phosphatidylinositol phosphodiesterase",NA,NA,NA,"Inositol phosphate metabolism, Metabolic pathways"
"40","SAB0040",NA,NA,"Q2YUT0","plasma membrane [GO:0005886]",NA,NA
"41","SAB0047",NA,NA,"Q2YUS3","DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]; biosynthetic process [GO:0009058]",NA,NA
"42","SAB0055","","(GenBank) probable cysteine synthase A protein","Q2YUU0","transferase activity [GO:0016740]; cysteine biosynthetic process from serine [GO:0006535]",NA,"Biosynthesis of various other secondary metabolites, Biosynthesis of various antibiotics, Metabolic pathways, Biosynthesis of secondary metabolites"
