"","Gene","Pathway"
"1","paem:U769_00005  (GenBank) chromosomal replication initiation protein","Two-component system"
"2","paem:U769_00010  (GenBank) DNA polymerase III subunit beta","DNA replication"
"3","paem:U769_00010  (GenBank) DNA polymerase III subunit beta","Mismatch repair"
"4","paem:U769_00010  (GenBank) DNA polymerase III subunit beta","Homologous recombination"
"5","paem:U769_00015  (GenBank) recombinase RecF","Homologous recombination"
"6","paem:U769_00025  (GenBank) glycerol acyltransferase","Glycerolipid metabolism"
"7","paem:U769_00025  (GenBank) glycerol acyltransferase","Glycerophospholipid metabolism"
"8","paem:U769_00025  (GenBank) glycerol acyltransferase","Metabolic pathways"
"9","paem:U769_00025  (GenBank) glycerol acyltransferase","Biosynthesis of secondary metabolites"
"10","paem:U769_00030  (GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Lipopolysaccharide biosynthesis"
"11","paem:U769_00030  (GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Metabolic pathways"
"12","paem:U769_00030  (GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Biosynthesis of nucleotide sugars"
"13","paem:U769_00040 glyS (GenBank) glycyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"14","paem:U769_00045  (GenBank) glycyl-tRNA synthetase","Aminoacyl-tRNA biosynthesis"
"15","paem:U769_00050  (GenBank) 3-methyladenine DNA glycosylase","Base excision repair"
"16","paem:U769_00055  (GenBank) lauroyl acyltransferase","Lipopolysaccharide biosynthesis"
"17","paem:U769_00055  (GenBank) lauroyl acyltransferase","Metabolic pathways"
"18","paem:U769_00090  (GenBank) methionyl-tRNA formyltransferase","One carbon pool by folate"
"19","paem:U769_00090  (GenBank) methionyl-tRNA formyltransferase","Aminoacyl-tRNA biosynthesis"
"20","paem:U769_00090  (GenBank) methionyl-tRNA formyltransferase","Metabolic pathways"
"21","paem:U769_00120  (GenBank) coproporphyrinogen III oxidase","Porphyrin metabolism"
"22","paem:U769_00120  (GenBank) coproporphyrinogen III oxidase","Metabolic pathways"
