"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","Bcen2424_0001","","(GenBank) chromosomal replication initiator protein DnaA","Two-component system"
"2","Bcen2424_0002","","(GenBank) DNA polymerase III, beta subunit","DNA replication, Mismatch repair, Homologous recombination"
"3","Bcen2424_R0001","","(GenBank) 5S ribosomal RNA","Ribosome"
"4","Bcen2424_R0002","","(GenBank) 23S ribosomal RNA","Ribosome"
"5","Bcen2424_R0003","","(GenBank) 16S ribosomal RNA","Ribosome"
"6","Bcen2424_0010","","(GenBank) Catalase domain protein","Tryptophan metabolism, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism"
"7","Bcen2424_R0004","","(GenBank) tRNA-Val","Aminoacyl-tRNA biosynthesis"
"8","Bcen2424_0030","","(GenBank) two component transcriptional regulator, winged helix family","Two-component system"
"9","Bcen2424_0031","","(GenBank) periplasmic sensor signal transduction histidine kinase","Two-component system"
"10","Bcen2424_0032","","(GenBank) binding-protein-dependent transport systems inner membrane component","Sulfur metabolism, ABC transporters"
"11","Bcen2424_0033","","(GenBank) ABC transporter related protein","Sulfur metabolism, ABC transporters"
"12","Bcen2424_0034","","(GenBank) ABC nitrate/sulfonate/bicarbonate transporter, periplasmic ligand binding protein","Sulfur metabolism, ABC transporters"
"13","Bcen2424_0035","","(GenBank) flagellar biosynthetic protein FliR","Flagellar assembly"
"14","Bcen2424_0036","","(GenBank) flagellar biosynthetic protein FliQ","Flagellar assembly"
"15","Bcen2424_0037","","(GenBank) flagellar biosynthetic protein FliP","Flagellar assembly"
"16","Bcen2424_0038","","(GenBank) flagellar biosynthesis protein, FliO","Flagellar assembly"
"17","Bcen2424_0039","","(GenBank) flagellar motor switch protein FliN","Bacterial chemotaxis, Flagellar assembly"
"18","Bcen2424_0040","","(GenBank) flagellar motor switch protein FliM","Bacterial chemotaxis, Flagellar assembly"
"19","Bcen2424_0041","","(GenBank) flagellar basal body-associated protein FliL","Flagellar assembly"
"20","Bcen2424_0052","","(GenBank) General secretion pathway M protein","Bacterial secretion system"
"21","Bcen2424_0053","","(GenBank) general secretion pathway protein L","Bacterial secretion system"
"22","Bcen2424_0054","","(GenBank) General secretion pathway protein K","Bacterial secretion system"
"23","Bcen2424_0055","","(GenBank) general secretion pathway protein","Bacterial secretion system"
"24","Bcen2424_0056","","(GenBank) general secretion pathway protein I","Bacterial secretion system"
"25","Bcen2424_0057","","(GenBank) general secretion pathway protein H","Bacterial secretion system"
"26","Bcen2424_0058","","(GenBank) general secretion pathway protein G","Bacterial secretion system"
"27","Bcen2424_0059","","(GenBank) conserved hypothetical protein","Bacterial secretion system"
"28","Bcen2424_0060","","(GenBank) general secretion pathway protein F","Bacterial secretion system"
"29","Bcen2424_0061","","(GenBank) type II secretion system protein E (GspE)","Bacterial secretion system"
"30","Bcen2424_0062","","(GenBank) general secretion pathway protein D","Bacterial secretion system"
"31","Bcen2424_0069","","(GenBank) uncharacterized enzyme","Glutathione metabolism, Metabolic pathways"
"32","Bcen2424_0071","","(GenBank) glutamine amidotransferase class-I","Purine metabolism, Metabolic pathways, Nucleotide metabolism"
"33","Bcen2424_0077","","(GenBank) pterin-4-alpha-carbinolamine dehydratase","Folate biosynthesis, Metabolic pathways"
"34","Bcen2424_0078","","(GenBank) Phenylalanine 4-hydroxylase","Phenylalanine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Folate biosynthesis, Metabolic pathways, Biosynthesis of amino acids"
"35","Bcen2424_0082","","(GenBank) glucose-methanol-choline oxidoreductase","Glycine, serine and threonine metabolism, Metabolic pathways"
"36","Bcen2424_0083","","(GenBank) amino acid/amide ABC transporter ATP-binding protein 1, HAAT family","ABC transporters, Quorum sensing"
"37","Bcen2424_0084","","(GenBank) amino acid/amide ABC transporter ATP-binding protein 2, HAAT family","ABC transporters, Quorum sensing"
"38","Bcen2424_0085","","(GenBank) amino acid/amide ABC transporter substrate-binding protein, HAAT family","ABC transporters, Quorum sensing"
"39","Bcen2424_0086","","(GenBank) amino acid/amide ABC transporter membrane protein 1, HAAT family","ABC transporters, Quorum sensing"
"40","Bcen2424_0087","","(GenBank) amino acid/amide ABC transporter membrane protein 2, HAAT family","ABC transporters, Quorum sensing"
