"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","BXY_00110","","(GenBank) Archaeal/vacuolar-type H+-ATPase subunit E","Oxidative phosphorylation, Metabolic pathways"
"2","BXY_00130","","(GenBank) Archaeal/vacuolar-type H+-ATPase subunit A","Oxidative phosphorylation, Metabolic pathways"
"3","BXY_00140","","(GenBank) Archaeal/vacuolar-type H+-ATPase subunit B","Oxidative phosphorylation, Metabolic pathways"
"4","BXY_00160","","(GenBank) Archaeal/vacuolar-type H+-ATPase subunit I","Oxidative phosphorylation, Metabolic pathways"
"5","BXY_00170","","(GenBank) ATP synthase subunit C.","Oxidative phosphorylation, Metabolic pathways"
"6","BXY_00190","","(GenBank) alpha-glucan phosphorylases","Starch and sucrose metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"7","BXY_00210","","(GenBank) spermidine/putrescine ABC transporter ATP-binding subunit","ABC transporters"
"8","BXY_00230","","(GenBank) ABC-type spermidine/putrescine transport system, permease component II","ABC transporters"
"9","BXY_00240","","(GenBank) Spermidine/putrescine-binding periplasmic protein","ABC transporters"
"10","BXY_00330","","(GenBank) Sugar (pentulose and hexulose) kinases","Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"11","BXY_00350","","(GenBank) L-fucose isomerase","Pentose and glucuronate interconversions, Fructose and mannose metabolism, Metabolic pathways, Microbial metabolism in diverse environments"
"12","BXY_00380","","(GenBank) SSU ribosomal protein S16P","Ribosome"
"13","BXY_00560","","(GenBank) Sugar kinases, ribokinase family","Pentose phosphate pathway, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"14","BXY_00570","","(GenBank) 2-keto-3-deoxy-phosphogluconate aldolase","Pentose phosphate pathway, Glyoxylate and dicarboxylate metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Carbon metabolism"
"15","BXY_00700","","(GenBank) N-acetyl-beta-hexosaminidase","Other glycan degradation, Amino sugar and nucleotide sugar metabolism, Sphingolipid metabolism, Metabolic pathways"
