"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","PGK_STAAE","A6QF82","Staphylococcus aureus (strain Newman)","426430","A6QF82","AP009351","BAF67014.1","pgk","pgk NWMN_0742","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","sae:NWMN_0742",NA,NA
"2","PCP_STAAE","A6QKH8","Staphylococcus aureus (strain Newman)","426430","A6QKH8","AP009351","BAF68860.1","pcp","pcp NWMN_2588","cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920]","GO:0005829; GO:0016920","sae:NWMN_2588",NA,NA
"3","PEPT_STAAE","A6QF52","Staphylococcus aureus (strain Newman)","426430","A6QF52","AP009351","BAF66984.1","pepT","pepT NWMN_0712","cytoplasm [GO:0005737]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]","GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148","sae:NWMN_0712",NA,NA
"4","PCRB_STAAE","A6QID4","Staphylococcus aureus (strain Newman)","426430","A6QID4","AP009351","BAF68116.1","pcrB","pcrB NWMN_1844","magnesium ion binding [GO:0000287]; polyprenyltransferase activity [GO:0002094]; glycerophospholipid biosynthetic process [GO:0046474]","GO:0000287; GO:0002094; GO:0046474","sae:NWMN_1844",NA,NA
"5","PLSX_STAAE","A6QGC9","Staphylococcus aureus (strain Newman)","426430","A6QGC9","AP009351","BAF67411.1","plsX","plsX NWMN_1139","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","sae:NWMN_1139",NA,NA
"6","RECO_STAAE","A6QHA9","Staphylococcus aureus (strain Newman)","426430","A6QHA9","AP009351","BAF67741.1","recO","recO NWMN_1469","DNA recombination [GO:0006310]; DNA repair [GO:0006281]","GO:0006281; GO:0006310","sae:NWMN_1469",NA,NA
"7","SPLB_STAAE","A6QHZ5","Staphylococcus aureus (strain Newman)","426430","A6QHZ5","AP009351","BAF67977.1","splB","splB NWMN_1705","extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]","GO:0004252; GO:0005576","sae:NWMN_1705",NA,NA
"8","SSL4_STAAE","A0A0H3K6A3","Staphylococcus aureus (strain Newman)","426430","A0A0H3K6A3","AP009351","BAF66663.1","ssl4","ssl4 NWMN_0391","extracellular region [GO:0005576]","GO:0005576","sae:NWMN_0391",NA,NA
"9","SYG_STAAE","A6QHA8","Staphylococcus aureus (strain Newman)","426430","A6QHA8","AP009351","BAF67740.1","glyQS","glyQS NWMN_1468","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983]; glycyl-tRNA aminoacylation [GO:0006426]","GO:0004820; GO:0005524; GO:0005737; GO:0006426; GO:0046983","sae:NWMN_1468",NA,NA
"10","UREE_STAAE","A6QJD1","Staphylococcus aureus (strain Newman)","426430","A6QJD1","AP009351","BAF68463.1","ureE","ureE NWMN_2191","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]","GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003","sae:NWMN_2191",NA,NA
