"","Gene","Pathway"
"1","bps:BPSL0001  (GenBank) conserved hypothetical protein","Glutathione metabolism"
"2","bps:BPSL0001  (GenBank) conserved hypothetical protein","Metabolic pathways"
"3","bps:BPSL0007 gspD (GenBank) general secretory pathway protein D","Bacterial secretion system"
"4","bps:BPSL0008 gspE (GenBank) general secretory pathway protein E","Bacterial secretion system"
"5","bps:BPSL0009 gspF (GenBank) general secretory pathway protein F","Bacterial secretion system"
"6","bps:BPSL0010 gspC (GenBank) putative general secretory pathway protein","Bacterial secretion system"
"7","bps:BPSL0011 gspG (GenBank) general secretory pathway protein G","Bacterial secretion system"
"8","bps:BPSL0012 gspH (GenBank) general secretory pathway protein H","Bacterial secretion system"
"9","bps:BPSL0013 gspI (GenBank) general secretory pathway protein I","Bacterial secretion system"
"10","bps:BPSL0014 gspJ (GenBank) general secretory pathway protein J","Bacterial secretion system"
"11","bps:BPSL0015 gspK (GenBank) general secretory pathway protein K","Bacterial secretion system"
"12","bps:BPSL0016 gspL (GenBank) general secretory pathway protein L","Bacterial secretion system"
"13","bps:BPSL0017 gspM (GenBank) general secretory pathway protein M","Bacterial secretion system"
"14","bps:BPSL0026  (GenBank) flagellar basal body-associated protein FliL","Flagellar assembly"
"15","bps:BPSL0027 fliM (GenBank) flagellar motor switch protein FliM","Bacterial chemotaxis"
"16","bps:BPSL0027 fliM (GenBank) flagellar motor switch protein FliM","Flagellar assembly"
"17","bps:BPSL0028 fliN (GenBank) probable flagellar motor switch protein","Bacterial chemotaxis"
"18","bps:BPSL0028 fliN (GenBank) probable flagellar motor switch protein","Flagellar assembly"
"19","bps:BPSL0029 fliO (GenBank) flagellar protein","Flagellar assembly"
"20","bps:BPSL0030 fliP (GenBank) flagellar biosynthetic protein","Flagellar assembly"
"21","bps:BPSL0031 fliQ (GenBank) flagellar biosynthetic protein","Flagellar assembly"
"22","bps:BPSL0032 fliR (GenBank) flagellar biosynthetic protein","Flagellar assembly"
"23","bps:BPSL0036  (GenBank) putative transport protein","Sulfur metabolism"
"24","bps:BPSL0036  (GenBank) putative transport protein","ABC transporters"
"25","bps:BPSL0037  (GenBank) putative ATP-binding ABC transporter protein","Sulfur metabolism"
"26","bps:BPSL0037  (GenBank) putative ATP-binding ABC transporter protein","ABC transporters"
"27","bps:BPSL0038  (GenBank) binding-protein-dependent transport systems inner membrane component","Sulfur metabolism"
"28","bps:BPSL0038  (GenBank) binding-protein-dependent transport systems inner membrane component","ABC transporters"
"29","bps:BPSL0039  (GenBank) sensor kinase protein","Two-component system"
"30","bps:BPSL0046  (GenBank) ABC transport system ATP-binding protein","ABC transporters"
"31","bps:BPSL0046  (GenBank) ABC transport system ATP-binding protein","Quorum sensing"
"32","bps:BPSL0047  (GenBank) ABC transport system ATP-binding protein","ABC transporters"
"33","bps:BPSL0047  (GenBank) ABC transport system ATP-binding protein","Quorum sensing"
"34","bps:BPSL0048  (GenBank) putative membrane protein","ABC transporters"
"35","bps:BPSL0048  (GenBank) putative membrane protein","Quorum sensing"
"36","bps:BPSL0049  (GenBank) putative branched-chain amino acid transport system permease protein","ABC transporters"
"37","bps:BPSL0049  (GenBank) putative branched-chain amino acid transport system permease protein","Quorum sensing"
"38","bps:BPSL0050  (GenBank) hypothetical protein","ABC transporters"
"39","bps:BPSL0050  (GenBank) hypothetical protein","Quorum sensing"
"40","bps:BPSL0051  (GenBank) putative phenylacetaldehyde dehydrogenase","Tyrosine metabolism"
"41","bps:BPSL0051  (GenBank) putative phenylacetaldehyde dehydrogenase","Phenylalanine metabolism"
"42","bps:BPSL0051  (GenBank) putative phenylacetaldehyde dehydrogenase","Styrene degradation"
"43","bps:BPSL0051  (GenBank) putative phenylacetaldehyde dehydrogenase","Metabolic pathways"
"44","bps:BPSL0051  (GenBank) putative phenylacetaldehyde dehydrogenase","Microbial metabolism in diverse environments"
"45","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Fatty acid degradation"
"46","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Valine, leucine and isoleucine degradation"
"47","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Lysine degradation"
"48","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Benzoate degradation"
"49","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Tryptophan metabolism"
"50","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Pyruvate metabolism"
"51","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Glyoxylate and dicarboxylate metabolism"
"52","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Butanoate metabolism"
"53","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Terpenoid backbone biosynthesis"
"54","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Metabolic pathways"
"55","bps:BPSL0062  (GenBank) beta-ketoadipyl CoA thiolase","Biosynthesis of secondary metabolites"
