"","Gene","Pathway"
"1","sae:NWMN_0001","Two-component system"
"2","sae:NWMN_0002","DNA replication"
"3","sae:NWMN_0002","Mismatch repair"
"4","sae:NWMN_0002","Homologous recombination"
"5","sae:NWMN_0003","Homologous recombination"
"6","sae:NWMN_0007","Histidine metabolism"
"7","sae:NWMN_0007","Metabolic pathways"
"8","sae:NWMN_0008","Aminoacyl-tRNA biosynthesis"
"9","sae:NWMN_0011","Cysteine and methionine metabolism"
"10","sae:NWMN_0011","Sulfur metabolism"
"11","sae:NWMN_0011","Metabolic pathways"
"12","sae:NWMN_0011","Biosynthesis of secondary metabolites"
"13","sae:NWMN_0011","Biosynthesis of amino acids"
"14","sae:NWMN_0014","Ribosome"
"15","sae:NWMN_0015","DNA replication"
"16","sae:NWMN_0016","Purine metabolism"
"17","sae:NWMN_0016","Alanine, aspartate and glutamate metabolism"
"18","sae:NWMN_0016","Metabolic pathways"
"19","sae:NWMN_0016","Biosynthesis of cofactors"
"20","sae:NWMN_tRNA01","Aminoacyl-tRNA biosynthesis"
"21","sae:NWMN_tRNA02","Aminoacyl-tRNA biosynthesis"
"22","sae:NWMN_0017","Two-component system"
"23","sae:NWMN_0018","Two-component system"
"24","sae:NWMN_0028","Pyruvate metabolism"
"25","sae:NWMN_0028","Metabolic pathways"
"26","sae:NWMN_0029","Sulfur metabolism"
"27","sae:NWMN_0029","Microbial metabolism in diverse environments"
"28","sae:NWMN_0041","Inositol phosphate metabolism"
"29","sae:NWMN_0041","Metabolic pathways"
"30","sae:NWMN_0055","Staphylococcus aureus infection"
"31","sae:NWMN_0060","Biosynthesis of various other secondary metabolites"
"32","sae:NWMN_0060","Biosynthesis of various antibiotics"
"33","sae:NWMN_0060","Metabolic pathways"
"34","sae:NWMN_0060","Biosynthesis of secondary metabolites"
"35","sae:NWMN_0061","Biosynthesis of various other secondary metabolites"
"36","sae:NWMN_0061","Biosynthesis of various antibiotics"
"37","sae:NWMN_0061","Metabolic pathways"
"38","sae:NWMN_0061","Biosynthesis of secondary metabolites"
"39","sae:NWMN_0062","Biosynthesis of various other secondary metabolites"
"40","sae:NWMN_0062","Metabolic pathways"
"41","sae:NWMN_0062","Biosynthesis of secondary metabolites"
"42","sae:NWMN_0064","Biosynthesis of various other secondary metabolites"
"43","sae:NWMN_0064","Metabolic pathways"
"44","sae:NWMN_0064","Biosynthesis of secondary metabolites"
"45","sae:NWMN_0065","Biosynthesis of various other secondary metabolites"
"46","sae:NWMN_0065","Metabolic pathways"
