"","Gene","Pathway"
"1","afm:AFUA_1G02500","Cell cycle - yeast"
"2","afm:AFUA_1G02500","Meiosis - yeast"
"3","afm:AFUA_1G10020","DNA replication"
"4","afm:AFUA_1G10355","Proteasome"
"5","afm:AFUA_1G10355","Homologous recombination"
"6","afm:AFUA_1G10497","SNARE interactions in vesicular transport"
"7","afm:AFUA_1G16523","Ribosome"
"8","afm:AFUA_2G01330","RNA degradation"
"9","afm:AFUA_2G04330","Metabolic pathways"
"10","afm:AFUA_2G05110","Spliceosome"
"11","afm:AFUA_2G05470","Cell cycle - yeast"
"12","afm:AFUA_2G08370","Glutathione metabolism"
"13","afm:AFUA_2G08370","Metabolic pathways"
"14","afm:AFUA_2G10855","Purine metabolism"
"15","afm:AFUA_2G10855","One carbon pool by folate"
"16","afm:AFUA_2G10855","Metabolic pathways"
"17","afm:AFUA_2G10855","Biosynthesis of secondary metabolites"
"18","afm:AFUA_2G12020","RNA degradation"
"19","afm:AFUA_2G12020","Spliceosome"
"20","afm:AFUA_2G12560","Folate biosynthesis"
"21","afm:AFUA_2G12560","Metabolic pathways"
"22","afm:AFUA_2G13295","Histidine metabolism"
"23","afm:AFUA_2G13295","Metabolic pathways"
"24","afm:AFUA_2G13710","Oxidative phosphorylation"
"25","afm:AFUA_2G13710","Metabolic pathways"
"26","afm:AFUA_2G14210","Valine, leucine and isoleucine biosynthesis"
"27","afm:AFUA_2G14210","Pantothenate and CoA biosynthesis"
"28","afm:AFUA_2G14210","Metabolic pathways"
"29","afm:AFUA_2G14210","Biosynthesis of secondary metabolites"
"30","afm:AFUA_2G14210","2-Oxocarboxylic acid metabolism"
"31","afm:AFUA_2G14210","Biosynthesis of amino acids"
"32","afm:AFUA_2G16692","Endocytosis"
"33","afm:AFUA_3G03510","Ubiquinone and other terpenoid-quinone biosynthesis"
"34","afm:AFUA_3G03510","Tyrosine metabolism"
"35","afm:AFUA_3G03510","Phenylalanine metabolism"
"36","afm:AFUA_3G03510","Metabolic pathways"
"37","afm:AFUA_3G03510","Biosynthesis of cofactors"
"38","afm:AFUA_3G06200","Cell cycle - yeast"
"39","afm:AFUA_3G06200","Meiosis - yeast"
"40","afm:AFUA_3G06200","Ubiquitin mediated proteolysis"
"41","afm:AFUA_3G06901","Protein export"
"42","afm:AFUA_3G06901","Protein processing in endoplasmic reticulum"
"43","afm:AFUA_3G06901","Phagosome"
"44","afm:AFUA_3G09470","Valine, leucine and isoleucine degradation"
