"","Uniprot_ID","GO_Terms","eggNOG"
"1","Q59LL4","ERMES complex [GO:0032865]; integral component of mitochondrial outer membrane [GO:0031307]; SAM complex [GO:0001401]; establishment of mitochondrion localization [GO:0051654]; mitochondrial genome maintenance [GO:0000002]; mitochondrial outer membrane translocase complex assembly [GO:0070096]; mitochondrion-endoplasmic reticulum membrane tethering [GO:1990456]; phospholipid transport [GO:0015914]; protein insertion into mitochondrial outer membrane [GO:0045040]","ENOG502QUN5"
"2","Q59P87","core mediator complex [GO:0070847]; mediator complex [GO:0016592]; transcription coregulator activity [GO:0003712]; filamentous growth of a population of unicellular organisms [GO:0044182]; growth of unicellular organism as a thread of attached cells [GO:0070783]; positive regulation of single-species biofilm formation on inanimate substrate [GO:1900233]; regulation of transcription by RNA polymerase II [GO:0006357]; septum digestion after cytokinesis [GO:0000920]; single-species biofilm formation on inanimate substrate [GO:0044011]","KOG4086"
"3","Q59WJ4","chromatin [GO:0000785]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; chromosome segregation [GO:0007059]; mRNA polyadenylation [GO:0006378]","KOG0284"
"4","Q59UP6","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; cellular iron ion homeostasis [GO:0006879]","ENOG502SFDE"
"5","Q5ACN3","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"6","Q5ACP5","anchored component of membrane [GO:0031225]; cytoplasm [GO:0005737]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; intramolecular transferase activity, phosphotransferases [GO:0016868]","KOG4754"
"7","Q5A343","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms [GO:0044182]; fungal-type cell wall organization [GO:0031505]; negative regulation of flocculation [GO:0060257]",NA
"8","Q5A4X8","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]","ENOG502RZ9P"
"9","Q5A1E1","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]",NA
"10","Q5AHE8","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"11","Q5AHA4","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]","ENOG502RQ5Y"
"12","Q5AEG7","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; cell adhesion [GO:0007155]",NA
"13","Q5AD34","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"14","Q5ACL7","anchored component of membrane [GO:0031225]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; adhesion of symbiont to host [GO:0044406]; cell adhesion involved in single-species biofilm formation [GO:0043709]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms [GO:0044182]; fungal-type cell wall organization [GO:0031505]; negative regulation of filamentous growth of a population of unicellular organisms [GO:1900429]","ENOG502SASR"
"15","Q59V02","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; cell adhesion [GO:0007155]",NA
"16","Q59V01","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; cell adhesion [GO:0007155]",NA
"17","Q59L86","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]",NA
"18","Q5AA09","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]","ENOG502RQ2F"
"19","Q5AD23","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]","ENOG502RQK8"
"20","Q5A5K7","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; cell adhesion [GO:0007155]",NA
"21","Q5A5U6","anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; extracellular region [GO:0005576]; hyphal cell wall [GO:0030446]; yeast-form cell wall [GO:0030445]","ENOG502SXWZ"
"22","Q5A5U9","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]","ENOG502SXWZ"
"23","Q5ADQ7","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]; cell adhesion [GO:0007155]",NA
"24","Q5AHC0","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]","ENOG502RQJI"
"25","Q5A210","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"26","Q5AK97","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"27","Q59N10","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"28","Q5A1B3","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]",NA
"29","Q5A1B2","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]",NA
"30","Q5A1A9","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"31","Q5AJK6","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"32","Q5AA33","anchored component of membrane [GO:0031225]; cell surface [GO:0009986]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]; yeast-form cell wall [GO:0030445]","ENOG502T3NC"
"33","Q59Y11","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]","ENOG502RQ6I"
"34","G1UBC2","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; cell adhesion [GO:0007155]",NA
"35","Q59L96","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]",NA
"36","Q59QA5","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"37","Q5AJY5","anchored component of plasma membrane [GO:0046658]; cell surface [GO:0009986]; extracellular region [GO:0005576]; extracellular vesicle [GO:1903561]; fungal-type cell wall [GO:0009277]; hyphal cell wall [GO:0030446]; plasma membrane [GO:0005886]; yeast-form cell wall [GO:0030445]; 1,3-beta-glucanosyltransferase activity [GO:0042124]; cell wall (1->3)-beta-D-glucan biosynthetic process [GO:0034411]; fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process [GO:0071970]; fungal-type cell wall organization [GO:0031505]","ENOG502QRZZ"
"38","Q59MD0","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]",NA
"39","Q59L72","anchored component of membrane [GO:0031225]; fungal-type cell wall [GO:0009277]; plasma membrane [GO:0005886]","ENOG502QSTV"
"40","Q5AMJ5","anchored component of plasma membrane [GO:0046658]","ENOG502RQFB"
"41","Q5AFC2","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"42","Q59SG9","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"43","Q5AMF7","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; plasma membrane [GO:0005886]",NA
"44","Q5AG46","anchored component of membrane [GO:0031225]; plasma membrane [GO:0005886]",NA
"45","Q5AF39","anchored component of membrane [GO:0031225]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; cellular response to neutral pH [GO:0036244]; filamentous growth [GO:0030447]; filamentous growth of a population of unicellular organisms in response to neutral pH [GO:0036178]; fungal-type cell wall organization [GO:0031505]","ENOG502S42T"
