"","Gene","Pathway"
"1","hix:NTHI723_00018 kdsA (GenBank) 2-dehydro-3-deoxyphosphooctonate aldolase","Lipopolysaccharide biosynthesis"
"2","hix:NTHI723_00018 kdsA (GenBank) 2-dehydro-3-deoxyphosphooctonate aldolase","Metabolic pathways"
"3","hix:NTHI723_00018 kdsA (GenBank) 2-dehydro-3-deoxyphosphooctonate aldolase","Biosynthesis of nucleotide sugars"
"4","hix:NTHI723_00019  (GenBank) Putative 2-hydroxyacid dehydrogenase","Glycine, serine and threonine metabolism"
"5","hix:NTHI723_00019  (GenBank) Putative 2-hydroxyacid dehydrogenase","Glyoxylate and dicarboxylate metabolism"
"6","hix:NTHI723_00019  (GenBank) Putative 2-hydroxyacid dehydrogenase","Methane metabolism"
"7","hix:NTHI723_00019  (GenBank) Putative 2-hydroxyacid dehydrogenase","Metabolic pathways"
"8","hix:NTHI723_00019  (GenBank) Putative 2-hydroxyacid dehydrogenase","Biosynthesis of secondary metabolites"
"9","hix:NTHI723_00019  (GenBank) Putative 2-hydroxyacid dehydrogenase","Microbial metabolism in diverse environments"
"10","hix:NTHI723_00019  (GenBank) Putative 2-hydroxyacid dehydrogenase","Carbon metabolism"
"11","hix:NTHI723_00020 lolC (GenBank) Lipoprotein-releasing system transmembrane protein lolC","ABC transporters"
"12","hix:NTHI723_00021 bioA (GenBank) Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","Biotin metabolism"
"13","hix:NTHI723_00021 bioA (GenBank) Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","Metabolic pathways"
"14","hix:NTHI723_00021 bioA (GenBank) Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","Biosynthesis of cofactors"
"15","hix:NTHI723_00022 bioF (GenBank) 8-amino-7-oxononanoate synthase","Biotin metabolism"
"16","hix:NTHI723_00022 bioF (GenBank) 8-amino-7-oxononanoate synthase","Metabolic pathways"
"17","hix:NTHI723_00022 bioF (GenBank) 8-amino-7-oxononanoate synthase","Biosynthesis of cofactors"
"18","hix:NTHI723_00023  (GenBank) hypothetical protein","Biotin metabolism"
"19","hix:NTHI723_00023  (GenBank) hypothetical protein","Metabolic pathways"
"20","hix:NTHI723_00023  (GenBank) hypothetical protein","Biosynthesis of cofactors"
"21","hix:NTHI723_00024  (GenBank) biotin biosynthesis protein BioC","Biotin metabolism"
"22","hix:NTHI723_00024  (GenBank) biotin biosynthesis protein BioC","Metabolic pathways"
"23","hix:NTHI723_00024  (GenBank) biotin biosynthesis protein BioC","Biosynthesis of cofactors"
"24","hix:NTHI723_00025 bioD1_1 (GenBank) ATP-dependent dethiobiotin synthetase BioD 1","Biotin metabolism"
"25","hix:NTHI723_00025 bioD1_1 (GenBank) ATP-dependent dethiobiotin synthetase BioD 1","Metabolic pathways"
"26","hix:NTHI723_00025 bioD1_1 (GenBank) ATP-dependent dethiobiotin synthetase BioD 1","Biosynthesis of cofactors"
"27","hix:NTHI723_00026 lolD (GenBank) Lipoprotein-releasing system ATP-binding protein LolD","ABC transporters"
"28","hix:NTHI723_00027 lolE (GenBank) Lipoprotein-releasing system transmembrane protein lolE","ABC transporters"
"29","hix:NTHI723_00028 aroG (GenBank) Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","Phenylalanine, tyrosine and tryptophan biosynthesis"
"30","hix:NTHI723_00028 aroG (GenBank) Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","Metabolic pathways"
"31","hix:NTHI723_00028 aroG (GenBank) Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","Biosynthesis of secondary metabolites"
"32","hix:NTHI723_00028 aroG (GenBank) Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","Biosynthesis of amino acids"
"33","hix:NTHI723_00028 aroG (GenBank) Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive","Quorum sensing"
"34","hix:NTHI723_00031 kefF (GenBank) Glutathione-regulated potassium-efflux system ancillary protein kefF","Ubiquinone and other terpenoid-quinone biosynthesis"
"35","hix:NTHI723_00031 kefF (GenBank) Glutathione-regulated potassium-efflux system ancillary protein kefF","Metabolic pathways"
"36","hix:NTHI723_00031 kefF (GenBank) Glutathione-regulated potassium-efflux system ancillary protein kefF","Biosynthesis of secondary metabolites"
"37","hix:NTHI723_00031 kefF (GenBank) Glutathione-regulated potassium-efflux system ancillary protein kefF","Biosynthesis of cofactors"
"38","hix:NTHI723_00035  (GenBank) LPS biosynthesis protein","Teichoic acid biosynthesis"
"39","hix:NTHI723_00040 fabB (GenBank) 3-oxoacyl-[acyl-carrier-protein] synthase 1","Fatty acid biosynthesis"
"40","hix:NTHI723_00040 fabB (GenBank) 3-oxoacyl-[acyl-carrier-protein] synthase 1","Biotin metabolism"
"41","hix:NTHI723_00040 fabB (GenBank) 3-oxoacyl-[acyl-carrier-protein] synthase 1","Metabolic pathways"
"42","hix:NTHI723_00040 fabB (GenBank) 3-oxoacyl-[acyl-carrier-protein] synthase 1","Fatty acid metabolism"
"43","hix:NTHI723_00040 fabB (GenBank) 3-oxoacyl-[acyl-carrier-protein] synthase 1","Biosynthesis of cofactors"
"44","hix:NTHI723_00046 htrB (GenBank) Lipid A biosynthesis lauroyl acyltransferase","Lipopolysaccharide biosynthesis"
"45","hix:NTHI723_00046 htrB (GenBank) Lipid A biosynthesis lauroyl acyltransferase","Metabolic pathways"
"46","hix:NTHI723_00047 hldE (GenBank) Bifunctional protein hldE","Lipopolysaccharide biosynthesis"
"47","hix:NTHI723_00047 hldE (GenBank) Bifunctional protein hldE","Metabolic pathways"
"48","hix:NTHI723_00047 hldE (GenBank) Bifunctional protein hldE","Biosynthesis of nucleotide sugars"
"49","hix:NTHI723_00052 can (GenBank) Carbonic anhydrase 2","Nitrogen metabolism"
"50","hix:NTHI723_00052 can (GenBank) Carbonic anhydrase 2","Metabolic pathways"
"51","hix:NTHI723_00053 asnS (GenBank) Asparagine--tRNA ligase","Aminoacyl-tRNA biosynthesis"
"52","hix:NTHI723_00054 ribH (GenBank) 6,7-dimethyl-8-ribityllumazine synthase","Riboflavin metabolism"
"53","hix:NTHI723_00054 ribH (GenBank) 6,7-dimethyl-8-ribityllumazine synthase","Metabolic pathways"
"54","hix:NTHI723_00054 ribH (GenBank) 6,7-dimethyl-8-ribityllumazine synthase","Biosynthesis of secondary metabolites"
"55","hix:NTHI723_00054 ribH (GenBank) 6,7-dimethyl-8-ribityllumazine synthase","Biosynthesis of cofactors"
"56","hix:NTHI723_00056 thiL (GenBank) Thiamine-monophosphate kinase","Thiamine metabolism"
"57","hix:NTHI723_00056 thiL (GenBank) Thiamine-monophosphate kinase","Metabolic pathways"
"58","hix:NTHI723_00056 thiL (GenBank) Thiamine-monophosphate kinase","Biosynthesis of cofactors"
"59","hix:NTHI723_00057 pgpA (GenBank) Phosphatidylglycerophosphatase A","Glycerophospholipid metabolism"
"60","hix:NTHI723_00057 pgpA (GenBank) Phosphatidylglycerophosphatase A","Metabolic pathways"
"61","hix:NTHI723_00059 dapB (GenBank) Dihydrodipicolinate reductase","Monobactam biosynthesis"
"62","hix:NTHI723_00059 dapB (GenBank) Dihydrodipicolinate reductase","Lysine biosynthesis"
"63","hix:NTHI723_00059 dapB (GenBank) Dihydrodipicolinate reductase","Metabolic pathways"
"64","hix:NTHI723_00059 dapB (GenBank) Dihydrodipicolinate reductase","Biosynthesis of secondary metabolites"
"65","hix:NTHI723_00059 dapB (GenBank) Dihydrodipicolinate reductase","Microbial metabolism in diverse environments"
"66","hix:NTHI723_00059 dapB (GenBank) Dihydrodipicolinate reductase","Biosynthesis of amino acids"
"67","hix:NTHI723_00062 pheS (GenBank) Phenylalanine--tRNA ligase alpha subunit","Aminoacyl-tRNA biosynthesis"
"68","hix:NTHI723_00063 pheT (GenBank) Phenylalanine--tRNA ligase beta subunit","Aminoacyl-tRNA biosynthesis"
"69","hix:NTHI723_00067  (GenBank) Putative 5'(3')-deoxyribonucleotidase","Purine metabolism"
"70","hix:NTHI723_00067  (GenBank) Putative 5'(3')-deoxyribonucleotidase","Pyrimidine metabolism"
"71","hix:NTHI723_00067  (GenBank) Putative 5'(3')-deoxyribonucleotidase","Nicotinate and nicotinamide metabolism"
