"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","LEPA_CLOD6","Q182F4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182F4","AM180355","CAJ69354.1","lepA","lepA CD630_24670","plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; positive regulation of translation [GO:0045727]","GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727","cdf:CD630_24670","COG0481",NA
"2","LEPA_CLOD6","Q182F4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182F4","AM180355","CAJ69354.1","lepA","lepA CD630_24670","plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; positive regulation of translation [GO:0045727]","GO:0003746; GO:0003924; GO:0005525; GO:0005886; GO:0043022; GO:0045727","pdc:CDIF630_02713","COG0481",NA
"3","PFKA_CLOD6","Q180P4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180P4","AM180355","CAJ70298.1","pfkA","pfkA CD630_33950","cytoplasm [GO:0005737]; 6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; fructose 6-phosphate metabolic process [GO:0006002]","GO:0003872; GO:0005524; GO:0005737; GO:0006002; GO:0046872","cdf:CD630_33950","COG0205",NA
"4","PFKA_CLOD6","Q180P4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180P4","AM180355","CAJ70298.1","pfkA","pfkA CD630_33950","cytoplasm [GO:0005737]; 6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; fructose 6-phosphate metabolic process [GO:0006002]","GO:0003872; GO:0005524; GO:0005737; GO:0006002; GO:0046872","pdc:CDIF630_03700","COG0205",NA
"5","PCP_CLOD6","Q186N3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q186N3","AM180355","CAJ68542.1","pcp","pcp CD630_16760","cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920]","GO:0005829; GO:0016920","pdc:CDIF630_01861","COG2039",NA
"6","PCP_CLOD6","Q186N3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q186N3","AM180355","CAJ68542.1","pcp","pcp CD630_16760","cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920]","GO:0005829; GO:0016920","cdf:CD630_16760","COG2039",NA
"7","PLSX_CLOD6","Q18B41","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18B41","AM180355","CAJ68032.1","plsX","plsX CD630_11780","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","cdf:CD630_11780","COG0416",NA
"8","PLSX_CLOD6","Q18B41","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18B41","AM180355","CAJ68032.1","plsX","plsX CD630_11780","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","pdc:CDIF630_01327","COG0416",NA
"9","PLSY_CLOD6","Q182W4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182W4","AM180355","CAJ69517.1","plsY","plsY CD630_26310","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]; phospholipid biosynthetic process [GO:0008654]","GO:0005886; GO:0008654; GO:0016021; GO:0043772","pdc:CDIF630_02885","COG0344",NA
"10","PLSY_CLOD6","Q182W4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182W4","AM180355","CAJ69517.1","plsY","plsY CD630_26310","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]; phospholipid biosynthetic process [GO:0008654]","GO:0005886; GO:0008654; GO:0016021; GO:0043772","cdf:CD630_26310","COG0344",NA
"11","RS11_CLOD6","Q18CI7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CI7","AM180355","CAJ66915.1","rpsK","rpsK CD630_00960","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","cdf:CD630_00960","COG0100",NA
"12","RS11_CLOD6","Q18CI7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CI7","AM180355","CAJ66915.1","rpsK","rpsK CD630_00960","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","pdc:CDIF630_00166","COG0100",NA
"13","RS3_CLOD6","Q18CG5","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CG5","AM180355","CAJ66894.1","rpsC","rpsC CD630_00790","ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843","cdf:CD630_00790","COG0092",NA
"14","RS3_CLOD6","Q18CG5","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CG5","AM180355","CAJ66894.1","rpsC","rpsC CD630_00790","ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0019843","pdc:CDIF630_00145","COG0092",NA
"15","VATB_CLOD6","Q184E3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q184E3","AM180355","CAJ69847.1","atpB","atpB CD630_29550","ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0042777; GO:0046933","pdc:CDIF630_03238","COG1156",NA
"16","VATB_CLOD6","Q184E3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q184E3","AM180355","CAJ69847.1","atpB","atpB CD630_29550","ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0042777; GO:0046933","cdf:CD630_29550","COG1156",NA
"17","VATD_CLOD6","Q184E4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q184E4","AM180355","CAJ69846.1","atpD","atpD CD630_29540","ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0042626; GO:0042777; GO:0046933","cdf:CD630_29540","COG1394",NA
"18","VATD_CLOD6","Q184E4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q184E4","AM180355","CAJ69846.1","atpD","atpD CD630_29540","ATP binding [GO:0005524]; ATPase-coupled transmembrane transporter activity [GO:0042626]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0042626; GO:0042777; GO:0046933","pdc:CDIF630_03237","COG1394",NA
"19","VATE_CLOD6","Q184F0","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q184F0","AM180355","CAJ69851.1","atpE","atpE CD630_29580","proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0033178; GO:0042777; GO:0046933; GO:0046961","cdf:CD630_29580","COG1390",NA
"20","VATE_CLOD6","Q184F0","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q184F0","AM180355","CAJ69851.1","atpE","atpE CD630_29580","proton-transporting two-sector ATPase complex, catalytic domain [GO:0033178]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; plasma membrane ATP synthesis coupled proton transport [GO:0042777]","GO:0005524; GO:0033178; GO:0042777; GO:0046933; GO:0046961","pdc:CDIF630_03242","COG1390",NA
"21","UPP_CLOD6","Q180X8","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180X8","AM180355","CAJ70382.1","upp","upp CD630_34790","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","cdf:CD630_34790","COG0035",NA
"22","UPP_CLOD6","Q180X8","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180X8","AM180355","CAJ70382.1","upp","upp CD630_34790","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","pdc:CDIF630_03790","COG0035",NA
"23","MURD_CLOD6","Q182Y7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182Y7","AM180355","CAJ69539.1","murD","murD CD630_26530","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]","GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555","pdc:CDIF630_02907","COG0771",NA
"24","MURD_CLOD6","Q182Y7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182Y7","AM180355","CAJ69539.1","murD","murD CD630_26530","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UDP-N-acetylmuramoylalanine-D-glutamate ligase activity [GO:0008764]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]","GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0051301; GO:0071555","cdf:CD630_26530","COG0771",NA
"25","RBFA_CLOD6","Q18BH6","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18BH6","AM180355","CAJ68168.1","rbfA","rbfA CD630_13100","cytoplasm [GO:0005737]; maturation of SSU-rRNA [GO:0030490]","GO:0005737; GO:0030490","pdc:CDIF630_01466",NA,NA
"26","RS20_CLOD6","Q182G1","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182G1","AM180355","CAJ69360.1","rpsT","rpsT CD630_24730","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","cdf:CD630_24730","COG0268",NA
"27","RS20_CLOD6","Q182G1","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q182G1","AM180355","CAJ69360.1","rpsT","rpsT CD630_24730","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","pdc:CDIF630_02719","COG0268",NA
"28","SYR_CLOD6","Q189Q7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q189Q7","AM180355","CAJ67544.1","argS","argS CD630_07110","cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]","GO:0004814; GO:0005524; GO:0005737; GO:0006420","cdf:CD630_07110","COG0018",NA
"29","SYR_CLOD6","Q189Q7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q189Q7","AM180355","CAJ67544.1","argS","argS CD630_07110","cytoplasm [GO:0005737]; arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; arginyl-tRNA aminoacylation [GO:0006420]","GO:0004814; GO:0005524; GO:0005737; GO:0006420","pdc:CDIF630_00826","COG0018",NA
"30","SYP1_CLOD6","Q18CD2","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CD2","AM180355","CAJ66863.1","proS1","proS1 CD630_00490","cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]","GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433","pdc:CDIF630_00112","COG0442",NA
"31","SYP1_CLOD6","Q18CD2","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CD2","AM180355","CAJ66863.1","proS1","proS1 CD630_00490","cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]","GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433","cdf:CD630_00490","COG0442",NA
"32","SYP2_CLOD6","Q18CD7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CD7","AM180355","CAJ66864.1","proS2","proS2 CD630_00500","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]","GO:0004827; GO:0005524; GO:0005737; GO:0006433","pdc:CDIF630_00113","COG0442",NA
"33","SYP2_CLOD6","Q18CD7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CD7","AM180355","CAJ66864.1","proS2","proS2 CD630_00500","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]","GO:0004827; GO:0005524; GO:0005737; GO:0006433","cdf:CD630_00500","COG0442",NA
"34","TIG_CLOD6","Q180E9","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180E9","AM180355","CAJ70203.1","tig","tig CD630_33060","cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein folding [GO:0006457]; protein transport [GO:0015031]","GO:0003755; GO:0005737; GO:0006457; GO:0007049; GO:0015031; GO:0051301","cdf:CD630_33060","COG0544",NA
"35","TIG_CLOD6","Q180E9","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180E9","AM180355","CAJ70203.1","tig","tig CD630_33060","cytoplasm [GO:0005737]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; cell cycle [GO:0007049]; cell division [GO:0051301]; protein folding [GO:0006457]; protein transport [GO:0015031]","GO:0003755; GO:0005737; GO:0006457; GO:0007049; GO:0015031; GO:0051301","pdc:CDIF630_03607","COG0544",NA
"36","TILS_CLOD6","Q181G3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q181G3","AM180355","CAJ70466.1","tilS","tilS CD630_35600","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; tRNA modification [GO:0006400]","GO:0005524; GO:0005737; GO:0006400; GO:0016879","cdf:CD630_35600","COG0037",NA
"37","TILS_CLOD6","Q181G3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q181G3","AM180355","CAJ70466.1","tilS","tilS CD630_35600","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]; tRNA modification [GO:0006400]","GO:0005524; GO:0005737; GO:0006400; GO:0016879","pdc:CDIF630_03880","COG0037",NA
"38","RL14_CLOD6","Q18CG7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CG7","AM180355","CAJ66898.1","rplN","rplN CD630_00820","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0006412; GO:0015934; GO:0019843","cdf:CD630_00820","COG0093",NA
"39","RL14_CLOD6","Q18CG7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CG7","AM180355","CAJ66898.1","rplN","rplN CD630_00820","large ribosomal subunit [GO:0015934]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0006412; GO:0015934; GO:0019843","pdc:CDIF630_00149","COG0093",NA
"40","RSMA_CLOD6","Q181C1","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q181C1","AM180355","CAJ70427.1","rsmA","rsmA ksgA CD630_35230","cytoplasm [GO:0005737]; 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; RNA binding [GO:0003723]","GO:0003723; GO:0005737; GO:0052908","cdf:CD630_35230","COG0030",NA
"41","RSMA_CLOD6","Q181C1","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q181C1","AM180355","CAJ70427.1","rsmA","rsmA ksgA CD630_35230","cytoplasm [GO:0005737]; 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]; RNA binding [GO:0003723]","GO:0003723; GO:0005737; GO:0052908","pdc:CDIF630_03837","COG0030",NA
"42","RUVC_CLOD6","Q183P3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q183P3","AM180355","CAJ69695.1","ruvC","ruvC CD630_28070","crossover junction endodeoxyribonuclease activity [GO:0008821]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]","GO:0000287; GO:0003676; GO:0006281; GO:0006310; GO:0008821","cdf:CD630_28070","COG0817",NA
"43","RUVC_CLOD6","Q183P3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q183P3","AM180355","CAJ69695.1","ruvC","ruvC CD630_28070","crossover junction endodeoxyribonuclease activity [GO:0008821]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]","GO:0000287; GO:0003676; GO:0006281; GO:0006310; GO:0008821","pdc:CDIF630_03072","COG0817",NA
"44","RS9_CLOD6","Q18CJ5","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CJ5","AM180355","CAJ66924.1","rpsI","rpsI CD630_01050","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","pdc:CDIF630_00175","COG0103",NA
"45","RS9_CLOD6","Q18CJ5","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CJ5","AM180355","CAJ66924.1","rpsI","rpsI CD630_01050","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","cdf:CD630_01050","COG0103",NA
"46","NADA_CLOD6","Q185P4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q185P4","AM180355","CAJ69257.1","nadA","nadA CD630_23720","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]; NAD biosynthetic process [GO:0009435]","GO:0005737; GO:0008987; GO:0009435; GO:0046872; GO:0051539","cdf:CD630_23720","COG0379",NA
"47","NADA_CLOD6","Q185P4","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q185P4","AM180355","CAJ69257.1","nadA","nadA CD630_23720","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; quinolinate synthetase A activity [GO:0008987]; NAD biosynthetic process [GO:0009435]","GO:0005737; GO:0008987; GO:0009435; GO:0046872; GO:0051539","pdc:CDIF630_02612","COG0379",NA
"48","NUSB_CLOD6","Q18B61","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18B61","AM180355","CAJ68055.1","nusB","nusB CD630_12010","RNA binding [GO:0003723]; DNA-templated transcription, termination [GO:0006353]; regulation of transcription, DNA-templated [GO:0006355]; transcription antitermination [GO:0031564]","GO:0003723; GO:0006353; GO:0006355; GO:0031564","cdf:CD630_12010","COG0781",NA
"49","PGK_CLOD6","Q181T8","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q181T8","AM180355","CAJ70070.1","pgk","pgk CD630_31730","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","pdc:CDIF630_03465","COG0126",NA
"50","PGK_CLOD6","Q181T8","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q181T8","AM180355","CAJ70070.1","pgk","pgk CD630_31730","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","cdf:CD630_31730","COG0126",NA
"51","RL31_CLOD6","Q180Y7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180Y7","AM180355","CAJ70390.1","rpmE","rpmE CD630_34861 CD3486A","ribosome [GO:0005840]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:0046872","cdf:CD630_34861","COG0254",NA
"52","RL31_CLOD6","Q180Y7","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q180Y7","AM180355","CAJ70390.1","rpmE","rpmE CD630_34861 CD3486A","ribosome [GO:0005840]; metal ion binding [GO:0046872]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843; GO:0046872","pdc:CDIF630_03798","COG0254",NA
"53","RNY_CLOD6","Q18BJ3","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18BJ3","AM180355","CAJ68187.2","rny","rny CD630_13290","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; endoribonuclease activity [GO:0004521]; RNA binding [GO:0003723]; mRNA catabolic process [GO:0006402]","GO:0003723; GO:0004521; GO:0005886; GO:0006402; GO:0016021","cdf:CD630_13290","COG1418",NA
"54","RS13_CLOD6","Q18CI0","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CI0","AM180355","CAJ66914.1","rpsM","rpsM CD630_00950","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]","GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843","cdf:CD630_00950","COG0099",NA
"55","RS13_CLOD6","Q18CI0","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CI0","AM180355","CAJ66914.1","rpsM","rpsM CD630_00950","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]","GO:0000049; GO:0003735; GO:0005840; GO:0006412; GO:0019843","pdc:CDIF630_00165","COG0099",NA
"56","RS17_CLOD6","Q18CG8","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CG8","AM180355","CAJ66897.1","rpsQ","rpsQ CD630_00810","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","cdf:CD630_00810","COG0186",NA
"57","RS17_CLOD6","Q18CG8","Clostridioides difficile (strain 630) (Peptoclostridium difficile)","272563","Q18CG8","AM180355","CAJ66897.1","rpsQ","rpsQ CD630_00810","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412; GO:0019843","pdc:CDIF630_00148","COG0186",NA
