"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","PDXJ_BURPS","Q3V7S9","Burkholderia pseudomallei (strain K96243)","272560","Q3V7S9","BX571965","CAH36429.1","pdxJ","pdxJ BPSL2426","cytoplasm [GO:0005737]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033856","bps:BPSL2426","COG0854",NA
"2","PDXH_BURPS","Q63WN7","Burkholderia pseudomallei (strain K96243)","272560","Q63WN7","BX571965","CAH34846.1","pdxH","pdxH BPSL0854","FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxine biosynthetic process [GO:0008615]","GO:0004733; GO:0008615; GO:0010181","bps:BPSL0854","COG0259",NA
"3","PLSX_BURPS","Q63S82","Burkholderia pseudomallei (strain K96243)","272560","Q63S82","BX571965","CAH36446.1","plsX","plsX BPSL2443","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","bps:BPSL2443","COG0416",NA
"4","PLSY_BURPS","Q63WM5","Burkholderia pseudomallei (strain K96243)","272560","Q63WM5","BX571965","CAH34858.1","plsY","plsY BPSL0866","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; acyl-phosphate glycerol-3-phosphate acyltransferase activity [GO:0043772]; phospholipid biosynthetic process [GO:0008654]","GO:0005886; GO:0008654; GO:0016021; GO:0043772","bps:BPSL0866","COG0344",NA
"5","PYRH_BURPS","Q63T14","Burkholderia pseudomallei (strain K96243)","272560","Q63T14","BX571965","CAH36159.1","pyrH","pyrH smbA BPSL2157","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; UMP kinase activity [GO:0033862]; 'de novo' CTP biosynthetic process [GO:0044210]","GO:0005524; GO:0005737; GO:0033862; GO:0044210","bps:BPSL2157","COG0528",NA
"6","RS12_BURPS","Q63Q06","Burkholderia pseudomallei (strain K96243)","272560","Q63Q06","BX571965","CAH37229.1","rpsL","rpsL BPSL3218","small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]","GO:0000049; GO:0003735; GO:0006412; GO:0015935; GO:0019843","bps:BPSL3218","COG0048",NA
"7","SSRP_BURPS","Q63T34","Burkholderia pseudomallei (strain K96243)","272560","Q63T34","BX571965","CAH36139.1","smpB","smpB BPSL2137","cytoplasm [GO:0005737]; RNA binding [GO:0003723]; trans-translation [GO:0070929]","GO:0003723; GO:0005737; GO:0070929","bps:BPSL2137","COG0691",NA
"8","SURA_BURPS","Q63X78","Burkholderia pseudomallei (strain K96243)","272560","Q63X78","BX571965","CAH34652.1","surA","surA BPSL0659","outer membrane-bounded periplasmic space [GO:0030288]; peptide binding [GO:0042277]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; unfolded protein binding [GO:0051082]; Gram-negative-bacterium-type cell outer membrane assembly [GO:0043165]; maintenance of stationary phase [GO:0060274]; protein folding [GO:0006457]; protein stabilization [GO:0050821]","GO:0003755; GO:0006457; GO:0030288; GO:0042277; GO:0043165; GO:0050821; GO:0051082; GO:0060274","bps:BPSL0659","COG0760",NA
"9","UREE_BURPS","Q63RL2","Burkholderia pseudomallei (strain K96243)","272560","Q63RL2","BX571965","CAH36668.1","ureE","ureE BPSL2660","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]","GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003","bps:BPSL2660","COG2371",NA
"10","UREF_BURPS","Q63RL1","Burkholderia pseudomallei (strain K96243)","272560","Q63RL1","BX571965","CAH36669.1","ureF","ureF BPSL2661","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; nitrogen compound metabolic process [GO:0006807]","GO:0005737; GO:0006807; GO:0016151","bps:BPSL2661","COG0830",NA
