"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","MIAB_STAAT","A8Z1W3","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z1W3","CP000730","ABX29238.1","miaB","miaB USA300HOU_1224","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; methylthiotransferase activity [GO:0035596]; tRNA modification [GO:0006400]","GO:0005737; GO:0006400; GO:0035596; GO:0046872; GO:0051539","sax:USA300HOU_1224",NA,NA
"2","PGK_STAAT","A8Z1A1","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z1A1","CP000730","ABX28824.1","pgk","pgk USA300HOU_0803","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","sax:USA300HOU_0803",NA,NA
"3","PCP_STAAT","A8Z5J1","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z5J1","CP000730","ABX30678.1","pcp","pcp USA300HOU_2692","cytosol [GO:0005829]; pyroglutamyl-peptidase activity [GO:0016920]","GO:0005829; GO:0016920","sax:USA300HOU_2692",NA,NA
"4","PEPT_STAAT","A8Z018","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z018","CP000730","ABX28791.1","pepT","pepT USA300HOU_0770","cytoplasm [GO:0005737]; metallopeptidase activity [GO:0008237]; tripeptide aminopeptidase activity [GO:0045148]; zinc ion binding [GO:0008270]; peptide catabolic process [GO:0043171]","GO:0005737; GO:0008237; GO:0008270; GO:0043171; GO:0045148","sax:USA300HOU_0770",NA,NA
"5","PCRB_STAAT","A8Z2S0","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z2S0","CP000730","ABX29909.1","pcrB","pcrB USA300HOU_1907","magnesium ion binding [GO:0000287]; polyprenyltransferase activity [GO:0002094]; glycerophospholipid biosynthetic process [GO:0046474]","GO:0000287; GO:0002094; GO:0046474","sax:USA300HOU_1907",NA,NA
"6","PLSX_STAAT","A8Z3R4","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z3R4","CP000730","ABX29180.1","plsX","plsX USA300HOU_1165","cytoplasm [GO:0005737]; phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811]; fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654]","GO:0005737; GO:0006633; GO:0008654; GO:0043811","sax:USA300HOU_1165",NA,NA
"7","SPLA_STAAT","A8Z4N9","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z4N9","CP000730","ABX29809.1","splA","splA USA300HOU_1806","extracellular region [GO:0005576]; serine-type endopeptidase activity [GO:0004252]","GO:0004252; GO:0005576","sax:USA300HOU_1806",NA,NA
"8","URED_STAAT","A8Z391","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z391","CP000730","ABX30268.1","ureD","ureD USA300HOU_2275","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; nitrogen compound metabolic process [GO:0006807]","GO:0005737; GO:0006807; GO:0016151","sax:USA300HOU_2275",NA,NA
"9","UREE_STAAT","A8Z388","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8Z388","CP000730","ABX30265.1","ureE","ureE USA300HOU_2272","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; protein-containing complex assembly [GO:0065003]; urea metabolic process [GO:0019627]","GO:0005737; GO:0006457; GO:0016151; GO:0019627; GO:0051082; GO:0065003","sax:USA300HOU_2272",NA,NA
"10","UPP_STAAT","A8YY79","Staphylococcus aureus (strain USA300 / TCH1516)","451516","A8YY79","CP000730","ABX30099.1","upp","upp USA300HOU_2102","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","sax:USA300HOU_2102",NA,NA
