"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"P46071","cytoplasmic vesicle [GO:0031410]; cysteine-type peptidase activity [GO:0008234]; hydroxymethyl-, formyl- and related transferase activity [GO:0016742]; biosynthetic process [GO:0009058]","COG1974",NA
"2",NA,NA,NA,"V6C114",NA,NA,NA
"3","PG_0001","dnaA","(GenBank) chromosomal replication initiator protein DnaA","Q7MXZ1","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]","COG0593","Two-component system"
"4","PG_0002","","(GenBank) hexapeptide transferase family protein","Q7MXZ0","transferase activity [GO:0016740]","COG0110","Amino sugar and nucleotide sugar metabolism, O-Antigen nucleotide sugar biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"5","PG_0003",NA,NA,"Q7MXY9","integral component of membrane [GO:0016021]; acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]","COG3274",NA
"6","PG_0004","","(GenBank) transcriptional regulator, Sir2 family","Q7MXY8","cytoplasm [GO:0005737]; NAD+ binding [GO:0070403]; NAD-dependent protein deacetylase activity [GO:0034979]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; transferase activity [GO:0016740]","COG0846","Nicotinate and nicotinamide metabolism, Metabolic pathways"
"7","PG_0005",NA,NA,"Q7MXY7","integral component of membrane [GO:0016021]; hydrolase activity [GO:0016787]","COG1408",NA
"8","PG_0006",NA,NA,"Q7MXY6","integral component of membrane [GO:0016021]; antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]","COG0534",NA
"9","PG_0007",NA,NA,"Q7MXY5",NA,NA,NA
"10","PG_0008",NA,NA,"Q7M7A7","nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]","COG2801",NA
"11","PG_0009",NA,NA,"Q7M7E7",NA,"COG2963",NA
"12","PG_0010",NA,NA,"Q7MXY4","ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; peptidase activity [GO:0008233]","COG0542",NA
"13","PG_0011","","(GenBank) glycosyl hydrolase, family 3","Q7MXY3","hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]","COG1680","Amino sugar and nucleotide sugar metabolism, Metabolic pathways, beta-Lactam resistance"
"14","PG_0011","","(GenBank) glycosyl hydrolase, family 3","Q7MXY3","hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]","COG1472","Amino sugar and nucleotide sugar metabolism, Metabolic pathways, beta-Lactam resistance"
"15","PG_0012","","(GenBank) L-threonine-O-3-phosphate decarboxylase, putative","Q7MXY2","catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]; biosynthetic process [GO:0009058]","COG0079","Porphyrin metabolism, Metabolic pathways"
"16","PG_0013","","(GenBank) conserved hypothetical protein","Q7MXY1","2-phosphosulfolactate phosphatase activity [GO:0050532]; magnesium ion binding [GO:0000287]","COG2045","Methane metabolism, Metabolic pathways, Microbial metabolism in diverse environments, Biosynthesis of cofactors"
"17","PG_0016","","(GenBank) sigma-54 dependent DNA-binding response regulator","Q7MXY0","ATP binding [GO:0005524]; sequence-specific DNA binding [GO:0043565]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]","COG2204","Two-component system"
"18","PG_0017","","(GenBank) sensor histidine kinase","Q7MXX9","integral component of membrane [GO:0016021]; kinase activity [GO:0016301]","COG5000","Two-component system"
"19","PG_0018",NA,NA,"Q7MXX8",NA,"COG1470",NA
"20","PG_0019",NA,NA,"Q7M796","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG3385",NA
"21","PG_0020",NA,NA,"Q7MXX7","DNA-binding transcription factor activity [GO:0003700]","COG1846",NA
"22","PG_0021",NA,NA,"Q7MXX6","flavin adenine dinucleotide binding [GO:0050660]; tRNA dihydrouridine synthase activity [GO:0017150]","COG0042",NA
"23","PG_0022",NA,NA,"Q7MXX5","integral component of membrane [GO:0016021]; secondary active sulfate transmembrane transporter activity [GO:0008271]","COG0659",NA
"24","PG_0024",NA,NA,"Q7MXX4","cytoplasm [GO:0005737]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; negative regulation of transcription, DNA-templated [GO:0045892]; response to redox state [GO:0051775]","COG2344",NA
"25","PG_0025",NA,NA,"Q7MXX3","hydrolase activity [GO:0016787]","COG0179",NA
"26","PG_0026",NA,NA,"Q7MXX2","cysteine-type peptidase activity [GO:0008234]","COG1572",NA
"27","PG_0027",NA,NA,"Q7MXX1",NA,"COG2067",NA
"28","PG_0028","ispF","(GenBank) 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase","Q7MXX0","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; metal ion binding [GO:0046872]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]","COG0245","Terpenoid backbone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
"29","PG_0030","","(GenBank) cytidine deaminase","Q7MXW9","cytidine deaminase activity [GO:0004126]; deoxycytidine deaminase activity [GO:0047844]; zinc ion binding [GO:0008270]","COG0295","Pyrimidine metabolism, Metabolic pathways, Nucleotide metabolism"
"30","PG_0031",NA,NA,"Q7MXW8",NA,NA,NA
"31","PG_0032","","(GenBank) beta-mannosidase, putative","Q7MXW7","cysteine-type peptidase activity [GO:0008234]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]","COG3250","Other glycan degradation"
"32","PG_0033",NA,NA,"Q7MXW6","integral component of membrane [GO:0016021]","COG1322",NA
"33","PG_0034",NA,NA,"Q7MXW5","protein-disulfide reductase activity [GO:0015035]; glycerol ether metabolic process [GO:0006662]","COG3118",NA
"34","PG_0035","dnaE","(GenBank) DNA polymerase III, alpha subunit","Q7MXW4","3'-5' exonuclease activity [GO:0008408]; DNA-directed DNA polymerase activity [GO:0003887]; DNA replication [GO:0006260]","COG0587","DNA replication, Mismatch repair, Homologous recombination"
"35","PG_0037","rplS","(GenBank) ribosomal protein L19","Q7MXW3","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","COG0335","Ribosome"
"36","PG_0039",NA,NA,"Q7MXW2",NA,NA,NA
"37","PG_0040",NA,NA,"Q7M7E7",NA,"COG2963",NA
"38","PG_0041",NA,NA,"Q7MXW1","nucleic acid binding [GO:0003676]; DNA integration [GO:0015074]","COG2801",NA
"39","PG_0042","glyA","(GenBank) serine hydroxymethyltransferase","Q7MXW0","cytoplasm [GO:0005737]; glycine hydroxymethyltransferase activity [GO:0004372]; pyridoxal phosphate binding [GO:0030170]; glycine biosynthetic process from serine [GO:0019264]; tetrahydrofolate interconversion [GO:0035999]","COG0112","Glycine, serine and threonine metabolism, Cyanoamino acid metabolism, Glyoxylate and dicarboxylate metabolism, One carbon pool by folate, Methane metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Microbial metabolism in diverse environments, Carbon metabolism, Biosynthesis of amino acids, Biosynthesis of cofactors"
"40","PG_0043","nahA","(GenBank) beta-hexosaminidase","P49008","cell outer membrane [GO:0009279]; beta-N-acetylhexosaminidase activity [GO:0004563]; N-acetyl-beta-D-galactosaminidase activity [GO:0102148]; carbohydrate metabolic process [GO:0005975]","COG3525","Other glycan degradation, Amino sugar and nucleotide sugar metabolism, Sphingolipid metabolism, Metabolic pathways"
