"","Gene","Pathway"
"1","bte:BTH_I0001","Glutathione metabolism"
"2","bte:BTH_I0001","Metabolic pathways"
"3","bte:BTH_I0007","Bacterial secretion system"
"4","bte:BTH_I0008","Bacterial secretion system"
"5","bte:BTH_I0009","Bacterial secretion system"
"6","bte:BTH_I0010","Bacterial secretion system"
"7","bte:BTH_I0011","Bacterial secretion system"
"8","bte:BTH_I0012","Bacterial secretion system"
"9","bte:BTH_I0013","Bacterial secretion system"
"10","bte:BTH_I0014","Bacterial secretion system"
"11","bte:BTH_I0015","Bacterial secretion system"
"12","bte:BTH_I0016","Bacterial secretion system"
"13","bte:BTH_I0017","Bacterial secretion system"
"14","bte:BTH_I0026","Flagellar assembly"
"15","bte:BTH_I0027","Bacterial chemotaxis"
"16","bte:BTH_I0027","Flagellar assembly"
"17","bte:BTH_I0028","Bacterial chemotaxis"
"18","bte:BTH_I0028","Flagellar assembly"
"19","bte:BTH_I0029","Flagellar assembly"
"20","bte:BTH_I0030","Flagellar assembly"
"21","bte:BTH_I0031","Flagellar assembly"
"22","bte:BTH_I0032","Flagellar assembly"
"23","bte:BTH_I0035","Sulfur metabolism"
"24","bte:BTH_I0035","ABC transporters"
"25","bte:BTH_I0036","Sulfur metabolism"
"26","bte:BTH_I0036","ABC transporters"
"27","bte:BTH_I0037","Sulfur metabolism"
"28","bte:BTH_I0037","ABC transporters"
"29","bte:BTH_I0038","Two-component system"
"30","bte:BTH_I0039","Two-component system"
"31","bte:BTH_I0045","ABC transporters"
"32","bte:BTH_I0045","Quorum sensing"
"33","bte:BTH_I0046","ABC transporters"
"34","bte:BTH_I0046","Quorum sensing"
"35","bte:BTH_I0047","ABC transporters"
"36","bte:BTH_I0047","Quorum sensing"
"37","bte:BTH_I0048","ABC transporters"
"38","bte:BTH_I0048","Quorum sensing"
"39","bte:BTH_I0049","ABC transporters"
"40","bte:BTH_I0049","Quorum sensing"
"41","bte:BTH_I0050","Tyrosine metabolism"
"42","bte:BTH_I0050","Phenylalanine metabolism"
"43","bte:BTH_I0050","Styrene degradation"
"44","bte:BTH_I0050","Metabolic pathways"
"45","bte:BTH_I0050","Microbial metabolism in diverse environments"
"46","bte:BTH_I0053","Butanoate metabolism"
"47","bte:BTH_I0053","Biosynthesis of secondary metabolites"
"48","bte:BTH_I0061","Fatty acid degradation"
"49","bte:BTH_I0061","Valine, leucine and isoleucine degradation"
"50","bte:BTH_I0061","Lysine degradation"
"51","bte:BTH_I0061","Benzoate degradation"
"52","bte:BTH_I0061","Tryptophan metabolism"
"53","bte:BTH_I0061","Pyruvate metabolism"
"54","bte:BTH_I0061","Glyoxylate and dicarboxylate metabolism"
"55","bte:BTH_I0061","Butanoate metabolism"
"56","bte:BTH_I0061","Terpenoid backbone biosynthesis"
"57","bte:BTH_I0061","Metabolic pathways"
