"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","PDXJ_PORGI","Q51843","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q51843","X97228","CAA65867.1","pdxJ","pdxJ PG_0630","cytoplasm [GO:0005737]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033856","pgi:PG_0630","COG0854",NA
"2","PDXJ_PORGI","Q51843","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q51843","X97228","AAQ65814.1","pdxJ","pdxJ PG_0630","cytoplasm [GO:0005737]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033856","pgi:PG_0630","COG0854",NA
"3","PDXJ_PORGI","Q51843","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q51843","AE015924","CAA65867.1","pdxJ","pdxJ PG_0630","cytoplasm [GO:0005737]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033856","pgi:PG_0630","COG0854",NA
"4","PDXJ_PORGI","Q51843","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q51843","AE015924","AAQ65814.1","pdxJ","pdxJ PG_0630","cytoplasm [GO:0005737]; pyridoxine 5'-phosphate synthase activity [GO:0033856]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033856","pgi:PG_0630","COG0854",NA
"5","PDXH_PORGI","Q7MU50","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q7MU50","AE015924","AAQ66723.1","pdxH","pdxH PG_1714","FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733]; pyridoxine biosynthetic process [GO:0008615]","GO:0004733; GO:0008615; GO:0010181","pgi:PG_1714","COG0259",NA
"6","PDXB_PORGI","Q7MV70","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q7MV70","AE015924","AAQ66310.1","pdxB","pdxB PG_1220","cytoplasm [GO:0005737]; 4-phosphoerythronate dehydrogenase activity [GO:0033711]; NAD binding [GO:0051287]; pyridoxine biosynthetic process [GO:0008615]","GO:0005737; GO:0008615; GO:0033711; GO:0051287","pgi:PG_1220","COG0111",NA
"7","NHAA_PORGI","Q7MTR7","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q7MTR7","AE015924","AAQ66863.1","nhaA","nhaA PG_1877","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; antiporter activity [GO:0015297]; sodium ion transmembrane transporter activity [GO:0015081]; regulation of pH [GO:0006885]","GO:0005886; GO:0006885; GO:0015081; GO:0015297; GO:0016021","pgi:PG_1877","COG3004",NA
"8","RS19_PORGI","Q7MTL7","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q7MTL7","AE015924","AAQ66915.1","rpsS","rpsS PG_1934","small ribosomal subunit [GO:0015935]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0006412; GO:0015935; GO:0019843","pgi:PG_1934","COG0185",NA
"9","UVRC_PORGI","Q7MTG8","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","Q7MTG8","AE015924","AAQ66964.1","uvrC","uvrC PG_1993","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432","pgi:PG_1993","COG0322",NA
"10","UPP_PORGI","P0C939","Porphyromonas gingivalis (strain ATCC BAA-308 / W83)","242619","P0C939","AE015924","AAQ65919.1","upp","upp PG_0752","GTP binding [GO:0005525]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]","GO:0004845; GO:0005525; GO:0009116; GO:0044206","pgi:PG_0752","COG0035",NA
