"","Gene_Locus_ID","Gene_Symbol","Gene_Function","KEGG_Pathway"
"1","G655_00005","dnaA","(GenBank) chromosomal replication initiation protein","Two-component system"
"2","G655_00010","","(GenBank) DNA polymerase III subunit beta","DNA replication, Mismatch repair, Homologous recombination"
"3","G655_00015","recF","(GenBank) recombination protein F","Homologous recombination"
"4","G655_00025","","(GenBank) phospholipid/glycerol acyltransferase","Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
"5","G655_00030","","(GenBank) D,D-heptose 1,7-bisphosphate phosphatase","Lipopolysaccharide biosynthesis, Metabolic pathways, Biosynthesis of nucleotide sugars"
"6","G655_00040","glyS","(GenBank) glycyl-tRNA ligase subunit beta","Aminoacyl-tRNA biosynthesis"
"7","G655_00045","glyQ","(GenBank) glycyl-tRNA ligase subunit alpha","Aminoacyl-tRNA biosynthesis"
"8","G655_00050","","(GenBank) DNA-3-methyladenine glycosidase I","Base excision repair"
"9","G655_00055","","(GenBank) lipid A biosynthesis lauroyl acyltransferase","Lipopolysaccharide biosynthesis, Metabolic pathways"
"10","G655_00090","fmt","(GenBank) methionyl-tRNA formyltransferase","One carbon pool by folate, Aminoacyl-tRNA biosynthesis, Metabolic pathways"
"11","G655_00120","","(GenBank) coproporphyrinogen III oxidase","Porphyrin metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of cofactors"
"12","G655_00125","aroE","(GenBank) shikimate 5-dehydrogenase","Phenylalanine, tyrosine and tryptophan biosynthesis, Biosynthesis of various plant secondary metabolites, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"13","G655_00150","","(GenBank) hypothetical protein","ABC transporters"
"14","G655_00175","","(GenBank) two-component response regulator","Two-component system"
"15","G655_00180","trpA","(GenBank) tryptophan synthase subunit alpha","Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
