"","Gene","Pathway"
"1","hin:HI_0001","Glycolysis / Gluconeogenesis"
"2","hin:HI_0001","Metabolic pathways"
"3","hin:HI_0001","Biosynthesis of secondary metabolites"
"4","hin:HI_0001","Microbial metabolism in diverse environments"
"5","hin:HI_0001","Carbon metabolism"
"6","hin:HI_0001","Biosynthesis of amino acids"
"7","hin:HI_0002","Fatty acid biosynthesis"
"8","hin:HI_0002","Fatty acid degradation"
"9","hin:HI_0002","Metabolic pathways"
"10","hin:HI_0002","Fatty acid metabolism"
"11","hin:HI_0002","Quorum sensing"
"12","hin:HI_0007","Glyoxylate and dicarboxylate metabolism"
"13","hin:HI_0007","Methane metabolism"
"14","hin:HI_0007","Metabolic pathways"
"15","hin:HI_0007","Microbial metabolism in diverse environments"
"16","hin:HI_0007","Carbon metabolism"
"17","hin:HI_0008","Glyoxylate and dicarboxylate metabolism"
"18","hin:HI_0008","Methane metabolism"
"19","hin:HI_0008","Metabolic pathways"
"20","hin:HI_0008","Microbial metabolism in diverse environments"
"21","hin:HI_0008","Carbon metabolism"
"22","hin:HI_0011","DNA replication"
"23","hin:HI_0011","Mismatch repair"
"24","hin:HI_0011","Homologous recombination"
"25","hin:HI_0015","Protein export"
"26","hin:HI_0018","Base excision repair"
"27","hin:HI_0021","Two-component system"
"28","hin:HI_0022","Two-component system"
"29","hin:HI_0023","Two-component system"
"30","hin:HI_0024","Two-component system"
"31","hin:HI_0025","Two-component system"
"32","hin:HI_0026","Lipoic acid metabolism"
"33","hin:HI_0026","Metabolic pathways"
"34","hin:HI_0026","Biosynthesis of cofactors"
"35","hin:HI_0027","Lipoic acid metabolism"
"36","hin:HI_0027","Metabolic pathways"
"37","hin:HI_0027","Biosynthesis of cofactors"
"38","hin:HI_0029","Peptidoglycan biosynthesis"
"39","hin:HI_0029","Metabolic pathways"
"40","hin:HI_0032","Peptidoglycan biosynthesis"
"41","hin:HI_0032","Metabolic pathways"
"42","hin:HI_0032","beta-Lactam resistance"
"43","hin:HI_0036","ABC transporters"
"44","hin:HI_0041","Base excision repair"
"45","hin:HI_0047","Pentose phosphate pathway"
"46","hin:HI_0047","Glyoxylate and dicarboxylate metabolism"
"47","hin:HI_0047","Metabolic pathways"
"48","hin:HI_0047","Microbial metabolism in diverse environments"
"49","hin:HI_0047","Carbon metabolism"
"50","hin:HI_0049","Pentose phosphate pathway"
"51","hin:HI_0049","Metabolic pathways"
"52","hin:HI_0049","Microbial metabolism in diverse environments"
"53","hin:HI_0049","Carbon metabolism"
"54","hin:HI_0055","Pentose and glucuronate interconversions"
"55","hin:HI_0055","Metabolic pathways"
"56","hin:HI_0057","Nucleotide excision repair"
"57","hin:HI_0058","Lipopolysaccharide biosynthesis"
"58","hin:HI_0058","Metabolic pathways"
"59","hin:HI_0058","Biosynthesis of nucleotide sugars"
"60","hin:HI_0059","Lipopolysaccharide biosynthesis"
"61","hin:HI_0059","Metabolic pathways"
"62","hin:HI_0060","ABC transporters"
"63","hin:HI_0063","RNA degradation"
"64","hin:HI_0064","Folate biosynthesis"
"65","hin:HI_0064","Metabolic pathways"
"66","hin:HI_0064","Biosynthesis of cofactors"
"67","hin:HI_0066","Cationic antimicrobial peptide (CAMP) resistance"
"68","hin:HI_0067","Mismatch repair"
"69","hin:HI_0068","Metabolic pathways"
"70","hin:HI_0068","Biosynthesis of secondary metabolites"
"71","hin:HI_0072","Nicotinate and nicotinamide metabolism"
"72","hin:HI_0072","Metabolic pathways"
"73","hin:HI_0072","Biosynthesis of cofactors"
"74","hin:HI_0075","Purine metabolism"
"75","hin:HI_0075","Pyrimidine metabolism"
"76","hin:HI_0075","Metabolic pathways"
"77","hin:HI_0076","Biosynthesis of unsaturated fatty acids"
"78","hin:HI_0078","Aminoacyl-tRNA biosynthesis"
"79","hin:HI_0085","Pyruvate metabolism"
"80","hin:HI_0085","Metabolic pathways"
"81","hin:HI_0085","Microbial metabolism in diverse environments"
"82","hin:HI_0086","Cysteine and methionine metabolism"
"83","hin:HI_0086","Selenocompound metabolism"
"84","hin:HI_0086","Sulfur metabolism"
"85","hin:HI_0086","Metabolic pathways"
"86","hin:HI_0086","Biosynthesis of secondary metabolites"
"87","hin:HI_0086","Biosynthesis of amino acids"
"88","hin:HI_0087","Glycine, serine and threonine metabolism"
"89","hin:HI_0087","Vitamin B6 metabolism"
"90","hin:HI_0087","Metabolic pathways"
"91","hin:HI_0087","Biosynthesis of secondary metabolites"
"92","hin:HI_0087","Microbial metabolism in diverse environments"
"93","hin:HI_0087","Biosynthesis of amino acids"
"94","hin:HI_0088","Glycine, serine and threonine metabolism"
"95","hin:HI_0088","Metabolic pathways"
"96","hin:HI_0088","Biosynthesis of secondary metabolites"
"97","hin:HI_0088","Microbial metabolism in diverse environments"
"98","hin:HI_0088","Biosynthesis of amino acids"
"99","hin:HI_0089","Glycine, serine and threonine metabolism"
"100","hin:HI_0089","Monobactam biosynthesis"
"101","hin:HI_0089","Cysteine and methionine metabolism"
"102","hin:HI_0089","Lysine biosynthesis"
"103","hin:HI_0089","Metabolic pathways"
"104","hin:HI_0089","Biosynthesis of secondary metabolites"
"105","hin:HI_0089","Microbial metabolism in diverse environments"
"106","hin:HI_0089","Biosynthesis of amino acids"
"107","hin:HI_0091","Glycine, serine and threonine metabolism"
"108","hin:HI_0091","Glycerolipid metabolism"
"109","hin:HI_0091","Glyoxylate and dicarboxylate metabolism"
"110","hin:HI_0091","Metabolic pathways"
"111","hin:HI_0091","Biosynthesis of secondary metabolites"
"112","hin:HI_0091","Microbial metabolism in diverse environments"
"113","hin:HI_0097","ABC transporters"
"114","hin:HI_0098","ABC transporters"
"115","hin:HI_0099","ABC transporters"
"116","hin:HI_0102","Lysine biosynthesis"
"117","hin:HI_0102","Metabolic pathways"
"118","hin:HI_0102","Microbial metabolism in diverse environments"
"119","hin:HI_0102","Biosynthesis of amino acids"
"120","hin:HI_0106","Quorum sensing"
"121","hin:HI_0106","Protein export"
"122","hin:HI_0106","Bacterial secretion system"
"123","hin:HI_0110","Aminoacyl-tRNA biosynthesis"
"124","hin:HI_0111","Glutathione metabolism"
"125","hin:HI_0111","Metabolic pathways"
"126","hin:HI_0119","ABC transporters"
"127","hin:HI_0122","Cysteine and methionine metabolism"
"128","hin:HI_0122","Selenocompound metabolism"
"129","hin:HI_0122","Metabolic pathways"
"130","hin:HI_0122","Biosynthesis of secondary metabolites"
"131","hin:HI_0122","Biosynthesis of amino acids"
"132","hin:HI_0123","Glycerophospholipid metabolism"
"133","hin:HI_0123","Metabolic pathways"
"134","hin:HI_0124","Oxidative phosphorylation"
"135","hin:HI_0126","ABC transporters"
"136","hin:HI_0129","ABC transporters"
"137","hin:HI_0131","ABC transporters"
"138","hin:HI_0132","Pyrimidine metabolism"
"139","hin:HI_0132","Metabolic pathways"
"140","hin:HI_0133","Pyrimidine metabolism"
"141","hin:HI_0133","Metabolic pathways"
"142","hin:HI_0137","DNA replication"
"143","hin:HI_0137","Mismatch repair"
"144","hin:HI_0137","Homologous recombination"
"145","hin:HI_0138","DNA replication"
"146","hin:HI_0140","Amino sugar and nucleotide sugar metabolism"
"147","hin:HI_0140","Metabolic pathways"
"148","hin:HI_0141","Amino sugar and nucleotide sugar metabolism"
"149","hin:HI_0141","Metabolic pathways"
"150","hin:HI_0142","Amino sugar and nucleotide sugar metabolism"
"151","hin:HI_0142","Metabolic pathways"
"152","hin:HI_0144","Amino sugar and nucleotide sugar metabolism"
"153","hin:HI_0144","Metabolic pathways"
"154","hin:HI_0145","Amino sugar and nucleotide sugar metabolism"
"155","hin:HI_0145","Metabolic pathways"
"156","hin:HI_0152","Pantothenate and CoA biosynthesis"
"157","hin:HI_0152","Metabolic pathways"
"158","hin:HI_0154","Metabolic pathways"
"159","hin:HI_0154","Biosynthesis of secondary metabolites"
"160","hin:HI_0155","Fatty acid biosynthesis"
"161","hin:HI_0155","Biotin metabolism"
