,ctrl_A,ctrl_A_TEX,ctrl_B,ctrl_B_TEX,inf_A,inf_A_TEX,inf_B,inf_B_TEX
ID=cds-AAG03391.1;Parent=gene-PA0001;Dbxref=NCBI_GP:AAG03391.1;Name=AAG03391.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=dnaA;product=chromosomal replication initiator protein DnaA;protein_id=AAG03391.1;transl_table=11,3049,10391.5,2327,9833.2,2642,13367.4,1780.04,13140.33333
ID=cds-AAG03392.1;Parent=gene-PA0002;Dbxref=NCBI_GP:AAG03392.1;Name=AAG03392.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=dnaN;product=DNA polymerase III%2C beta chain;protein_id=AAG03392.1;transl_table=11,1796.083333,600.7261905,1350,631.4444444,1189.25,412.1984127,727.0833333,430.3095238
ID=cds-AAG03393.1;Parent=gene-PA0003;Dbxref=NCBI_GP:AAG03393.1;Name=AAG03393.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=recF;product=RecF protein;protein_id=AAG03393.1;transl_table=11,1498.25,10825,1174,10821,935,10493,620,10657
ID=cds-AAG03394.1;Parent=gene-PA0004;Dbxref=NCBI_GP:AAG03394.1;Name=AAG03394.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=gyrB;product=DNA gyrase subunit B;protein_id=AAG03394.1;transl_table=11,2865,1155.2,2280,1134.844444,1585,751.6428571,940,683.3333333
ID=cds-AAG03395.1;Parent=gene-PA0005;Dbxref=NCBI_GP:AAG03395.1;Name=AAG03395.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=lptA;product=lysophosphatidic acid acyltransferase%2C LptA;protein_id=AAG03395.1;transl_table=11,325,492.1666667,290,497,204,561,113,465
ID=cds-AAG03396.1;Parent=gene-PA0006;Dbxref=NCBI_GP:AAG03396.1;Name=AAG03396.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03396.1;transl_table=11,344,5736,268,5841,286,4473.166667,212,4076
ID=cds-AAG03397.1;Parent=gene-PA0007;Dbxref=NCBI_GP:AAG03397.1;Name=AAG03397.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03397.1;transl_table=11,153,1312,112,1408.125,75.16666667,886,45,757
ID=cds-AAG03398.1;Parent=gene-PA0008;Dbxref=NCBI_GP:AAG03398.1;Name=AAG03398.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=glyS;product=glycyl-tRNA synthetase beta chain;protein_id=AAG03398.1;transl_table=11,1192,561.2,923,542,826,470.2261905,570.2,467.0952381
ID=cds-AAG03399.1;Parent=gene-PA0009;Dbxref=NCBI_GP:AAG03399.1;Name=AAG03399.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=glyQ;product=glycyl-tRNA synthetase alpha chain;protein_id=AAG03399.1;transl_table=11,1118,2295,959,2403.285714,951,2161.125,688,2340
ID=cds-AAG03400.1;Parent=gene-PA0010;Dbxref=NCBI_GP:AAG03400.1;Name=AAG03400.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=tag;product=DNA-3-methyladenine glycosidase I;protein_id=AAG03400.1;transl_table=11,37,35,27,36,31,42,18,35
ID=cds-AAG03401.1;Parent=gene-PA0011;Dbxref=NCBI_GP:AAG03401.1;Name=AAG03401.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable 2-OH-lauroyltransferase;protein_id=AAG03401.1;transl_table=11,420,2292.142857,328,1997,273,3142.267857,223,3080
ID=cds-AAG03402.1;Parent=gene-PA0012;Dbxref=NCBI_GP:AAG03402.1;Name=AAG03402.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03402.1;transl_table=11,135,869,96,955,99,924,76,887
ID=cds-AAG03403.1;Parent=gene-PA0013;Dbxref=NCBI_GP:AAG03403.1;Name=AAG03403.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG03403.1;transl_table=11,224,751,179,825,112,646.5,66,551
ID=cds-AAG03404.1;Parent=gene-PA0014;Dbxref=NCBI_GP:AAG03404.1;Name=AAG03404.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG03404.1;transl_table=11,19,59,15,57,7,172.1111111,12,132
