"","Gene","Pathway"
"1","sak:SAK_0001","Two-component system"
"2","sak:SAK_0002","DNA replication"
"3","sak:SAK_0002","Mismatch repair"
"4","sak:SAK_0002","Homologous recombination"
"5","sak:SAK_0008","Nucleotide excision repair"
"6","sak:SAK_0012","beta-Lactam resistance"
"7","sak:SAK_0012","Two-component system"
"8","sak:SAK_0014","Purine metabolism"
"9","sak:SAK_0014","Metabolic pathways"
"10","sak:SAK_0014","Biosynthesis of secondary metabolites"
"11","sak:SAK_0016","Ribosome"
"12","sak:SAK_0017","Aminoacyl-tRNA biosynthesis"
"13","sak:SAK_0018","Ribosome"
"14","sak:SAK_0019","Ribosome"
"15","sak:SAK_0020","Aminoacyl-tRNA biosynthesis"
"16","sak:SAK_0021","Aminoacyl-tRNA biosynthesis"
"17","sak:SAK_0022","Aminoacyl-tRNA biosynthesis"
"18","sak:SAK_0023","Aminoacyl-tRNA biosynthesis"
"19","sak:SAK_0024","Aminoacyl-tRNA biosynthesis"
"20","sak:SAK_0025","Aminoacyl-tRNA biosynthesis"
"21","sak:SAK_0026","Aminoacyl-tRNA biosynthesis"
"22","sak:SAK_0027","Aminoacyl-tRNA biosynthesis"
"23","sak:SAK_0028","Aminoacyl-tRNA biosynthesis"
"24","sak:SAK_0029","Ribosome"
"25","sak:SAK_0030","Aminoacyl-tRNA biosynthesis"
"26","sak:SAK_0031","Ribosome"
"27","sak:SAK_0032","Ribosome"
"28","sak:SAK_0033","Aminoacyl-tRNA biosynthesis"
"29","sak:SAK_0034","Aminoacyl-tRNA biosynthesis"
"30","sak:SAK_0035","Aminoacyl-tRNA biosynthesis"
"31","sak:SAK_0036","Aminoacyl-tRNA biosynthesis"
"32","sak:SAK_0037","Aminoacyl-tRNA biosynthesis"
"33","sak:SAK_0038","Aminoacyl-tRNA biosynthesis"
"34","sak:SAK_0039","Aminoacyl-tRNA biosynthesis"
"35","sak:SAK_0040","Aminoacyl-tRNA biosynthesis"
"36","sak:SAK_0041","Aminoacyl-tRNA biosynthesis"
"37","sak:SAK_0042","Aminoacyl-tRNA biosynthesis"
"38","sak:SAK_0043","Aminoacyl-tRNA biosynthesis"
"39","sak:SAK_0044","Aminoacyl-tRNA biosynthesis"
"40","sak:SAK_0045","Aminoacyl-tRNA biosynthesis"
"41","sak:SAK_0046","Aminoacyl-tRNA biosynthesis"
"42","sak:SAK_0047","Aminoacyl-tRNA biosynthesis"
"43","sak:SAK_0048","Aminoacyl-tRNA biosynthesis"
"44","sak:SAK_0049","Aminoacyl-tRNA biosynthesis"
"45","sak:SAK_0051","Pentose phosphate pathway"
"46","sak:SAK_0051","Purine metabolism"
"47","sak:SAK_0051","Metabolic pathways"
"48","sak:SAK_0051","Biosynthesis of secondary metabolites"
"49","sak:SAK_0051","Microbial metabolism in diverse environments"
"50","sak:SAK_0051","Carbon metabolism"
"51","sak:SAK_0051","Biosynthesis of amino acids"
"52","sak:SAK_0052","Lysine biosynthesis"
"53","sak:SAK_0052","Metabolic pathways"
"54","sak:SAK_0052","Biosynthesis of secondary metabolites"
"55","sak:SAK_0052","Biosynthesis of amino acids"
"56","sak:SAK_0053","Homologous recombination"
"57","sak:SAK_0055","Glycerolipid metabolism"
"58","sak:SAK_0055","Metabolic pathways"
"59","sak:SAK_0055","Biosynthesis of secondary metabolites"
"60","sak:SAK_0056","Metabolic pathways"
"61","sak:SAK_0056","Biosynthesis of secondary metabolites"
