"","Gene_Locus_ID","Gene_Symbol","Gene_Function","Uniprot_ID","GO_Terms","eggNOG","KEGG_Pathway"
"1",NA,NA,NA,"Q2FZF1","large ribosomal subunit [GO:0015934]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","COG0333",NA
"2",NA,NA,NA,"P0C818","cytolysis [GO:0019835]",NA,NA
"3",NA,NA,NA,"Q2FXV6","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; sulfurtransferase activity [GO:0016783]; tRNA binding [GO:0000049]; tRNA wobble position uridine thiolation [GO:0002143]","COG0482",NA
"4",NA,NA,NA,"P0C805","cytolysis [GO:0019835]",NA,NA
"5",NA,NA,NA,"P0C948","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; sodium:proton antiporter activity [GO:0015385]","COG2212",NA
"6",NA,NA,NA,"P0C7Z3","cytolysis [GO:0019835]",NA,NA
"7",NA,NA,NA,"P0C1L0","DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]; transposition [GO:0032196]","COG3316",NA
"8",NA,NA,NA,"Q2FZ25","cytosolic small ribosomal subunit [GO:0022627]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","COG0052",NA
"9",NA,NA,NA,"P0C7Y1","cytolysis [GO:0019835]",NA,NA
"10",NA,NA,NA,"Q2FYT3","ATP binding [GO:0005524]; endonuclease activity [GO:0004519]; exonuclease activity [GO:0004527]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]; SOS response [GO:0009432]","COG0419",NA
"11",NA,NA,NA,"Q2FWP1","extracellular region [GO:0005576]; phosphatidylcholine phospholipase C activity [GO:0034480]; toxin activity [GO:0090729]; hemolysis in other organism [GO:0044179]","COG3568",NA
"12",NA,NA,NA,"Q2FVM9",NA,"COG5504",NA
"13",NA,NA,NA,"Q2FYN1",NA,NA,NA
"14",NA,NA,NA,"Q2G092",NA,NA,NA
"15",NA,NA,NA,"Q2G1Y3",NA,NA,NA
"16",NA,NA,NA,"Q2G1V9","integral component of membrane [GO:0016021]",NA,NA
"17",NA,NA,NA,"Q2G259","integral component of membrane [GO:0016021]",NA,NA
"18",NA,NA,NA,"Q2FXE4","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]",NA,NA
"19",NA,NA,NA,"Q2FXK5","integral component of membrane [GO:0016021]",NA,NA
"20",NA,NA,NA,"Q2FV37","integral component of membrane [GO:0016021]",NA,NA
"21",NA,NA,NA,"Q2FUU4","integral component of membrane [GO:0016021]",NA,NA
"22",NA,NA,NA,"Q2FVC6",NA,NA,NA
"23",NA,NA,NA,"Q2FVD7",NA,NA,NA
"24",NA,NA,NA,"Q2G2I3","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; xenobiotic transmembrane transporter activity [GO:0042910]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]","COG2814",NA
"25",NA,NA,NA,"Q2G1M4","integral component of membrane [GO:0016021]",NA,NA
"26",NA,NA,NA,"Q2FXN0",NA,"COG3666",NA
"27",NA,NA,NA,"Q2G022",NA,NA,NA
"28",NA,NA,NA,"Q2G0H3","integral component of membrane [GO:0016021]",NA,NA
"29",NA,NA,NA,"Q2G1S7","integral component of membrane [GO:0016021]",NA,NA
"30",NA,NA,NA,"Q2FXA6",NA,NA,NA
"31",NA,NA,NA,"Q2G237",NA,NA,NA
"32",NA,NA,NA,"Q2G0Y2",NA,NA,NA
"33",NA,NA,NA,"Q2FY24","integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]","COG0457",NA
"34",NA,NA,NA,"Q2FY24","integral component of membrane [GO:0016021]; serine-type endopeptidase activity [GO:0004252]","COG0705",NA
"35",NA,NA,NA,"Q2G125","integral component of membrane [GO:0016021]",NA,NA
"36",NA,NA,NA,"Q2FVR5","DNA-binding transcription factor activity [GO:0003700]","COG1846",NA
"37",NA,NA,NA,"Q2G0H2","integral component of membrane [GO:0016021]",NA,NA
"38",NA,NA,NA,"Q2FWA6","DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]","COG1961",NA
"39",NA,NA,NA,"Q2FW51","extracellular region [GO:0005576]",NA,NA
"40",NA,NA,NA,"Q2FWS9",NA,NA,NA
"41",NA,NA,NA,"Q2FYI2",NA,NA,NA
"42",NA,NA,NA,"Q2G0E4","integral component of membrane [GO:0016021]",NA,NA
"43",NA,NA,NA,"Q2G2J6",NA,NA,NA
"44",NA,NA,NA,"Q2FX82",NA,NA,NA
"45",NA,NA,NA,"Q2FYW5","integral component of membrane [GO:0016021]",NA,NA
"46",NA,NA,NA,"Q2FXX7",NA,NA,NA
"47",NA,NA,NA,"Q2FV36","integral component of membrane [GO:0016021]","COG0370",NA
"48",NA,NA,NA,"Q2FWJ8",NA,NA,NA
"49",NA,NA,NA,"Q2FWC8",NA,NA,NA
"50",NA,NA,NA,"Q2FXU9",NA,NA,NA
"51",NA,NA,NA,"Q2FXC1",NA,NA,NA
"52",NA,NA,NA,"Q2G014",NA,NA,NA
"53",NA,NA,NA,"Q2G013",NA,"ENOG503054G",NA
"54",NA,NA,NA,"Q2FW68","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG3666",NA
"55",NA,NA,NA,"Q2G169","integral component of membrane [GO:0016021]",NA,NA
"56",NA,NA,NA,"Q2FYJ8","integral component of membrane [GO:0016021]",NA,NA
"57",NA,NA,NA,"Q2G1C3",NA,NA,NA
"58",NA,NA,NA,"Q2FYX1",NA,NA,NA
"59",NA,NA,NA,"Q2FXV0","cytosol [GO:0005829]; DNA-binding transcription factor activity [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]","COG1959",NA
"60",NA,NA,NA,"Q2FX04",NA,NA,NA
"61",NA,NA,NA,"Q2FW40","integral component of membrane [GO:0016021]",NA,NA
"62",NA,NA,NA,"Q2G211","integral component of membrane [GO:0016021]",NA,NA
"63",NA,NA,NA,"Q2G1L2",NA,NA,NA
"64",NA,NA,NA,"Q2FYL2",NA,NA,NA
"65",NA,NA,NA,"Q2G1D1",NA,NA,NA
"66",NA,NA,NA,"Q2G2I4","integral component of membrane [GO:0016021]",NA,NA
"67",NA,NA,NA,"Q2G231",NA,NA,NA
"68",NA,NA,NA,"Q2G1S0",NA,NA,NA
"69",NA,NA,NA,"Q2G244","integral component of membrane [GO:0016021]",NA,NA
"70",NA,NA,NA,"Q2FVN0",NA,"COG5504",NA
"71",NA,NA,NA,"Q2FYX0",NA,"COG2369",NA
"72",NA,NA,NA,"Q2FXG6",NA,"COG3666",NA
"73",NA,NA,NA,"Q2FYM5",NA,"COG3666",NA
"74",NA,NA,NA,"Q2FVU0",NA,NA,NA
"75",NA,NA,NA,"Q2FXN5","integral component of membrane [GO:0016021]",NA,NA
"76",NA,NA,NA,"Q2FVK4",NA,NA,NA
"77",NA,NA,NA,"Q2FZ41",NA,NA,NA
"78",NA,NA,NA,"Q2FXN1","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG3666",NA
"79",NA,NA,NA,"Q2FVB1",NA,NA,NA
"80",NA,NA,NA,"Q2FX83",NA,NA,NA
"81",NA,NA,NA,"Q2G1Y8","integral component of membrane [GO:0016021]",NA,NA
"82",NA,NA,NA,"Q2FUY7",NA,NA,NA
"83",NA,NA,NA,"Q2FYP5",NA,NA,NA
"84",NA,NA,NA,"V6B0U0",NA,NA,NA
"85",NA,NA,NA,"G0XY21","extracellular region [GO:0005576]; cell adhesion [GO:0007155]",NA,NA
"86",NA,NA,NA,"Q2FW90",NA,"COG3464",NA
"87",NA,NA,NA,"Q2FVC7",NA,NA,NA
"88",NA,NA,NA,"Q2FVF6",NA,NA,NA
"89",NA,NA,NA,"Q2FWJ0","protein phosphorylation [GO:0006468]",NA,NA
"90",NA,NA,NA,"Q2FVR6",NA,NA,NA
"91",NA,NA,NA,"Q2FVH4","integral component of membrane [GO:0016021]",NA,NA
"92",NA,NA,NA,"Q2G1D6",NA,NA,NA
"93",NA,NA,NA,"Q2FY25","integral component of membrane [GO:0016021]",NA,NA
"94",NA,NA,NA,"Q2FYP4",NA,NA,NA
"95",NA,NA,NA,"Q2FYT1",NA,NA,NA
"96",NA,NA,NA,"Q2FZM6","glycosyltransferase activity [GO:0016757]","COG0438",NA
"97",NA,NA,NA,"Q2FW86","4 iron, 4 sulfur cluster binding [GO:0051539]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; iron-sulfur cluster assembly [GO:0016226]","COG0489",NA
"98",NA,NA,NA,"Q2FVV5",NA,NA,NA
"99",NA,NA,NA,"Q2FUR4","integral component of membrane [GO:0016021]",NA,NA
"100",NA,NA,NA,"Q2G048",NA,NA,NA
"101",NA,NA,NA,"Q2FYB0",NA,NA,NA
"102",NA,NA,NA,"Q2FYT2",NA,NA,NA
"103",NA,NA,NA,"Q2FWA3","integral component of membrane [GO:0016021]",NA,NA
"104",NA,NA,NA,"Q2FZM7",NA,NA,NA
"105",NA,NA,NA,"Q2FYI8",NA,NA,NA
"106",NA,NA,NA,"Q2FX30",NA,NA,NA
"107",NA,NA,NA,"Q2FXG7",NA,NA,NA
"108",NA,NA,NA,"Q2G1A0",NA,NA,NA
"109",NA,NA,NA,"Q2G269",NA,NA,NA
"110",NA,NA,NA,"Q2FWQ0",NA,"COG3645",NA
"111",NA,NA,NA,"Q2FWQ0",NA,"COG3561",NA
"112",NA,NA,NA,"Q2FYM6",NA,"COG3666",NA
"113",NA,NA,NA,"Q2FVU1","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","COG1757",NA
"114",NA,NA,NA,"Q2FVW7","acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]","COG1960",NA
"115",NA,NA,NA,"Q2FZ80",NA,"COG3666",NA
"116",NA,NA,NA,"Q2FY05",NA,NA,NA
"117",NA,NA,NA,"Q2G2I5","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]",NA,NA
"118",NA,NA,NA,"Q2FUR0",NA,NA,NA
"119",NA,NA,NA,"Q2FZS2",NA,NA,NA
"120",NA,NA,NA,"Q2FZB5",NA,NA,NA
"121",NA,NA,NA,"Q2G2V8",NA,NA,NA
"122",NA,NA,NA,"Q2FXD6",NA,NA,NA
"123",NA,NA,NA,"Q2FW67","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]",NA,NA
"124",NA,NA,NA,"Q2G1L0","DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]","COG1943",NA
"125",NA,NA,NA,"Q2FVR2",NA,"COG3666",NA
"126",NA,NA,NA,"Q2FUZ3","integral component of membrane [GO:0016021]",NA,NA
"127",NA,NA,NA,"Q2FYD9","integral component of membrane [GO:0016021]",NA,NA
"128",NA,NA,NA,"Q2G2P0","DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]",NA,NA
"129",NA,NA,NA,"Q2FXE3",NA,NA,NA
"130",NA,NA,NA,"Q2G2L5","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]; transmembrane transport [GO:0055085]",NA,NA
"131",NA,NA,NA,"Q2FWQ1","DNA binding [GO:0003677]",NA,NA
"132",NA,NA,NA,"Q2FVS8","integral component of membrane [GO:0016021]",NA,NA
"133",NA,NA,NA,"Q2FWV8",NA,NA,NA
"134",NA,NA,NA,"Q2FVW8","acyl-CoA dehydrogenase activity [GO:0003995]",NA,NA
"135",NA,NA,NA,"Q2FWJ1","phosphatase activity [GO:0016791]; single-species biofilm formation on inanimate substrate [GO:0044011]","COG2208",NA
"136",NA,NA,NA,"Q2FW69",NA,"COG3666",NA
"137",NA,NA,NA,"Q2G2L4","integral component of membrane [GO:0016021]","COG1289",NA
"138",NA,NA,NA,"Q2FZF2","integral component of membrane [GO:0016021]",NA,NA
"139","SAOUHSC_00001","dnaA","(RefSeq) chromosomal replication initiation protein","Q2G2H5","cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication [GO:0006260]; DNA replication initiation [GO:0006270]; regulation of DNA replication [GO:0006275]","COG0593","Two-component system"
"140","SAOUHSC_00002","","(RefSeq) DNA polymerase III subunit beta","Q2G2H4","cytoplasm [GO:0005737]; DNA polymerase III complex [GO:0009360]; 3'-5' exonuclease activity [GO:0008408]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; DNA strand elongation involved in DNA replication [GO:0006271]","COG0592","DNA replication, Mismatch repair, Homologous recombination"
"141","SAOUHSC_00003",NA,NA,"Q2G276","RNA binding [GO:0003723]","COG2501",NA
"142","SAOUHSC_00004","recF","(RefSeq) recombination protein F","Q2G275","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; single-stranded DNA binding [GO:0003697]; DNA replication [GO:0006260]; DNA synthesis involved in DNA repair [GO:0000731]; double-strand break repair [GO:0006302]; SOS response [GO:0009432]","COG1195","Homologous recombination"
"143","SAOUHSC_00005",NA,NA,"Q2G274","chromosome [GO:0005694]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]; DNA-dependent DNA replication [GO:0006261]","COG0187",NA
"144","SAOUHSC_00006",NA,NA,"Q2G2Q0","chromosome [GO:0005694]; cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; DNA topological change [GO:0006265]; DNA-dependent DNA replication [GO:0006261]; response to antibiotic [GO:0046677]","COG0188",NA
"145","SAOUHSC_00007",NA,NA,"Q2G2P8","ADP-dependent NAD(P)H-hydrate dehydratase activity [GO:0052855]; ATP binding [GO:0005524]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; metabolite repair [GO:0110051]; nicotinamide nucleotide metabolic process [GO:0046496]","COG0063",NA
"146","SAOUHSC_00008","","(RefSeq) histidine ammonia-lyase","Q2G2P7","cytoplasm [GO:0005737]; ammonia-lyase activity [GO:0016841]; histidine ammonia-lyase activity [GO:0004397]; histidine catabolic process [GO:0006548]; histidine catabolic process to glutamate and formamide [GO:0019556]; histidine catabolic process to glutamate and formate [GO:0019557]","COG2986","Histidine metabolism, Metabolic pathways"
"147","SAOUHSC_00009","","(RefSeq) seryl-tRNA synthetase","P95689","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]","COG0172","Aminoacyl-tRNA biosynthesis"
"148","SAOUHSC_00010",NA,NA,"Q2G2P6","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]","COG1296",NA
"149","SAOUHSC_00012",NA,NA,"Q2G2T5","integral component of membrane [GO:0016021]","COG4392",NA
"150","SAOUHSC_00013","","(RefSeq) hypothetical protein","Q2G2T4","homoserine O-acetyltransferase activity [GO:0004414]; homoserine metabolic process [GO:0009092]; methionine biosynthetic process [GO:0009086]","COG2021","Cysteine and methionine metabolism, Sulfur metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
"151","SAOUHSC_00014",NA,NA,"Q2G2T2","integral component of membrane [GO:0016021]","COG4241",NA
"152","SAOUHSC_00015",NA,NA,"Q2G2T6","cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; nucleic acid binding [GO:0003676]","COG3887",NA
"153","SAOUHSC_00017","rplI","(RefSeq) 50S ribosomal protein L9","Q2G2T3","cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","COG0359","Ribosome"
"154","SAOUHSC_00018","","(RefSeq) replicative DNA helicase","Q2G1S4","cytosol [GO:0005829]; primosome complex [GO:1990077]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication, synthesis of RNA primer [GO:0006269]; DNA unwinding involved in DNA replication [GO:0006268]","COG0305","DNA replication"
"155","SAOUHSC_00019","","(RefSeq) adenylosuccinate synthetase","Q2G1S3","cytoplasm [GO:0005737]; adenylosuccinate synthase activity [GO:0004019]; GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; 'de novo' AMP biosynthetic process [GO:0044208]; IMP metabolic process [GO:0046040]","COG0104","Purine metabolism, Alanine, aspartate and glutamate metabolism, Metabolic pathways, Nucleotide metabolism, Biosynthesis of cofactors"
"156","SAOUHSC_00020","","(RefSeq) two-component response regulator","Q2G2U6","cytosol [GO:0005829]; protein-DNA complex [GO:0032993]; DNA-binding transcription activator activity [GO:0001216]; phosphorelay response regulator activity [GO:0000156]; transcription cis-regulatory region binding [GO:0000976]","COG0745","Two-component system"
"157","SAOUHSC_00021","","(RefSeq) sensory box histidine kinase VicK","Q2G2U4","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; phosphorelay response regulator activity [GO:0000156]; phosphorelay sensor kinase activity [GO:0000155]; protein kinase activator activity [GO:0030295]; osmosensory signaling via phosphorelay pathway [GO:0007234]","COG5002","Two-component system"
"158","SAOUHSC_00022",NA,NA,"Q2G2U3",NA,"COG4863",NA
"159","SAOUHSC_00023",NA,NA,"Q2G2U2","integral component of membrane [GO:0016021]; regulation of single-species biofilm formation on inanimate substrate [GO:1900231]","COG4853",NA
