"","Gene","Pathway"
"1","sml:Smlt0001","Two-component system"
"2","sml:Smlt0002","DNA replication"
"3","sml:Smlt0002","Mismatch repair"
"4","sml:Smlt0002","Homologous recombination"
"5","sml:Smlt0004","Homologous recombination"
"6","sml:Smlt0013","Glycerophospholipid metabolism"
"7","sml:Smlt0013","Metabolic pathways"
"8","sml:Smlt0015","Vitamin B6 metabolism"
"9","sml:Smlt0015","Metabolic pathways"
"10","sml:Smlt0015","Biosynthesis of cofactors"
"11","sml:Smlt0047","Glycolysis / Gluconeogenesis"
"12","sml:Smlt0047","Pentose phosphate pathway"
"13","sml:Smlt0047","Fructose and mannose metabolism"
"14","sml:Smlt0047","Methane metabolism"
"15","sml:Smlt0047","Metabolic pathways"
"16","sml:Smlt0047","Biosynthesis of secondary metabolites"
"17","sml:Smlt0047","Microbial metabolism in diverse environments"
"18","sml:Smlt0047","Carbon metabolism"
"19","sml:Smlt0048","Cysteine and methionine metabolism"
"20","sml:Smlt0048","Tyrosine metabolism"
"21","sml:Smlt0048","Phenylalanine metabolism"
"22","sml:Smlt0048","Phenylalanine, tyrosine and tryptophan biosynthesis"
"23","sml:Smlt0048","Novobiocin biosynthesis"
"24","sml:Smlt0048","Metabolic pathways"
"25","sml:Smlt0048","Biosynthesis of secondary metabolites"
"26","sml:Smlt0048","Biosynthesis of amino acids"
"27","sml:Smlt0052","Non-homologous end-joining"
"28","sml:Smlt0053","Non-homologous end-joining"
"29","sml:Smlt0073","Pentose phosphate pathway"
"30","sml:Smlt0073","Glyoxylate and dicarboxylate metabolism"
"31","sml:Smlt0073","Metabolic pathways"
"32","sml:Smlt0073","Microbial metabolism in diverse environments"
"33","sml:Smlt0073","Carbon metabolism"
"34","sml:Smlt0077","Phenylalanine metabolism"
"35","sml:Smlt0077","Phenylalanine, tyrosine and tryptophan biosynthesis"
"36","sml:Smlt0077","Folate biosynthesis"
"37","sml:Smlt0077","Metabolic pathways"
"38","sml:Smlt0077","Biosynthesis of amino acids"
"39","sml:Smlt0084","Riboflavin metabolism"
"40","sml:Smlt0084","Metabolic pathways"
"41","sml:Smlt0084","Two-component system"
"42","sml:Smlt0088","Biosynthesis of unsaturated fatty acids"
"43","sml:Smlt0088","Metabolic pathways"
"44","sml:Smlt0088","Fatty acid metabolism"
"45","sml:Smlt0090","Base excision repair"
"46","sml:Smlt0092","Pyrimidine metabolism"
"47","sml:Smlt0092","Metabolic pathways"
"48","sml:Smlt0099","Pyrimidine metabolism"
"49","sml:Smlt0099","Metabolic pathways"
"50","sml:Smlt0099","Biosynthesis of cofactors"
"51","sml:Smlt0102","Glycerolipid metabolism"
"52","sml:Smlt0102","Glycerophospholipid metabolism"
"53","sml:Smlt0102","Metabolic pathways"
"54","sml:Smlt0102","Biosynthesis of secondary metabolites"
"55","sml:Smlt0106","Propanoate metabolism"
"56","sml:Smlt0106","Metabolic pathways"
"57","sml:Smlt0106","Microbial metabolism in diverse environments"
"58","sml:Smlt0107","Two-component system"
"59","sml:Smlt0108","Alanine, aspartate and glutamate metabolism"
"60","sml:Smlt0108","Nitrogen metabolism"
"61","sml:Smlt0108","Metabolic pathways"
"62","sml:Smlt0108","Biosynthesis of secondary metabolites"
"63","sml:Smlt0108","Microbial metabolism in diverse environments"
"64","sml:Smlt0108","Biosynthesis of amino acids"
"65","sml:Smlt0109","Alanine, aspartate and glutamate metabolism"
"66","sml:Smlt0109","Nitrogen metabolism"
"67","sml:Smlt0109","Metabolic pathways"
"68","sml:Smlt0109","Biosynthesis of secondary metabolites"
"69","sml:Smlt0109","Microbial metabolism in diverse environments"
"70","sml:Smlt0109","Biosynthesis of amino acids"
"71","sml:Smlt0143","Ubiquinone and other terpenoid-quinone biosynthesis"
"72","sml:Smlt0143","Metabolic pathways"
"73","sml:Smlt0143","Biosynthesis of secondary metabolites"
"74","sml:Smlt0143","Biosynthesis of cofactors"
"75","sml:Smlt0150","Peptidoglycan biosynthesis"
"76","sml:Smlt0151","Arginine biosynthesis"
"77","sml:Smlt0151","Alanine, aspartate and glutamate metabolism"
"78","sml:Smlt0151","Glyoxylate and dicarboxylate metabolism"
"79","sml:Smlt0151","Nitrogen metabolism"
"80","sml:Smlt0151","Metabolic pathways"
"81","sml:Smlt0151","Microbial metabolism in diverse environments"
"82","sml:Smlt0151","Biosynthesis of amino acids"
"83","sml:Smlt0151","Two-component system"
"84","sml:Smlt0152","Two-component system"
"85","sml:Smlt0158","Two-component system"
"86","sml:Smlt0159","Two-component system"
"87","sml:Smlt0164","Fatty acid degradation"
"88","sml:Smlt0164","Valine, leucine and isoleucine degradation"
"89","sml:Smlt0164","Lysine degradation"
"90","sml:Smlt0164","Benzoate degradation"
"91","sml:Smlt0164","Tryptophan metabolism"
"92","sml:Smlt0164","Pyruvate metabolism"
"93","sml:Smlt0164","Glyoxylate and dicarboxylate metabolism"
"94","sml:Smlt0164","Butanoate metabolism"
"95","sml:Smlt0164","Terpenoid backbone biosynthesis"
"96","sml:Smlt0164","Metabolic pathways"
"97","sml:Smlt0164","Biosynthesis of secondary metabolites"
"98","sml:Smlt0164","Microbial metabolism in diverse environments"
"99","sml:Smlt0164","Carbon metabolism"
"100","sml:Smlt0164","Fatty acid metabolism"
"101","sml:Smlt0164","Two-component system"
"102","sml:Smlt0166","Porphyrin metabolism"
"103","sml:Smlt0166","Metabolic pathways"
"104","sml:Smlt0166","Biosynthesis of secondary metabolites"
"105","sml:Smlt0166","Microbial metabolism in diverse environments"
"106","sml:Smlt0166","Biosynthesis of cofactors"
"107","sml:Smlt0167","Porphyrin metabolism"
"108","sml:Smlt0167","Metabolic pathways"
"109","sml:Smlt0167","Biosynthesis of secondary metabolites"
"110","sml:Smlt0167","Microbial metabolism in diverse environments"
"111","sml:Smlt0167","Biosynthesis of cofactors"
"112","sml:Smlt0171","Quorum sensing"
"113","sml:Smlt0171","Protein export"
"114","sml:Smlt0171","Bacterial secretion system"
"115","sml:Smlt0172","Glycerophospholipid metabolism"
"116","sml:Smlt0172","Biosynthesis of secondary metabolites"
"117","sml:Smlt0195","Two-component system"
"118","sml:Smlt0196","Two-component system"
"119","sml:Smlt0197","Oxidative phosphorylation"
"120","sml:Smlt0197","Metabolic pathways"
"121","sml:Smlt0197","Two-component system"
"122","sml:Smlt0199","Fatty acid degradation"
"123","sml:Smlt0199","Lysine degradation"
"124","sml:Smlt0199","Benzoate degradation"
"125","sml:Smlt0199","Tryptophan metabolism"
"126","sml:Smlt0199","Metabolic pathways"
"127","sml:Smlt0199","Biosynthesis of secondary metabolites"
"128","sml:Smlt0199","Microbial metabolism in diverse environments"
"129","sml:Smlt0211","D-Amino acid metabolism"
"130","sml:Smlt0211","Peptidoglycan biosynthesis"
"131","sml:Smlt0211","Metabolic pathways"
"132","sml:Smlt0211","Vancomycin resistance"
"133","sml:Smlt0224","Phenylalanine, tyrosine and tryptophan biosynthesis"
"134","sml:Smlt0224","Metabolic pathways"
"135","sml:Smlt0224","Biosynthesis of secondary metabolites"
