"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","MIAA_MYCA9","B1MD01","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MD01","CU458896","CAM63122.1","miaA","miaA MAB_3044c","ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381]; tRNA processing [GO:0008033]","GO:0005524; GO:0008033; GO:0052381","mab:MAB_3044c",NA,NA
"2","PGK_MYCA9","B1MC86","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MC86","CU458896","CAM62857.1","pgk","pgk MAB_2778c","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","mab:MAB_2778c",NA,NA
"3","PHEA_MYCA9","B1MEG8","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MEG8","CU458896","CAM60232.1","pheA","pheA MAB_0132","chorismate mutase activity [GO:0004106]; prephenate dehydratase activity [GO:0004664]; protein homodimerization activity [GO:0042803]; L-phenylalanine biosynthetic process [GO:0009094]","GO:0004106; GO:0004664; GO:0009094; GO:0042803","mab:MAB_0132",NA,NA
"4","PHY_MYCA9","B1MK49","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MK49","CU458896","CAM64556.1","MAB_4487c","MAB_4487c","metal ion binding [GO:0046872]; phloretin hydrolase activity [GO:0050180]","GO:0046872; GO:0050180","mab:MAB_4487c",NA,NA
"5","PHY_MYCA9","B1MK49","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MK49","CAM64556.1","CAM64556.1","MAB_4487c","MAB_4487c","metal ion binding [GO:0046872]; phloretin hydrolase activity [GO:0050180]","GO:0046872; GO:0050180","mab:MAB_4487c",NA,NA
"6","UPP_MYCA9","B1MFZ1","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MFZ1","CU458896","CAM63736.1","upp","upp MAB_3662c","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","mab:MAB_3662c",NA,NA
"7","UVRC_MYCA9","B1MC92","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MC92","CU458896","CAM62863.1","uvrC","uvrC MAB_2784c","cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380]; DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381]; nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432]","GO:0003677; GO:0005737; GO:0006289; GO:0009380; GO:0009381; GO:0009432","mab:MAB_2784c",NA,NA
"8","URE3_MYCA9","B1MB83","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MB83","CU458896","CAM62504.1","ureA","ureA MAB_2423","cytoplasm [GO:0005737]; nickel cation binding [GO:0016151]; urease activity [GO:0009039]; urea catabolic process [GO:0043419]","GO:0005737; GO:0009039; GO:0016151; GO:0043419","mab:MAB_2423",NA,NA
"9","MEND_MYCA9","B1MHC6","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MHC6","CU458896","CAM64007.1","menD","menD MAB_3933c","2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity [GO:0070204]; magnesium ion binding [GO:0000287]; manganese ion binding [GO:0030145]; thiamine pyrophosphate binding [GO:0030976]; menaquinone biosynthetic process [GO:0009234]","GO:0000287; GO:0009234; GO:0030145; GO:0030976; GO:0070204","mab:MAB_3933c",NA,NA
"10","NUOB_MYCA9","B1MPG5","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MPG5","CU458896","CAM62216.1","nuoB","nuoB MAB_2135","plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]; quinone binding [GO:0048038]","GO:0005506; GO:0005886; GO:0008137; GO:0048038; GO:0051539","mab:MAB_2135",NA,NA
"11","SYP_MYCA9","B1MD96","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MD96","CU458896","CAM63217.1","proS","proS MAB_3140c","cytoplasm [GO:0005737]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; proline-tRNA ligase activity [GO:0004827]; prolyl-tRNA aminoacylation [GO:0006433]","GO:0002161; GO:0004827; GO:0005524; GO:0005737; GO:0006433","mab:MAB_3140c",NA,NA
"12","SYS_MYCA9","B1MEI9","Mycobacteroides abscessus (strain ATCC 19977 / DSM 44196 / CIP 104536 / JCM 13569 / NCTC 13031 / TMC 1543) (Mycobacterium abscessus)","561007","B1MEI9","CU458896","CAM60253.1","serS","serS MAB_0153","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; serine-tRNA ligase activity [GO:0004828]; selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]","GO:0004828; GO:0005524; GO:0005737; GO:0006434; GO:0016260; GO:0097056","mab:MAB_0153",NA,NA
