"","UNIPROTKB_ID","UNIPROTKB","ORGANISM","ORGANISM-ID","ID","EMBL/GENBANK/DDBJ","EMBL/GENBANK/DDBJ_CDS","GENENAME","GENES","GO","GO-ID","KEGG","EGGNOG","PSEUDOCAP"
"1","PGK_STRMK","B2FSF3","Stenotrophomonas maltophilia (strain K279a)","522373","B2FSF3","AM743169","CAQ47207.1","pgk","pgk Smlt3800","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]","GO:0004618; GO:0005524; GO:0005737; GO:0006096","sml:Smlt3800","COG0126",NA
"2","PEPQ_STRMK","B2FT23","Stenotrophomonas maltophilia (strain K279a)","522373","B2FT23","AM743169","CAQ47265.1","pepQ","pepQ Smlt3861","metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]; phosphoric triester hydrolase activity [GO:0016795]; proline dipeptidase activity [GO:0102009]","GO:0008235; GO:0016795; GO:0046872; GO:0102009","sml:Smlt3861","COG0006",NA
"3","PDXA_STRMK","B2FPG6","Stenotrophomonas maltophilia (strain K279a)","522373","B2FPG6","AM743169","CAQ44395.1","pdxA","pdxA Smlt0819","cytoplasm [GO:0005737]; 4-hydroxythreonine-4-phosphate dehydrogenase activity [GO:0050570]; cobalt ion binding [GO:0050897]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; zinc ion binding [GO:0008270]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]","GO:0000287; GO:0005737; GO:0008270; GO:0008615; GO:0042823; GO:0050570; GO:0050897; GO:0051287","sml:Smlt0819","COG1995",NA
"4","PSRP_STRMK","B2FJE7","Stenotrophomonas maltophilia (strain K279a)","522373","B2FJE7","AM743169","CAQ46426.1","Smlt2974","Smlt2974","ADP binding [GO:0043531]; ATP binding [GO:0005524]; phosphotransferase activity, phosphate group as acceptor [GO:0016776]; protein serine/threonine kinase activity [GO:0004674]; protein dephosphorylation [GO:0006470]","GO:0004674; GO:0005524; GO:0006470; GO:0016776; GO:0043531","sml:Smlt2974","COG1806",NA
"5","RECA_STRMK","B2FL31","Stenotrophomonas maltophilia (strain K279a)","522373","B2FL31","AM743169","CAQ45264.1","recA","recA Smlt1741","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent activity, acting on DNA [GO:0008094]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]","GO:0003684; GO:0003697; GO:0005524; GO:0005737; GO:0006281; GO:0006310; GO:0008094; GO:0009432","sml:Smlt1741","COG0468",NA
"6","SUCC_STRMK","B2FRS3","Stenotrophomonas maltophilia (strain K279a)","522373","B2FRS3","AM743169","CAQ47163.1","sucC","sucC Smlt3753","ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; tricarboxylic acid cycle [GO:0006099]","GO:0000287; GO:0004775; GO:0005524; GO:0006099","sml:Smlt3753","COG0045",NA
"7","UPP_STRMK","B2FLX2","Stenotrophomonas maltophilia (strain K279a)","522373","B2FLX2","AM743169","CAQ45340.1","upp","upp Smlt1819","GTP binding [GO:0005525]; magnesium ion binding [GO:0000287]; uracil phosphoribosyltransferase activity [GO:0004845]; nucleoside metabolic process [GO:0009116]; UMP salvage [GO:0044206]; uracil salvage [GO:0006223]","GO:0000287; GO:0004845; GO:0005525; GO:0006223; GO:0009116; GO:0044206","sml:Smlt1819","COG0035",NA
"8","RBFA_STRMK","B2FN89","Stenotrophomonas maltophilia (strain K279a)","522373","B2FN89","AM743169","CAQ46816.1","rbfA","rbfA Smlt3388","cytoplasm [GO:0005737]; maturation of SSU-rRNA [GO:0030490]","GO:0005737; GO:0030490","sml:Smlt3388","COG0858",NA
"9","RIMO_STRMK","B2FP10","Stenotrophomonas maltophilia (strain K279a)","522373","B2FP10","AM743169","CAQ46864.1","rimO","rimO Smlt3438","cytoplasm [GO:0005737]; 4 iron, 4 sulfur cluster binding [GO:0051539]; metal ion binding [GO:0046872]; protein methylthiotransferase activity [GO:0103039]; peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid [GO:0018339]; tRNA modification [GO:0006400]","GO:0005737; GO:0006400; GO:0018339; GO:0046872; GO:0051539; GO:0103039","sml:Smlt3438","COG0621",NA
"10","RL28_STRMK","B2FNE3","Stenotrophomonas maltophilia (strain K279a)","522373","B2FNE3","AM743169","CAQ47954.1","rpmB","rpmB Smlt4599","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","sml:Smlt4599","COG0227",NA
"11","RL33_STRMK","B2FNE2","Stenotrophomonas maltophilia (strain K279a)","522373","B2FNE2","AM743169","CAQ47953.1","rpmG","rpmG Smlt4598","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","GO:0003735; GO:0005840; GO:0006412","sml:Smlt4598","COG0267",NA
"12","SYT_STRMK","B2FN79","Stenotrophomonas maltophilia (strain K279a)","522373","B2FN79","AM743169","CAQ46806.1","thrS","thrS Smlt3378","cytoplasm [GO:0005737]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; threonine-tRNA ligase activity [GO:0004829]; tRNA binding [GO:0000049]; threonyl-tRNA aminoacylation [GO:0006435]","GO:0000049; GO:0004829; GO:0005524; GO:0005737; GO:0006435; GO:0046872","sml:Smlt3378","COG0441",NA
